'Time','I','II','AVR','V','RESP','PLETH','ABP'
'[12:26:37.424]',-,0.905,0.550,0.465,0.174,2.815,98.128
'[12:26:37.432]',-,0.930,0.515,0.480,0.170,2.772,97.346
'[12:26:37.440]',-,0.910,0.520,0.470,0.164,2.720,96.614
'[12:26:37.448]',-,0.940,0.485,0.490,0.159,2.660,95.930
'[12:26:37.456]',-,0.895,0.530,0.480,0.152,2.592,95.197
'[12:26:37.464]',-,0.905,0.535,0.495,0.146,2.520,94.562
'[12:26:37.472]',-,0.910,0.510,0.510,0.139,2.448,93.927
'[12:26:37.480]',-,0.985,0.445,0.520,0.133,2.380,93.341
'[12:26:37.488]',-,0.895,0.540,0.475,0.126,2.322,92.755
'[12:26:37.496]',-,0.850,0.570,0.500,0.119,2.275,92.218
'[12:26:37.504]',-,0.970,0.475,0.565,0.113,2.237,91.729
'[12:26:37.512]',-,1.095,0.400,0.515,0.107,2.203,91.387
'[12:26:37.520]',-,1.245,0.265,0.530,0.101,2.176,90.948
'[12:26:37.528]',-,1.480,0.080,0.370,0.096,2.153,90.557
'[12:26:37.536]',-,1.425,0.205,0.160,0.090,2.133,90.215
'[12:26:37.544]',-,1.190,0.405,0.090,0.085,2.111,89.922
'[12:26:37.552]',-,0.855,0.615,0.300,0.080,2.089,89.629
'[12:26:37.560]',-,0.905,0.545,0.450,0.075,2.065,89.385
'[12:26:37.568]',-,0.875,0.580,0.460,0.071,2.037,89.092
'[12:26:37.576]',-,0.935,0.510,0.510,0.067,2.006,88.847
'[12:26:37.584]',-,0.905,0.525,0.525,0.064,1.973,88.603
'[12:26:37.592]',-,0.885,0.540,0.535,0.060,1.939,88.359
'[12:26:37.600]',-,0.910,0.520,0.530,0.058,1.909,88.115
'[12:26:37.608]',-,0.945,0.485,0.555,0.056,1.881,87.822
'[12:26:37.616]',-,0.900,0.520,0.530,0.056,1.849,87.480
'[12:26:37.624]',-,0.925,0.500,0.535,0.055,1.817,87.187
'[12:26:37.632]',-,0.880,0.540,0.530,0.055,1.785,86.796
'[12:26:37.640]',-,0.990,0.445,0.555,0.055,1.755,86.405
'[12:26:37.648]',-,0.925,0.500,0.545,0.056,1.726,86.063
'[12:26:37.656]',-,0.920,0.530,0.550,0.057,1.697,85.624
'[12:26:37.664]',-,0.915,0.515,0.520,0.058,1.667,85.135
'[12:26:37.672]',-,0.940,0.490,0.530,0.060,1.636,84.500
'[12:26:37.680]',-,0.910,0.510,0.490,0.062,1.606,83.816
'[12:26:37.688]',-,0.970,0.475,0.545,0.063,1.577,83.035
'[12:26:37.696]',-,0.940,0.495,0.555,0.065,1.552,82.351
'[12:26:37.704]',-,0.915,0.515,0.535,0.067,1.531,81.667
'[12:26:37.712]',-,0.980,0.455,0.555,0.069,1.507,81.179
'[12:26:37.720]',-,0.970,0.485,0.550,0.072,1.485,80.886
'[12:26:37.728]',-,0.980,0.460,0.570,0.074,1.461,80.788
'[12:26:37.736]',-,0.955,0.455,0.530,0.076,1.438,80.886
'[12:26:37.744]',-,0.960,0.490,0.535,0.078,1.413,81.130
'[12:26:37.752]',-,1.000,0.440,0.530,0.081,1.390,81.423
'[12:26:37.760]',-,1.010,0.425,0.520,0.084,1.369,81.863
'[12:26:37.768]',-,0.985,0.465,0.535,0.086,1.347,82.791
'[12:26:37.776]',-,1.010,0.455,0.525,0.090,1.325,84.793
'[12:26:37.784]',-,1.055,0.400,0.510,0.093,1.303,88.359
'[12:26:37.792]',-,1.105,0.360,0.535,0.096,1.282,93.878
'[12:26:37.800]',-,1.085,0.405,0.510,0.099,1.267,100.912
'[12:26:37.808]',-,1.100,0.415,0.480,0.102,1.258,108.825
'[12:26:37.816]',-,1.170,0.320,0.510,0.105,1.248,116.444
'[12:26:37.824]',-,1.180,0.315,0.480,0.107,1.238,122.989
'[12:26:37.832]',-,1.160,0.335,0.475,0.109,1.227,128.167
'[12:26:37.840]',-,1.200,0.300,0.465,0.110,1.216,132.221
'[12:26:37.848]',-,1.140,0.370,0.435,0.112,1.205,135.494
'[12:26:37.856]',-,1.160,0.340,0.455,0.112,1.194,138.424
'[12:26:37.864]',-,1.135,0.355,0.460,0.112,1.182,141.257
'[12:26:37.872]',-,1.150,0.335,0.445,0.111,1.168,143.797
'[12:26:37.880]',-,1.045,0.445,0.440,0.110,1.155,146.044
'[12:26:37.888]',-,1.005,0.475,0.460,0.108,1.143,147.851
'[12:26:37.896]',-,0.990,0.475,0.465,0.107,1.136,149.365
'[12:26:37.904]',-,0.975,0.480,0.475,0.105,1.131,150.538
'[12:26:37.912]',-,0.940,0.470,0.485,0.103,1.123,151.661
'[12:26:37.920]',-,0.910,0.520,0.480,0.099,1.113,152.736
'[12:26:37.928]',-,0.945,0.500,0.525,0.096,1.102,153.859
'[12:26:37.936]',-,0.920,0.525,0.445,0.092,1.090,154.933
'[12:26:37.944]',-,0.935,0.500,0.475,0.087,1.076,155.910
'[12:26:37.952]',-,0.900,0.540,0.485,0.083,1.062,156.887
'[12:26:37.960]',-,0.915,0.515,0.475,0.078,1.049,157.620
'[12:26:37.968]',-,0.965,0.475,0.480,0.074,1.038,158.304
'[12:26:37.976]',-,0.900,0.545,0.475,0.069,1.028,158.890
'[12:26:37.984]',-,0.910,0.530,0.490,0.066,1.019,159.232
'[12:26:37.992]',-,0.875,0.560,0.480,0.063,1.013,159.574
'[12:26:38.000]',-,0.915,0.520,0.495,0.061,1.009,159.671
'[12:26:38.008]',-,0.935,0.505,0.530,0.059,1.002,159.623
'[12:26:38.016]',-,0.860,0.570,0.505,0.057,0.992,159.378
'[12:26:38.024]',-,0.915,0.515,0.500,0.056,0.982,158.890
'[12:26:38.032]',-,0.930,0.495,0.510,0.055,0.975,158.206
'[12:26:38.040]',-,0.925,0.505,0.465,0.054,0.974,157.229
'[12:26:38.048]',-,0.915,0.525,0.495,0.054,0.983,156.057
'[12:26:38.056]',-,0.970,0.470,0.475,0.054,1.008,154.543
'[12:26:38.064]',-,0.920,0.520,0.440,0.055,1.053,152.638
'[12:26:38.072]',-,0.940,0.495,0.435,0.055,1.119,150.244
'[12:26:38.080]',-,0.920,0.490,0.475,0.057,1.206,147.314
'[12:26:38.088]',-,0.945,0.525,0.470,0.058,1.310,143.797
'[12:26:38.096]',-,0.900,0.545,0.465,0.060,1.410,139.548
'[12:26:38.104]',-,0.955,0.480,0.455,0.062,1.506,134.761
'[12:26:38.112]',-,0.930,0.505,0.480,0.064,1.614,129.290
'[12:26:38.120]',-,0.955,0.480,0.460,0.067,1.721,123.722
'[12:26:38.128]',-,0.925,0.515,0.450,0.070,1.821,118.593
'[12:26:38.136]',-,0.935,0.500,0.490,0.073,1.911,114.686
'[12:26:38.144]',-,0.985,0.465,0.485,0.076,1.992,112.390
'[12:26:38.152]',-,1.000,0.450,0.505,0.080,2.065,111.658
'[12:26:38.160]',-,0.935,0.510,0.485,0.083,2.130,112.195
'[12:26:38.168]',-,0.955,0.490,0.500,0.087,2.189,113.123
'[12:26:38.176]',-,0.975,0.465,0.490,0.092,2.244,114.002
'[12:26:38.184]',-,0.945,0.495,0.500,0.096,2.298,114.442
'[12:26:38.192]',-,0.960,0.485,0.470,0.101,2.342,114.344
'[12:26:38.200]',-,0.920,0.535,0.500,0.106,2.381,114.002
'[12:26:38.208]',-,0.965,0.495,0.485,0.111,2.427,113.416
'[12:26:38.216]',-,0.975,0.475,0.470,0.116,2.475,112.879
'[12:26:38.224]',-,0.945,0.510,0.480,0.120,2.523,112.293
'[12:26:38.232]',-,0.975,0.465,0.500,0.125,2.570,111.658
'[12:26:38.240]',-,0.995,0.445,0.490,0.130,2.614,110.974
'[12:26:38.248]',-,0.945,0.480,0.470,0.135,2.655,110.241
'[12:26:38.256]',-,0.985,0.455,0.505,0.140,2.710,109.362
'[12:26:38.264]',-,0.940,0.515,0.490,0.145,2.769,108.532
'[12:26:38.272]',-,1.015,0.445,0.510,0.150,2.815,107.750
'[12:26:38.280]',-,0.995,0.480,0.490,0.155,2.852,106.920
'[12:26:38.288]',-,0.975,0.500,0.495,0.159,2.883,106.187
'[12:26:38.296]',-,1.025,0.460,0.465,0.164,2.900,105.357
'[12:26:38.304]',-,1.015,0.475,0.440,0.168,2.910,104.575
'[12:26:38.312]',-,1.050,0.425,0.450,0.172,2.919,103.745
'[12:26:38.320]',-,1.070,0.400,0.465,0.176,2.924,102.866
'[12:26:38.328]',-,1.005,0.440,0.485,0.180,2.922,102.035
'[12:26:38.336]',-,0.960,0.480,0.485,0.183,2.913,101.254
'[12:26:38.344]',-,0.960,0.490,0.480,0.186,2.896,100.423
'[12:26:38.352]',-,0.920,0.525,0.500,0.188,2.872,99.593
'[12:26:38.360]',-,0.905,0.525,0.485,0.191,2.838,98.860
'[12:26:38.368]',-,0.920,0.515,0.495,0.193,2.795,98.128
'[12:26:38.376]',-,0.895,0.535,0.545,0.195,2.743,97.444
'[12:26:38.384]',-,1.030,0.395,0.470,0.197,2.683,96.662
'[12:26:38.392]',-,0.855,0.570,0.455,0.199,2.624,95.979
'[12:26:38.400]',-,0.895,0.520,0.515,0.200,2.562,95.295
'[12:26:38.408]',-,0.915,0.495,0.530,0.201,2.495,94.660
'[12:26:38.416]',-,0.855,0.550,0.490,0.202,2.428,94.074
'[12:26:38.424]',-,0.920,0.515,0.535,0.202,2.368,93.536
'[12:26:38.432]',-,0.945,0.495,0.580,0.203,2.314,93.048
'[12:26:38.440]',-,1.000,0.460,0.540,0.203,2.269,92.608
'[12:26:38.448]',-,1.185,0.310,0.590,0.204,2.233,92.169
'[12:26:38.456]',-,1.450,0.095,0.455,0.204,2.204,91.729
'[12:26:38.464]',-,1.475,0.090,0.285,0.204,2.181,91.387
'[12:26:38.472]',-,1.300,0.320,0.165,0.205,2.158,90.997
'[12:26:38.480]',-,0.955,0.550,0.270,0.206,2.136,90.655
'[12:26:38.488]',-,0.890,0.580,0.435,0.207,2.112,90.410
'[12:26:38.496]',-,0.915,0.525,0.470,0.208,2.090,90.166
'[12:26:38.504]',-,0.850,0.580,0.495,0.210,2.066,89.971
'[12:26:38.512]',-,0.925,0.510,0.510,0.212,2.039,89.824
'[12:26:38.520]',-,0.875,0.550,0.505,0.215,2.008,89.922
'[12:26:38.528]',-,0.890,0.530,0.540,0.217,1.976,90.557
'[12:26:38.536]',-,0.920,0.500,0.550,0.219,1.942,91.387
'[12:26:38.544]',-,0.900,0.515,0.500,0.221,1.909,91.680
'[12:26:38.552]',-,0.960,0.465,0.555,0.222,1.876,91.094
'[12:26:38.560]',-,0.875,0.545,0.540,0.225,1.842,89.531
'[12:26:38.568]',-,0.900,0.520,0.545,0.227,1.808,87.382
'[12:26:38.576]',-,0.935,0.485,0.585,0.230,1.775,85.282
'[12:26:38.584]',-,0.945,0.475,0.590,0.233,1.742,84.012
'[12:26:38.592]',-,0.900,0.515,0.580,0.236,1.715,83.719
'[12:26:38.600]',-,0.875,0.540,0.545,0.240,1.689,84.061
'[12:26:38.608]',-,0.965,0.450,0.585,0.243,1.663,84.354
'[12:26:38.616]',-,0.935,0.480,0.565,0.247,1.636,84.305
'[12:26:38.624]',-,0.995,0.430,0.590,0.250,1.611,83.865
'[12:26:38.632]',-,0.900,0.510,0.550,0.254,1.587,83.377
'[12:26:38.640]',-,0.915,0.515,0.535,0.257,1.565,83.182
'[12:26:38.648]',-,0.970,0.450,0.545,0.260,1.543,83.230
'[12:26:38.656]',-,0.925,0.505,0.500,0.264,1.518,83.377
'[12:26:38.664]',-,0.890,0.545,0.510,0.267,1.493,83.426
'[12:26:38.672]',-,0.935,0.510,0.530,0.271,1.467,83.230
'[12:26:38.680]',-,1.010,0.430,0.550,0.275,1.442,83.133
'[12:26:38.688]',-,0.965,0.480,0.525,0.278,1.418,83.182
'[12:26:38.696]',-,0.970,0.470,0.540,0.282,1.400,83.572
'[12:26:38.704]',-,1.020,0.420,0.530,0.285,1.384,84.598
'[12:26:38.712]',-,1.050,0.395,0.535,0.288,1.365,87.284
'[12:26:38.720]',-,1.060,0.400,0.530,0.291,1.344,92.071
'[12:26:38.728]',-,1.020,0.440,0.535,0.294,1.324,98.665
'[12:26:38.736]',-,1.080,0.375,0.530,0.297,1.302,106.431
'[12:26:38.744]',-,1.130,0.340,0.550,0.300,1.282,114.295
'[12:26:38.752]',-,1.100,0.375,0.530,0.302,1.262,121.182
'[12:26:38.760]',-,1.170,0.315,0.540,0.304,1.242,126.750
'[12:26:38.768]',-,1.110,0.375,0.495,0.306,1.224,131.293
'[12:26:38.776]',-,1.165,0.335,0.510,0.307,1.205,135.494
'[12:26:38.784]',-,1.105,0.390,0.460,0.308,1.191,139.450
'[12:26:38.792]',-,1.120,0.370,0.465,0.310,1.184,142.625
'[12:26:38.800]',-,1.125,0.355,0.445,0.310,1.180,144.920
'[12:26:38.808]',-,1.065,0.410,0.455,0.311,1.174,146.679
'[12:26:38.816]',-,1.050,0.400,0.490,0.309,1.169,148.388
'[12:26:38.824]',-,0.980,0.485,0.465,0.307,1.165,150.049
'[12:26:38.832]',-,0.960,0.490,0.480,0.304,1.163,151.563
'[12:26:38.840]',-,0.975,0.470,0.500,0.301,1.162,152.931
'[12:26:38.848]',-,0.885,0.545,0.460,0.297,1.162,154.054
'[12:26:38.856]',-,0.920,0.510,0.475,0.294,1.160,154.982
'[12:26:38.864]',-,0.900,0.520,0.500,0.290,1.154,155.910
'[12:26:38.872]',-,0.865,0.560,0.520,0.287,1.145,156.936
'[12:26:38.880]',-,0.900,0.530,0.505,0.284,1.131,158.011
'[12:26:38.888]',-,0.945,0.475,0.530,0.280,1.114,158.988
'[12:26:38.896]',-,0.900,0.520,0.535,0.276,1.101,160.013
'[12:26:38.904]',-,0.875,0.550,0.500,0.272,1.089,161.039
'[12:26:38.912]',-,0.845,0.580,0.490,0.268,1.075,162.065
'[12:26:38.920]',-,0.890,0.515,0.530,0.264,1.063,162.749
'[12:26:38.928]',-,0.930,0.485,0.525,0.260,1.051,162.944
'[12:26:38.936]',-,0.905,0.515,0.555,0.256,1.039,162.700
'[12:26:38.944]',-,0.840,0.580,0.520,0.253,1.028,162.114
'[12:26:38.952]',-,0.905,0.530,0.530,0.250,1.017,161.381
'[12:26:38.960]',-,0.880,0.540,0.500,0.248,1.008,160.502
'[12:26:38.968]',-,0.900,0.525,0.510,0.246,1.004,159.427
'[12:26:38.976]',-,0.860,0.575,0.475,0.244,1.010,158.255
'[12:26:38.984]',-,0.935,0.495,0.535,0.243,1.028,156.790
'[12:26:38.992]',-,0.920,0.510,0.505,0.243,1.059,155.080
'[12:26:39.000]',-,0.890,0.535,0.485,0.243,1.104,152.882
'[12:26:39.008]',-,0.935,0.500,0.520,0.243,1.172,150.244
'[12:26:39.016]',-,0.875,0.570,0.485,0.243,1.263,146.972
'[12:26:39.024]',-,0.890,0.535,0.515,0.244,1.370,143.260
'[12:26:39.032]',-,0.875,0.545,0.505,0.245,1.487,138.913
'[12:26:39.040]',-,0.950,0.475,0.490,0.246,1.606,134.077
'[12:26:39.048]',-,0.975,0.450,0.515,0.247,1.722,128.802
'[12:26:39.056]',-,0.905,0.515,0.510,0.249,1.832,123.576
'[12:26:39.064]',-,0.925,0.500,0.495,0.251,1.931,118.789
'[12:26:39.072]',-,0.940,0.525,0.515,0.253,2.016,115.321
'[12:26:39.080]',-,1.005,0.430,0.530,0.256,2.089,113.318
'[12:26:39.088]',-,0.940,0.490,0.500,0.260,2.152,112.732
'[12:26:39.096]',-,0.925,0.500,0.500,0.264,2.198,113.123
'[12:26:39.104]',-,0.980,0.465,0.510,0.267,2.238,113.807
'[12:26:39.112]',-,0.905,0.540,0.480,0.271,2.280,114.295
'[12:26:39.120]',-,0.895,0.530,0.505,0.274,2.323,114.442
'[12:26:39.128]',-,0.945,0.490,0.510,0.278,2.368,114.246
'[12:26:39.136]',-,0.955,0.490,0.500,0.282,2.413,113.758
'[12:26:39.144]',-,0.905,0.535,0.480,0.286,2.461,113.123
'[12:26:39.152]',-,0.945,0.490,0.495,0.290,2.511,112.488
'[12:26:39.160]',-,0.905,0.540,0.455,0.295,2.563,111.853
'[12:26:39.168]',-,0.980,0.460,0.510,0.300,2.615,111.316
'[12:26:39.176]',-,0.915,0.515,0.495,0.305,2.666,110.632
'[12:26:39.184]',-,0.975,0.455,0.515,0.310,2.714,109.655
'[12:26:39.192]',-,0.925,0.505,0.485,0.315,2.750,108.532
'[12:26:39.200]',-,0.980,0.465,0.515,0.320,2.780,107.604
'[12:26:39.208]',-,0.960,0.495,0.510,0.325,2.815,106.920
'[12:26:39.216]',-,0.955,0.500,0.505,0.329,2.849,106.285
'[12:26:39.224]',-,1.030,0.430,0.510,0.334,2.880,105.601
'[12:26:39.232]',-,1.025,0.410,0.470,0.339,2.904,104.868
'[12:26:39.240]',-,1.060,0.440,0.475,0.343,2.923,104.038
'[12:26:39.248]',-,1.005,0.470,0.435,0.348,2.934,103.159
'[12:26:39.256]',-,1.040,0.420,0.460,0.352,2.938,102.280
'[12:26:39.264]',-,1.005,0.450,0.480,0.356,2.936,101.449
'[12:26:39.272]',-,0.965,0.485,0.470,0.360,2.930,100.619
'[12:26:39.280]',-,0.950,0.480,0.500,0.362,2.915,99.789
'[12:26:39.288]',-,0.880,0.560,0.430,0.365,2.891,99.056
'[12:26:39.296]',-,0.895,0.520,0.475,0.367,2.859,98.372
'[12:26:39.304]',-,0.905,0.515,0.500,0.369,2.820,97.737
'[12:26:39.312]',-,0.930,0.485,0.510,0.370,2.769,97.102
'[12:26:39.320]',-,0.940,0.470,0.505,0.372,2.709,96.467
'[12:26:39.328]',-,0.885,0.535,0.525,0.373,2.640,95.881
'[12:26:39.336]',-,0.935,0.475,0.505,0.374,2.570,95.099
'[12:26:39.344]',-,0.950,0.465,0.515,0.375,2.500,94.416
'[12:26:39.352]',-,0.860,0.565,0.500,0.375,2.436,93.781
'[12:26:39.360]',-,0.925,0.515,0.525,0.376,2.378,93.243
'[12:26:39.368]',-,0.890,0.500,0.550,0.376,2.328,92.657
'[12:26:39.376]',-,0.940,0.515,0.560,0.376,2.284,92.315
'[12:26:39.384]',-,1.160,0.325,0.595,0.377,2.247,92.071
'[12:26:39.392]',-,1.310,0.205,0.600,0.377,2.217,91.485
'[12:26:39.400]',-,1.460,0.090,0.300,0.378,2.190,90.508
'[12:26:39.408]',-,1.465,0.215,0.105,0.379,2.159,89.678
'[12:26:39.416]',-,1.060,0.495,0.100,0.380,2.129,89.531
'[12:26:39.424]',-,0.925,0.565,0.385,0.382,2.099,89.531
'[12:26:39.432]',-,0.975,0.485,0.445,0.383,2.069,89.482
'[12:26:39.440]',-,0.875,0.560,0.435,0.385,2.038,89.482
'[12:26:39.448]',-,0.905,0.535,0.510,0.386,2.006,89.287
'[12:26:39.456]',-,0.895,0.555,0.525,0.388,1.973,89.043
'[12:26:39.464]',-,0.935,0.505,0.540,0.391,1.939,88.750
'[12:26:39.472]',-,0.895,0.535,0.530,0.393,1.907,88.359
'[12:26:39.480]',-,0.890,0.525,0.540,0.396,1.876,87.968
'[12:26:39.488]',-,0.905,0.505,0.515,0.399,1.845,87.626
'[12:26:39.496]',-,0.975,0.440,0.570,0.401,1.818,87.382
'[12:26:39.504]',-,0.920,0.515,0.545,0.404,1.795,87.138
'[12:26:39.512]',-,0.935,0.500,0.565,0.407,1.770,86.845
'[12:26:39.520]',-,0.970,0.505,0.555,0.410,1.745,86.405
'[12:26:39.528]',-,0.920,0.460,0.525,0.413,1.718,85.966
'[12:26:39.536]',-,0.905,0.525,0.530,0.418,1.692,85.428
'[12:26:39.544]',-,0.895,0.540,0.525,0.422,1.667,84.745
'[12:26:39.552]',-,0.960,0.455,0.565,0.427,1.641,83.914
'[12:26:39.560]',-,0.945,0.450,0.540,0.432,1.614,83.133
'[12:26:39.568]',-,0.990,0.490,0.530,0.438,1.585,82.449
'[12:26:39.576]',-,0.910,0.525,0.530,0.443,1.556,81.863
'[12:26:39.584]',-,0.950,0.480,0.540,0.448,1.529,81.472
'[12:26:39.592]',-,0.970,0.490,0.550,0.453,1.506,81.277
'[12:26:39.600]',-,0.930,0.515,0.500,0.458,1.487,81.277
'[12:26:39.608]',-,0.980,0.455,0.490,0.463,1.464,81.570
'[12:26:39.616]',-,1.035,0.405,0.535,0.468,1.440,82.009
'[12:26:39.624]',-,0.970,0.475,0.525,0.472,1.414,82.449
'[12:26:39.632]',-,1.015,0.435,0.560,0.476,1.389,83.133
'[12:26:39.640]',-,1.025,0.440,0.525,0.480,1.366,84.354
'[12:26:39.648]',-,1.005,0.460,0.505,0.484,1.342,86.943
'[12:26:39.656]',-,1.040,0.420,0.520,0.487,1.321,91.387
'[12:26:39.664]',-,1.085,0.370,0.530,0.491,1.300,97.688
'[12:26:39.672]',-,1.050,0.415,0.490,0.495,1.281,105.406
'[12:26:39.680]',-,1.185,0.300,0.530,0.499,1.263,113.514
'[12:26:39.688]',-,1.115,0.380,0.490,0.502,1.249,120.987
'[12:26:39.696]',-,1.165,0.385,0.485,0.505,1.240,127.190
'[12:26:39.704]',-,1.215,0.280,0.530,0.508,1.234,131.879
'[12:26:39.712]',-,1.135,0.365,0.480,0.511,1.225,135.494
'[12:26:39.720]',-,1.175,0.330,0.490,0.514,1.215,138.473
'[12:26:39.728]',-,1.105,0.385,0.435,0.516,1.204,141.257
'[12:26:39.736]',-,1.130,0.355,0.440,0.519,1.195,143.846
'[12:26:39.744]',-,1.090,0.395,0.460,0.521,1.186,146.239
'[12:26:39.752]',-,1.045,0.425,0.440,0.523,1.177,148.291
'[12:26:39.760]',-,1.000,0.460,0.450,0.524,1.169,149.951
'[12:26:39.768]',-,1.015,0.430,0.460,0.525,1.160,151.319
'[12:26:39.776]',-,0.950,0.510,0.450,0.525,1.151,152.491
'[12:26:39.784]',-,0.970,0.475,0.480,0.524,1.139,153.664
'[12:26:39.792]',-,0.930,0.505,0.450,0.523,1.131,154.738
'[12:26:39.800]',-,0.945,0.495,0.460,0.521,1.126,155.862
'[12:26:39.808]',-,0.850,0.580,0.480,0.519,1.118,156.936
'[12:26:39.816]',-,0.910,0.525,0.485,0.518,1.108,157.913
'[12:26:39.824]',-,0.900,0.535,0.465,0.516,1.095,158.890
'[12:26:39.832]',-,0.935,0.485,0.485,0.513,1.082,159.818
'[12:26:39.840]',-,0.950,0.475,0.480,0.510,1.070,160.599
'[12:26:39.848]',-,0.855,0.570,0.500,0.507,1.059,161.283
'[12:26:39.856]',-,0.900,0.535,0.485,0.504,1.046,161.869
'[12:26:39.864]',-,0.935,0.490,0.510,0.501,1.032,162.260
'[12:26:39.872]',-,0.845,0.575,0.485,0.497,1.019,162.455
'[12:26:39.880]',-,0.945,0.485,0.530,0.494,1.007,162.455
'[12:26:39.888]',-,0.895,0.530,0.475,0.491,1.000,162.260
'[12:26:39.896]',-,0.920,0.495,0.500,0.487,0.996,161.723
'[12:26:39.904]',-,0.900,0.530,0.465,0.485,0.992,160.990
'[12:26:39.912]',-,0.945,0.500,0.485,0.482,0.996,160.062
'[12:26:39.920]',-,0.895,0.545,0.495,0.480,1.013,158.792
'[12:26:39.928]',-,0.945,0.490,0.505,0.478,1.046,157.180
'[12:26:39.936]',-,0.885,0.545,0.485,0.477,1.098,155.129
'[12:26:39.944]',-,0.895,0.535,0.490,0.476,1.171,152.540
'[12:26:39.952]',-,0.925,0.505,0.465,0.475,1.264,149.512
'[12:26:39.960]',-,0.895,0.540,0.485,0.475,1.371,145.946
'[12:26:39.968]',-,0.950,0.480,0.505,0.474,1.487,141.746
'[12:26:39.976]',-,0.935,0.500,0.495,0.474,1.606,137.008
'[12:26:39.984]',-,1.010,0.430,0.510,0.474,1.722,131.879
'[12:26:39.992]',-,0.885,0.550,0.455,0.473,1.820,126.555
'[12:26:40.000]',-,0.950,0.485,0.460,0.474,1.902,121.475
'[12:26:40.008]',-,0.915,0.515,0.480,0.475,1.984,117.324
'[12:26:40.016]',-,0.905,0.490,0.485,0.477,2.063,114.442
'[12:26:40.024]',-,0.945,0.500,0.465,0.478,2.134,113.074
'[12:26:40.032]',-,0.950,0.515,0.495,0.481,2.199,112.879
'[12:26:40.040]',-,0.925,0.510,0.470,0.484,2.261,113.416
'[12:26:40.048]',-,0.950,0.495,0.485,0.488,2.321,114.100
'[12:26:40.056]',-,0.935,0.510,0.515,0.491,2.381,114.539
'[12:26:40.064]',-,1.030,0.400,0.525,0.495,2.440,114.637
'[12:26:40.072]',-,0.910,0.530,0.485,0.498,2.498,114.295
'[12:26:40.080]',-,0.950,0.475,0.490,0.501,2.553,113.758
'[12:26:40.088]',-,0.910,0.510,0.460,0.504,2.596,113.074
'[12:26:40.096]',-,0.945,0.485,0.505,0.508,2.634,112.390
'[12:26:40.104]',-,0.930,0.510,0.435,0.512,2.676,111.658
'[12:26:40.112]',-,0.975,0.470,0.490,0.516,2.720,110.974
'[12:26:40.120]',-,0.990,0.450,0.495,0.521,2.764,110.241
'[12:26:40.128]',-,0.920,0.525,0.465,0.526,2.806,109.411
'[12:26:40.136]',-,0.945,0.490,0.475,0.530,2.848,108.483
'[12:26:40.144]',-,0.960,0.480,0.485,0.534,2.887,107.555
'[12:26:40.152]',-,0.940,0.505,0.470,0.539,2.919,106.627
