'Time','II','AVR','V','RESP','PLETH','ABP'
'[14:59:45.724]',-0.155,0.510,0.390,-0.056,2.295,87.431
'[14:59:45.732]',-0.155,0.525,0.405,-0.060,2.250,86.747
'[14:59:45.740]',-0.150,0.505,0.400,-0.063,2.207,86.112
'[14:59:45.748]',-0.131,0.500,0.420,-0.066,2.165,85.428
'[14:59:45.756]',-0.110,0.480,0.430,-0.068,2.122,84.793
'[14:59:45.764]',-0.095,0.485,0.445,-0.070,2.079,84.158
'[14:59:45.772]',-0.080,0.455,0.440,-0.073,2.036,83.572
'[14:59:45.780]',-0.030,0.435,0.480,-0.075,1.993,82.937
'[14:59:45.788]',-0.015,0.415,0.480,-0.077,1.953,82.351
'[14:59:45.796]',-0.050,0.445,0.455,-0.079,1.916,81.863
'[14:59:45.804]',-0.050,0.430,0.430,-0.080,1.878,81.423
'[14:59:45.812]',-0.075,0.455,0.425,-0.082,1.840,80.984
'[14:59:45.820]',-0.110,0.475,0.400,-0.083,1.803,80.593
'[14:59:45.828]',-0.145,0.515,0.400,-0.084,1.767,80.251
'[14:59:45.836]',-0.160,0.520,0.380,-0.086,1.736,79.909
'[14:59:45.844]',-0.166,0.530,0.375,-0.087,1.709,79.469
'[14:59:45.852]',-0.166,0.525,0.385,-0.088,1.686,79.127
'[14:59:45.860]',-0.160,0.530,0.385,-0.089,1.669,78.688
'[14:59:45.868]',-0.160,0.510,0.395,-0.090,1.656,78.297
'[14:59:45.876]',-0.150,0.515,0.405,-0.091,1.646,77.906
'[14:59:45.884]',-0.140,0.505,0.410,-0.092,1.640,77.564
'[14:59:45.892]',-0.135,0.495,0.405,-0.093,1.637,77.223
'[14:59:45.900]',-0.055,0.440,0.550,-0.094,1.635,76.978
'[14:59:45.908]',0.220,0.285,0.645,-0.095,1.633,76.734
'[14:59:45.916]',0.700,0.004,0.650,-0.096,1.630,76.490
'[14:59:45.924]',0.961,-0.090,0.220,-0.096,1.626,76.197
'[14:59:45.932]',0.150,0.455,-0.186,-0.096,1.618,75.904
'[14:59:45.940]',-0.466,0.775,-0.316,-0.096,1.610,75.611
'[14:59:45.948]',-0.360,0.645,0.100,-0.096,1.601,75.318
'[14:59:45.956]',-0.185,0.510,0.370,-0.095,1.589,74.976
'[14:59:45.964]',-0.126,0.480,0.475,-0.095,1.575,74.683
'[14:59:45.972]',-0.115,0.470,0.505,-0.094,1.558,74.438
'[14:59:45.980]',-0.115,0.480,0.530,-0.093,1.540,74.243
'[14:59:45.988]',-0.110,0.465,0.525,-0.092,1.522,74.048
'[14:59:45.996]',-0.105,0.475,0.525,-0.090,1.505,73.852
'[14:59:46.004]',-0.095,0.460,0.525,-0.088,1.486,73.755
'[14:59:46.012]',-0.095,0.465,0.525,-0.086,1.465,73.559
'[14:59:46.020]',-0.080,0.450,0.525,-0.084,1.444,73.315
'[14:59:46.028]',-0.080,0.460,0.535,-0.083,1.422,73.120
'[14:59:46.036]',-0.075,0.440,0.540,-0.081,1.400,72.875
'[14:59:46.044]',-0.060,0.450,0.550,-0.079,1.378,72.631
'[14:59:46.052]',-0.055,0.435,0.555,-0.077,1.358,72.436
'[14:59:46.060]',-0.050,0.440,0.565,-0.075,1.337,72.289
'[14:59:46.068]',-0.040,0.425,0.570,-0.072,1.319,72.192
'[14:59:46.076]',-0.035,0.420,0.585,-0.070,1.300,72.045
'[14:59:46.084]',-0.020,0.410,0.595,-0.067,1.281,71.947
'[14:59:46.092]',-0.006,0.405,0.605,-0.065,1.267,71.752
'[14:59:46.100]',0.015,0.410,0.620,-0.062,1.255,71.508
'[14:59:46.108]',0.030,0.385,0.635,-0.059,1.241,71.166
'[14:59:46.116]',0.055,0.370,0.655,-0.056,1.228,70.873
'[14:59:46.124]',0.085,0.350,0.670,-0.053,1.213,70.482
'[14:59:46.132]',0.115,0.330,0.700,-0.050,1.199,70.189
'[14:59:46.140]',0.150,0.300,0.725,-0.048,1.185,69.749
'[14:59:46.148]',0.190,0.280,0.760,-0.045,1.171,69.359
'[14:59:46.156]',0.230,0.245,0.790,-0.042,1.158,69.066
'[14:59:46.164]',0.275,0.230,0.825,-0.040,1.147,68.870
'[14:59:46.172]',0.315,0.190,0.850,-0.037,1.135,69.066
'[14:59:46.180]',0.355,0.175,0.885,-0.035,1.123,69.994
'[14:59:46.188]',0.385,0.150,0.895,-0.033,1.114,72.289
'[14:59:46.196]',0.405,0.155,0.910,-0.031,1.108,76.441
'[14:59:46.204]',0.405,0.140,0.895,-0.029,1.099,82.449
'[14:59:46.212]',0.395,0.160,0.870,-0.028,1.090,89.678
'[14:59:46.220]',0.360,0.180,0.810,-0.026,1.080,97.053
'[14:59:46.228]',0.285,0.240,0.745,-0.025,1.071,103.989
'[14:59:46.236]',0.185,0.290,0.650,-0.024,1.063,110.241
'[14:59:46.244]',0.080,0.370,0.570,-0.025,1.054,115.858
'[14:59:46.252]',-0.025,0.425,0.490,-0.026,1.046,120.987
'[14:59:46.260]',-0.115,0.495,0.435,-0.029,1.039,125.187
'[14:59:46.268]',-0.175,0.525,0.390,-0.032,1.032,128.167
'[14:59:46.276]',-0.220,0.560,0.360,-0.036,1.025,129.681
'[14:59:46.284]',-0.240,0.570,0.345,-0.039,1.022,129.974
'[14:59:46.292]',-0.246,0.565,0.335,-0.044,1.022,129.193
'[14:59:46.300]',-0.246,0.575,0.340,-0.049,1.019,127.678
'[14:59:46.308]',-0.246,0.570,0.335,-0.054,1.016,125.627
'[14:59:46.316]',-0.230,0.575,0.350,-0.060,1.014,123.185
'[14:59:46.324]',-0.220,0.550,0.345,-0.067,1.011,120.547
'[14:59:46.332]',-0.211,0.555,0.360,-0.073,1.009,117.763
'[14:59:46.340]',-0.200,0.535,0.360,-0.080,1.006,114.930
'[14:59:46.348]',-0.190,0.530,0.375,-0.086,1.004,112.048
'[14:59:46.356]',-0.180,0.520,0.365,-0.092,1.001,109.362
'[14:59:46.364]',-0.180,0.530,0.375,-0.098,0.997,106.822
'[14:59:46.372]',-0.180,0.515,0.370,-0.102,0.993,104.575
'[14:59:46.380]',-0.180,0.525,0.375,-0.106,0.989,102.670
'[14:59:46.388]',-0.175,0.515,0.370,-0.109,0.987,101.156
'[14:59:46.396]',-0.175,0.525,0.375,-0.111,0.987,99.984
'[14:59:46.404]',-0.175,0.515,0.370,-0.112,0.984,99.007
'[14:59:46.412]',-0.180,0.530,0.375,-0.112,0.979,98.177
'[14:59:46.420]',-0.175,0.520,0.365,-0.111,0.974,97.493
'[14:59:46.428]',-0.180,0.530,0.370,-0.110,0.967,96.760
'[14:59:46.436]',-0.180,0.525,0.360,-0.107,0.964,95.930
'[14:59:46.444]',-0.185,0.535,0.365,-0.105,0.971,94.904
'[14:59:46.452]',-0.180,0.525,0.370,-0.101,0.992,93.732
'[14:59:46.460]',-0.190,0.530,0.360,-0.098,1.035,92.413
'[14:59:46.468]',-0.180,0.525,0.365,-0.093,1.105,91.290
'[14:59:46.476]',-0.185,0.530,0.360,-0.088,1.203,90.410
'[14:59:46.484]',-0.180,0.525,0.365,-0.082,1.310,89.922
'[14:59:46.492]',-0.185,0.530,0.360,-0.076,1.428,89.678
'[14:59:46.500]',-0.180,0.535,0.370,-0.070,1.578,89.531
'[14:59:46.508]',-0.180,0.520,0.365,-0.064,1.745,89.531
'[14:59:46.516]',-0.175,0.530,0.370,-0.058,1.918,89.531
'[14:59:46.524]',-0.175,0.520,0.370,-0.052,2.087,89.678
'[14:59:46.532]',-0.175,0.530,0.375,-0.048,2.241,89.873
'[14:59:46.540]',-0.175,0.520,0.370,-0.043,2.375,90.215
'[14:59:46.548]',-0.175,0.530,0.385,-0.040,2.485,90.557
'[14:59:46.556]',-0.171,0.515,0.375,-0.036,2.568,90.948
'[14:59:46.564]',-0.171,0.525,0.385,-0.035,2.625,91.192
'[14:59:46.572]',-0.166,0.515,0.380,-0.033,2.657,91.436
'[14:59:46.580]',-0.171,0.530,0.385,-0.033,2.667,91.632
'[14:59:46.588]',-0.160,0.510,0.385,-0.033,2.658,91.778
'[14:59:46.596]',-0.166,0.520,0.390,-0.033,2.636,91.778
'[14:59:46.604]',-0.166,0.515,0.385,-0.033,2.605,91.778
'[14:59:46.612]',-0.160,0.530,0.395,-0.033,2.567,91.632
'[14:59:46.620]',-0.160,0.510,0.390,-0.034,2.522,91.290
'[14:59:46.628]',-0.155,0.530,0.400,-0.036,2.474,90.850
'[14:59:46.636]',-0.150,0.510,0.405,-0.037,2.422,90.215
'[14:59:46.644]',-0.150,0.525,0.395,-0.040,2.369,89.629
'[14:59:46.652]',-0.150,0.505,0.405,-0.043,2.316,88.847
'[14:59:46.660]',-0.150,0.520,0.400,-0.046,2.265,88.115
'[14:59:46.668]',-0.145,0.505,0.405,-0.049,2.217,87.431
'[14:59:46.676]',-0.140,0.510,0.405,-0.052,2.171,86.698
'[14:59:46.684]',-0.120,0.485,0.420,-0.055,2.132,85.966
'[14:59:46.692]',-0.095,0.470,0.430,-0.058,2.096,85.282
'[14:59:46.700]',-0.080,0.475,0.445,-0.060,2.060,84.696
'[14:59:46.708]',-0.075,0.450,0.440,-0.061,2.022,84.061
'[14:59:46.716]',-0.046,0.460,0.470,-0.063,1.984,83.426
'[14:59:46.724]',-0.006,0.415,0.480,-0.064,1.946,82.840
'[14:59:46.732]',-0.025,0.435,0.475,-0.064,1.907,82.351
'[14:59:46.740]',-0.035,0.420,0.440,-0.065,1.868,81.814
'[14:59:46.748]',-0.050,0.435,0.445,-0.065,1.829,81.277
'[14:59:46.756]',-0.091,0.455,0.410,-0.065,1.792,80.788
'[14:59:46.764]',-0.135,0.500,0.415,-0.065,1.758,80.349
'[14:59:46.772]',-0.150,0.505,0.395,-0.065,1.726,80.007
'[14:59:46.780]',-0.155,0.525,0.395,-0.065,1.699,79.616
'[14:59:46.788]',-0.155,0.505,0.390,-0.065,1.679,79.225
'[14:59:46.796]',-0.150,0.520,0.405,-0.065,1.664,78.883
'[14:59:46.804]',-0.140,0.500,0.395,-0.065,1.650,78.492
'[14:59:46.812]',-0.135,0.510,0.405,-0.065,1.639,78.102
'[14:59:46.820]',-0.131,0.495,0.415,-0.065,1.631,77.760
'[14:59:46.828]',-0.131,0.500,0.410,-0.065,1.627,77.369
'[14:59:46.836]',-0.086,0.445,0.500,-0.065,1.625,77.027
'[14:59:46.844]',0.100,0.355,0.640,-0.065,1.623,76.734
'[14:59:46.852]',0.520,0.105,0.665,-0.064,1.621,76.490
'[14:59:46.860]',0.950,-0.086,0.380,-0.063,1.618,76.246
'[14:59:46.868]',0.575,0.195,-0.025,-0.061,1.614,75.904
'[14:59:46.876]',-0.345,0.735,-0.296,-0.060,1.609,75.611
'[14:59:46.884]',-0.456,0.765,-0.035,-0.058,1.604,75.318
'[14:59:46.892]',-0.225,0.540,0.310,-0.056,1.598,74.976
'[14:59:46.900]',-0.131,0.475,0.460,-0.054,1.588,74.683
'[14:59:46.908]',-0.110,0.460,0.510,-0.051,1.576,74.341
'[14:59:46.916]',-0.105,0.485,0.540,-0.049,1.560,74.097
'[14:59:46.924]',-0.105,0.465,0.535,-0.047,1.543,73.852
'[14:59:46.932]',-0.095,0.485,0.545,-0.044,1.525,73.608
'[14:59:46.940]',-0.086,0.460,0.525,-0.042,1.506,73.413
'[14:59:46.948]',-0.080,0.465,0.540,-0.039,1.486,73.315
'[14:59:46.956]',-0.080,0.445,0.530,-0.037,1.465,73.120
'[14:59:46.964]',-0.080,0.460,0.545,-0.034,1.444,72.924
'[14:59:46.972]',-0.075,0.450,0.545,-0.032,1.423,72.729
'[14:59:46.980]',-0.065,0.460,0.560,-0.029,1.403,72.533
'[14:59:46.988]',-0.055,0.435,0.560,-0.025,1.386,72.387
'[14:59:46.996]',-0.050,0.445,0.570,-0.022,1.372,72.192
'[14:59:47.004]',-0.046,0.425,0.570,-0.018,1.357,71.996
'[14:59:47.012]',-0.035,0.430,0.590,-0.015,1.341,71.801
'[14:59:47.020]',-0.015,0.405,0.595,-0.012,1.324,71.605
'[14:59:47.028]',-0.006,0.415,0.610,-0.009,1.307,71.410
'[14:59:47.036]',0.015,0.385,0.620,-0.005,1.290,71.215
'[14:59:47.044]',0.030,0.390,0.635,-0.001,1.274,70.970
'[14:59:47.052]',0.050,0.365,0.650,0.003,1.258,70.726
'[14:59:47.060]',0.075,0.360,0.665,0.007,1.244,70.433
'[14:59:47.068]',0.100,0.330,0.690,0.012,1.232,70.091
'[14:59:47.076]',0.130,0.320,0.715,0.016,1.218,69.652
'[14:59:47.084]',0.170,0.280,0.740,0.020,1.209,69.310
'[14:59:47.092]',0.205,0.270,0.770,0.024,1.203,68.870
'[14:59:47.100]',0.255,0.230,0.810,0.028,1.196,68.528
'[14:59:47.108]',0.300,0.210,0.835,0.033,1.187,68.479
'[14:59:47.116]',0.340,0.185,0.870,0.037,1.177,68.968
'[14:59:47.124]',0.370,0.165,0.885,0.042,1.167,70.482
'[14:59:47.132]',0.390,0.170,0.900,0.047,1.156,73.559
'[14:59:47.140]',0.410,0.145,0.891,0.051,1.146,78.590
'[14:59:47.148]',0.405,0.160,0.875,0.056,1.135,85.282
'[14:59:47.156]',0.380,0.175,0.820,0.060,1.125,92.657
'[14:59:47.164]',0.315,0.225,0.770,0.064,1.115,99.789
'[14:59:47.172]',0.225,0.270,0.675,0.067,1.107,106.285
'[14:59:47.180]',0.115,0.355,0.600,0.070,1.099,112.195
'[14:59:47.188]',0.000,0.410,0.505,0.072,1.095,117.568
'[14:59:47.196]',-0.091,0.485,0.450,0.075,1.093,122.306
'[14:59:47.204]',-0.160,0.510,0.390,0.075,1.089,125.969
'[14:59:47.212]',-0.206,0.555,0.360,0.076,1.085,128.362
'[14:59:47.220]',-0.240,0.565,0.340,0.075,1.080,129.290
'[14:59:47.228]',-0.256,0.585,0.335,0.074,1.075,129.046
'[14:59:47.236]',-0.256,0.570,0.325,0.073,1.070,127.972
'[14:59:47.244]',-0.251,0.580,0.335,0.071,1.065,126.262
'[14:59:47.252]',-0.246,0.560,0.335,0.070,1.062,124.015
'[14:59:47.260]',-0.230,0.570,0.345,0.068,1.059,121.378
'[14:59:47.268]',-0.220,0.550,0.350,0.067,1.056,118.593
'[14:59:47.276]',-0.206,0.540,0.345,0.065,1.052,115.761
'[14:59:47.284]',-0.200,0.545,0.360,0.063,1.052,112.879
'[14:59:47.292]',-0.195,0.530,0.355,0.061,1.053,109.997
'[14:59:47.300]',-0.185,0.545,0.365,0.061,1.052,107.310
'[14:59:47.308]',-0.185,0.520,0.360,0.061,1.050,104.868
'[14:59:47.316]',-0.185,0.535,0.365,0.063,1.046,102.719
'[14:59:47.324]',-0.190,0.525,0.360,0.065,1.042,101.010
'[14:59:47.332]',-0.185,0.540,0.365,0.067,1.037,99.593
'[14:59:47.340]',-0.175,0.520,0.360,0.069,1.032,98.470
'[14:59:47.348]',-0.180,0.535,0.365,0.073,1.025,97.542
'[14:59:47.356]',-0.195,0.525,0.355,0.076,1.030,96.760
'[14:59:47.364]',-0.190,0.535,0.360,0.082,1.042,95.979
'[14:59:47.372]',-0.195,0.530,0.350,0.088,1.048,95.246
'[14:59:47.380]',-0.195,0.540,0.360,0.095,1.057,94.318
'[14:59:47.388]',-0.195,0.530,0.350,0.103,1.074,93.195
'[14:59:47.396]',-0.195,0.550,0.360,0.111,1.107,91.925
'[14:59:47.404]',-0.200,0.535,0.345,0.119,1.161,90.655
'[14:59:47.412]',-0.200,0.555,0.355,0.128,1.244,89.678
'[14:59:47.420]',-0.200,0.535,0.345,0.136,1.358,89.043
'[14:59:47.428]',-0.200,0.550,0.355,0.146,1.501,88.750
'[14:59:47.436]',-0.195,0.530,0.345,0.156,1.670,88.701
'[14:59:47.444]',-0.195,0.545,0.355,0.167,1.854,88.701
'[14:59:47.452]',-0.195,0.530,0.360,0.178,2.046,88.603
'[14:59:47.460]',-0.195,0.545,0.350,0.188,2.235,88.701
'[14:59:47.468]',-0.190,0.530,0.365,0.199,2.411,88.799
'[14:59:47.476]',-0.185,0.540,0.360,0.209,2.567,89.189
'[14:59:47.484]',-0.185,0.545,0.375,0.219,2.683,89.629
'[14:59:47.492]',-0.190,0.535,0.365,0.227,2.767,90.117
'[14:59:47.500]',-0.190,0.545,0.380,0.235,2.840,90.557
'[14:59:47.508]',-0.185,0.530,0.365,0.242,2.891,90.850
'[14:59:47.516]',-0.175,0.535,0.375,0.250,2.921,91.094
'[14:59:47.524]',-0.175,0.520,0.365,0.255,2.930,91.290
'[14:59:47.532]',-0.175,0.535,0.385,0.262,2.920,91.436
'[14:59:47.540]',-0.175,0.520,0.380,0.267,2.895,91.387
'[14:59:47.548]',-0.175,0.530,0.385,0.273,2.859,91.241
'[14:59:47.556]',-0.175,0.515,0.380,0.277,2.814,90.997
'[14:59:47.564]',-0.171,0.530,0.390,0.282,2.764,90.557
'[14:59:47.572]',-0.166,0.510,0.385,0.286,2.711,89.971
'[14:59:47.580]',-0.171,0.525,0.395,0.290,2.657,89.385
'[14:59:47.588]',-0.160,0.505,0.385,0.294,2.606,88.603
'[14:59:47.596]',-0.166,0.525,0.395,0.299,2.558,87.919
'[14:59:47.604]',-0.145,0.495,0.395,0.303,2.509,87.187
'[14:59:47.612]',-0.120,0.500,0.420,0.307,2.461,86.503
'[14:59:47.620]',-0.110,0.475,0.425,0.312,2.416,85.721
'[14:59:47.628]',-0.100,0.480,0.435,0.317,2.373,84.989
'[14:59:47.636]',-0.080,0.450,0.445,0.323,2.332,84.305
'[14:59:47.644]',-0.030,0.435,0.475,0.330,2.290,83.670
'[14:59:47.652]',-0.020,0.425,0.480,0.334,2.248,83.035
'[14:59:47.660]',-0.055,0.450,0.445,0.340,2.206,82.547
'[14:59:47.668]',-0.060,0.435,0.425,0.344,2.163,82.058
'[14:59:47.676]',-0.095,0.470,0.410,0.349,2.119,81.570
'[14:59:47.684]',-0.135,0.495,0.400,0.355,2.080,81.130
'[14:59:47.692]',-0.160,0.525,0.385,0.361,2.044,80.593
'[14:59:47.700]',-0.171,0.530,0.380,0.368,2.008,80.153
'[14:59:47.708]',-0.171,0.520,0.370,0.376,1.974,79.665
'[14:59:47.716]',-0.171,0.530,0.385,0.382,1.944,79.323
'[14:59:47.724]',-0.171,0.515,0.380,0.389,1.919,78.883
'[14:59:47.732]',-0.155,0.530,0.400,0.395,1.898,78.492
'[14:59:47.740]',-0.150,0.505,0.395,0.401,1.882,78.199
'[14:59:47.748]',-0.140,0.515,0.405,0.408,1.870,77.809
'[14:59:47.756]',-0.115,0.470,0.455,0.416,1.862,77.418
'[14:59:47.764]',0.020,0.405,0.610,0.424,1.857,77.125
'[14:59:47.772]',0.390,0.180,0.670,0.432,1.855,76.783
'[14:59:47.780]',0.870,-0.070,0.520,0.441,1.855,76.490
'[14:59:47.788]',0.955,-0.090,0.115,0.450,1.856,76.197
'[14:59:47.796]',-0.206,0.655,-0.240,0.459,1.856,75.855
'[14:59:47.804]',-0.470,0.765,-0.281,0.468,1.855,75.611
'[14:59:47.812]',-0.310,0.605,0.195,0.477,1.853,75.318
'[14:59:47.820]',-0.166,0.490,0.405,0.485,1.849,75.073
'[14:59:47.828]',-0.131,0.485,0.485,0.492,1.843,74.780
'[14:59:47.836]',-0.120,0.470,0.510,0.500,1.834,74.536
'[14:59:47.844]',-0.115,0.480,0.535,0.509,1.821,74.292
'[14:59:47.852]',-0.115,0.465,0.540,0.517,1.805,74.048
'[14:59:47.860]',-0.110,0.485,0.520,0.527,1.788,73.803
'[14:59:47.868]',-0.105,0.460,0.525,0.537,1.769,73.608
'[14:59:47.876]',-0.100,0.475,0.515,0.545,1.749,73.413
'[14:59:47.884]',-0.086,0.455,0.530,0.554,1.732,73.315
'[14:59:47.892]',-0.080,0.460,0.525,0.562,1.717,73.120
'[14:59:47.900]',-0.080,0.455,0.550,0.569,1.698,72.875
'[14:59:47.908]',-0.075,0.450,0.555,0.578,1.676,72.680
