'Time','II','III','AVR','V','RESP','PLETH','ABP'
'[13:13:43.632]',0.105,-,0.574,0.779,0.431,0.635,86.636
'[13:13:43.640]',0.111,-,0.570,0.789,0.429,0.621,86.050
'[13:13:43.648]',0.111,-,0.564,0.789,0.427,0.608,85.463
'[13:13:43.656]',0.111,-,0.570,0.805,0.424,0.596,84.876
'[13:13:43.664]',0.090,-,0.580,0.840,0.422,0.585,84.485
'[13:13:43.672]',0.080,-,0.596,0.900,0.420,0.575,84.094
'[13:13:43.680]',0.260,-,0.484,0.834,0.417,0.566,83.703
'[13:13:43.688]',0.535,-,0.314,0.641,0.415,0.558,83.507
'[13:13:43.696]',0.766,-,0.150,0.371,0.413,0.551,83.312
'[13:13:43.704]',0.895,-,0.031,0.150,0.412,0.544,82.921
'[13:13:43.712]',0.914,-,0.006,0.096,0.411,0.539,82.529
'[13:13:43.720]',0.480,-,0.215,0.240,0.409,0.532,81.943
'[13:13:43.728]',0.156,-,0.400,0.404,0.408,0.526,81.356
'[13:13:43.736]',-0.020,-,0.520,0.555,0.406,0.519,80.965
'[13:13:43.744]',-0.125,-,0.615,0.680,0.405,0.511,80.574
'[13:13:43.752]',-0.148,-,0.660,0.770,0.404,0.504,80.378
'[13:13:43.760]',-0.094,-,0.664,0.824,0.403,0.498,80.574
'[13:13:43.768]',-0.059,-,0.664,0.855,0.402,0.491,80.769
'[13:13:43.776]',-0.014,-,0.645,0.869,0.401,0.485,80.769
'[13:13:43.784]',0.031,-,0.619,0.875,0.400,0.479,80.183
'[13:13:43.792]',0.061,-,0.605,0.865,0.399,0.473,79.596
'[13:13:43.800]',0.086,-,0.600,0.869,0.398,0.467,79.009
'[13:13:43.808]',0.105,-,0.580,0.859,0.398,0.462,78.618
'[13:13:43.816]',0.121,-,0.574,0.859,0.397,0.458,79.009
'[13:13:43.824]',0.121,-,0.580,0.859,0.396,0.456,79.400
'[13:13:43.832]',0.125,-,0.574,0.855,0.395,0.451,79.400
'[13:13:43.840]',0.131,-,0.574,0.844,0.394,0.446,78.814
'[13:13:43.848]',0.135,-,0.574,0.840,0.393,0.441,78.227
'[13:13:43.856]',0.141,-,0.564,0.834,0.392,0.436,77.640
'[13:13:43.864]',0.141,-,0.561,0.834,0.390,0.430,77.445
'[13:13:43.872]',0.156,-,0.555,0.834,0.388,0.424,77.249
'[13:13:43.880]',0.160,-,0.555,0.834,0.386,0.417,76.858
'[13:13:43.888]',0.156,-,0.555,0.834,0.384,0.412,76.662
'[13:13:43.896]',0.166,-,0.545,0.830,0.382,0.406,76.467
'[13:13:43.904]',0.166,-,0.545,0.844,0.380,0.399,76.271
'[13:13:43.912]',0.170,-,0.551,0.834,0.377,0.394,76.271
'[13:13:43.920]',0.170,-,0.539,0.830,0.374,0.389,76.076
'[13:13:43.928]',0.176,-,0.539,0.834,0.370,0.383,75.880
'[13:13:43.936]',0.180,-,0.545,0.830,0.367,0.377,75.489
'[13:13:43.944]',0.180,-,0.539,0.824,0.363,0.371,75.293
'[13:13:43.952]',0.189,-,0.535,0.830,0.359,0.368,74.902
'[13:13:43.960]',0.189,-,0.529,0.834,0.355,0.364,74.316
'[13:13:43.968]',0.195,-,0.529,0.844,0.351,0.360,73.924
'[13:13:43.976]',0.201,-,0.529,0.859,0.347,0.355,73.729
'[13:13:43.984]',0.211,-,0.525,0.865,0.343,0.351,73.533
'[13:13:43.992]',0.215,-,0.510,0.865,0.339,0.346,73.338
'[13:13:44.000]',0.230,-,0.500,0.869,0.335,0.342,73.142
'[13:13:44.008]',0.240,-,0.494,0.865,0.332,0.337,72.947
'[13:13:44.016]',0.246,-,0.484,0.865,0.328,0.332,73.142
'[13:13:44.024]',0.260,-,0.480,0.850,0.326,0.327,73.533
'[13:13:44.032]',0.270,-,0.465,0.840,0.323,0.324,73.729
'[13:13:44.040]',0.295,-,0.455,0.820,0.320,0.319,74.120
'[13:13:44.048]',0.305,-,0.445,0.805,0.317,0.316,75.098
'[13:13:44.056]',0.311,-,0.439,0.785,0.314,0.313,76.662
'[13:13:44.064]',0.305,-,0.439,0.770,0.311,0.311,79.009
'[13:13:44.072]',0.291,-,0.455,0.766,0.308,0.309,81.943
'[13:13:44.080]',0.270,-,0.465,0.766,0.306,0.306,85.463
'[13:13:44.088]',0.240,-,0.480,0.760,0.304,0.303,89.374
'[13:13:44.096]',0.230,-,0.484,0.754,0.302,0.300,93.677
'[13:13:44.104]',0.211,-,0.500,0.744,0.301,0.297,98.370
'[13:13:44.112]',0.195,-,0.510,0.730,0.299,0.294,102.868
'[13:13:44.120]',0.189,-,0.516,0.715,0.298,0.290,106.975
'[13:13:44.128]',0.189,-,0.516,0.709,0.297,0.285,110.887
'[13:13:44.136]',0.170,-,0.525,0.699,0.296,0.281,114.602
'[13:13:44.144]',0.166,-,0.529,0.705,0.295,0.277,117.927
'[13:13:44.152]',0.160,-,0.539,0.705,0.294,0.275,120.861
'[13:13:44.160]',0.160,-,0.539,0.699,0.293,0.273,123.012
'[13:13:44.168]',0.156,-,0.545,0.699,0.292,0.271,124.772
'[13:13:44.176]',0.160,-,0.545,0.705,0.291,0.269,125.945
'[13:13:44.184]',0.150,-,0.539,0.705,0.290,0.266,127.119
'[13:13:44.192]',0.150,-,0.539,0.709,0.288,0.264,127.510
'[13:13:44.200]',0.150,-,0.539,0.725,0.286,0.262,127.510
'[13:13:44.208]',0.156,-,0.539,0.740,0.285,0.260,126.923
'[13:13:44.216]',0.160,-,0.535,0.750,0.283,0.259,125.750
'[13:13:44.224]',0.160,-,0.535,0.754,0.282,0.257,123.990
'[13:13:44.232]',0.156,-,0.539,0.766,0.279,0.255,121.643
'[13:13:44.240]',0.150,-,0.545,0.775,0.277,0.254,118.709
'[13:13:44.248]',0.156,-,0.535,0.785,0.275,0.253,115.385
'[13:13:44.256]',0.156,-,0.539,0.785,0.273,0.254,111.669
'[13:13:44.264]',0.156,-,0.545,0.779,0.271,0.254,107.953
'[13:13:44.272]',0.156,-,0.539,0.775,0.268,0.255,104.042
'[13:13:44.280]',0.156,-,0.535,0.775,0.266,0.258,100.522
'[13:13:44.288]',0.160,-,0.535,0.770,0.264,0.263,97.393
'[13:13:44.296]',0.160,-,0.535,0.775,0.262,0.272,94.850
'[13:13:44.304]',0.160,-,0.535,0.775,0.260,0.285,92.699
'[13:13:44.312]',0.166,-,0.529,0.766,0.259,0.303,91.134
'[13:13:44.320]',0.166,-,0.529,0.766,0.257,0.325,89.961
'[13:13:44.328]',0.170,-,0.525,0.766,0.257,0.350,88.983
'[13:13:44.336]',0.166,-,0.525,0.775,0.256,0.378,88.592
'[13:13:44.344]',0.166,-,0.529,0.770,0.256,0.408,88.396
'[13:13:44.352]',0.176,-,0.525,0.775,0.257,0.434,88.592
'[13:13:44.360]',0.180,-,0.525,0.775,0.257,0.457,88.983
'[13:13:44.368]',0.170,-,0.525,0.775,0.257,0.481,89.374
'[13:13:44.376]',0.166,-,0.529,0.785,0.257,0.504,89.765
'[13:13:44.384]',0.176,-,0.525,0.789,0.257,0.527,89.961
'[13:13:44.392]',0.180,-,0.516,0.795,0.257,0.547,90.352
'[13:13:44.400]',0.201,-,0.506,0.799,0.257,0.567,90.352
'[13:13:44.408]',0.211,-,0.500,0.795,0.257,0.587,90.352
'[13:13:44.416]',0.221,-,0.484,0.799,0.257,0.607,90.352
'[13:13:44.424]',0.221,-,0.480,0.779,0.258,0.627,90.157
'[13:13:44.432]',0.230,-,0.475,0.766,0.258,0.645,90.157
'[13:13:44.440]',0.246,-,0.461,0.766,0.259,0.663,89.961
'[13:13:44.448]',0.234,-,0.461,0.766,0.260,0.676,89.961
'[13:13:44.456]',0.211,-,0.480,0.766,0.261,0.687,89.765
'[13:13:44.464]',0.186,-,0.494,0.770,0.262,0.697,89.570
'[13:13:44.472]',0.160,-,0.525,0.789,0.262,0.703,89.374
'[13:13:44.480]',0.131,-,0.539,0.789,0.263,0.704,88.983
'[13:13:44.488]',0.115,-,0.551,0.789,0.265,0.702,88.788
'[13:13:44.496]',0.096,-,0.564,0.789,0.266,0.694,88.396
'[13:13:44.504]',0.090,-,0.570,0.789,0.269,0.684,88.005
'[13:13:44.512]',0.096,-,0.564,0.785,0.271,0.672,87.614
'[13:13:44.520]',0.096,-,0.570,0.779,0.275,0.658,87.223
'[13:13:44.528]',0.096,-,0.574,0.770,0.278,0.644,86.636
'[13:13:44.536]',0.096,-,0.574,0.766,0.282,0.630,86.245
'[13:13:44.544]',0.096,-,0.574,0.760,0.286,0.619,85.658
'[13:13:44.552]',0.096,-,0.570,0.754,0.289,0.609,85.267
'[13:13:44.560]',0.064,-,0.596,0.811,0.293,0.600,84.681
'[13:13:44.568]',0.125,-,0.561,0.834,0.295,0.592,84.289
'[13:13:44.576]',0.346,-,0.426,0.695,0.298,0.584,83.703
'[13:13:44.584]',0.635,-,0.246,0.471,0.300,0.576,83.116
'[13:13:44.592]',0.811,-,0.100,0.205,0.302,0.567,82.725
'[13:13:44.600]',0.900,-,0.006,0.051,0.303,0.559,82.529
'[13:13:44.608]',0.730,-,0.080,0.045,0.304,0.552,82.138
'[13:13:44.616]',0.305,-,0.311,0.279,0.305,0.544,81.747
'[13:13:44.624]',0.055,-,0.461,0.449,0.307,0.537,81.356
'[13:13:44.632]',-0.080,-,0.561,0.596,0.307,0.529,81.160
'[13:13:44.640]',-0.154,-,0.641,0.709,0.308,0.520,80.965
'[13:13:44.648]',-0.129,-,0.664,0.799,0.307,0.514,80.965
'[13:13:44.656]',-0.094,-,0.664,0.850,0.307,0.509,80.769
'[13:13:44.664]',-0.049,-,0.650,0.879,0.305,0.504,80.574
'[13:13:44.672]',0.006,-,0.629,0.900,0.303,0.500,80.183
'[13:13:44.680]',0.051,-,0.609,0.904,0.300,0.495,79.987
'[13:13:44.688]',0.064,-,0.605,0.914,0.297,0.490,79.791
'[13:13:44.696]',0.090,-,0.596,0.930,0.293,0.484,79.596
'[13:13:44.704]',0.111,-,0.580,0.945,0.289,0.478,79.400
'[13:13:44.712]',0.115,-,0.580,0.949,0.285,0.471,79.205
'[13:13:44.720]',0.121,-,0.574,0.959,0.282,0.463,79.009
'[13:13:44.728]',0.125,-,0.574,0.936,0.279,0.457,79.009
'[13:13:44.736]',0.131,-,0.574,0.904,0.275,0.450,78.814
'[13:13:44.744]',0.131,-,0.570,0.879,0.271,0.443,78.618
'[13:13:44.752]',0.141,-,0.570,0.865,0.267,0.437,78.422
'[13:13:44.760]',0.145,-,0.561,0.855,0.263,0.431,78.227
'[13:13:44.768]',0.150,-,0.564,0.850,0.259,0.425,77.836
'[13:13:44.776]',0.150,-,0.561,0.844,0.256,0.419,77.445
'[13:13:44.784]',0.150,-,0.555,0.840,0.252,0.413,77.054
'[13:13:44.792]',0.160,-,0.561,0.850,0.249,0.409,76.858
'[13:13:44.800]',0.160,-,0.555,0.855,0.246,0.403,76.662
'[13:13:44.808]',0.166,-,0.561,0.859,0.243,0.398,76.467
'[13:13:44.816]',0.166,-,0.545,0.865,0.241,0.391,75.880
'[13:13:44.824]',0.170,-,0.551,0.865,0.239,0.385,75.489
'[13:13:44.832]',0.170,-,0.551,0.869,0.238,0.378,75.293
'[13:13:44.840]',0.170,-,0.551,0.875,0.237,0.372,74.902
'[13:13:44.848]',0.176,-,0.551,0.875,0.235,0.367,74.707
'[13:13:44.856]',0.186,-,0.545,0.879,0.234,0.363,74.316
'[13:13:44.864]',0.186,-,0.539,0.889,0.234,0.359,74.316
'[13:13:44.872]',0.189,-,0.539,0.895,0.233,0.356,74.120
'[13:13:44.880]',0.201,-,0.535,0.900,0.232,0.353,74.120
'[13:13:44.888]',0.215,-,0.529,0.904,0.232,0.349,73.924
'[13:13:44.896]',0.221,-,0.516,0.904,0.232,0.345,73.924
'[13:13:44.904]',0.240,-,0.506,0.895,0.232,0.341,73.924
'[13:13:44.912]',0.260,-,0.484,0.885,0.233,0.336,73.924
'[13:13:44.920]',0.275,-,0.475,0.875,0.233,0.332,74.120
'[13:13:44.928]',0.291,-,0.461,0.859,0.234,0.327,74.511
'[13:13:44.936]',0.311,-,0.455,0.830,0.236,0.324,75.098
'[13:13:44.944]',0.320,-,0.445,0.811,0.237,0.321,76.271
'[13:13:44.952]',0.324,-,0.445,0.795,0.238,0.318,78.227
'[13:13:44.960]',0.311,-,0.455,0.779,0.239,0.316,80.769
'[13:13:44.968]',0.291,-,0.461,0.766,0.240,0.313,84.094
'[13:13:44.976]',0.270,-,0.480,0.766,0.241,0.309,87.810
'[13:13:44.984]',0.250,-,0.490,0.760,0.242,0.306,91.917
'[13:13:44.992]',0.230,-,0.506,0.760,0.243,0.303,96.415
'[13:13:45.000]',0.215,-,0.516,0.766,0.243,0.300,101.108
'[13:13:45.008]',0.205,-,0.520,0.754,0.243,0.297,105.606
'[13:13:45.016]',0.189,-,0.529,0.766,0.243,0.295,109.909
'[13:13:45.024]',0.180,-,0.535,0.766,0.242,0.293,114.016
'[13:13:45.032]',0.170,-,0.535,0.770,0.242,0.290,117.731
'[13:13:45.040]',0.166,-,0.539,0.775,0.242,0.287,120.861
'[13:13:45.048]',0.166,-,0.539,0.779,0.241,0.284,123.207
'[13:13:45.056]',0.166,-,0.545,0.785,0.241,0.283,125.163
'[13:13:45.064]',0.160,-,0.545,0.785,0.240,0.280,126.336
'[13:13:45.072]',0.156,-,0.551,0.785,0.240,0.276,127.119
'[13:13:45.080]',0.150,-,0.551,0.789,0.239,0.272,127.705
'[13:13:45.088]',0.160,-,0.545,0.789,0.239,0.268,127.705
'[13:13:45.096]',0.156,-,0.551,0.779,0.238,0.265,127.314
'[13:13:45.104]',0.156,-,0.545,0.779,0.237,0.263,126.532
'[13:13:45.112]',0.160,-,0.551,0.785,0.237,0.263,125.359
'[13:13:45.120]',0.166,-,0.545,0.775,0.236,0.263,123.599
'[13:13:45.128]',0.166,-,0.545,0.779,0.236,0.263,121.447
'[13:13:45.136]',0.166,-,0.545,0.779,0.236,0.261,118.709
'[13:13:45.144]',0.156,-,0.551,0.779,0.236,0.262,115.385
'[13:13:45.152]',0.150,-,0.539,0.779,0.236,0.263,111.669
'[13:13:45.160]',0.160,-,0.545,0.775,0.237,0.264,107.953
'[13:13:45.168]',0.156,-,0.545,0.770,0.238,0.265,104.237
'[13:13:45.176]',0.150,-,0.551,0.770,0.239,0.269,100.717
'[13:13:45.184]',0.150,-,0.551,0.779,0.240,0.277,97.393
'[13:13:45.192]',0.145,-,0.551,0.775,0.242,0.288,94.263
'[13:13:45.200]',0.145,-,0.551,0.779,0.243,0.304,91.917
'[13:13:45.208]',0.145,-,0.551,0.779,0.245,0.325,90.352
'[13:13:45.216]',0.141,-,0.551,0.779,0.246,0.348,89.374
'[13:13:45.224]',0.141,-,0.551,0.785,0.248,0.374,88.983
'[13:13:45.232]',0.150,-,0.551,0.775,0.250,0.403,88.788
'[13:13:45.240]',0.150,-,0.545,0.775,0.252,0.432,88.983
'[13:13:45.248]',0.150,-,0.545,0.779,0.255,0.458,89.374
'[13:13:45.256]',0.150,-,0.539,0.779,0.257,0.482,89.765
'[13:13:45.264]',0.156,-,0.539,0.779,0.259,0.507,90.157
'[13:13:45.272]',0.156,-,0.539,0.779,0.261,0.533,90.352
'[13:13:45.280]',0.166,-,0.535,0.779,0.262,0.558,90.548
'[13:13:45.288]',0.170,-,0.529,0.785,0.263,0.582,90.548
'[13:13:45.296]',0.195,-,0.516,0.785,0.265,0.606,90.743
'[13:13:45.304]',0.211,-,0.506,0.775,0.265,0.629,90.743
'[13:13:45.312]',0.230,-,0.494,0.775,0.266,0.651,90.743
'[13:13:45.320]',0.234,-,0.490,0.760,0.267,0.673,90.548
'[13:13:45.328]',0.246,-,0.475,0.740,0.268,0.692,90.352
'[13:13:45.336]',0.266,-,0.461,0.734,0.268,0.711,90.352
'[13:13:45.344]',0.270,-,0.455,0.730,0.269,0.724,90.352
'[13:13:45.352]',0.246,-,0.465,0.725,0.269,0.735,90.157
'[13:13:45.360]',0.225,-,0.480,0.730,0.270,0.744,89.961
'[13:13:45.368]',0.201,-,0.506,0.744,0.270,0.749,89.765
'[13:13:45.376]',0.186,-,0.525,0.760,0.270,0.751,89.374
'[13:13:45.384]',0.170,-,0.529,0.766,0.270,0.748,88.983
'[13:13:45.392]',0.145,-,0.539,0.766,0.271,0.741,88.788
'[13:13:45.400]',0.141,-,0.551,0.766,0.271,0.730,88.201
'[13:13:45.408]',0.141,-,0.551,0.766,0.271,0.717,87.810
'[13:13:45.416]',0.141,-,0.551,0.766,0.271,0.702,87.419
'[13:13:45.424]',0.141,-,0.555,0.770,0.271,0.685,87.027
'[13:13:45.432]',0.150,-,0.551,0.766,0.271,0.670,86.636
'[13:13:45.440]',0.156,-,0.551,0.766,0.271,0.655,86.245
'[13:13:45.448]',0.156,-,0.551,0.766,0.272,0.643,85.658
'[13:13:45.456]',0.131,-,0.570,0.799,0.272,0.633,85.267
'[13:13:45.464]',0.121,-,0.574,0.840,0.273,0.624,84.681
'[13:13:45.472]',0.320,-,0.455,0.754,0.275,0.615,84.289
'[13:13:45.480]',0.609,-,0.270,0.551,0.276,0.606,83.898
'[13:13:45.488]',0.820,-,0.121,0.295,0.278,0.598,83.507
'[13:13:45.496]',0.949,-,0.006,0.086,0.281,0.589,83.116
'[13:13:45.504]',0.965,-,-0.014,0.045,0.283,0.582,82.725
'[13:13:45.512]',0.529,-,0.201,0.205,0.285,0.573,82.725
'[13:13:45.520]',0.195,-,0.391,0.391,0.287,0.564,82.529
'[13:13:45.528]',0.031,-,0.506,0.539,0.290,0.556,82.334
'[13:13:45.536]',-0.064,-,0.590,0.660,0.293,0.548,81.943
'[13:13:45.544]',-0.084,-,0.629,0.754,0.296,0.542,81.747
'[13:13:45.552]',-0.025,-,0.629,0.811,0.299,0.537,81.356
'[13:13:45.560]',0.010,-,0.619,0.834,0.302,0.531,81.160
'[13:13:45.568]',0.064,-,0.605,0.850,0.306,0.525,80.965
'[13:13:45.576]',0.100,-,0.590,0.855,0.309,0.519,80.769
'[13:13:45.584]',0.135,-,0.574,0.844,0.312,0.512,80.574
'[13:13:45.592]',0.156,-,0.564,0.850,0.315,0.505,80.574
'[13:13:45.600]',0.170,-,0.561,0.855,0.318,0.499,80.378
'[13:13:45.608]',0.176,-,0.551,0.865,0.322,0.492,80.378
'[13:13:45.616]',0.180,-,0.551,0.869,0.325,0.484,80.183
'[13:13:45.624]',0.189,-,0.545,0.859,0.328,0.477,79.987
'[13:13:45.632]',0.195,-,0.539,0.859,0.332,0.470,79.791
'[13:13:45.640]',0.205,-,0.539,0.859,0.336,0.463,79.400
'[13:13:45.648]',0.205,-,0.535,0.859,0.341,0.457,79.205
'[13:13:45.656]',0.211,-,0.529,0.844,0.346,0.452,79.009
'[13:13:45.664]',0.215,-,0.525,0.824,0.351,0.446,78.814
'[13:13:45.672]',0.225,-,0.520,0.814,0.356,0.440,78.422
'[13:13:45.680]',0.230,-,0.525,0.811,0.362,0.434,78.031
'[13:13:45.688]',0.234,-,0.520,0.795,0.367,0.428,77.640
'[13:13:45.696]',0.234,-,0.516,0.750,0.371,0.423,77.445
'[13:13:45.704]',0.234,-,0.520,0.695,0.377,0.416,77.249
'[13:13:45.712]',0.240,-,0.520,0.664,0.383,0.410,77.249
'[13:13:45.720]',0.246,-,0.520,0.629,0.390,0.404,77.249
'[13:13:45.728]',0.240,-,0.520,0.584,0.397,0.398,77.054
'[13:13:45.736]',0.246,-,0.520,0.609,0.403,0.392,76.271
'[13:13:45.744]',0.250,-,0.520,0.686,0.409,0.387,75.685
'[13:13:45.752]',0.250,-,0.516,0.754,0.414,0.383,75.098
'[13:13:45.760]',0.260,-,0.510,0.814,0.421,0.379,75.098
'[13:13:45.768]',0.266,-,0.506,0.859,0.427,0.373,74.902
'[13:13:45.776]',0.275,-,0.506,0.900,0.433,0.369,74.707
'[13:13:45.784]',0.285,-,0.494,0.924,0.440,0.363,74.316
'[13:13:45.792]',0.295,-,0.484,0.930,0.446,0.358,73.924
'[13:13:45.800]',0.311,-,0.475,0.930,0.452,0.354,74.316
'[13:13:45.808]',0.330,-,0.465,0.924,0.457,0.350,74.902
'[13:13:45.816]',0.346,-,0.449,0.910,0.463,0.346,75.685
'[13:13:45.824]',0.355,-,0.445,0.895,0.468,0.342,76.271
'[13:13:45.832]',0.371,-,0.436,0.875,0.473,0.338,76.858
'[13:13:45.840]',0.381,-,0.430,0.855,0.477,0.335,77.836
'[13:13:45.848]',0.395,-,0.416,0.834,0.480,0.333,79.791
'[13:13:45.856]',0.381,-,0.420,0.814,0.483,0.331,82.138
'[13:13:45.864]',0.365,-,0.430,0.799,0.486,0.329,85.267
'[13:13:45.872]',0.346,-,0.436,0.789,0.489,0.326,88.396
'[13:13:45.880]',0.324,-,0.455,0.789,0.491,0.323,91.917
'[13:13:45.888]',0.305,-,0.465,0.789,0.494,0.319,96.024
'[13:13:45.896]',0.285,-,0.475,0.785,0.496,0.315,101.108
'[13:13:45.904]',0.270,-,0.480,0.779,0.498,0.311,106.584
'[13:13:45.912]',0.260,-,0.490,0.779,0.499,0.308,111.864
'[13:13:45.920]',0.240,-,0.494,0.779,0.500,0.305,116.167
'[13:13:45.928]',0.234,-,0.506,0.785,0.501,0.302,119.687
'[13:13:45.936]',0.225,-,0.506,0.785,0.502,0.299,122.425
'[13:13:45.944]',0.221,-,0.510,0.785,0.504,0.297,125.163
'[13:13:45.952]',0.221,-,0.510,0.789,0.505,0.296,127.314
'[13:13:45.960]',0.215,-,0.516,0.789,0.507,0.294,128.683
'[13:13:45.968]',0.215,-,0.520,0.795,0.508,0.291,129.270
