"'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP','CVP','ART'"
"'[15:23:20.776]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.784]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.792]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.800]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.808]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.816]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.824]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.832]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.840]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.848]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.856]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.864]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.872]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.880]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.888]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.896]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.904]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.912]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.920]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.928]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.936]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.944]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.952]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.960]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.968]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.976]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.984]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.992]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.000]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.008]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.016]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.024]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.032]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.040]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.048]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.056]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.064]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.072]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.080]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.088]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.096]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.104]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.112]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.120]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.128]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.136]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.144]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.152]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.160]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.168]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.176]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.184]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.192]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.200]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.208]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.216]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.224]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.232]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.240]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.248]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.256]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.264]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.272]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.280]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.288]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.296]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.304]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.312]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.320]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.328]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.336]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.344]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.352]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.360]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.368]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.376]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.384]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.392]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.400]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.408]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.416]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.424]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.432]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.440]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.448]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.456]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.464]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.472]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.480]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.488]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.496]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.504]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.512]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.520]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.528]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.536]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.544]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.552]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.560]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.568]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.576]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.584]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.592]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.600]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.608]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.616]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.624]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.632]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.640]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.648]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.656]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.664]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.672]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.680]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.688]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.696]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.704]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.712]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.720]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.728]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.736]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.744]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.752]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.760]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.768]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.776]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.784]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.792]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.800]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.808]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.816]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.824]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.832]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.840]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.848]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.856]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.864]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.872]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.880]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.888]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.896]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.904]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.912]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.920]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.928]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.936]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.944]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.952]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.960]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.968]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.976]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.984]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:21.992]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.000]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.008]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.016]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.024]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.032]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.040]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.048]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.056]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.064]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.072]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.080]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.088]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.096]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.104]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.112]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.120]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.128]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.136]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.144]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.152]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.160]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.168]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.176]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.184]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.192]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.200]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.208]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.216]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.224]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.232]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.240]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.248]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.256]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.264]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.272]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.280]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.288]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.296]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.304]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.312]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.320]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.328]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.336]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.344]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.352]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.360]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.368]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.376]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.384]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.392]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.400]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.408]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.416]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.424]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.432]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.440]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.448]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.456]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.464]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.472]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.480]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.488]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.496]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.504]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.512]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.520]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.528]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.536]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.544]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.552]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.560]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.568]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.576]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.584]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.592]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.600]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.608]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.616]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.624]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.632]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.640]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.648]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.656]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.664]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.672]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.680]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.688]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.696]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.704]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.712]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.720]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.728]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.736]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.744]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.752]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.760]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.768]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.776]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.784]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.792]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.800]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.808]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.816]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.824]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.832]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.840]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.848]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.856]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.864]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.872]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.880]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.888]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.896]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.904]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.912]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.920]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.928]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.936]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.944]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.952]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.960]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.968]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.976]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.984]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:22.992]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.000]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.008]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.016]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.024]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.032]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.040]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.048]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.056]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.064]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.072]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.080]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.088]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.096]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.104]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.112]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.120]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.128]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.136]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.144]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.152]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.160]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.168]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.176]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.184]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.192]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.200]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.208]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.216]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.224]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.232]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.240]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.248]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.256]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.264]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.272]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.280]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.288]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.296]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.304]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.312]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.320]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.328]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.336]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.344]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.352]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.360]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.368]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.376]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.384]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.392]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.400]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.408]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.416]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.424]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.432]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.440]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.448]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.456]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.464]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.472]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.480]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.488]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.496]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.504]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.512]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.520]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.528]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.536]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.544]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.552]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.560]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.568]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.576]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.584]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.592]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.600]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.608]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.616]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.624]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.632]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.640]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.648]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.656]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.664]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.672]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:23.680]',-,-,-,-,-,-,-,-,-,-,-"
