"'Time','II','PLETH','V','ABP','III'"
"'[01:54:43.776]',-,0.502,-,-,-"
"'[01:54:43.784]',-,0.502,-,-,-"
"'[01:54:43.792]',-,0.502,-,-,-"
"'[01:54:43.800]',-,0.502,-,-,-"
"'[01:54:43.808]',-,0.502,-,-,-"
"'[01:54:43.816]',-,0.502,-,-,-"
"'[01:54:43.824]',-,0.502,-,-,-"
"'[01:54:43.832]',-,0.502,-,-,-"
"'[01:54:43.840]',-,0.502,-,-,-"
"'[01:54:43.848]',-,0.502,-,-,-"
"'[01:54:43.856]',-,0.502,-,-,-"
"'[01:54:43.864]',-,0.502,-,-,-"
"'[01:54:43.872]',-,0.502,-,-,-"
"'[01:54:43.880]',-,0.502,-,-,-"
"'[01:54:43.888]',-,0.502,-,-,-"
"'[01:54:43.896]',-,0.502,-,-,-"
"'[01:54:43.904]',-,0.502,-,-,-"
"'[01:54:43.912]',-,0.502,-,-,-"
"'[01:54:43.920]',-,0.502,-,-,-"
"'[01:54:43.928]',-,0.502,-,-,-"
"'[01:54:43.936]',-,0.502,-,-,-"
"'[01:54:43.944]',-,0.502,-,-,-"
"'[01:54:43.952]',-,0.502,-,-,-"
"'[01:54:43.960]',-,0.502,-,-,-"
"'[01:54:43.968]',-,0.502,-,-,-"
"'[01:54:43.976]',-,0.502,-,-,-"
"'[01:54:43.984]',-,0.502,-,-,-"
"'[01:54:43.992]',-,0.502,-,-,-"
"'[01:54:44.000]',-,0.502,-,-,-"
"'[01:54:44.008]',-,0.502,-,-,-"
"'[01:54:44.016]',-,0.502,-,-,-"
"'[01:54:44.024]',-,0.502,-,-,-"
"'[01:54:44.032]',-,0.502,-,-,-"
"'[01:54:44.040]',-,0.502,-,-,-"
"'[01:54:44.048]',-,0.502,-,-,-"
"'[01:54:44.056]',-,0.502,-,-,-"
"'[01:54:44.064]',-,0.502,-,-,-"
"'[01:54:44.072]',-,0.502,-,-,-"
"'[01:54:44.080]',-,0.502,-,-,-"
"'[01:54:44.088]',-,0.502,-,-,-"
"'[01:54:44.096]',-,0.502,-,-,-"
"'[01:54:44.104]',-,0.502,-,-,-"
"'[01:54:44.112]',-,0.502,-,-,-"
"'[01:54:44.120]',-,0.502,-,-,-"
"'[01:54:44.128]',-,0.502,-,-,-"
"'[01:54:44.136]',-,0.502,-,-,-"
"'[01:54:44.144]',-,0.502,-,-,-"
"'[01:54:44.152]',-,0.502,-,-,-"
"'[01:54:44.160]',-,0.502,-,-,-"
"'[01:54:44.168]',-,0.502,-,-,-"
"'[01:54:44.176]',-,0.502,-,-,-"
"'[01:54:44.184]',-,0.502,-,-,-"
"'[01:54:44.192]',-,0.502,-,-,-"
"'[01:54:44.200]',-,0.502,-,-,-"
"'[01:54:44.208]',-,0.502,-,-,-"
"'[01:54:44.216]',-,0.502,-,-,-"
"'[01:54:44.224]',-,0.502,-,-,-"
"'[01:54:44.232]',-,0.502,-,-,-"
"'[01:54:44.240]',-,0.502,-,-,-"
"'[01:54:44.248]',-,0.502,-,-,-"
"'[01:54:44.256]',-,0.502,-,-,-"
"'[01:54:44.264]',-,0.502,-,-,-"
"'[01:54:44.272]',-,0.502,-,-,-"
"'[01:54:44.280]',-,0.502,-,-,-"
"'[01:54:44.288]',-,0.502,-,-,-"
"'[01:54:44.296]',-,0.502,-,-,-"
"'[01:54:44.304]',-,0.502,-,-,-"
"'[01:54:44.312]',-,0.502,-,-,-"
"'[01:54:44.320]',-,0.502,-,-,-"
"'[01:54:44.328]',-,0.502,-,-,-"
"'[01:54:44.336]',-,0.502,-,-,-"
"'[01:54:44.344]',-,0.502,-,-,-"
"'[01:54:44.352]',-,0.502,-,-,-"
"'[01:54:44.360]',-,0.502,-,-,-"
"'[01:54:44.368]',-,0.502,-,-,-"
"'[01:54:44.376]',-,0.502,-,-,-"
"'[01:54:44.384]',-,0.502,-,-,-"
"'[01:54:44.392]',-,0.502,-,-,-"
"'[01:54:44.400]',-,0.502,-,-,-"
"'[01:54:44.408]',-,0.502,-,-,-"
"'[01:54:44.416]',-,0.502,-,-,-"
"'[01:54:44.424]',-,0.502,-,-,-"
"'[01:54:44.432]',-,0.502,-,-,-"
"'[01:54:44.440]',-,0.502,-,-,-"
"'[01:54:44.448]',-,0.502,-,-,-"
"'[01:54:44.456]',-,0.502,-,-,-"
"'[01:54:44.464]',-,0.502,-,-,-"
"'[01:54:44.472]',-,0.502,-,-,-"
"'[01:54:44.480]',-,0.502,-,-,-"
"'[01:54:44.488]',-,0.502,-,-,-"
"'[01:54:44.496]',-,0.502,-,-,-"
"'[01:54:44.504]',-,0.502,-,-,-"
"'[01:54:44.512]',-,0.502,-,-,-"
"'[01:54:44.520]',-,0.502,-,-,-"
"'[01:54:44.528]',-,0.502,-,-,-"
"'[01:54:44.536]',-,0.502,-,-,-"
"'[01:54:44.544]',-,0.502,-,-,-"
"'[01:54:44.552]',-,0.502,-,-,-"
"'[01:54:44.560]',-,0.502,-,-,-"
"'[01:54:44.568]',-,0.502,-,-,-"
"'[01:54:44.576]',-,0.502,-,-,-"
"'[01:54:44.584]',-,0.502,-,-,-"
"'[01:54:44.592]',-,0.502,-,-,-"
"'[01:54:44.600]',-,0.502,-,-,-"
"'[01:54:44.608]',-,0.502,-,-,-"
"'[01:54:44.616]',-,0.502,-,-,-"
"'[01:54:44.624]',-,0.502,-,-,-"
"'[01:54:44.632]',-,0.502,-,-,-"
"'[01:54:44.640]',-,0.502,-,-,-"
"'[01:54:44.648]',-,0.502,-,-,-"
"'[01:54:44.656]',-,0.502,-,-,-"
"'[01:54:44.664]',-,0.502,-,-,-"
"'[01:54:44.672]',-,0.502,-,-,-"
"'[01:54:44.680]',-,0.502,-,-,-"
"'[01:54:44.688]',-,0.502,-,-,-"
"'[01:54:44.696]',-,0.502,-,-,-"
"'[01:54:44.704]',-,0.502,-,-,-"
"'[01:54:44.712]',-,0.502,-,-,-"
"'[01:54:44.720]',-,0.502,-,-,-"
"'[01:54:44.728]',-,0.502,-,-,-"
"'[01:54:44.736]',-,0.502,-,-,-"
"'[01:54:44.744]',-,0.502,-,-,-"
"'[01:54:44.752]',-,0.502,-,-,-"
"'[01:54:44.760]',-,0.502,-,-,-"
"'[01:54:44.768]',-,0.502,-,-,-"
"'[01:54:44.776]',-,0.502,-,-,-"
"'[01:54:44.784]',-,0.502,-,-,-"
"'[01:54:44.792]',-,0.502,-,-,-"
"'[01:54:44.800]',-,0.502,-,-,-"
"'[01:54:44.808]',-,0.502,-,-,-"
"'[01:54:44.816]',-,0.502,-,-,-"
"'[01:54:44.824]',-,0.502,-,-,-"
"'[01:54:44.832]',-,0.502,-,-,-"
"'[01:54:44.840]',-,0.502,-,-,-"
"'[01:54:44.848]',-,0.502,-,-,-"
"'[01:54:44.856]',-,0.502,-,-,-"
"'[01:54:44.864]',-,0.502,-,-,-"
"'[01:54:44.872]',-,0.502,-,-,-"
"'[01:54:44.880]',-,0.502,-,-,-"
"'[01:54:44.888]',-,0.502,-,-,-"
"'[01:54:44.896]',-,0.502,-,-,-"
"'[01:54:44.904]',-,0.502,-,-,-"
"'[01:54:44.912]',-,0.502,-,-,-"
"'[01:54:44.920]',-,0.502,-,-,-"
"'[01:54:44.928]',-,0.502,-,-,-"
"'[01:54:44.936]',-,0.502,-,-,-"
"'[01:54:44.944]',-,0.502,-,-,-"
"'[01:54:44.952]',-,0.502,-,-,-"
"'[01:54:44.960]',-,0.502,-,-,-"
"'[01:54:44.968]',-,0.502,-,-,-"
"'[01:54:44.976]',-,0.502,-,-,-"
"'[01:54:44.984]',-,0.502,-,-,-"
"'[01:54:44.992]',-,0.502,-,-,-"
"'[01:54:45.000]',-,0.502,-,-,-"
"'[01:54:45.008]',-,0.502,-,-,-"
"'[01:54:45.016]',-,0.502,-,-,-"
"'[01:54:45.024]',-,0.502,-,-,-"
"'[01:54:45.032]',-,0.502,-,-,-"
"'[01:54:45.040]',-,0.502,-,-,-"
"'[01:54:45.048]',-,0.502,-,-,-"
"'[01:54:45.056]',-,0.502,-,-,-"
"'[01:54:45.064]',-,0.502,-,-,-"
"'[01:54:45.072]',-,0.502,-,-,-"
"'[01:54:45.080]',-,0.502,-,-,-"
"'[01:54:45.088]',-,0.502,-,-,-"
"'[01:54:45.096]',-,0.502,-,-,-"
"'[01:54:45.104]',-,0.502,-,-,-"
"'[01:54:45.112]',-,0.502,-,-,-"
"'[01:54:45.120]',-,0.502,-,-,-"
"'[01:54:45.128]',-,0.502,-,-,-"
"'[01:54:45.136]',-,0.502,-,-,-"
"'[01:54:45.144]',-,0.502,-,-,-"
"'[01:54:45.152]',-,0.502,-,-,-"
"'[01:54:45.160]',-,0.502,-,-,-"
"'[01:54:45.168]',-,0.502,-,-,-"
"'[01:54:45.176]',-,0.502,-,-,-"
"'[01:54:45.184]',-,0.502,-,-,-"
"'[01:54:45.192]',-,0.502,-,-,-"
"'[01:54:45.200]',-,0.502,-,-,-"
"'[01:54:45.208]',-,0.502,-,-,-"
"'[01:54:45.216]',-,0.502,-,-,-"
"'[01:54:45.224]',-,0.502,-,-,-"
"'[01:54:45.232]',-,0.502,-,-,-"
"'[01:54:45.240]',-,0.502,-,-,-"
"'[01:54:45.248]',-,0.502,-,-,-"
"'[01:54:45.256]',-,0.502,-,-,-"
"'[01:54:45.264]',-,0.502,-,-,-"
"'[01:54:45.272]',-,0.502,-,-,-"
"'[01:54:45.280]',-,0.502,-,-,-"
"'[01:54:45.288]',-,0.502,-,-,-"
"'[01:54:45.296]',-,0.502,-,-,-"
"'[01:54:45.304]',-,0.502,-,-,-"
"'[01:54:45.312]',-,0.502,-,-,-"
"'[01:54:45.320]',-,0.502,-,-,-"
"'[01:54:45.328]',-,0.502,-,-,-"
"'[01:54:45.336]',-,0.502,-,-,-"
"'[01:54:45.344]',-,0.502,-,-,-"
"'[01:54:45.352]',-,0.502,-,-,-"
"'[01:54:45.360]',-,0.502,-,-,-"
"'[01:54:45.368]',-,0.502,-,-,-"
"'[01:54:45.376]',-,0.502,-,-,-"
"'[01:54:45.384]',-,0.502,-,-,-"
"'[01:54:45.392]',-,0.502,-,-,-"
"'[01:54:45.400]',-,0.502,-,-,-"
"'[01:54:45.408]',-,0.502,-,-,-"
"'[01:54:45.416]',-,0.502,-,-,-"
"'[01:54:45.424]',-,0.502,-,-,-"
"'[01:54:45.432]',-,0.502,-,-,-"
"'[01:54:45.440]',-,0.502,-,-,-"
"'[01:54:45.448]',-,0.502,-,-,-"
"'[01:54:45.456]',-,0.502,-,-,-"
"'[01:54:45.464]',-,0.502,-,-,-"
"'[01:54:45.472]',-,0.502,-,-,-"
"'[01:54:45.480]',-,0.502,-,-,-"
"'[01:54:45.488]',-,0.502,-,-,-"
"'[01:54:45.496]',-,0.502,-,-,-"
"'[01:54:45.504]',-,0.502,-,-,-"
"'[01:54:45.512]',-,0.502,-,-,-"
"'[01:54:45.520]',-,0.502,-,-,-"
"'[01:54:45.528]',-,0.502,-,-,-"
"'[01:54:45.536]',-,0.502,-,-,-"
"'[01:54:45.544]',-,0.502,-,-,-"
"'[01:54:45.552]',-,0.502,-,-,-"
"'[01:54:45.560]',-,0.502,-,-,-"
"'[01:54:45.568]',-,0.502,-,-,-"
"'[01:54:45.576]',-,0.502,-,-,-"
"'[01:54:45.584]',-,0.502,-,-,-"
"'[01:54:45.592]',-,0.502,-,-,-"
"'[01:54:45.600]',-,0.502,-,-,-"
"'[01:54:45.608]',-,0.502,-,-,-"
"'[01:54:45.616]',-,0.502,-,-,-"
"'[01:54:45.624]',-,0.502,-,-,-"
"'[01:54:45.632]',-,0.502,-,-,-"
"'[01:54:45.640]',-,0.502,-,-,-"
"'[01:54:45.648]',-,0.502,-,-,-"
"'[01:54:45.656]',-,0.502,-,-,-"
"'[01:54:45.664]',-,0.502,-,-,-"
"'[01:54:45.672]',-,0.502,-,-,-"
"'[01:54:45.680]',-,0.502,-,-,-"
"'[01:54:45.688]',-,0.502,-,-,-"
"'[01:54:45.696]',-,0.502,-,-,-"
"'[01:54:45.704]',-,0.502,-,-,-"
"'[01:54:45.712]',-,0.502,-,-,-"
"'[01:54:45.720]',-,0.502,-,-,-"
"'[01:54:45.728]',-,0.502,-,-,-"
"'[01:54:45.736]',-,0.502,-,-,-"
"'[01:54:45.744]',-,0.502,-,-,-"
"'[01:54:45.752]',-,0.502,-,-,-"
"'[01:54:45.760]',-,0.502,-,-,-"
"'[01:54:45.768]',-,0.502,-,-,-"
"'[01:54:45.776]',-,0.502,-,-,-"
"'[01:54:45.784]',-,0.502,-,-,-"
"'[01:54:45.792]',-,0.502,-,-,-"
"'[01:54:45.800]',-,0.502,-,-,-"
"'[01:54:45.808]',-,0.502,-,-,-"
"'[01:54:45.816]',-,0.502,-,-,-"
"'[01:54:45.824]',-,0.502,-,-,-"
"'[01:54:45.832]',-,0.502,-,-,-"
"'[01:54:45.840]',-,0.502,-,-,-"
"'[01:54:45.848]',-,0.502,-,-,-"
"'[01:54:45.856]',-,0.502,-,-,-"
"'[01:54:45.864]',-,0.502,-,-,-"
"'[01:54:45.872]',-,0.502,-,-,-"
"'[01:54:45.880]',-,0.502,-,-,-"
"'[01:54:45.888]',-,0.502,-,-,-"
"'[01:54:45.896]',-,0.502,-,-,-"
"'[01:54:45.904]',-,0.502,-,-,-"
"'[01:54:45.912]',-,0.502,-,-,-"
"'[01:54:45.920]',-,0.502,-,-,-"
"'[01:54:45.928]',-,0.502,-,-,-"
"'[01:54:45.936]',-,0.502,-,-,-"
"'[01:54:45.944]',-,0.502,-,-,-"
"'[01:54:45.952]',-,0.502,-,-,-"
"'[01:54:45.960]',-,0.502,-,-,-"
"'[01:54:45.968]',-,0.502,-,-,-"
"'[01:54:45.976]',-,0.502,-,-,-"
"'[01:54:45.984]',-,0.502,-,-,-"
"'[01:54:45.992]',-,0.502,-,-,-"
"'[01:54:46.000]',-,0.502,-,-,-"
"'[01:54:46.008]',-,0.502,-,-,-"
"'[01:54:46.016]',-,0.502,-,-,-"
"'[01:54:46.024]',-,0.502,-,-,-"
"'[01:54:46.032]',-,0.502,-,-,-"
"'[01:54:46.040]',-,0.502,-,-,-"
"'[01:54:46.048]',-,0.502,-,-,-"
"'[01:54:46.056]',-,0.502,-,-,-"
"'[01:54:46.064]',-,0.502,-,-,-"
"'[01:54:46.072]',-,0.502,-,-,-"
"'[01:54:46.080]',-,0.502,-,-,-"
"'[01:54:46.088]',-,0.502,-,-,-"
"'[01:54:46.096]',-,0.502,-,-,-"
"'[01:54:46.104]',-,0.502,-,-,-"
"'[01:54:46.112]',-,0.502,-,-,-"
"'[01:54:46.120]',-,0.502,-,-,-"
"'[01:54:46.128]',-,0.502,-,-,-"
"'[01:54:46.136]',-,0.502,-,-,-"
"'[01:54:46.144]',-,0.502,-,-,-"
"'[01:54:46.152]',-,0.502,-,-,-"
"'[01:54:46.160]',-,0.502,-,-,-"
"'[01:54:46.168]',-,0.502,-,-,-"
"'[01:54:46.176]',-,0.502,-,-,-"
"'[01:54:46.184]',-,0.502,-,-,-"
"'[01:54:46.192]',-,0.502,-,-,-"
"'[01:54:46.200]',-,0.502,-,-,-"
"'[01:54:46.208]',-,0.502,-,-,-"
"'[01:54:46.216]',-,0.502,-,-,-"
"'[01:54:46.224]',-,0.502,-,-,-"
"'[01:54:46.232]',-,0.502,-,-,-"
"'[01:54:46.240]',-,0.502,-,-,-"
"'[01:54:46.248]',-,0.502,-,-,-"
"'[01:54:46.256]',-,0.502,-,-,-"
"'[01:54:46.264]',-,0.502,-,-,-"
"'[01:54:46.272]',-,0.502,-,-,-"
"'[01:54:46.280]',-,0.502,-,-,-"
"'[01:54:46.288]',-,0.502,-,-,-"
"'[01:54:46.296]',-,0.502,-,-,-"
"'[01:54:46.304]',-,0.502,-,-,-"
"'[01:54:46.312]',-,0.502,-,-,-"
"'[01:54:46.320]',-,0.502,-,-,-"
"'[01:54:46.328]',-,0.502,-,-,-"
"'[01:54:46.336]',-,0.502,-,-,-"
"'[01:54:46.344]',-,0.502,-,-,-"
"'[01:54:46.352]',-,0.502,-,-,-"
"'[01:54:46.360]',-,0.502,-,-,-"
"'[01:54:46.368]',-,0.502,-,-,-"
"'[01:54:46.376]',-,0.502,-,-,-"
"'[01:54:46.384]',-,0.502,-,-,-"
"'[01:54:46.392]',-,0.502,-,-,-"
"'[01:54:46.400]',-,0.502,-,-,-"
"'[01:54:46.408]',-,0.502,-,-,-"
"'[01:54:46.416]',-,0.502,-,-,-"
"'[01:54:46.424]',-,0.502,-,-,-"
"'[01:54:46.432]',-,0.502,-,-,-"
"'[01:54:46.440]',-,0.502,-,-,-"
"'[01:54:46.448]',-,0.502,-,-,-"
"'[01:54:46.456]',-,0.502,-,-,-"
"'[01:54:46.464]',-,0.502,-,-,-"
"'[01:54:46.472]',-,0.502,-,-,-"
"'[01:54:46.480]',-,0.502,-,-,-"
"'[01:54:46.488]',-,0.502,-,-,-"
"'[01:54:46.496]',-,0.502,-,-,-"
"'[01:54:46.504]',-,0.502,-,-,-"
"'[01:54:46.512]',-,0.502,-,-,-"
"'[01:54:46.520]',-,0.502,-,-,-"
"'[01:54:46.528]',-,0.502,-,-,-"
"'[01:54:46.536]',-,0.502,-,-,-"
"'[01:54:46.544]',-,0.502,-,-,-"
"'[01:54:46.552]',-,0.502,-,-,-"
"'[01:54:46.560]',-,0.502,-,-,-"
"'[01:54:46.568]',-,0.502,-,-,-"
"'[01:54:46.576]',-,0.502,-,-,-"
"'[01:54:46.584]',-,0.502,-,-,-"
"'[01:54:46.592]',-,0.502,-,-,-"
"'[01:54:46.600]',-,0.502,-,-,-"
"'[01:54:46.608]',-,0.502,-,-,-"
"'[01:54:46.616]',-,0.502,-,-,-"
"'[01:54:46.624]',-,0.502,-,-,-"
"'[01:54:46.632]',-,0.502,-,-,-"
"'[01:54:46.640]',-,0.502,-,-,-"
"'[01:54:46.648]',-,0.502,-,-,-"
"'[01:54:46.656]',-,0.502,-,-,-"
"'[01:54:46.664]',-,0.502,-,-,-"
"'[01:54:46.672]',-,0.502,-,-,-"
"'[01:54:46.680]',-,0.502,-,-,-"
"'[01:54:46.688]',-,0.502,-,-,-"
"'[01:54:46.696]',-,0.502,-,-,-"
"'[01:54:46.704]',-,0.502,-,-,-"
"'[01:54:46.712]',-,0.502,-,-,-"
"'[01:54:46.720]',-,0.502,-,-,-"
"'[01:54:46.728]',-,0.502,-,-,-"
"'[01:54:46.736]',-,0.502,-,-,-"
"'[01:54:46.744]',-,0.502,-,-,-"
"'[01:54:46.752]',-,0.502,-,-,-"
"'[01:54:46.760]',-,0.502,-,-,-"
"'[01:54:46.768]',-,0.502,-,-,-"
"'[01:54:46.776]',-,0.502,-,-,-"
"'[01:54:46.784]',-,0.502,-,-,-"
"'[01:54:46.792]',-,0.502,-,-,-"
"'[01:54:46.800]',-,0.502,-,-,-"
"'[01:54:46.808]',-,0.502,-,-,-"
"'[01:54:46.816]',-,0.502,-,-,-"
"'[01:54:46.824]',-,0.502,-,-,-"
"'[01:54:46.832]',-,0.502,-,-,-"
"'[01:54:46.840]',-,0.502,-,-,-"
"'[01:54:46.848]',-,0.502,-,-,-"
"'[01:54:46.856]',-,0.502,-,-,-"
"'[01:54:46.864]',-,0.502,-,-,-"
"'[01:54:46.872]',-,0.502,-,-,-"
"'[01:54:46.880]',-,0.502,-,-,-"
"'[01:54:46.888]',-,0.502,-,-,-"
"'[01:54:46.896]',-,0.502,-,-,-"
"'[01:54:46.904]',-,0.502,-,-,-"
"'[01:54:46.912]',-,0.502,-,-,-"
"'[01:54:46.920]',-,0.502,-,-,-"
"'[01:54:46.928]',-,0.502,-,-,-"
"'[01:54:46.936]',-,0.502,-,-,-"
"'[01:54:46.944]',-,0.502,-,-,-"
"'[01:54:46.952]',-,0.502,-,-,-"
"'[01:54:46.960]',-,0.502,-,-,-"
"'[01:54:46.968]',-,0.502,-,-,-"
"'[01:54:46.976]',-,0.502,-,-,-"
"'[01:54:46.984]',-,0.502,-,-,-"
"'[01:54:46.992]',-,0.502,-,-,-"
"'[01:54:47.000]',-,0.502,-,-,-"
"'[01:54:47.008]',-,0.502,-,-,-"
"'[01:54:47.016]',-,0.502,-,-,-"
"'[01:54:47.024]',-,0.502,-,-,-"
"'[01:54:47.032]',-,0.502,-,-,-"
"'[01:54:47.040]',-,0.502,-,-,-"
"'[01:54:47.048]',-,0.502,-,-,-"
"'[01:54:47.056]',-,0.502,-,-,-"
"'[01:54:47.064]',-,0.502,-,-,-"
"'[01:54:47.072]',-,0.502,-,-,-"
"'[01:54:47.080]',-,0.502,-,-,-"
"'[01:54:47.088]',-,0.502,-,-,-"
"'[01:54:47.096]',-,0.502,-,-,-"
"'[01:54:47.104]',-,0.502,-,-,-"
"'[01:54:47.112]',-,0.502,-,-,-"
"'[01:54:47.120]',-,0.502,-,-,-"
"'[01:54:47.128]',-,0.502,-,-,-"
"'[01:54:47.136]',-,0.502,-,-,-"
"'[01:54:47.144]',-,0.502,-,-,-"
"'[01:54:47.152]',-,0.502,-,-,-"
"'[01:54:47.160]',-,0.502,-,-,-"
"'[01:54:47.168]',-,0.502,-,-,-"
"'[01:54:47.176]',-,0.502,-,-,-"
"'[01:54:47.184]',-,0.502,-,-,-"
"'[01:54:47.192]',-,0.502,-,-,-"
"'[01:54:47.200]',-,0.502,-,-,-"
"'[01:54:47.208]',-,0.502,-,-,-"
"'[01:54:47.216]',-,0.502,-,-,-"
"'[01:54:47.224]',-,0.502,-,-,-"
"'[01:54:47.232]',-,0.502,-,-,-"
"'[01:54:47.240]',-,0.502,-,-,-"
"'[01:54:47.248]',-,0.502,-,-,-"
"'[01:54:47.256]',-,0.502,-,-,-"
"'[01:54:47.264]',-,0.502,-,-,-"
"'[01:54:47.272]',-,0.502,-,-,-"
"'[01:54:47.280]',-,0.502,-,-,-"
"'[01:54:47.288]',-,0.502,-,-,-"
"'[01:54:47.296]',-,0.502,-,-,-"
"'[01:54:47.304]',-,0.502,-,-,-"
"'[01:54:47.312]',-,0.502,-,-,-"
"'[01:54:47.320]',-,0.502,-,-,-"
"'[01:54:47.328]',-,0.502,-,-,-"
"'[01:54:47.336]',-,0.502,-,-,-"
"'[01:54:47.344]',-,0.502,-,-,-"
"'[01:54:47.352]',-,0.502,-,-,-"
"'[01:54:47.360]',-,0.502,-,-,-"
"'[01:54:47.368]',-,0.502,-,-,-"
"'[01:54:47.376]',-,0.502,-,-,-"
"'[01:54:47.384]',-,0.502,-,-,-"
"'[01:54:47.392]',-,0.502,-,-,-"
"'[01:54:47.400]',-,0.502,-,-,-"
"'[01:54:47.408]',-,0.502,-,-,-"
"'[01:54:47.416]',-,0.502,-,-,-"
"'[01:54:47.424]',-,0.502,-,-,-"
"'[01:54:47.432]',-,0.502,-,-,-"
"'[01:54:47.440]',-,0.502,-,-,-"
