'Time','I','II','AVR','V','RESP','PLETH','ABP'
'[20:35:05.017]',-,-,-,-,-,-,-
'[20:35:05.025]',-,-,-,-,-,-,-
'[20:35:05.033]',-,-,-,-,-,-,-
'[20:35:05.041]',-,-,-,-,-,-,-
'[20:35:05.049]',-,-,-,-,-,-,-
'[20:35:05.057]',-,-,-,-,-,-,-
'[20:35:05.065]',-,-,-,-,-,-,-
'[20:35:05.073]',-,-,-,-,-,-,-
'[20:35:05.081]',-,-,-,-,-,-,-
'[20:35:05.089]',-,-,-,-,-,-,-
'[20:35:05.097]',-,-,-,-,-,-,-
'[20:35:05.105]',-,-,-,-,-,-,-
'[20:35:05.113]',-,-,-,-,-,-,-
'[20:35:05.121]',-,-,-,-,-,-,-
'[20:35:05.129]',-,-,-,-,-,-,-
'[20:35:05.137]',-,-,-,-,-,-,-
'[20:35:05.145]',-,-,-,-,-,-,-
'[20:35:05.153]',-,-,-,-,-,-,-
'[20:35:05.161]',-,-,-,-,-,-,-
'[20:35:05.169]',-,-,-,-,-,-,-
'[20:35:05.177]',-,-,-,-,-,-,-
'[20:35:05.185]',-,-,-,-,-,-,-
'[20:35:05.193]',-,-,-,-,-,-,-
'[20:35:05.201]',-,-,-,-,-,-,-
'[20:35:05.209]',-,-,-,-,-,-,-
'[20:35:05.217]',-,-,-,-,-,-,-
'[20:35:05.225]',-,-,-,-,-,-,-
'[20:35:05.233]',-,-,-,-,-,-,-
'[20:35:05.241]',-,-,-,-,-,-,-
'[20:35:05.249]',-,-,-,-,-,-,-
'[20:35:05.257]',-,-,-,-,-,-,-
'[20:35:05.265]',-,-,-,-,-,-,-
'[20:35:05.273]',-,-,-,-,-,-,-
'[20:35:05.281]',-,-,-,-,-,-,-
'[20:35:05.289]',-,-,-,-,-,-,-
'[20:35:05.297]',-,-,-,-,-,-,-
'[20:35:05.305]',-,-,-,-,-,-,-
'[20:35:05.313]',-,-,-,-,-,-,-
'[20:35:05.321]',-,-,-,-,-,-,-
'[20:35:05.329]',-,-,-,-,-,-,-
'[20:35:05.337]',-,-,-,-,-,-,-
'[20:35:05.345]',-,-,-,-,-,-,-
'[20:35:05.353]',-,-,-,-,-,-,-
'[20:35:05.361]',-,-,-,-,-,-,-
'[20:35:05.369]',-,-,-,-,-,-,-
'[20:35:05.377]',-,-,-,-,-,-,-
'[20:35:05.385]',-,-,-,-,-,-,-
'[20:35:05.393]',-,-,-,-,-,-,-
'[20:35:05.401]',-,-,-,-,-,-,-
'[20:35:05.409]',-,-,-,-,-,-,-
'[20:35:05.417]',-,-,-,-,-,-,-
'[20:35:05.425]',-,-,-,-,-,-,-
'[20:35:05.433]',-,-,-,-,-,-,-
'[20:35:05.441]',-,-,-,-,-,-,-
'[20:35:05.449]',-,-,-,-,-,-,-
'[20:35:05.457]',-,-,-,-,-,-,-
'[20:35:05.465]',-,-,-,-,-,-,-
'[20:35:05.473]',-,-,-,-,-,-,-
'[20:35:05.481]',-,-,-,-,-,-,-
'[20:35:05.489]',-,-,-,-,-,-,-
'[20:35:05.497]',-,-,-,-,-,-,-
'[20:35:05.505]',-,-,-,-,-,-,-
'[20:35:05.513]',-,-,-,-,-,-,-
'[20:35:05.521]',-,-,-,-,-,-,-
'[20:35:05.529]',-,-,-,-,-,-,-
'[20:35:05.537]',-,-,-,-,-,-,-
'[20:35:05.545]',-,-,-,-,-,-,-
'[20:35:05.553]',-,-,-,-,-,-,-
'[20:35:05.561]',-,-,-,-,-,-,-
'[20:35:05.569]',-,-,-,-,-,-,-
'[20:35:05.577]',-,-,-,-,-,-,-
'[20:35:05.585]',-,-,-,-,-,-,-
'[20:35:05.593]',-,-,-,-,-,-,-
'[20:35:05.601]',-,-,-,-,-,-,-
'[20:35:05.609]',-,-,-,-,-,-,-
'[20:35:05.617]',-,-,-,-,-,-,-
'[20:35:05.625]',-,-,-,-,-,-,-
'[20:35:05.633]',-,-,-,-,-,-,-
'[20:35:05.641]',-,-,-,-,-,-,-
'[20:35:05.649]',-,-,-,-,-,-,-
'[20:35:05.657]',-,-,-,-,-,-,-
'[20:35:05.665]',-,-,-,-,-,-,-
'[20:35:05.673]',-,-,-,-,-,-,-
'[20:35:05.681]',-,-,-,-,-,-,-
'[20:35:05.689]',-,-,-,-,-,-,-
'[20:35:05.697]',-,-,-,-,-,-,-
'[20:35:05.705]',-,-,-,-,-,-,-
'[20:35:05.713]',-,-,-,-,-,-,-
'[20:35:05.721]',-,-,-,-,-,-,-
'[20:35:05.729]',-,-,-,-,-,-,-
'[20:35:05.737]',-,-,-,-,-,-,-
'[20:35:05.745]',-,-,-,-,-,-,-
'[20:35:05.753]',-,-,-,-,-,-,-
'[20:35:05.761]',-,-,-,-,-,-,-
'[20:35:05.769]',-,-,-,-,-,-,-
'[20:35:05.777]',-,-,-,-,-,-,-
'[20:35:05.785]',-,-,-,-,-,-,-
'[20:35:05.793]',-,-,-,-,-,-,-
'[20:35:05.801]',-,-,-,-,-,-,-
'[20:35:05.809]',-,-,-,-,-,-,-
'[20:35:05.817]',-,-,-,-,-,-,-
'[20:35:05.825]',-,-,-,-,-,-,-
'[20:35:05.833]',-,-,-,-,-,-,-
'[20:35:05.841]',-,-,-,-,-,-,-
'[20:35:05.849]',-,-,-,-,-,-,-
'[20:35:05.857]',-,-,-,-,-,-,-
'[20:35:05.865]',-,-,-,-,-,-,-
'[20:35:05.873]',-,-,-,-,-,-,-
'[20:35:05.881]',-,-,-,-,-,-,-
'[20:35:05.889]',-,-,-,-,-,-,-
'[20:35:05.897]',-,-,-,-,-,-,-
'[20:35:05.905]',-,-,-,-,-,-,-
'[20:35:05.913]',-,-,-,-,-,-,-
'[20:35:05.921]',-,-,-,-,-,-,-
'[20:35:05.929]',-,-,-,-,-,-,-
'[20:35:05.937]',-,-,-,-,-,-,-
'[20:35:05.945]',-,-,-,-,-,-,-
'[20:35:05.953]',-,-,-,-,-,-,-
'[20:35:05.961]',-,-,-,-,-,-,-
'[20:35:05.969]',-,-,-,-,-,-,-
'[20:35:05.977]',-,-,-,-,-,-,-
'[20:35:05.985]',-,-,-,-,-,-,-
'[20:35:05.993]',-,-,-,-,-,-,-
'[20:35:06.001]',-,-,-,-,-,-,-
'[20:35:06.009]',-,-,-,-,-,-,-
'[20:35:06.017]',-,-,-,-,-,-,-
'[20:35:06.025]',-,-,-,-,-,-,-
'[20:35:06.033]',-,-,-,-,-,-,-
'[20:35:06.041]',-,-,-,-,-,-,-
'[20:35:06.049]',-,-,-,-,-,-,-
'[20:35:06.057]',-,-,-,-,-,-,-
'[20:35:06.065]',-,-,-,-,-,-,-
'[20:35:06.073]',-,-,-,-,-,-,-
'[20:35:06.081]',-,-,-,-,-,-,-
'[20:35:06.089]',-,-,-,-,-,-,-
'[20:35:06.097]',-,-,-,-,-,-,-
'[20:35:06.105]',-,-,-,-,-,-,-
'[20:35:06.113]',-,-,-,-,-,-,-
'[20:35:06.121]',-,-,-,-,-,-,-
'[20:35:06.129]',-,-,-,-,-,-,-
'[20:35:06.137]',-,-,-,-,-,-,-
'[20:35:06.145]',-,-,-,-,-,-,-
'[20:35:06.153]',-,-,-,-,-,-,-
'[20:35:06.161]',-,-,-,-,-,-,-
'[20:35:06.169]',-,-,-,-,-,-,-
'[20:35:06.177]',-,-,-,-,-,-,-
'[20:35:06.185]',-,-,-,-,-,-,-
'[20:35:06.193]',-,-,-,-,-,-,-
'[20:35:06.201]',-,-,-,-,-,-,-
'[20:35:06.209]',-,-,-,-,-,-,-
'[20:35:06.217]',-,-,-,-,-,-,-
'[20:35:06.225]',-,-,-,-,-,-,-
'[20:35:06.233]',-,-,-,-,-,-,-
'[20:35:06.241]',-,-,-,-,-,-,-
'[20:35:06.249]',-,-,-,-,-,-,-
'[20:35:06.257]',-,-,-,-,-,-,-
'[20:35:06.265]',-,-,-,-,-,-,-
'[20:35:06.273]',-,-,-,-,-,-,-
'[20:35:06.281]',-,-,-,-,-,-,-
'[20:35:06.289]',-,-,-,-,-,-,-
'[20:35:06.297]',-,-,-,-,-,-,-
'[20:35:06.305]',-,-,-,-,-,-,-
'[20:35:06.313]',-,-,-,-,-,-,-
'[20:35:06.321]',-,-,-,-,-,-,-
'[20:35:06.329]',-,-,-,-,-,-,-
'[20:35:06.337]',-,-,-,-,-,-,-
'[20:35:06.345]',-,-,-,-,-,-,-
'[20:35:06.353]',-,-,-,-,-,-,-
'[20:35:06.361]',-,-,-,-,-,-,-
'[20:35:06.369]',-,-,-,-,-,-,-
'[20:35:06.377]',-,-,-,-,-,-,-
'[20:35:06.385]',-,-,-,-,-,-,-
'[20:35:06.393]',-,-,-,-,-,-,-
'[20:35:06.401]',-,-,-,-,-,-,-
'[20:35:06.409]',-,-,-,-,-,-,-
'[20:35:06.417]',-,-,-,-,-,-,-
'[20:35:06.425]',-,-,-,-,-,-,-
'[20:35:06.433]',-,-,-,-,-,-,-
'[20:35:06.441]',-,-,-,-,-,-,-
'[20:35:06.449]',-,-,-,-,-,-,-
'[20:35:06.457]',-,-,-,-,-,-,-
'[20:35:06.465]',-,-,-,-,-,-,-
'[20:35:06.473]',-,-,-,-,-,-,-
'[20:35:06.481]',-,-,-,-,-,-,-
'[20:35:06.489]',-,-,-,-,-,-,-
'[20:35:06.497]',-,-,-,-,-,-,-
'[20:35:06.505]',-,-,-,-,-,-,-
'[20:35:06.513]',-,-,-,-,-,-,-
'[20:35:06.521]',-,-,-,-,-,-,-
'[20:35:06.529]',-,-,-,-,-,-,-
'[20:35:06.537]',-,-,-,-,-,-,-
'[20:35:06.545]',-,-,-,-,-,-,-
'[20:35:06.553]',-,-,-,-,-,-,-
'[20:35:06.561]',-,-,-,-,-,-,-
'[20:35:06.569]',-,-,-,-,-,-,-
'[20:35:06.577]',-,-,-,-,-,-,-
'[20:35:06.585]',-,-,-,-,-,-,-
'[20:35:06.593]',-,-,-,-,-,-,-
'[20:35:06.601]',-,-,-,-,-,-,-
'[20:35:06.609]',-,-,-,-,-,-,-
'[20:35:06.617]',-,-,-,-,-,-,-
'[20:35:06.625]',-,-,-,-,-,-,-
'[20:35:06.633]',-,-,-,-,-,-,-
'[20:35:06.641]',-,-,-,-,-,-,-
'[20:35:06.649]',-,-,-,-,-,-,-
'[20:35:06.657]',-,-,-,-,-,-,-
'[20:35:06.665]',-,-,-,-,-,-,-
'[20:35:06.673]',-,-,-,-,-,-,-
'[20:35:06.681]',-,-,-,-,-,-,-
'[20:35:06.689]',-,-,-,-,-,-,-
'[20:35:06.697]',-,-,-,-,-,-,-
'[20:35:06.705]',-,-,-,-,-,-,-
'[20:35:06.713]',-,-,-,-,-,-,-
'[20:35:06.721]',-,-,-,-,-,-,-
'[20:35:06.729]',-,-,-,-,-,-,-
'[20:35:06.737]',-,-,-,-,-,-,-
'[20:35:06.745]',-,-,-,-,-,-,-
'[20:35:06.753]',-,-,-,-,-,-,-
'[20:35:06.761]',-,-,-,-,-,-,-
'[20:35:06.769]',-,-,-,-,-,-,-
'[20:35:06.777]',-,-,-,-,-,-,-
'[20:35:06.785]',-,-,-,-,-,-,-
'[20:35:06.793]',-,-,-,-,-,-,-
'[20:35:06.801]',-,-,-,-,-,-,-
'[20:35:06.809]',-,-,-,-,-,-,-
'[20:35:06.817]',-,-,-,-,-,-,-
'[20:35:06.825]',-,-,-,-,-,-,-
'[20:35:06.833]',-,-,-,-,-,-,-
'[20:35:06.841]',-,-,-,-,-,-,-
'[20:35:06.849]',-,-,-,-,-,-,-
'[20:35:06.857]',-,-,-,-,-,-,-
'[20:35:06.865]',-,-,-,-,-,-,-
'[20:35:06.873]',-,-,-,-,-,-,-
'[20:35:06.881]',-,-,-,-,-,-,-
'[20:35:06.889]',-,-,-,-,-,-,-
'[20:35:06.897]',-,-,-,-,-,-,-
'[20:35:06.905]',-,-,-,-,-,-,-
'[20:35:06.913]',-,-,-,-,-,-,-
'[20:35:06.921]',-,-,-,-,-,-,-
'[20:35:06.929]',-,-,-,-,-,-,-
'[20:35:06.937]',-,-,-,-,-,-,-
'[20:35:06.945]',-,-,-,-,-,-,-
'[20:35:06.953]',-,-,-,-,-,-,-
'[20:35:06.961]',-,-,-,-,-,-,-
'[20:35:06.969]',-,-,-,-,-,-,-
'[20:35:06.977]',-,-,-,-,0.176,2.225,-
'[20:35:06.985]',-,-,-,-,0.353,2.196,-
'[20:35:06.993]',-,-,-,-,0.356,2.168,-
'[20:35:07.001]',-,-,-,-,0.359,2.139,-
'[20:35:07.009]',-,-,-,-,0.362,2.113,-
'[20:35:07.017]',-,-,-,-,0.365,2.090,-
'[20:35:07.025]',-,-,-,-,0.369,2.067,-
'[20:35:07.033]',-,-,-,-,0.374,2.049,-
'[20:35:07.041]',-,-,-,-,0.379,2.032,-
'[20:35:07.049]',-,-,-,-,0.385,2.017,-
'[20:35:07.057]',-,-,-,-,0.390,2.006,-
'[20:35:07.065]',-,-,-,-,0.397,1.996,-
'[20:35:07.073]',-,-,-,-,0.403,1.984,-
'[20:35:07.081]',-,-,-,-,0.410,1.971,-
'[20:35:07.089]',-,-,-,-,0.419,1.957,-
'[20:35:07.097]',-,-,-,-,0.430,1.942,-
'[20:35:07.105]',-,-,-,-,0.442,1.928,-
'[20:35:07.113]',-,-,-,-,0.454,1.913,-
'[20:35:07.121]',-,-,-,-,0.467,1.898,-
'[20:35:07.129]',-,-,-,-,0.479,1.884,-
'[20:35:07.137]',-,-,-,-,0.492,1.862,-
'[20:35:07.145]',-,-,-,-,0.504,1.837,-
'[20:35:07.153]',-,-,-,-,0.518,1.816,-
'[20:35:07.161]',-,-,-,-,0.532,1.799,-
'[20:35:07.169]',-,-,-,-,0.547,1.783,-
'[20:35:07.177]',-,-,-,-,0.561,1.761,-
'[20:35:07.185]',-,-,-,-,0.575,1.735,-
'[20:35:07.193]',-,-,-,-,0.589,1.708,-
'[20:35:07.201]',-,-,-,-,0.602,1.679,-
'[20:35:07.209]',-,-,-,-,0.614,1.650,-
'[20:35:07.217]',-,-,-,-,0.624,1.621,-
'[20:35:07.225]',-,-,-,-,0.634,1.599,-
'[20:35:07.233]',-,-,-,-,0.642,1.578,-
'[20:35:07.241]',-,-,-,-,0.650,1.559,-
'[20:35:07.249]',-,-,-,-,0.655,1.543,-
'[20:35:07.257]',-,-,-,-,0.661,1.531,-
'[20:35:07.265]',-,-,-,-,0.664,1.525,-
'[20:35:07.273]',-,-,-,-,0.667,1.511,-
'[20:35:07.281]',-,-,-,-,0.668,1.497,-
'[20:35:07.289]',-,-,-,-,0.670,1.482,-
'[20:35:07.297]',-,-,-,-,0.669,1.460,-
'[20:35:07.305]',-,-,-,-,0.668,1.435,-
'[20:35:07.313]',-,-,-,-,0.666,1.408,-
'[20:35:07.321]',-,-,-,-,0.663,1.379,-
'[20:35:07.329]',-,-,-,-,0.658,1.358,-
'[20:35:07.337]',-,-,-,-,0.653,1.343,-
'[20:35:07.345]',-,-,-,-,0.647,1.328,-
'[20:35:07.353]',-,-,-,-,0.641,1.322,-
'[20:35:07.361]',-,-,-,-,0.634,1.318,-
'[20:35:07.369]',-,-,-,-,0.627,1.313,-
'[20:35:07.377]',-,-,-,-,0.620,1.306,-
'[20:35:07.385]',-,-,-,-,0.612,1.295,-
'[20:35:07.393]',-,-,-,-,0.604,1.283,-
'[20:35:07.401]',-,-,-,-,0.597,1.269,-
'[20:35:07.409]',-,-,-,-,0.587,1.259,-
'[20:35:07.417]',-,-,-,-,0.578,1.250,-
'[20:35:07.425]',-,-,-,-,0.567,1.242,-
'[20:35:07.433]',-,-,-,-,0.557,1.241,-
'[20:35:07.441]',-,-,-,-,0.546,1.252,-
'[20:35:07.449]',-,-,-,-,0.535,1.280,-
'[20:35:07.457]',-,-,-,-,0.524,1.323,-
'[20:35:07.465]',-,-,-,-,0.513,1.388,-
'[20:35:07.473]',-,-,-,-,0.500,1.479,-
'[20:35:07.481]',-,-,-,-,0.488,1.590,-
'[20:35:07.489]',-,-,-,-,0.473,1.722,-
'[20:35:07.497]',-,-,-,-,0.459,1.865,-
'[20:35:07.505]',-,-,-,-,0.444,2.010,-
'[20:35:07.513]',-,-,-,-,0.430,2.154,-
'[20:35:07.521]',-,0.265,0.655,0.495,0.415,2.293,-
'[20:35:07.529]',-,0.265,0.660,0.495,0.400,2.417,-
'[20:35:07.537]',-,0.260,0.665,0.495,0.388,2.527,-
'[20:35:07.545]',-,0.260,0.665,0.495,0.376,2.622,-
'[20:35:07.553]',-,0.255,0.665,0.495,0.365,2.691,-
'[20:35:07.561]',-,0.255,0.670,0.495,0.354,2.740,-
'[20:35:07.569]',-,0.255,0.670,0.495,0.346,2.783,-
'[20:35:07.577]',-,0.260,0.670,0.495,0.339,2.815,-
'[20:35:07.585]',-,0.260,0.665,0.495,0.333,2.839,-
'[20:35:07.593]',-,0.265,0.665,0.495,0.328,2.858,-
'[20:35:07.601]',-,0.265,0.665,0.495,0.326,2.875,-
'[20:35:07.609]',-,0.265,0.660,0.495,0.325,2.887,-
'[20:35:07.617]',-,0.265,0.660,0.490,0.326,2.896,-
'[20:35:07.625]',-,0.260,0.665,0.490,0.328,2.908,-
'[20:35:07.633]',-,0.260,0.665,0.485,0.335,2.922,-
'[20:35:07.641]',-,0.265,0.660,0.485,0.343,2.933,-
'[20:35:07.649]',-,0.265,0.660,0.480,0.355,2.937,-
'[20:35:07.657]',-,0.270,0.655,0.480,0.368,2.936,-
'[20:35:07.665]',-,0.275,0.650,0.480,0.385,2.935,-
'[20:35:07.673]',-,0.285,0.640,0.485,0.402,2.939,-
'[20:35:07.681]',-,0.290,0.635,0.495,0.422,2.941,-
'[20:35:07.689]',-,0.300,0.630,0.505,0.442,2.942,-
'[20:35:07.697]',-,0.315,0.610,0.505,0.461,2.938,-
'[20:35:07.705]',-,0.340,0.595,0.500,0.479,2.936,-
'[20:35:07.713]',-,0.355,0.590,0.500,0.496,2.935,-
'[20:35:07.721]',-,0.360,0.590,0.490,0.513,2.928,-
'[20:35:07.729]',-,0.350,0.590,0.480,0.529,2.917,-
'[20:35:07.737]',-,0.335,0.600,0.470,0.545,2.897,-
'[20:35:07.745]',-,0.315,0.620,0.465,0.559,2.865,-
'[20:35:07.753]',-,0.295,0.640,0.460,0.573,2.831,-
'[20:35:07.761]',-,0.290,0.645,0.460,0.584,2.796,-
'[20:35:07.769]',-,0.290,0.645,0.455,0.594,2.749,-
'[20:35:07.777]',-,0.295,0.640,0.455,0.602,2.689,-
'[20:35:07.785]',-,0.300,0.640,0.460,0.609,2.630,-
'[20:35:07.793]',-,0.245,0.650,0.480,0.611,2.575,-
'[20:35:07.801]',-,0.225,0.625,0.500,0.614,2.525,-
'[20:35:07.809]',-,0.340,0.530,0.490,0.613,2.482,-
'[20:35:07.817]',-,0.645,0.390,0.440,0.611,2.438,-
'[20:35:07.825]',-,1.040,0.255,0.310,0.606,2.398,-
'[20:35:07.833]',-,1.150,0.240,0.145,0.601,2.360,-
'[20:35:07.841]',-,0.835,0.465,0.100,0.593,2.319,-
'[20:35:07.849]',-,0.515,0.600,0.180,0.586,2.281,-
'[20:35:07.857]',-,0.370,0.620,0.295,0.578,2.250,-
'[20:35:07.865]',-,0.320,0.620,0.380,0.570,2.224,-
'[20:35:07.873]',-,0.295,0.625,0.425,0.561,2.196,-
'[20:35:07.881]',-,0.290,0.630,0.445,0.553,2.168,-
'[20:35:07.889]',-,0.285,0.630,0.450,0.545,2.139,-
'[20:35:07.897]',-,0.285,0.630,0.455,0.537,2.109,-
'[20:35:07.905]',-,0.285,0.630,0.455,0.529,2.080,-
'[20:35:07.913]',-,0.285,0.625,0.460,0.522,2.056,-
'[20:35:07.921]',-,0.285,0.625,0.460,0.515,2.036,-
'[20:35:07.929]',-,0.285,0.625,0.460,0.509,2.019,-
'[20:35:07.937]',-,0.285,0.625,0.460,0.504,2.003,-
'[20:35:07.945]',-,0.290,0.625,0.455,0.499,1.987,-
'[20:35:07.953]',-,0.295,0.620,0.455,0.496,1.977,-
'[20:35:07.961]',-,0.300,0.610,0.460,0.494,1.967,-
'[20:35:07.969]',-,0.310,0.610,0.460,0.492,1.951,-
'[20:35:07.977]',-,0.315,0.605,0.460,0.491,1.929,-
'[20:35:07.985]',-,0.320,0.600,0.460,0.490,1.906,-
'[20:35:07.993]',-,0.320,0.600,0.450,0.488,1.885,-
'[20:35:08.001]',-,0.325,0.595,0.450,0.486,1.859,-
'[20:35:08.009]',-,0.330,0.590,0.445,0.484,1.832,-
'[20:35:08.017]',-,0.340,0.580,0.445,0.482,1.804,-
'[20:35:08.025]',-,0.345,0.570,0.440,0.480,1.771,-
'[20:35:08.033]',-,0.350,0.570,0.435,0.478,1.740,-
'[20:35:08.041]',-,0.355,0.565,0.430,0.475,1.710,-
'[20:35:08.049]',-,0.360,0.555,0.430,0.471,1.680,-
'[20:35:08.057]',-,0.375,0.540,0.425,0.467,1.658,-
'[20:35:08.065]',-,0.390,0.525,0.425,0.462,1.639,-
'[20:35:08.073]',-,0.405,0.515,0.420,0.456,1.620,-
'[20:35:08.081]',-,0.420,0.500,0.415,0.451,1.598,-
