'Time','II','PLETH','ABP','III','I'
'[19:54:48.640]',0.362,0.518,82.902,-,-
'[19:54:48.648]',0.346,0.514,82.073,-,-
'[19:54:48.656]',0.346,0.510,82.073,-,-
'[19:54:48.664]',0.339,0.506,82.073,-,-
'[19:54:48.672]',0.346,0.502,81.244,-,-
'[19:54:48.680]',0.378,0.494,81.244,-,-
'[19:54:48.688]',0.402,0.490,80.415,-,-
'[19:54:48.696]',0.402,0.486,80.415,-,-
'[19:54:48.704]',0.370,0.478,80.415,-,-
'[19:54:48.712]',0.331,0.475,79.585,-,-
'[19:54:48.720]',0.315,0.471,79.585,-,-
'[19:54:48.728]',0.323,0.471,79.585,-,-
'[19:54:48.736]',0.331,0.467,79.585,-,-
'[19:54:48.744]',0.370,0.463,78.964,-,-
'[19:54:48.752]',0.402,0.459,78.964,-,-
'[19:54:48.760]',0.402,0.455,78.135,-,-
'[19:54:48.768]',0.409,0.451,78.135,-,-
'[19:54:48.776]',0.386,0.447,77.306,-,-
'[19:54:48.784]',0.362,0.443,77.306,-,-
'[19:54:48.792]',0.354,0.439,76.477,-,-
'[19:54:48.800]',0.362,0.435,76.477,-,-
'[19:54:48.808]',0.362,0.435,75.855,-,-
'[19:54:48.816]',0.386,0.431,75.026,-,-
'[19:54:48.824]',0.402,0.427,75.026,-,-
'[19:54:48.832]',0.402,0.420,74.197,-,-
'[19:54:48.840]',0.378,0.416,74.197,-,-
'[19:54:48.848]',0.362,0.412,73.368,-,-
'[19:54:48.856]',0.362,0.408,72.746,-,-
'[19:54:48.864]',0.362,0.404,72.746,-,-
'[19:54:48.872]',0.362,0.400,71.917,-,-
'[19:54:48.880]',0.362,0.400,71.088,-,-
'[19:54:48.888]',0.370,0.396,71.088,-,-
'[19:54:48.896]',0.378,0.392,70.259,-,-
'[19:54:48.904]',0.362,0.392,70.259,-,-
'[19:54:48.912]',0.346,0.388,70.259,-,-
'[19:54:48.920]',0.323,0.388,69.430,-,-
'[19:54:48.928]',0.291,0.384,69.430,-,-
'[19:54:48.936]',0.268,0.380,69.430,-,-
'[19:54:48.944]',0.244,0.376,69.430,-,-
'[19:54:48.952]',0.236,0.376,69.430,-,-
'[19:54:48.960]',0.244,0.373,69.430,-,-
'[19:54:48.968]',0.268,0.369,68.808,-,-
'[19:54:48.976]',0.283,0.365,68.808,-,-
'[19:54:48.984]',0.299,0.361,68.808,-,-
'[19:54:48.992]',0.362,0.361,68.808,-,-
'[19:54:49.000]',0.520,0.357,68.808,-,-
'[19:54:49.008]',0.780,0.357,68.808,-,-
'[19:54:49.016]',0.961,0.353,67.979,-,-
'[19:54:49.024]',0.819,0.349,67.979,-,-
'[19:54:49.032]',0.402,0.345,67.979,-,-
'[19:54:49.040]',0.024,0.341,67.979,-,-
'[19:54:49.048]',-0.134,0.337,68.808,-,-
'[19:54:49.056]',-0.142,0.333,68.808,-,-
'[19:54:49.064]',0.008,0.329,68.808,-,-
'[19:54:49.072]',0.118,0.325,68.808,-,-
'[19:54:49.080]',0.220,0.322,68.808,-,-
'[19:54:49.088]',0.291,0.318,68.808,-,-
'[19:54:49.096]',0.331,0.314,68.808,-,-
'[19:54:49.104]',0.339,0.314,68.808,-,-
'[19:54:49.112]',0.339,0.314,67.979,-,-
'[19:54:49.120]',0.354,0.314,67.979,-,-
'[19:54:49.128]',0.362,0.310,67.150,-,-
'[19:54:49.136]',0.346,0.310,67.150,-,-
'[19:54:49.144]',0.346,0.310,67.150,-,-
'[19:54:49.152]',0.378,0.306,66.321,-,-
'[19:54:49.160]',0.402,0.306,66.321,-,-
'[19:54:49.168]',0.386,0.302,66.321,-,-
'[19:54:49.176]',0.370,0.298,66.321,-,-
'[19:54:49.184]',0.339,0.298,65.699,-,-
'[19:54:49.192]',0.307,0.294,65.699,-,-
'[19:54:49.200]',0.291,0.294,64.870,-,-
'[19:54:49.208]',0.307,0.294,64.041,-,-
'[19:54:49.216]',0.315,0.294,63.212,-,-
'[19:54:49.224]',0.331,0.294,63.212,-,-
'[19:54:49.232]',0.346,0.294,62.591,-,-
'[19:54:49.240]',0.362,0.294,62.591,-,-
'[19:54:49.248]',0.346,0.294,64.041,-,-
'[19:54:49.256]',0.339,0.294,67.150,-,-
'[19:54:49.264]',0.331,0.290,71.917,-,-
'[19:54:49.272]',0.323,0.290,79.585,-,-
'[19:54:49.280]',0.315,0.290,90.570,-,-
'[19:54:49.288]',0.307,0.290,101.554,-,-
'[19:54:49.296]',0.315,0.286,111.710,-,-
'[19:54:49.304]',0.339,0.286,118.756,-,-
'[19:54:49.312]',0.370,0.286,123.523,-,-
'[19:54:49.320]',0.378,0.282,124.145,-,-
'[19:54:49.328]',0.370,0.282,124.145,-,-
'[19:54:49.336]',0.346,0.278,123.523,-,-
'[19:54:49.344]',0.323,0.278,124.145,-,-
'[19:54:49.352]',0.315,0.275,127.254,-,-
'[19:54:49.360]',0.299,0.302,132.021,-,-
'[19:54:49.368]',0.291,0.345,136.788,-,-
'[19:54:49.376]',0.291,0.365,142.176,-,-
'[19:54:49.384]',0.291,0.376,146.114,-,-
'[19:54:49.392]',0.307,0.380,148.394,-,-
'[19:54:49.400]',0.323,0.384,149.223,-,-
'[19:54:49.408]',0.346,0.384,149.223,-,-
'[19:54:49.416]',0.346,0.384,148.394,-,-
'[19:54:49.424]',0.346,0.384,147.565,-,-
'[19:54:49.432]',0.354,0.384,147.565,-,-
'[19:54:49.440]',0.346,0.384,146.943,-,-
'[19:54:49.448]',0.346,0.384,146.943,-,-
'[19:54:49.456]',0.362,0.384,146.943,-,-
'[19:54:49.464]',0.378,0.380,146.114,-,-
'[19:54:49.472]',0.386,0.380,146.114,-,-
'[19:54:49.480]',0.394,0.380,145.285,-,-
'[19:54:49.488]',0.386,0.380,143.834,-,-
'[19:54:49.496]',0.378,0.380,143.005,-,-
'[19:54:49.504]',0.370,0.384,141.347,-,-
'[19:54:49.512]',0.370,0.384,139.896,-,-
'[19:54:49.520]',0.378,0.384,138.238,-,-
'[19:54:49.528]',0.402,0.384,136.788,-,-
'[19:54:49.536]',0.409,0.384,135.130,-,-
'[19:54:49.544]',0.402,0.384,132.850,-,-
'[19:54:49.552]',0.386,0.388,131.192,-,-
'[19:54:49.560]',0.378,0.392,128.912,-,-
'[19:54:49.568]',0.394,0.396,125.803,-,-
'[19:54:49.576]',0.394,0.404,122.694,-,-
'[19:54:49.584]',0.386,0.408,118.756,-,-
'[19:54:49.592]',0.402,0.412,114.819,-,-
'[19:54:49.600]',0.417,0.420,110.881,-,-
'[19:54:49.608]',0.433,0.424,107.772,-,-
'[19:54:49.616]',0.441,0.431,104.663,-,-
'[19:54:49.624]',0.457,0.439,103.212,-,-
'[19:54:49.632]',0.433,0.443,102.383,-,-
'[19:54:49.640]',0.386,0.455,102.383,-,-
'[19:54:49.648]',0.362,0.463,102.383,-,-
'[19:54:49.656]',0.362,0.471,103.212,-,-
'[19:54:49.664]',0.386,0.478,103.212,-,-
'[19:54:49.672]',0.386,0.486,103.212,-,-
'[19:54:49.680]',0.386,0.494,101.554,-,-
'[19:54:49.688]',0.394,0.502,100.104,-,-
'[19:54:49.696]',0.402,0.510,99.275,-,-
'[19:54:49.704]',0.409,0.518,97.617,-,-
'[19:54:49.712]',0.402,0.522,96.788,-,-
'[19:54:49.720]',0.378,0.525,96.166,-,-
'[19:54:49.728]',0.346,0.533,96.166,-,-
'[19:54:49.736]',0.315,0.537,95.337,-,-
'[19:54:49.744]',0.276,0.545,95.337,-,-
'[19:54:49.752]',0.205,0.549,94.508,-,-
'[19:54:49.760]',0.094,0.553,94.508,-,-
'[19:54:49.768]',-0.071,0.557,93.679,-,-
'[19:54:49.776]',-0.268,0.561,93.057,-,-
'[19:54:49.784]',-0.378,0.561,92.228,-,-
'[19:54:49.792]',-0.331,0.565,91.399,-,-
'[19:54:49.800]',-0.213,0.565,90.570,-,-
'[19:54:49.808]',-0.118,0.569,89.741,-,-
'[19:54:49.816]',-0.079,0.569,89.741,-,-
'[19:54:49.824]',-0.031,0.569,89.119,-,-
'[19:54:49.832]',0.102,0.569,88.290,-,-
'[19:54:49.840]',0.236,0.569,88.290,-,-
'[19:54:49.848]',0.331,0.565,87.461,-,-
'[19:54:49.856]',0.409,0.565,86.632,-,-
'[19:54:49.864]',0.465,0.561,86.632,-,-
'[19:54:49.872]',0.488,0.557,86.010,-,-
'[19:54:49.880]',0.520,0.553,86.010,-,-
'[19:54:49.888]',0.535,0.553,85.181,-,-
'[19:54:49.896]',0.528,0.549,85.181,-,-
'[19:54:49.904]',0.528,0.545,84.352,-,-
'[19:54:49.912]',0.551,0.545,84.352,-,-
'[19:54:49.920]',0.559,0.541,83.523,-,-
'[19:54:49.928]',0.551,0.537,83.523,-,-
'[19:54:49.936]',0.543,0.537,82.902,-,-
'[19:54:49.944]',0.528,0.533,82.073,-,-
'[19:54:49.952]',0.496,0.529,81.244,-,-
'[19:54:49.960]',0.488,0.525,80.415,-,-
'[19:54:49.968]',0.512,0.525,79.585,-,-
'[19:54:49.976]',0.559,0.522,78.964,-,-
'[19:54:49.984]',0.583,0.518,78.135,-,-
'[19:54:49.992]',0.591,0.518,77.306,-,-
'[19:54:50.000]',0.583,0.514,76.477,-,-
'[19:54:50.008]',0.583,0.514,75.855,-,-
'[19:54:50.016]',0.614,0.510,75.855,-,-
'[19:54:50.024]',0.654,0.510,75.855,-,-
'[19:54:50.032]',0.685,0.506,75.855,-,-
'[19:54:50.040]',0.709,0.506,75.855,-,-
'[19:54:50.048]',0.748,0.502,75.855,-,-
'[19:54:50.056]',0.780,0.498,76.477,-,-
'[19:54:50.064]',0.811,0.498,77.306,-,-
'[19:54:50.072]',0.835,0.494,78.135,-,-
'[19:54:50.080]',0.850,0.494,81.244,-,-
'[19:54:50.088]',0.874,0.490,85.181,-,-
'[19:54:50.096]',0.906,0.490,91.399,-,-
'[19:54:50.104]',0.937,0.490,97.617,-,-
'[19:54:50.112]',0.976,0.486,103.834,-,-
'[19:54:50.120]',1.008,0.486,109.430,-,-
'[19:54:50.128]',0.992,0.482,113.368,-,-
'[19:54:50.136]',0.945,0.478,115.648,-,-
'[19:54:50.144]',0.906,0.478,116.477,-,-
'[19:54:50.152]',0.874,0.475,115.648,-,-
'[19:54:50.160]',0.835,0.475,114.819,-,-
'[19:54:50.168]',0.756,0.471,114.819,-,-
'[19:54:50.176]',0.661,0.471,115.648,-,-
'[19:54:50.184]',0.567,0.467,116.477,-,-
'[19:54:50.192]',0.496,0.467,117.927,-,-
'[19:54:50.200]',0.441,0.463,118.756,-,-
'[19:54:50.208]',0.402,0.463,119.585,-,-
'[19:54:50.216]',0.362,0.463,118.756,-,-
'[19:54:50.224]',0.331,0.463,117.098,-,-
'[19:54:50.232]',0.315,0.459,115.648,-,-
'[19:54:50.240]',0.283,0.459,113.368,-,-
'[19:54:50.248]',0.260,0.459,110.259,-,-
'[19:54:50.256]',0.252,0.455,106.943,-,-
'[19:54:50.264]',0.252,0.455,103.834,-,-
'[19:54:50.272]',0.260,0.451,100.725,-,-
'[19:54:50.280]',0.276,0.451,97.617,-,-
'[19:54:50.288]',0.260,0.451,94.508,-,-
'[19:54:50.296]',0.244,0.447,92.228,-,-
'[19:54:50.304]',0.220,0.447,89.741,-,-
'[19:54:50.312]',0.205,0.447,88.290,-,-
'[19:54:50.320]',0.205,0.443,86.632,-,-
'[19:54:50.328]',0.189,0.443,86.632,-,-
'[19:54:50.336]',0.181,0.439,86.632,-,-
'[19:54:50.344]',0.157,0.439,87.461,-,-
'[19:54:50.352]',0.134,0.439,87.461,-,-
'[19:54:50.360]',0.118,0.439,87.461,-,-
'[19:54:50.368]',0.110,0.439,87.461,-,-
'[19:54:50.376]',0.118,0.439,86.632,-,-
'[19:54:50.384]',0.134,0.443,86.010,-,-
'[19:54:50.392]',0.142,0.443,86.010,-,-
'[19:54:50.400]',0.157,0.447,85.181,-,-
'[19:54:50.408]',0.173,0.451,84.352,-,-
'[19:54:50.416]',0.181,0.455,83.523,-,-
'[19:54:50.424]',0.173,0.459,83.523,-,-
'[19:54:50.432]',0.173,0.463,82.902,-,-
'[19:54:50.440]',0.181,0.467,82.902,-,-
'[19:54:50.448]',0.189,0.467,82.902,-,-
'[19:54:50.456]',0.205,0.471,82.902,-,-
'[19:54:50.464]',0.220,0.475,82.902,-,-
'[19:54:50.472]',0.205,0.478,82.073,-,-
'[19:54:50.480]',0.205,0.478,81.244,-,-
'[19:54:50.488]',0.236,0.482,81.244,-,-
'[19:54:50.496]',0.260,0.486,80.415,-,-
'[19:54:50.504]',0.268,0.486,80.415,-,-
'[19:54:50.512]',0.236,0.490,79.585,-,-
'[19:54:50.520]',0.220,0.490,79.585,-,-
'[19:54:50.528]',0.228,0.494,79.585,-,-
'[19:54:50.536]',0.236,0.494,79.585,-,-
'[19:54:50.544]',0.244,0.494,79.585,-,-
'[19:54:50.552]',0.276,0.494,79.585,-,-
'[19:54:50.560]',0.291,0.494,80.415,-,-
'[19:54:50.568]',0.276,0.490,79.585,-,-
'[19:54:50.576]',0.260,0.490,79.585,-,-
'[19:54:50.584]',0.276,0.490,78.964,-,-
'[19:54:50.592]',0.291,0.486,78.964,-,-
'[19:54:50.600]',0.291,0.486,78.135,-,-
'[19:54:50.608]',0.291,0.482,77.306,-,-
'[19:54:50.616]',0.299,0.478,77.306,-,-
'[19:54:50.624]',0.299,0.478,76.477,-,-
'[19:54:50.632]',0.291,0.475,76.477,-,-
'[19:54:50.640]',0.276,0.471,75.855,-,-
'[19:54:50.648]',0.260,0.471,75.026,-,-
'[19:54:50.656]',0.276,0.467,75.026,-,-
'[19:54:50.664]',0.291,0.467,74.197,-,-
'[19:54:50.672]',0.307,0.467,74.197,-,-
'[19:54:50.680]',0.291,0.463,73.368,-,-
'[19:54:50.688]',0.276,0.463,73.368,-,-
'[19:54:50.696]',0.299,0.463,72.746,-,-
'[19:54:50.704]',0.323,0.463,72.746,-,-
'[19:54:50.712]',0.354,0.459,72.746,-,-
'[19:54:50.720]',0.362,0.459,71.917,-,-
'[19:54:50.728]',0.331,0.459,71.917,-,-
'[19:54:50.736]',0.291,0.455,71.917,-,-
'[19:54:50.744]',0.276,0.455,71.917,-,-
'[19:54:50.752]',0.276,0.455,71.088,-,-
'[19:54:50.760]',0.291,0.451,71.088,-,-
'[19:54:50.768]',0.291,0.451,71.088,-,-
'[19:54:50.776]',0.276,0.451,70.259,-,-
'[19:54:50.784]',0.276,0.447,70.259,-,-
'[19:54:50.792]',0.291,0.447,70.259,-,-
'[19:54:50.800]',0.307,0.447,70.259,-,-
'[19:54:50.808]',0.315,0.443,70.259,-,-
'[19:54:50.816]',0.323,0.443,70.259,-,-
'[19:54:50.824]',0.331,0.443,70.259,-,-
'[19:54:50.832]',0.346,0.439,70.259,-,-
'[19:54:50.840]',0.346,0.439,70.259,-,-
'[19:54:50.848]',0.331,0.439,69.430,-,-
'[19:54:50.856]',0.331,0.435,69.430,-,-
'[19:54:50.864]',0.339,0.435,69.430,-,-
'[19:54:50.872]',0.331,0.435,68.808,-,-
'[19:54:50.880]',0.331,0.431,68.808,-,-
'[19:54:50.888]',0.323,0.431,67.979,-,-
'[19:54:50.896]',0.323,0.431,67.979,-,-
'[19:54:50.904]',0.323,0.431,67.979,-,-
'[19:54:50.912]',0.315,0.427,67.150,-,-
'[19:54:50.920]',0.307,0.427,67.150,-,-
'[19:54:50.928]',0.299,0.427,67.150,-,-
'[19:54:50.936]',0.291,0.427,67.150,-,-
'[19:54:50.944]',0.291,0.427,67.150,-,-
'[19:54:50.952]',0.291,0.427,67.150,-,-
'[19:54:50.960]',0.291,0.427,66.321,-,-
'[19:54:50.968]',0.276,0.427,66.321,-,-
'[19:54:50.976]',0.268,0.427,66.321,-,-
'[19:54:50.984]',0.252,0.427,66.321,-,-
'[19:54:50.992]',0.236,0.427,65.699,-,-
'[19:54:51.000]',0.236,0.427,65.699,-,-
'[19:54:51.008]',0.260,0.427,65.699,-,-
'[19:54:51.016]',0.291,0.427,65.699,-,-
'[19:54:51.024]',0.417,0.427,64.870,-,-
'[19:54:51.032]',0.654,0.427,64.870,-,-
'[19:54:51.040]',0.906,0.427,64.870,-,-
'[19:54:51.048]',0.937,0.427,64.870,-,-
'[19:54:51.056]',0.465,0.427,64.870,-,-
'[19:54:51.064]',-0.016,0.427,64.041,-,-
'[19:54:51.072]',-0.260,0.424,64.041,-,-
'[19:54:51.080]',-0.276,0.424,63.212,-,-
'[19:54:51.088]',-0.102,0.424,63.212,-,-
'[19:54:51.096]',0.047,0.424,62.591,-,-
'[19:54:51.104]',0.173,0.420,61.762,-,-
'[19:54:51.112]',0.252,0.420,61.762,-,-
