"'Time','II','AVR','V','RESP','PLETH','ABP','CVP'"
"'[14:30:57.908]',-,-,-,-,-,-,-"
"'[14:30:57.916]',-,-,-,-,-,-,-"
"'[14:30:57.924]',-,-,-,-,-,-,-"
"'[14:30:57.932]',-,-,-,-,-,-,-"
"'[14:30:57.940]',-,-,-,-,-,-,-"
"'[14:30:57.948]',-,-,-,-,-,-,-"
"'[14:30:57.956]',-,-,-,-,-,-,-"
"'[14:30:57.964]',-,-,-,-,-,-,-"
"'[14:30:57.972]',-,-,-,-,-,-,-"
"'[14:30:57.980]',-,-,-,-,-,-,-"
"'[14:30:57.988]',-,-,-,-,-,-,-"
"'[14:30:57.996]',-,-,-,-,-,-,-"
"'[14:30:58.004]',-,-,-,-,-,-,-"
"'[14:30:58.012]',-,-,-,-,-,-,-"
"'[14:30:58.020]',-,-,-,-,-,-,-"
"'[14:30:58.028]',-,-,-,-,-,-,-"
"'[14:30:58.036]',-,-,-,-,-,-,-"
"'[14:30:58.044]',-,-,-,-,-,-,-"
"'[14:30:58.052]',-,-,-,-,-,-,-"
"'[14:30:58.060]',-,-,-,-,-,-,-"
"'[14:30:58.068]',-,-,-,-,-,-,-"
"'[14:30:58.076]',-,-,-,-,-,-,-"
"'[14:30:58.084]',-,-,-,-,-,-,-"
"'[14:30:58.092]',-,-,-,-,-,-,-"
"'[14:30:58.100]',-,-,-,-,-,-,-"
"'[14:30:58.108]',-,-,-,-,-,-,-"
"'[14:30:58.116]',-,-,-,-,-,-,-"
"'[14:30:58.124]',-,-,-,-,-,-,-"
"'[14:30:58.132]',-,-,-,-,-,-,-"
"'[14:30:58.140]',-,-,-,-,-,-,-"
"'[14:30:58.148]',-,-,-,-,-,-,-"
"'[14:30:58.156]',-,-,-,-,-,-,-"
"'[14:30:58.164]',-,-,-,-,-,-,-"
"'[14:30:58.172]',-,-,-,-,-,-,-"
"'[14:30:58.180]',-,-,-,-,-,-,-"
"'[14:30:58.188]',-,-,-,-,-,-,-"
"'[14:30:58.196]',-,-,-,-,-,-,-"
"'[14:30:58.204]',-,-,-,-,-,-,-"
"'[14:30:58.212]',-,-,-,-,-,-,-"
"'[14:30:58.220]',-,-,-,-,-,-,-"
"'[14:30:58.228]',-,-,-,-,-,-,-"
"'[14:30:58.236]',-,-,-,-,-,-,-"
"'[14:30:58.244]',-,-,-,-,-,-,-"
"'[14:30:58.252]',-,-,-,-,-,-,-"
"'[14:30:58.260]',-,-,-,-,-,-,-"
"'[14:30:58.268]',-,-,-,-,-,-,-"
"'[14:30:58.276]',-,-,-,-,-,-,-"
"'[14:30:58.284]',-,-,-,-,-,-,-"
"'[14:30:58.292]',-,-,-,-,-,-,-"
"'[14:30:58.300]',-,-,-,-,-,-,-"
"'[14:30:58.308]',-,-,-,-,-,-,-"
"'[14:30:58.316]',-,-,-,-,-,-,-"
"'[14:30:58.324]',-,-,-,-,-,-,-"
"'[14:30:58.332]',-,-,-,-,-,-,-"
"'[14:30:58.340]',-,-,-,-,-,-,-"
"'[14:30:58.348]',-,-,-,-,-,-,-"
"'[14:30:58.356]',-,-,-,-,-,-,-"
"'[14:30:58.364]',-,-,-,-,-,-,-"
"'[14:30:58.372]',-,-,-,-,-,-,-"
"'[14:30:58.380]',-,-,-,-,-,-,-"
"'[14:30:58.388]',-,-,-,-,-,-,-"
"'[14:30:58.396]',-,-,-,-,-,-,-"
"'[14:30:58.404]',-,-,-,-,-,-,-"
"'[14:30:58.412]',-,-,-,-,-,-,-"
"'[14:30:58.420]',-,-,-,-,-,-,-"
"'[14:30:58.428]',-,-,-,-,-,-,-"
"'[14:30:58.436]',-,-,-,-,-,-,-"
"'[14:30:58.444]',-,-,-,-,-,-,-"
"'[14:30:58.452]',-,-,-,-,-,-,-"
"'[14:30:58.460]',-,-,-,-,-,-,-"
"'[14:30:58.468]',-,-,-,-,-,-,-"
"'[14:30:58.476]',-,-,-,-,-,-,-"
"'[14:30:58.484]',-,-,-,-,-,-,-"
"'[14:30:58.492]',-,-,-,-,-,-,-"
"'[14:30:58.500]',-,-,-,-,-,-,-"
"'[14:30:58.508]',-,-,-,-,-,-,-"
"'[14:30:58.516]',-,-,-,-,-,-,-"
"'[14:30:58.524]',-,-,-,-,-,-,-"
"'[14:30:58.532]',-,-,-,-,-,-,-"
"'[14:30:58.540]',-,-,-,-,-,-,-"
"'[14:30:58.548]',-,-,-,-,-,-,-"
"'[14:30:58.556]',0.315,0.765,0.625,-,-,-,-"
"'[14:30:58.564]',0.315,0.760,0.640,-,-,-,-"
"'[14:30:58.572]',0.315,0.760,0.650,-,-,-,-"
"'[14:30:58.580]',0.315,0.760,0.660,-,-,-,-"
"'[14:30:58.588]',0.315,0.760,0.665,-,-,-,-"
"'[14:30:58.596]',0.320,0.760,0.670,-,-,-,-"
"'[14:30:58.604]',0.325,0.760,0.680,-,-,-,-"
"'[14:30:58.612]',0.325,0.755,0.690,-,-,-,-"
"'[14:30:58.620]',0.335,0.750,0.695,-,-,-,-"
"'[14:30:58.628]',0.340,0.740,0.695,-,-,-,-"
"'[14:30:58.636]',0.355,0.725,0.705,-,-,-,-"
"'[14:30:58.644]',0.375,0.715,0.710,-,-,-,-"
"'[14:30:58.652]',0.385,0.705,0.700,-,-,-,-"
"'[14:30:58.660]',0.390,0.695,0.670,-,-,-,-"
"'[14:30:58.668]',0.385,0.695,0.630,-,-,-,-"
"'[14:30:58.676]',0.370,0.700,0.625,-,-,-,-"
"'[14:30:58.684]',0.350,0.715,0.645,-,-,-,-"
"'[14:30:58.692]',0.335,0.725,0.660,-,-,-,-"
"'[14:30:58.700]',0.315,0.740,0.665,-,-,-,-"
"'[14:30:58.708]',0.290,0.760,0.680,-,-,-,-"
"'[14:30:58.716]',0.270,0.785,0.700,-,-,-,-"
"'[14:30:58.724]',0.255,0.800,0.715,-,-,-,-"
"'[14:30:58.732]',0.260,0.800,0.720,-,-,-,-"
"'[14:30:58.740]',0.260,0.795,0.725,-,-,-,-"
"'[14:30:58.748]',0.265,0.790,0.735,-,-,-,-"
"'[14:30:58.756]',0.270,0.785,0.750,-,-,-,-"
"'[14:30:58.764]',0.280,0.780,0.760,-,-,-,-"
"'[14:30:58.772]',0.285,0.780,0.775,-,-,-,-"
"'[14:30:58.780]',0.285,0.785,0.800,-0.206,-,-,37.004"
"'[14:30:58.788]',0.315,0.760,0.825,-0.140,-,-,37.004"
"'[14:30:58.796]',0.455,0.650,0.765,-0.132,-,-,37.004"
"'[14:30:58.804]',0.765,0.405,0.505,-0.125,-,-,37.004"
"'[14:30:58.812]',1.055,0.205,0.170,-0.115,-,-,37.004"
"'[14:30:58.820]',1.061,0.295,0.075,-0.105,-,-,37.004"
"'[14:30:58.828]',0.630,0.540,0.250,-0.094,-,-,37.004"
"'[14:30:58.836]',0.425,0.700,0.500,-0.083,-,-,37.004"
"'[14:30:58.844]',0.350,0.750,0.690,-0.071,-,-,37.004"
"'[14:30:58.852]',0.320,0.765,0.795,-0.058,-,-,37.004"
"'[14:30:58.860]',0.310,0.775,0.845,-0.044,-,-,37.004"
"'[14:30:58.868]',0.300,0.780,0.870,-0.029,-,-,37.004"
"'[14:30:58.876]',0.295,0.785,0.891,-0.013,-,-,37.004"
"'[14:30:58.884]',0.290,0.790,0.900,0.004,-,-,37.004"
"'[14:30:58.892]',0.285,0.795,0.900,0.020,-,-,37.004"
"'[14:30:58.900]',0.290,0.795,0.880,0.036,-,-,37.004"
"'[14:30:58.908]',0.300,0.785,0.870,0.051,-,-,37.004"
"'[14:30:58.916]',0.305,0.785,0.865,0.066,-,-,37.004"
"'[14:30:58.924]',0.310,0.780,0.870,0.078,-,-,37.004"
"'[14:30:58.932]',0.310,0.775,0.870,0.090,-,-,37.004"
"'[14:30:58.940]',0.315,0.775,0.875,0.099,-,-,37.004"
"'[14:30:58.948]',0.315,0.775,0.875,0.108,-,-,37.004"
"'[14:30:58.956]',0.315,0.770,0.885,0.111,-,-,37.004"
"'[14:30:58.964]',0.315,0.765,0.891,0.114,-,-,37.004"
"'[14:30:58.972]',0.320,0.760,0.880,0.112,-,-,37.004"
"'[14:30:58.980]',0.335,0.755,0.860,0.111,-,-,37.004"
"'[14:30:58.988]',0.345,0.745,0.840,0.107,-,-,37.004"
"'[14:30:58.996]',0.355,0.735,0.820,0.103,-,-,37.004"
"'[14:30:59.004]',0.360,0.730,0.800,0.096,-,-,37.004"
"'[14:30:59.012]',0.365,0.725,0.785,0.090,-,-,37.004"
"'[14:30:59.020]',0.380,0.720,0.770,0.079,-,-,37.004"
"'[14:30:59.028]',0.395,0.710,0.750,0.068,-,-,37.004"
"'[14:30:59.036]',0.410,0.695,0.735,0.054,-,-,37.004"
"'[14:30:59.044]',0.425,0.680,0.725,0.041,-,-,37.004"
"'[14:30:59.052]',0.445,0.665,0.715,0.025,-,-,37.004"
"'[14:30:59.060]',0.465,0.650,0.715,0.010,-,-,37.004"
"'[14:30:59.068]',0.490,0.635,0.705,-0.007,-,-,37.004"
"'[14:30:59.076]',0.515,0.620,0.685,-0.023,-,-,37.004"
"'[14:30:59.084]',0.540,0.600,0.665,-0.039,-,-,37.004"
"'[14:30:59.092]',0.570,0.580,0.650,-0.054,-,-,37.004"
"'[14:30:59.100]',0.590,0.565,0.640,-0.068,-,-,37.004"
"'[14:30:59.108]',0.610,0.555,0.630,-0.083,-,-,37.004"
"'[14:30:59.116]',0.625,0.545,0.625,-0.097,-,-,37.004"
"'[14:30:59.124]',0.625,0.545,0.625,-0.111,-,-,37.004"
"'[14:30:59.132]',0.610,0.555,0.635,-0.126,-,-,37.004"
"'[14:30:59.140]',0.585,0.575,0.645,-0.140,-,-,37.004"
"'[14:30:59.148]',0.545,0.600,0.660,-0.153,-,-,37.004"
"'[14:30:59.156]',0.500,0.635,0.670,-0.167,-,-,37.004"
"'[14:30:59.164]',0.450,0.670,0.700,-0.180,-,-,37.004"
"'[14:30:59.172]',0.405,0.700,0.740,-0.193,-,-,37.004"
"'[14:30:59.180]',0.370,0.725,0.785,-0.206,-,-,37.004"
"'[14:30:59.188]',0.340,0.745,0.840,-0.220,-,-,37.004"
"'[14:30:59.196]',0.320,0.755,0.875,-0.234,-,-,37.004"
"'[14:30:59.204]',0.305,0.765,0.900,-0.248,-,-,37.004"
"'[14:30:59.212]',0.295,0.770,0.920,-0.262,-,-,37.004"
"'[14:30:59.220]',0.290,0.770,0.935,-0.275,-,-,37.004"
"'[14:30:59.228]',0.290,0.765,0.950,-0.289,-,-,37.004"
"'[14:30:59.236]',0.290,0.770,0.960,-0.302,-,-,37.004"
"'[14:30:59.244]',0.280,0.775,0.970,-0.314,-,-,37.004"
"'[14:30:59.252]',0.275,0.780,0.970,-0.325,-,-,37.004"
"'[14:30:59.260]',0.270,0.780,0.956,-0.335,-,-,37.004"
"'[14:30:59.268]',0.260,0.785,0.930,-0.345,-,-,37.004"
"'[14:30:59.276]',0.260,0.785,0.895,-0.352,-,-,37.004"
"'[14:30:59.284]',0.255,0.790,0.845,-0.359,-,-,37.004"
"'[14:30:59.292]',0.245,0.795,0.790,-0.363,-,-,37.004"
"'[14:30:59.300]',0.240,0.795,0.730,-0.368,-,-,37.004"
"'[14:30:59.308]',0.240,0.800,0.675,-0.369,-,-,37.004"
"'[14:30:59.316]',0.245,0.795,0.630,-0.371,-,-,37.004"
"'[14:30:59.324]',0.250,0.790,0.590,-0.370,-,-,37.004"
"'[14:30:59.332]',0.255,0.785,0.555,-0.369,-,-,37.004"
"'[14:30:59.340]',0.255,0.780,0.540,-0.365,-,-,37.004"
"'[14:30:59.348]',0.260,0.780,0.530,-0.360,-,-,37.004"
"'[14:30:59.356]',0.260,0.780,0.530,-0.352,-,-,37.004"
"'[14:30:59.364]',0.260,0.785,0.535,-0.344,-,-,37.004"
"'[14:30:59.372]',0.260,0.785,0.545,-0.333,-,-,37.004"
"'[14:30:59.380]',0.260,0.785,0.550,-0.321,-,-,37.004"
"'[14:30:59.388]',0.260,0.785,0.555,-0.308,-,-,37.004"
"'[14:30:59.396]',0.260,0.790,0.555,-0.293,-,-,37.004"
"'[14:30:59.404]',0.270,0.785,0.555,-0.281,-,-,37.004"
"'[14:30:59.412]',0.275,0.780,0.555,-0.267,-,-,37.004"
"'[14:30:59.420]',0.280,0.780,0.560,-0.254,-,-,37.004"
"'[14:30:59.428]',0.280,0.775,0.560,-0.242,-,-,37.004"
"'[14:30:59.436]',0.290,0.775,0.560,-0.228,-,-,37.004"
"'[14:30:59.444]',0.290,0.775,0.560,-0.214,-,-,37.004"
"'[14:30:59.452]',0.295,0.770,0.560,-0.199,-,-,37.004"
"'[14:30:59.460]',0.300,0.770,0.560,-0.184,-,-,37.004"
"'[14:30:59.468]',0.300,0.770,0.565,-0.172,-,-,37.004"
"'[14:30:59.476]',0.305,0.765,0.575,-0.159,-,-,37.004"
"'[14:30:59.484]',0.310,0.760,0.585,-0.148,-,-,37.004"
"'[14:30:59.492]',0.310,0.760,0.600,-0.138,-,-,37.004"
"'[14:30:59.500]',0.310,0.760,0.630,-0.132,-,-,37.004"
"'[14:30:59.508]',0.310,0.760,0.675,-0.125,-,-,37.004"
"'[14:30:59.516]',0.310,0.765,0.740,-0.123,-,-,37.004"
"'[14:30:59.524]',0.305,0.765,0.810,-0.120,-,-,37.004"
"'[14:30:59.532]',0.300,0.765,0.895,-0.123,-,-,37.004"
"'[14:30:59.540]',0.300,0.765,1.005,-0.126,-,-,37.004"
"'[14:30:59.548]',0.310,0.765,1.130,-0.134,-,-,37.004"
"'[14:30:59.556]',0.315,0.765,1.251,-0.142,-,-,37.004"
"'[14:30:59.564]',0.320,0.760,1.356,-0.153,-,-,37.004"
"'[14:30:59.572]',0.330,0.750,1.421,-0.163,-,-,37.004"
"'[14:30:59.580]',0.355,0.730,1.441,-0.176,-,-,37.004"
"'[14:30:59.588]',0.375,0.710,1.435,-0.189,-,-,37.004"
"'[14:30:59.596]',0.395,0.695,1.421,-0.207,-,-,37.004"
