"'Time','ABP','PLETH','II'"
"'[17:24:18.848]',-,-,-"
"'[17:24:18.856]',-,-,-"
"'[17:24:18.864]',-,-,-"
"'[17:24:18.872]',-,-,-"
"'[17:24:18.880]',-,-,-"
"'[17:24:18.888]',-,-,-"
"'[17:24:18.896]',-,-,-"
"'[17:24:18.904]',-,-,-"
"'[17:24:18.912]',-,-,-"
"'[17:24:18.920]',-,-,-"
"'[17:24:18.928]',-,-,-"
"'[17:24:18.936]',-,-,-"
"'[17:24:18.944]',-,-,-"
"'[17:24:18.952]',-,-,-"
"'[17:24:18.960]',-,-,-"
"'[17:24:18.968]',-,-,-"
"'[17:24:18.976]',-,-,-"
"'[17:24:18.984]',-,-,-"
"'[17:24:18.992]',-,-,-"
"'[17:24:19.000]',0.000,0.502,-"
"'[17:24:19.008]',0.000,0.502,-"
"'[17:24:19.016]',0.000,0.502,-"
"'[17:24:19.024]',0.000,0.502,-"
"'[17:24:19.032]',0.000,0.502,-"
"'[17:24:19.040]',0.000,0.502,-"
"'[17:24:19.048]',0.000,0.502,-"
"'[17:24:19.056]',0.000,0.502,-"
"'[17:24:19.064]',0.000,0.502,-"
"'[17:24:19.072]',0.000,0.502,-"
"'[17:24:19.080]',0.000,0.502,-"
"'[17:24:19.088]',0.000,0.502,-"
"'[17:24:19.096]',0.000,0.502,-"
"'[17:24:19.104]',0.000,0.502,-"
"'[17:24:19.112]',0.000,0.502,-"
"'[17:24:19.120]',0.000,0.502,-"
"'[17:24:19.128]',0.000,0.502,-"
"'[17:24:19.136]',0.000,0.502,-"
"'[17:24:19.144]',0.000,0.502,-"
"'[17:24:19.152]',0.000,0.502,-"
"'[17:24:19.160]',0.000,0.502,-"
"'[17:24:19.168]',0.000,0.502,-"
"'[17:24:19.176]',0.000,0.502,-"
"'[17:24:19.184]',0.000,0.502,-"
"'[17:24:19.192]',0.000,0.502,-"
"'[17:24:19.200]',0.000,0.502,-"
"'[17:24:19.208]',0.000,0.502,-"
"'[17:24:19.216]',0.000,0.502,-"
"'[17:24:19.224]',0.000,0.502,-"
"'[17:24:19.232]',0.000,0.502,-"
"'[17:24:19.240]',0.000,0.502,-"
"'[17:24:19.248]',0.000,0.502,-"
"'[17:24:19.256]',0.000,0.502,-"
"'[17:24:19.264]',0.000,0.502,-"
"'[17:24:19.272]',0.000,0.502,-"
"'[17:24:19.280]',0.000,0.502,-"
"'[17:24:19.288]',0.000,0.502,-"
"'[17:24:19.296]',0.000,0.502,-"
"'[17:24:19.304]',0.000,0.502,-"
"'[17:24:19.312]',0.000,0.502,-"
"'[17:24:19.320]',0.000,0.502,-"
"'[17:24:19.328]',0.000,0.502,-"
"'[17:24:19.336]',0.000,0.502,-"
"'[17:24:19.344]',0.000,0.502,-"
"'[17:24:19.352]',0.000,0.502,-"
"'[17:24:19.360]',0.000,0.502,-"
"'[17:24:19.368]',0.000,0.502,-"
"'[17:24:19.376]',0.000,0.502,-"
"'[17:24:19.384]',0.000,0.502,-"
"'[17:24:19.392]',0.000,0.502,-"
"'[17:24:19.400]',0.000,0.502,-"
"'[17:24:19.408]',0.000,0.502,-"
"'[17:24:19.416]',0.000,0.502,-"
"'[17:24:19.424]',0.000,0.502,-"
"'[17:24:19.432]',0.000,0.502,-"
"'[17:24:19.440]',0.000,0.502,-"
"'[17:24:19.448]',0.000,0.502,-"
"'[17:24:19.456]',0.000,0.502,-"
"'[17:24:19.464]',0.000,0.502,-"
"'[17:24:19.472]',0.000,0.502,-"
"'[17:24:19.480]',0.000,0.502,-"
"'[17:24:19.488]',0.000,0.502,-"
"'[17:24:19.496]',0.000,0.502,-"
"'[17:24:19.504]',0.000,0.502,-"
"'[17:24:19.512]',0.000,0.502,-"
"'[17:24:19.520]',0.000,0.502,-"
"'[17:24:19.528]',0.000,0.502,-"
"'[17:24:19.536]',0.000,0.502,-"
"'[17:24:19.544]',0.000,0.502,-"
"'[17:24:19.552]',0.000,0.502,-"
"'[17:24:19.560]',0.000,0.502,-"
"'[17:24:19.568]',0.000,0.502,-"
"'[17:24:19.576]',0.000,0.502,-"
"'[17:24:19.584]',0.000,0.502,-"
"'[17:24:19.592]',0.000,0.502,-"
"'[17:24:19.600]',0.000,0.502,-"
"'[17:24:19.608]',0.000,0.502,-"
"'[17:24:19.616]',0.000,0.502,-"
"'[17:24:19.624]',0.000,0.502,-"
"'[17:24:19.632]',0.000,0.502,-"
"'[17:24:19.640]',0.000,0.502,-"
"'[17:24:19.648]',0.000,0.502,-"
"'[17:24:19.656]',0.000,0.502,-"
"'[17:24:19.664]',0.000,0.502,-"
"'[17:24:19.672]',0.000,0.502,-"
"'[17:24:19.680]',0.000,0.502,-"
"'[17:24:19.688]',0.000,0.502,-"
"'[17:24:19.696]',0.000,0.502,-"
"'[17:24:19.704]',0.000,0.502,-"
"'[17:24:19.712]',0.000,0.502,-"
"'[17:24:19.720]',0.000,0.502,-"
"'[17:24:19.728]',0.000,0.502,-"
"'[17:24:19.736]',0.000,0.502,-"
"'[17:24:19.744]',0.000,0.502,-"
"'[17:24:19.752]',0.000,0.502,-"
"'[17:24:19.760]',0.000,0.502,-"
"'[17:24:19.768]',0.000,0.502,-"
"'[17:24:19.776]',0.000,0.502,-"
"'[17:24:19.784]',0.000,0.502,-"
"'[17:24:19.792]',0.000,0.502,-"
"'[17:24:19.800]',0.000,0.502,-"
"'[17:24:19.808]',0.000,0.502,-"
"'[17:24:19.816]',0.000,0.502,-"
"'[17:24:19.824]',0.000,0.502,-"
"'[17:24:19.832]',0.000,0.502,-"
"'[17:24:19.840]',0.000,0.502,-"
"'[17:24:19.848]',0.000,0.502,-"
"'[17:24:19.856]',0.000,0.502,-"
"'[17:24:19.864]',0.000,0.502,-"
"'[17:24:19.872]',0.000,0.502,-"
"'[17:24:19.880]',0.000,0.502,-"
"'[17:24:19.888]',0.000,0.502,-"
"'[17:24:19.896]',0.000,0.502,-"
"'[17:24:19.904]',0.000,0.502,-"
"'[17:24:19.912]',0.000,0.502,-"
"'[17:24:19.920]',0.000,0.502,-"
"'[17:24:19.928]',0.000,0.502,-"
"'[17:24:19.936]',0.000,0.502,-"
"'[17:24:19.944]',0.000,0.502,-"
"'[17:24:19.952]',0.000,0.502,-"
"'[17:24:19.960]',0.000,0.502,-"
"'[17:24:19.968]',0.000,0.502,-"
"'[17:24:19.976]',0.000,0.502,-"
"'[17:24:19.984]',0.000,0.502,-"
"'[17:24:19.992]',0.000,0.502,-"
"'[17:24:20.000]',0.000,0.502,-"
"'[17:24:20.008]',0.000,0.502,-"
"'[17:24:20.016]',0.000,0.502,-"
"'[17:24:20.024]',0.000,0.502,-"
"'[17:24:20.032]',0.000,0.502,-"
"'[17:24:20.040]',0.000,0.502,-"
"'[17:24:20.048]',0.000,0.502,-"
"'[17:24:20.056]',0.000,0.502,-"
"'[17:24:20.064]',0.000,0.502,-"
"'[17:24:20.072]',0.000,0.502,-"
"'[17:24:20.080]',0.000,0.502,-"
"'[17:24:20.088]',0.000,0.502,-"
"'[17:24:20.096]',0.000,0.502,-"
"'[17:24:20.104]',0.000,0.502,-"
"'[17:24:20.112]',0.000,0.502,-"
"'[17:24:20.120]',0.000,0.502,-"
"'[17:24:20.128]',0.000,0.502,-"
"'[17:24:20.136]',0.000,0.502,-"
"'[17:24:20.144]',0.000,0.502,-"
"'[17:24:20.152]',0.000,0.502,-"
"'[17:24:20.160]',0.000,0.502,-"
"'[17:24:20.168]',0.000,0.502,-"
"'[17:24:20.176]',0.000,0.502,-"
"'[17:24:20.184]',0.000,0.502,-"
"'[17:24:20.192]',0.000,0.502,-"
"'[17:24:20.200]',0.000,0.502,-"
"'[17:24:20.208]',0.000,0.502,-"
"'[17:24:20.216]',0.000,0.502,-"
"'[17:24:20.224]',0.000,0.502,-"
"'[17:24:20.232]',0.000,0.502,-"
"'[17:24:20.240]',0.000,0.502,-"
"'[17:24:20.248]',0.000,0.502,-"
"'[17:24:20.256]',0.000,0.502,-"
"'[17:24:20.264]',0.000,0.502,-"
"'[17:24:20.272]',0.000,0.502,-"
"'[17:24:20.280]',0.000,0.502,-"
"'[17:24:20.288]',0.000,0.502,-"
"'[17:24:20.296]',0.000,0.502,-"
"'[17:24:20.304]',0.000,0.502,-"
"'[17:24:20.312]',0.000,0.502,-"
"'[17:24:20.320]',0.000,0.502,-"
"'[17:24:20.328]',0.000,0.502,-"
"'[17:24:20.336]',0.000,0.502,-"
"'[17:24:20.344]',0.000,0.502,-"
"'[17:24:20.352]',0.000,0.502,-"
"'[17:24:20.360]',0.000,0.502,-"
"'[17:24:20.368]',0.000,0.502,-"
"'[17:24:20.376]',0.000,0.502,-"
"'[17:24:20.384]',0.000,0.502,-"
"'[17:24:20.392]',0.000,0.502,-"
"'[17:24:20.400]',0.000,0.502,-"
"'[17:24:20.408]',0.000,0.502,-"
"'[17:24:20.416]',0.000,0.502,-"
"'[17:24:20.424]',0.000,0.502,-"
"'[17:24:20.432]',0.000,0.502,-"
"'[17:24:20.440]',0.000,0.502,-"
"'[17:24:20.448]',0.000,0.502,-"
"'[17:24:20.456]',0.000,0.502,-"
"'[17:24:20.464]',0.000,0.502,-"
"'[17:24:20.472]',0.000,0.502,-"
"'[17:24:20.480]',0.000,0.502,-"
"'[17:24:20.488]',0.000,0.502,-"
"'[17:24:20.496]',0.000,0.502,-"
"'[17:24:20.504]',0.000,0.502,-"
"'[17:24:20.512]',0.000,0.502,-"
"'[17:24:20.520]',0.000,0.502,-"
"'[17:24:20.528]',0.000,0.502,-"
"'[17:24:20.536]',0.000,0.502,-"
"'[17:24:20.544]',0.000,0.502,-"
"'[17:24:20.552]',0.000,0.502,-"
"'[17:24:20.560]',0.000,0.502,-"
"'[17:24:20.568]',0.000,0.502,-"
"'[17:24:20.576]',0.000,0.502,-"
"'[17:24:20.584]',0.000,0.502,-"
"'[17:24:20.592]',0.000,0.502,-"
"'[17:24:20.600]',0.000,0.502,-"
"'[17:24:20.608]',0.000,0.502,-"
"'[17:24:20.616]',0.000,0.502,-"
"'[17:24:20.624]',0.000,0.502,-"
"'[17:24:20.632]',0.000,0.502,-"
"'[17:24:20.640]',0.000,0.502,-"
"'[17:24:20.648]',0.000,0.502,-"
"'[17:24:20.656]',0.000,0.502,-"
"'[17:24:20.664]',0.000,0.502,-"
"'[17:24:20.672]',0.000,0.502,-"
"'[17:24:20.680]',0.000,0.502,-"
"'[17:24:20.688]',0.000,0.502,-"
"'[17:24:20.696]',0.000,0.502,-"
"'[17:24:20.704]',0.000,0.502,-"
"'[17:24:20.712]',0.000,0.502,-"
"'[17:24:20.720]',0.000,0.502,-"
"'[17:24:20.728]',0.000,0.502,-"
"'[17:24:20.736]',0.000,0.502,-"
"'[17:24:20.744]',0.000,0.502,-"
"'[17:24:20.752]',0.000,0.502,-"
"'[17:24:20.760]',0.000,0.502,-"
"'[17:24:20.768]',0.000,0.502,-"
"'[17:24:20.776]',0.000,0.502,-"
"'[17:24:20.784]',0.000,0.502,-"
"'[17:24:20.792]',0.000,0.502,-"
"'[17:24:20.800]',0.000,0.502,-"
"'[17:24:20.808]',0.000,0.502,-"
"'[17:24:20.816]',0.000,0.502,-"
"'[17:24:20.824]',0.000,0.502,-"
"'[17:24:20.832]',0.000,0.502,-"
"'[17:24:20.840]',0.000,0.502,-"
"'[17:24:20.848]',0.000,0.502,-"
"'[17:24:20.856]',0.000,0.502,-"
"'[17:24:20.864]',0.000,0.502,-"
"'[17:24:20.872]',0.000,0.502,-"
"'[17:24:20.880]',0.000,0.502,-"
"'[17:24:20.888]',0.000,0.502,-"
"'[17:24:20.896]',0.000,0.502,-"
"'[17:24:20.904]',0.000,0.502,-"
"'[17:24:20.912]',0.000,0.502,-"
"'[17:24:20.920]',0.000,0.502,-"
"'[17:24:20.928]',0.000,0.502,-"
"'[17:24:20.936]',0.000,0.502,-"
"'[17:24:20.944]',0.000,0.502,-"
"'[17:24:20.952]',0.000,0.502,-"
"'[17:24:20.960]',0.000,0.502,-"
"'[17:24:20.968]',0.000,0.502,-"
"'[17:24:20.976]',0.000,0.502,-"
"'[17:24:20.984]',0.000,0.502,-"
"'[17:24:20.992]',0.000,0.502,-"
"'[17:24:21.000]',0.000,0.502,-"
"'[17:24:21.008]',0.000,0.502,-"
"'[17:24:21.016]',0.000,0.502,-"
"'[17:24:21.024]',0.000,0.502,-"
"'[17:24:21.032]',0.000,0.502,-"
"'[17:24:21.040]',0.000,0.502,-"
"'[17:24:21.048]',0.000,0.502,-"
"'[17:24:21.056]',0.000,0.502,-"
"'[17:24:21.064]',0.000,0.502,-"
"'[17:24:21.072]',0.000,0.502,-"
"'[17:24:21.080]',0.000,0.502,-"
"'[17:24:21.088]',0.000,0.502,-"
"'[17:24:21.096]',0.000,0.502,-"
"'[17:24:21.104]',0.000,0.502,-"
"'[17:24:21.112]',0.000,0.502,-"
"'[17:24:21.120]',0.000,0.502,-"
"'[17:24:21.128]',0.000,0.502,-"
"'[17:24:21.136]',0.000,0.502,-"
"'[17:24:21.144]',0.000,0.502,-"
"'[17:24:21.152]',0.000,0.502,-"
"'[17:24:21.160]',0.000,0.502,-"
"'[17:24:21.168]',0.000,0.502,-"
"'[17:24:21.176]',0.000,0.502,-"
"'[17:24:21.184]',0.000,0.502,-"
"'[17:24:21.192]',0.000,0.502,-"
"'[17:24:21.200]',0.000,0.502,-"
"'[17:24:21.208]',0.000,0.502,-"
"'[17:24:21.216]',0.000,0.502,-"
"'[17:24:21.224]',0.000,0.502,-"
"'[17:24:21.232]',0.000,0.502,-"
"'[17:24:21.240]',0.000,0.502,-"
"'[17:24:21.248]',0.000,0.502,-"
"'[17:24:21.256]',0.000,0.502,-"
"'[17:24:21.264]',0.000,0.502,-"
"'[17:24:21.272]',0.000,0.502,-"
"'[17:24:21.280]',0.000,0.502,-"
"'[17:24:21.288]',0.000,0.502,-"
"'[17:24:21.296]',0.000,0.502,-"
"'[17:24:21.304]',0.000,0.502,-"
"'[17:24:21.312]',0.000,0.502,-"
"'[17:24:21.320]',0.000,0.502,-"
"'[17:24:21.328]',0.000,0.502,-"
"'[17:24:21.336]',0.000,0.502,-"
"'[17:24:21.344]',0.000,0.502,-"
"'[17:24:21.352]',0.000,0.502,-"
"'[17:24:21.360]',0.000,0.502,-"
"'[17:24:21.368]',0.000,0.502,-"
"'[17:24:21.376]',0.000,0.502,-"
"'[17:24:21.384]',0.000,0.502,-"
"'[17:24:21.392]',0.000,0.502,-"
"'[17:24:21.400]',0.000,0.502,-"
"'[17:24:21.408]',0.000,0.502,-"
"'[17:24:21.416]',0.000,0.502,-"
"'[17:24:21.424]',0.000,0.502,-"
"'[17:24:21.432]',0.000,0.502,-"
"'[17:24:21.440]',0.000,0.502,-"
"'[17:24:21.448]',0.000,0.502,-"
"'[17:24:21.456]',0.000,0.502,-"
"'[17:24:21.464]',0.000,0.502,-"
"'[17:24:21.472]',0.000,0.502,-"
"'[17:24:21.480]',0.000,0.502,-"
"'[17:24:21.488]',0.000,0.502,-"
"'[17:24:21.496]',0.000,0.502,-"
"'[17:24:21.504]',0.000,0.502,-"
"'[17:24:21.512]',0.000,0.502,-"
"'[17:24:21.520]',0.000,0.502,-"
"'[17:24:21.528]',0.000,0.502,-"
"'[17:24:21.536]',0.000,0.502,-"
"'[17:24:21.544]',0.000,0.502,-"
"'[17:24:21.552]',0.000,0.502,-"
"'[17:24:21.560]',0.000,0.502,-"
"'[17:24:21.568]',0.000,0.502,-"
"'[17:24:21.576]',0.000,0.502,-"
"'[17:24:21.584]',0.000,0.502,-"
"'[17:24:21.592]',0.000,0.502,-"
"'[17:24:21.600]',0.000,0.502,-"
"'[17:24:21.608]',0.000,0.502,-"
"'[17:24:21.616]',0.000,0.502,-"
"'[17:24:21.624]',0.000,0.502,-"
"'[17:24:21.632]',0.000,0.502,-"
"'[17:24:21.640]',0.000,0.502,-"
"'[17:24:21.648]',0.000,0.502,-"
"'[17:24:21.656]',0.000,0.502,-"
"'[17:24:21.664]',0.000,0.502,-"
"'[17:24:21.672]',0.000,0.502,-"
"'[17:24:21.680]',0.000,0.502,-"
"'[17:24:21.688]',0.000,0.502,-"
"'[17:24:21.696]',0.000,0.502,-"
"'[17:24:21.704]',0.000,0.502,-"
"'[17:24:21.712]',0.000,0.502,-"
"'[17:24:21.720]',0.000,0.502,-"
"'[17:24:21.728]',0.000,0.502,-"
"'[17:24:21.736]',0.000,0.502,-"
"'[17:24:21.744]',0.000,0.502,-"
"'[17:24:21.752]',0.000,0.502,-"
"'[17:24:21.760]',0.000,0.502,-"
"'[17:24:21.768]',0.000,0.502,-"
"'[17:24:21.776]',0.000,0.502,-"
"'[17:24:21.784]',0.000,0.502,-"
"'[17:24:21.792]',0.000,0.502,-"
"'[17:24:21.800]',0.000,0.502,-"
"'[17:24:21.808]',0.000,0.502,-"
"'[17:24:21.816]',0.000,0.502,-"
"'[17:24:21.824]',0.000,0.502,-"
"'[17:24:21.832]',0.000,0.502,-"
"'[17:24:21.840]',0.000,0.502,-"
"'[17:24:21.848]',0.000,0.502,-"
"'[17:24:21.856]',0.000,0.502,-"
"'[17:24:21.864]',0.000,0.502,-"
"'[17:24:21.872]',0.000,0.502,-"
"'[17:24:21.880]',0.000,0.502,-"
"'[17:24:21.888]',0.000,0.502,-"
"'[17:24:21.896]',0.000,0.502,-"
"'[17:24:21.904]',0.000,0.502,-"
"'[17:24:21.912]',0.000,0.502,-"
"'[17:24:21.920]',0.000,0.502,-"
"'[17:24:21.928]',0.000,0.502,-"
"'[17:24:21.936]',0.000,0.502,-"
"'[17:24:21.944]',0.000,0.502,-"
"'[17:24:21.952]',0.000,0.502,-"
"'[17:24:21.960]',0.000,0.502,-"
"'[17:24:21.968]',0.000,0.502,-"
"'[17:24:21.976]',0.000,0.502,-"
"'[17:24:21.984]',0.000,0.502,-"
"'[17:24:21.992]',0.000,0.502,-"
"'[17:24:22.000]',0.000,0.502,-"
"'[17:24:22.008]',0.000,0.502,-"
"'[17:24:22.016]',0.000,0.502,-"
"'[17:24:22.024]',0.000,0.502,-"
"'[17:24:22.032]',0.000,0.502,-"
"'[17:24:22.040]',0.000,0.502,-"
"'[17:24:22.048]',0.000,0.502,-"
"'[17:24:22.056]',0.000,0.502,-"
"'[17:24:22.064]',0.000,0.502,-"
"'[17:24:22.072]',0.000,0.502,-"
"'[17:24:22.080]',0.000,0.502,-"
"'[17:24:22.088]',0.000,0.502,-"
"'[17:24:22.096]',0.000,0.502,-"
"'[17:24:22.104]',0.000,0.502,-"
"'[17:24:22.112]',0.000,0.502,-"
"'[17:24:22.120]',0.000,0.502,-"
"'[17:24:22.128]',0.000,0.502,-"
"'[17:24:22.136]',0.000,0.502,-"
"'[17:24:22.144]',0.000,0.502,-"
"'[17:24:22.152]',0.000,0.502,-"
"'[17:24:22.160]',0.000,0.502,-"
"'[17:24:22.168]',0.000,0.502,-"
"'[17:24:22.176]',0.000,0.502,-"
"'[17:24:22.184]',0.000,0.502,-"
"'[17:24:22.192]',0.000,0.502,-"
"'[17:24:22.200]',0.000,0.502,-"
"'[17:24:22.208]',0.000,0.502,-"
"'[17:24:22.216]',0.000,0.502,-"
"'[17:24:22.224]',0.000,0.502,-"
"'[17:24:22.232]',0.000,0.502,-"
"'[17:24:22.240]',0.000,0.502,-"
"'[17:24:22.248]',0.000,0.502,-"
"'[17:24:22.256]',0.000,0.502,-"
"'[17:24:22.264]',0.000,0.502,-"
"'[17:24:22.272]',0.000,0.502,-"
"'[17:24:22.280]',0.000,0.502,-"
"'[17:24:22.288]',0.000,0.502,-"
"'[17:24:22.296]',0.000,0.502,-"
"'[17:24:22.304]',0.000,0.502,-"
"'[17:24:22.312]',0.000,0.502,-"
"'[17:24:22.320]',0.000,0.502,-"
"'[17:24:22.328]',0.000,0.502,-"
"'[17:24:22.336]',0.000,0.502,-"
"'[17:24:22.344]',0.000,0.502,-"
"'[17:24:22.352]',0.000,0.502,-"
"'[17:24:22.360]',0.000,0.502,-"
"'[17:24:22.368]',0.000,0.502,-"
"'[17:24:22.376]',0.000,0.502,-"
"'[17:24:22.384]',0.000,0.502,-"
"'[17:24:22.392]',0.000,0.502,-"
"'[17:24:22.400]',0.000,0.502,-"
"'[17:24:22.408]',0.000,0.502,-"
"'[17:24:22.416]',0.000,0.502,-"
"'[17:24:22.424]',0.000,0.502,-"
"'[17:24:22.432]',0.000,0.502,-"
"'[17:24:22.440]',0.000,0.502,-"
"'[17:24:22.448]',0.000,0.502,-"
"'[17:24:22.456]',0.000,0.502,-"
"'[17:24:22.464]',0.000,0.502,-"
"'[17:24:22.472]',0.000,0.502,-"
"'[17:24:22.480]',0.000,0.502,-"
"'[17:24:22.488]',0.000,0.502,-"
"'[17:24:22.496]',0.000,0.502,-"
"'[17:24:22.504]',0.000,0.502,-"
"'[17:24:22.512]',0.000,0.502,-"
"'[17:24:22.520]',0.000,0.502,-"
"'[17:24:22.528]',0.000,0.502,-"
"'[17:24:22.536]',0.000,0.502,-"
"'[17:24:22.544]',0.000,0.502,-"
"'[17:24:22.552]',0.000,0.502,-"
"'[17:24:22.560]',0.000,0.502,-"
"'[17:24:22.568]',0.000,0.502,-"
"'[17:24:22.576]',0.000,0.502,-"
"'[17:24:22.584]',0.000,0.502,-"
"'[17:24:22.592]',0.000,0.502,-"
"'[17:24:22.600]',0.000,0.502,-"
"'[17:24:22.608]',0.000,0.502,-"
"'[17:24:22.616]',0.000,0.502,-"
"'[17:24:22.624]',0.000,0.502,-"
"'[17:24:22.632]',0.000,0.502,-"
"'[17:24:22.640]',0.000,0.502,-"
"'[17:24:22.648]',0.000,0.502,-"
"'[17:24:22.656]',0.000,0.502,-"
"'[17:24:22.664]',0.000,0.502,-"
"'[17:24:22.672]',0.000,0.502,-"
"'[17:24:22.680]',0.000,0.502,-"
"'[17:24:22.688]',0.000,0.502,-"
"'[17:24:22.696]',0.000,0.502,-"
"'[17:24:22.704]',0.000,0.502,-"
"'[17:24:22.712]',0.000,0.502,-"
"'[17:24:22.720]',0.000,0.502,-"
"'[17:24:22.728]',0.000,0.502,-"
"'[17:24:22.736]',0.000,0.502,-"
"'[17:24:22.744]',0.000,0.502,-"
"'[17:24:22.752]',0.000,0.502,-"
"'[17:24:22.760]',0.000,0.502,-"
"'[17:24:22.768]',0.000,0.502,-"
"'[17:24:22.776]',0.000,0.502,-"
"'[17:24:22.784]',0.000,0.502,-"
"'[17:24:22.792]',0.000,0.502,-"
"'[17:24:22.800]',0.000,0.502,-"
"'[17:24:22.808]',0.000,0.502,-"
"'[17:24:22.816]',0.000,0.502,-"
"'[17:24:22.824]',0.000,0.502,-"
"'[17:24:22.832]',0.000,0.502,-"
"'[17:24:22.840]',0.000,0.502,-"
"'[17:24:22.848]',0.000,0.502,-"
"'[17:24:22.856]',0.000,0.502,-"
"'[17:24:22.864]',0.000,0.502,-"
"'[17:24:22.872]',0.000,0.502,-"
"'[17:24:22.880]',0.000,0.502,-"
"'[17:24:22.888]',0.000,0.502,-"
"'[17:24:22.896]',0.000,0.502,-"
"'[17:24:22.904]',0.000,0.502,-"
"'[17:24:22.912]',0.000,0.502,-"
"'[17:24:22.920]',0.000,0.502,-"
"'[17:24:22.928]',0.000,0.502,-"
"'[17:24:22.936]',0.000,0.502,-"
"'[17:24:22.944]',0.000,0.502,-"
"'[17:24:22.952]',0.000,0.502,-"
"'[17:24:22.960]',0.000,0.502,-"
"'[17:24:22.968]',0.000,0.502,-"
"'[17:24:22.976]',0.000,0.502,-"
"'[17:24:22.984]',0.000,0.502,-"
"'[17:24:22.992]',0.000,0.502,-"
"'[17:24:23.000]',0.000,0.502,-"
"'[17:24:23.008]',0.000,0.502,-"
