'Time','II','PLETH','ABP','III','I'
'[13:32:29.288]',0.289,0.341,107.772,-,-
'[13:32:29.296]',0.250,0.337,104.870,-,-
'[13:32:29.304]',0.195,0.333,101.554,-,-
'[13:32:29.312]',0.148,0.325,98.238,-,-
'[13:32:29.320]',0.125,0.318,95.337,-,-
'[13:32:29.328]',0.125,0.314,92.021,-,-
'[13:32:29.336]',0.125,0.314,89.948,-,-
'[13:32:29.344]',0.133,0.333,87.461,-,-
'[13:32:29.352]',0.125,0.365,84.974,-,-
'[13:32:29.360]',0.055,0.412,83.731,-,-
'[13:32:29.368]',-0.164,0.471,82.073,-,-
'[13:32:29.376]',-0.328,0.533,80.415,-,-
'[13:32:29.384]',0.055,0.600,79.585,-,-
'[13:32:29.392]',1.117,0.651,78.756,-,-
'[13:32:29.400]',1.508,0.686,78.756,-,-
'[13:32:29.408]',1.508,0.714,77.927,-,-
'[13:32:29.416]',0.906,0.733,77.927,-,-
'[13:32:29.424]',0.438,0.741,77.927,-,-
'[13:32:29.432]',0.148,0.741,77.513,-,-
'[13:32:29.440]',0.031,0.733,77.513,-,-
'[13:32:29.448]',-0.016,0.718,76.684,-,-
'[13:32:29.456]',-0.023,0.702,76.684,-,-
'[13:32:29.464]',-0.023,0.682,76.684,-,-
'[13:32:29.472]',-0.016,0.659,77.513,-,-
'[13:32:29.480]',-0.008,0.639,77.513,-,-
'[13:32:29.488]',0.008,0.616,77.513,-,-
'[13:32:29.496]',0.023,0.596,77.927,-,-
'[13:32:29.504]',0.039,0.576,77.927,-,-
'[13:32:29.512]',0.062,0.557,77.927,-,-
'[13:32:29.520]',0.086,0.537,77.927,-,-
'[13:32:29.528]',0.109,0.518,77.927,-,-
'[13:32:29.536]',0.133,0.498,77.927,-,-
'[13:32:29.544]',0.164,0.478,77.513,-,-
'[13:32:29.552]',0.203,0.459,77.513,-,-
'[13:32:29.560]',0.242,0.439,77.513,-,-
'[13:32:29.568]',0.297,0.424,77.513,-,-
'[13:32:29.576]',0.352,0.404,77.513,-,-
'[13:32:29.584]',0.414,0.388,77.927,-,-
'[13:32:29.592]',0.453,0.373,77.927,-,-
'[13:32:29.600]',0.484,0.361,78.756,-,-
'[13:32:29.608]',0.492,0.349,77.927,-,-
'[13:32:29.616]',0.484,0.337,77.513,-,-
'[13:32:29.624]',0.461,0.329,75.855,-,-
'[13:32:29.632]',0.414,0.329,75.026,-,-
'[13:32:29.640]',0.344,0.329,74.197,-,-
'[13:32:29.648]',0.273,0.337,74.197,-,-
'[13:32:29.656]',0.219,0.345,78.756,-,-
'[13:32:29.664]',0.188,0.357,90.777,-,-
'[13:32:29.672]',0.164,0.373,107.772,-,-
'[13:32:29.680]',0.148,0.388,123.523,-,-
'[13:32:29.688]',0.148,0.400,132.642,-,-
'[13:32:29.696]',0.148,0.408,135.959,-,-
'[13:32:29.704]',0.148,0.416,135.959,-,-
'[13:32:29.712]',0.148,0.424,135.959,-,-
'[13:32:29.720]',0.148,0.427,137.617,-,-
'[13:32:29.728]',0.156,0.431,138.860,-,-
'[13:32:29.736]',0.156,0.431,138.860,-,-
'[13:32:29.744]',0.148,0.427,138.446,-,-
'[13:32:29.752]',0.148,0.424,135.959,-,-
'[13:32:29.760]',0.148,0.420,134.301,-,-
'[13:32:29.768]',0.148,0.416,132.228,-,-
'[13:32:29.776]',0.148,0.408,130.570,-,-
'[13:32:29.784]',0.148,0.404,128.912,-,-
'[13:32:29.792]',0.148,0.396,126.425,-,-
'[13:32:29.800]',0.148,0.392,125.181,-,-
'[13:32:29.808]',0.148,0.384,122.694,-,-
'[13:32:29.816]',0.141,0.376,120.207,-,-
'[13:32:29.824]',0.148,0.369,117.306,-,-
'[13:32:29.832]',0.172,0.361,114.819,-,-
'[13:32:29.840]',0.227,0.353,111.088,-,-
'[13:32:29.848]',0.273,0.345,107.772,-,-
'[13:32:29.856]',0.289,0.337,104.870,-,-
'[13:32:29.864]',0.266,0.329,101.554,-,-
'[13:32:29.872]',0.219,0.322,98.238,-,-
'[13:32:29.880]',0.180,0.314,95.337,-,-
'[13:32:29.888]',0.141,0.310,92.021,-,-
'[13:32:29.896]',0.125,0.314,89.948,-,-
'[13:32:29.904]',0.125,0.325,87.461,-,-
'[13:32:29.912]',0.125,0.353,85.803,-,-
'[13:32:29.920]',0.125,0.396,84.560,-,-
'[13:32:29.928]',0.109,0.451,82.902,-,-
'[13:32:29.936]',-0.016,0.510,82.073,-,-
'[13:32:29.944]',-0.258,0.569,81.244,-,-
'[13:32:29.952]',-0.336,0.620,80.415,-,-
'[13:32:29.960]',0.367,0.659,80.415,-,-
'[13:32:29.968]',1.461,0.686,79.585,-,-
'[13:32:29.976]',1.508,0.698,79.585,-,-
'[13:32:29.984]',1.289,0.702,79.585,-,-
'[13:32:29.992]',0.695,0.702,78.756,-,-
'[13:32:30.000]',0.305,0.690,78.756,-,-
'[13:32:30.008]',0.094,0.678,78.756,-,-
'[13:32:30.016]',0.016,0.663,78.756,-,-
'[13:32:30.024]',-0.016,0.643,78.756,-,-
'[13:32:30.032]',-0.023,0.624,78.756,-,-
'[13:32:30.040]',-0.023,0.604,79.585,-,-
'[13:32:30.048]',-0.016,0.584,79.585,-,-
'[13:32:30.056]',0.008,0.565,79.585,-,-
'[13:32:30.064]',0.023,0.541,80.415,-,-
'[13:32:30.072]',0.039,0.522,80.415,-,-
'[13:32:30.080]',0.055,0.506,80.415,-,-
'[13:32:30.088]',0.078,0.486,80.415,-,-
'[13:32:30.096]',0.094,0.471,80.415,-,-
'[13:32:30.104]',0.117,0.455,79.585,-,-
'[13:32:30.112]',0.156,0.439,79.585,-,-
'[13:32:30.120]',0.188,0.420,78.756,-,-
'[13:32:30.128]',0.219,0.404,78.756,-,-
'[13:32:30.136]',0.266,0.388,78.756,-,-
'[13:32:30.144]',0.312,0.369,78.756,-,-
'[13:32:30.152]',0.367,0.357,78.756,-,-
'[13:32:30.160]',0.430,0.341,78.756,-,-
'[13:32:30.168]',0.461,0.333,78.756,-,-
'[13:32:30.176]',0.484,0.325,78.756,-,-
'[13:32:30.184]',0.492,0.325,78.756,-,-
'[13:32:30.192]',0.484,0.329,77.927,-,-
'[13:32:30.200]',0.453,0.333,76.684,-,-
'[13:32:30.208]',0.406,0.341,75.026,-,-
'[13:32:30.216]',0.344,0.353,74.197,-,-
'[13:32:30.224]',0.273,0.365,75.855,-,-
'[13:32:30.232]',0.234,0.380,82.073,-,-
'[13:32:30.240]',0.195,0.392,95.337,-,-
'[13:32:30.248]',0.180,0.400,112.332,-,-
'[13:32:30.256]',0.164,0.408,127.254,-,-
'[13:32:30.264]',0.164,0.416,134.301,-,-
'[13:32:30.272]',0.164,0.416,135.959,-,-
'[13:32:30.280]',0.164,0.420,135.130,-,-
'[13:32:30.288]',0.164,0.416,135.959,-,-
'[13:32:30.296]',0.164,0.416,137.617,-,-
'[13:32:30.304]',0.164,0.412,138.860,-,-
'[13:32:30.312]',0.164,0.408,138.860,-,-
'[13:32:30.320]',0.164,0.404,137.617,-,-
'[13:32:30.328]',0.164,0.400,135.130,-,-
'[13:32:30.336]',0.164,0.392,132.642,-,-
'[13:32:30.344]',0.164,0.384,131.399,-,-
'[13:32:30.352]',0.164,0.376,128.912,-,-
'[13:32:30.360]',0.164,0.373,127.254,-,-
'[13:32:30.368]',0.164,0.365,125.181,-,-
'[13:32:30.376]',0.164,0.357,122.694,-,-
'[13:32:30.384]',0.156,0.349,120.207,-,-
'[13:32:30.392]',0.148,0.341,118.135,-,-
'[13:32:30.400]',0.148,0.337,114.819,-,-
'[13:32:30.408]',0.156,0.333,111.917,-,-
'[13:32:30.416]',0.188,0.325,108.601,-,-
'[13:32:30.424]',0.234,0.322,105.285,-,-
'[13:32:30.432]',0.289,0.314,102.383,-,-
'[13:32:30.440]',0.305,0.306,98.238,-,-
'[13:32:30.448]',0.273,0.298,95.337,-,-
'[13:32:30.456]',0.227,0.290,92.850,-,-
'[13:32:30.464]',0.180,0.290,90.777,-,-
'[13:32:30.472]',0.148,0.302,88.290,-,-
'[13:32:30.480]',0.133,0.325,85.803,-,-
'[13:32:30.488]',0.133,0.353,84.560,-,-
'[13:32:30.496]',0.133,0.392,82.902,-,-
'[13:32:30.504]',0.141,0.447,82.073,-,-
'[13:32:30.512]',0.117,0.506,81.244,-,-
'[13:32:30.520]',-0.016,0.561,80.415,-,-
'[13:32:30.528]',-0.258,0.612,79.585,-,-
'[13:32:30.536]',-0.320,0.647,78.756,-,-
'[13:32:30.544]',0.414,0.675,78.756,-,-
'[13:32:30.552]',1.461,0.686,77.927,-,-
'[13:32:30.560]',1.508,0.690,77.927,-,-
'[13:32:30.568]',1.125,0.686,77.927,-,-
'[13:32:30.576]',0.594,0.675,77.513,-,-
'[13:32:30.584]',0.258,0.659,77.513,-,-
'[13:32:30.592]',0.094,0.643,77.513,-,-
'[13:32:30.600]',0.023,0.627,77.513,-,-
'[13:32:30.608]',-0.008,0.608,77.513,-,-
'[13:32:30.616]',-0.008,0.588,77.513,-,-
'[13:32:30.624]',0.000,0.569,77.927,-,-
'[13:32:30.632]',0.016,0.549,77.927,-,-
'[13:32:30.640]',0.031,0.529,77.927,-,-
'[13:32:30.648]',0.055,0.506,77.927,-,-
'[13:32:30.656]',0.062,0.486,77.927,-,-
'[13:32:30.664]',0.078,0.471,77.927,-,-
'[13:32:30.672]',0.094,0.451,77.513,-,-
'[13:32:30.680]',0.117,0.431,77.513,-,-
'[13:32:30.688]',0.148,0.416,76.684,-,-
'[13:32:30.696]',0.180,0.400,75.855,-,-
'[13:32:30.704]',0.211,0.384,75.026,-,-
'[13:32:30.712]',0.258,0.369,75.026,-,-
'[13:32:30.720]',0.305,0.353,74.197,-,-
'[13:32:30.728]',0.367,0.337,74.197,-,-
'[13:32:30.736]',0.430,0.325,73.368,-,-
'[13:32:30.744]',0.477,0.318,74.197,-,-
'[13:32:30.752]',0.531,0.318,74.197,-,-
'[13:32:30.760]',0.547,0.318,74.197,-,-
'[13:32:30.768]',0.555,0.322,74.197,-,-
'[13:32:30.776]',0.531,0.333,72.539,-,-
'[13:32:30.784]',0.484,0.345,71.295,-,-
'[13:32:30.792]',0.422,0.357,69.637,-,-
'[13:32:30.800]',0.352,0.369,68.808,-,-
'[13:32:30.808]',0.289,0.380,68.808,-,-
'[13:32:30.816]',0.234,0.392,72.539,-,-
'[13:32:30.824]',0.195,0.400,82.902,-,-
'[13:32:30.832]',0.164,0.408,98.238,-,-
'[13:32:30.840]',0.156,0.416,113.161,-,-
'[13:32:30.848]',0.148,0.416,121.865,-,-
'[13:32:30.856]',0.164,0.416,124.352,-,-
'[13:32:30.864]',0.164,0.416,124.352,-,-
'[13:32:30.872]',0.164,0.412,124.352,-,-
'[13:32:30.880]',0.164,0.404,125.596,-,-
'[13:32:30.888]',0.164,0.400,126.425,-,-
'[13:32:30.896]',0.164,0.396,127.254,-,-
'[13:32:30.904]',0.164,0.388,126.425,-,-
'[13:32:30.912]',0.164,0.384,125.181,-,-
'[13:32:30.920]',0.164,0.376,122.694,-,-
'[13:32:30.928]',0.164,0.369,120.207,-,-
'[13:32:30.936]',0.164,0.361,118.549,-,-
'[13:32:30.944]',0.164,0.353,117.306,-,-
'[13:32:30.952]',0.164,0.341,114.819,-,-
'[13:32:30.960]',0.164,0.333,112.332,-,-
'[13:32:30.968]',0.180,0.325,110.259,-,-
'[13:32:30.976]',0.219,0.318,106.943,-,-
'[13:32:30.984]',0.273,0.306,104.041,-,-
'[13:32:30.992]',0.312,0.302,101.554,-,-
'[13:32:31.000]',0.320,0.294,98.238,-,-
'[13:32:31.008]',0.289,0.290,94.508,-,-
'[13:32:31.016]',0.234,0.286,91.606,-,-
'[13:32:31.024]',0.180,0.278,89.119,-,-
'[13:32:31.032]',0.148,0.271,85.803,-,-
'[13:32:31.040]',0.133,0.263,83.731,-,-
'[13:32:31.048]',0.133,0.255,82.073,-,-
'[13:32:31.056]',0.141,0.251,80.415,-,-
'[13:32:31.064]',0.141,0.255,78.756,-,-
'[13:32:31.072]',0.102,0.275,77.927,-,-
'[13:32:31.080]',-0.062,0.310,76.684,-,-
'[13:32:31.088]',-0.266,0.349,75.855,-,-
'[13:32:31.096]',-0.117,0.400,75.026,-,-
'[13:32:31.104]',0.734,0.459,74.197,-,-
'[13:32:31.112]',1.508,0.518,74.197,-,-
'[13:32:31.120]',1.492,0.576,73.368,-,-
'[13:32:31.128]',0.781,0.620,73.368,-,-
'[13:32:31.136]',0.336,0.651,72.539,-,-
'[13:32:31.144]',0.164,0.671,72.539,-,-
'[13:32:31.152]',0.070,0.678,72.539,-,-
'[13:32:31.160]',0.031,0.675,71.710,-,-
'[13:32:31.168]',0.023,0.663,71.710,-,-
'[13:32:31.176]',0.023,0.651,71.710,-,-
'[13:32:31.184]',0.039,0.631,71.710,-,-
'[13:32:31.192]',0.047,0.612,72.539,-,-
'[13:32:31.200]',0.062,0.596,72.539,-,-
'[13:32:31.208]',0.078,0.573,72.539,-,-
'[13:32:31.216]',0.102,0.553,72.539,-,-
'[13:32:31.224]',0.117,0.529,72.539,-,-
'[13:32:31.232]',0.141,0.506,72.539,-,-
'[13:32:31.240]',0.164,0.486,72.539,-,-
'[13:32:31.248]',0.195,0.463,72.539,-,-
'[13:32:31.256]',0.234,0.439,72.539,-,-
'[13:32:31.264]',0.273,0.420,72.539,-,-
'[13:32:31.272]',0.312,0.400,72.539,-,-
'[13:32:31.280]',0.367,0.376,72.539,-,-
'[13:32:31.288]',0.438,0.361,72.539,-,-
'[13:32:31.296]',0.508,0.345,72.539,-,-
'[13:32:31.304]',0.562,0.329,72.539,-,-
'[13:32:31.312]',0.586,0.314,73.368,-,-
'[13:32:31.320]',0.594,0.298,73.368,-,-
'[13:32:31.328]',0.586,0.290,73.368,-,-
'[13:32:31.336]',0.555,0.282,71.710,-,-
'[13:32:31.344]',0.484,0.278,70.466,-,-
'[13:32:31.352]',0.414,0.278,67.979,-,-
'[13:32:31.360]',0.328,0.286,66.321,-,-
'[13:32:31.368]',0.266,0.294,65.492,-,-
'[13:32:31.376]',0.219,0.306,65.492,-,-
'[13:32:31.384]',0.180,0.322,67.979,-,-
'[13:32:31.392]',0.164,0.333,74.197,-,-
'[13:32:31.400]',0.156,0.345,85.803,-,-
'[13:32:31.408]',0.148,0.357,99.067,-,-
'[13:32:31.416]',0.148,0.373,108.601,-,-
'[13:32:31.424]',0.148,0.384,111.917,-,-
'[13:32:31.432]',0.148,0.388,111.917,-,-
'[13:32:31.440]',0.148,0.392,111.088,-,-
'[13:32:31.448]',0.148,0.396,111.088,-,-
'[13:32:31.456]',0.148,0.396,112.332,-,-
'[13:32:31.464]',0.148,0.396,113.161,-,-
'[13:32:31.472]',0.156,0.396,113.161,-,-
'[13:32:31.480]',0.164,0.392,111.917,-,-
'[13:32:31.488]',0.164,0.388,110.259,-,-
'[13:32:31.496]',0.164,0.384,108.601,-,-
'[13:32:31.504]',0.164,0.380,106.114,-,-
'[13:32:31.512]',0.164,0.373,104.870,-,-
'[13:32:31.520]',0.164,0.369,102.383,-,-
'[13:32:31.528]',0.188,0.361,99.896,-,-
'[13:32:31.536]',0.242,0.357,96.995,-,-
'[13:32:31.544]',0.289,0.349,94.508,-,-
'[13:32:31.552]',0.305,0.345,92.021,-,-
'[13:32:31.560]',0.289,0.341,89.119,-,-
'[13:32:31.568]',0.242,0.337,86.632,-,-
'[13:32:31.576]',0.188,0.333,84.974,-,-
'[13:32:31.584]',0.148,0.329,82.902,-,-
'[13:32:31.592]',0.133,0.325,81.244,-,-
'[13:32:31.600]',0.133,0.322,79.585,-,-
'[13:32:31.608]',0.141,0.318,78.756,-,-
'[13:32:31.616]',0.141,0.310,77.927,-,-
'[13:32:31.624]',0.117,0.306,77.513,-,-
'[13:32:31.632]',0.008,0.302,76.684,-,-
'[13:32:31.640]',-0.203,0.310,75.855,-,-
'[13:32:31.648]',-0.258,0.325,75.026,-,-
'[13:32:31.656]',0.484,0.357,74.197,-,-
'[13:32:31.664]',1.508,0.400,73.368,-,-
'[13:32:31.672]',1.508,0.451,72.539,-,-
'[13:32:31.680]',1.203,0.502,72.539,-,-
'[13:32:31.688]',0.594,0.545,71.710,-,-
'[13:32:31.696]',0.266,0.580,71.710,-,-
'[13:32:31.704]',0.094,0.608,71.710,-,-
'[13:32:31.712]',0.016,0.627,71.710,-,-
'[13:32:31.720]',-0.008,0.639,71.710,-,-
'[13:32:31.728]',-0.008,0.639,71.710,-,-
'[13:32:31.736]',-0.008,0.635,72.539,-,-
'[13:32:31.744]',0.000,0.627,72.539,-,-
'[13:32:31.752]',0.008,0.612,72.539,-,-
'[13:32:31.760]',0.023,0.592,73.368,-,-
'[13:32:31.768]',0.047,0.573,73.368,-,-
'[13:32:31.776]',0.062,0.553,74.197,-,-
'[13:32:31.784]',0.086,0.529,74.197,-,-
'[13:32:31.792]',0.109,0.510,74.197,-,-
'[13:32:31.800]',0.125,0.490,74.197,-,-
'[13:32:31.808]',0.148,0.471,74.197,-,-
'[13:32:31.816]',0.188,0.447,74.197,-,-
'[13:32:31.824]',0.234,0.424,74.197,-,-
'[13:32:31.832]',0.273,0.404,74.197,-,-
'[13:32:31.840]',0.328,0.380,74.197,-,-
'[13:32:31.848]',0.391,0.361,74.197,-,-
'[13:32:31.856]',0.445,0.337,75.026,-,-
'[13:32:31.864]',0.469,0.322,75.855,-,-
'[13:32:31.872]',0.492,0.302,75.855,-,-
'[13:32:31.880]',0.492,0.290,75.855,-,-
'[13:32:31.888]',0.477,0.278,75.026,-,-
'[13:32:31.896]',0.438,0.275,73.368,-,-
'[13:32:31.904]',0.383,0.267,71.710,-,-
'[13:32:31.912]',0.312,0.267,70.466,-,-
'[13:32:31.920]',0.258,0.267,70.466,-,-
'[13:32:31.928]',0.203,0.271,72.539,-,-
'[13:32:31.936]',0.164,0.278,81.244,-,-
'[13:32:31.944]',0.148,0.286,95.337,-,-
'[13:32:31.952]',0.148,0.298,111.088,-,-
'[13:32:31.960]',0.148,0.314,122.694,-,-
'[13:32:31.968]',0.141,0.329,126.425,-,-
'[13:32:31.976]',0.141,0.341,127.254,-,-
'[13:32:31.984]',0.148,0.357,127.254,-,-
'[13:32:31.992]',0.148,0.369,128.083,-,-
'[13:32:32.000]',0.164,0.380,129.741,-,-
'[13:32:32.008]',0.164,0.392,130.570,-,-
'[13:32:32.016]',0.164,0.400,129.741,-,-
'[13:32:32.024]',0.164,0.408,128.083,-,-
'[13:32:32.032]',0.164,0.412,126.425,-,-
'[13:32:32.040]',0.164,0.416,124.352,-,-
'[13:32:32.048]',0.164,0.416,122.694,-,-
'[13:32:32.056]',0.156,0.420,121.036,-,-
'[13:32:32.064]',0.148,0.416,119.378,-,-
'[13:32:32.072]',0.148,0.416,117.306,-,-
'[13:32:32.080]',0.148,0.412,114.819,-,-
'[13:32:32.088]',0.180,0.408,113.161,-,-
'[13:32:32.096]',0.234,0.404,110.259,-,-
'[13:32:32.104]',0.281,0.400,107.772,-,-
'[13:32:32.112]',0.289,0.396,104.870,-,-
'[13:32:32.120]',0.258,0.392,101.554,-,-
'[13:32:32.128]',0.211,0.388,98.238,-,-
'[13:32:32.136]',0.164,0.380,95.337,-,-
'[13:32:32.144]',0.133,0.373,92.021,-,-
'[13:32:32.152]',0.125,0.365,89.948,-,-
'[13:32:32.160]',0.117,0.357,87.461,-,-
'[13:32:32.168]',0.117,0.357,85.803,-,-
'[13:32:32.176]',0.117,0.361,84.560,-,-
'[13:32:32.184]',0.078,0.380,82.902,-,-
'[13:32:32.192]',-0.078,0.404,81.244,-,-
'[13:32:32.200]',-0.281,0.439,79.585,-,-
'[13:32:32.208]',-0.289,0.486,78.756,-,-
'[13:32:32.216]',0.797,0.537,77.927,-,-
'[13:32:32.224]',1.508,0.592,77.513,-,-
'[13:32:32.232]',1.508,0.639,76.684,-,-
'[13:32:32.240]',1.180,0.675,75.855,-,-
'[13:32:32.248]',0.586,0.702,75.855,-,-
'[13:32:32.256]',0.219,0.714,75.026,-,-
'[13:32:32.264]',0.039,0.718,75.026,-,-
'[13:32:32.272]',-0.016,0.714,75.026,-,-
'[13:32:32.280]',-0.039,0.702,74.197,-,-
'[13:32:32.288]',-0.047,0.686,74.197,-,-
'[13:32:32.296]',-0.031,0.671,74.197,-,-
'[13:32:32.304]',-0.023,0.655,74.197,-,-
'[13:32:32.312]',-0.016,0.631,75.026,-,-
'[13:32:32.320]',0.008,0.612,75.026,-,-
'[13:32:32.328]',0.023,0.588,75.026,-,-
'[13:32:32.336]',0.047,0.569,75.855,-,-
'[13:32:32.344]',0.062,0.545,75.855,-,-
'[13:32:32.352]',0.078,0.522,75.026,-,-
'[13:32:32.360]',0.102,0.502,75.026,-,-
'[13:32:32.368]',0.125,0.482,75.026,-,-
'[13:32:32.376]',0.156,0.459,75.026,-,-
'[13:32:32.384]',0.203,0.443,75.026,-,-
'[13:32:32.392]',0.242,0.427,75.026,-,-
'[13:32:32.400]',0.305,0.408,75.026,-,-
'[13:32:32.408]',0.359,0.388,75.855,-,-
'[13:32:32.416]',0.414,0.369,75.855,-,-
'[13:32:32.424]',0.438,0.353,76.684,-,-
'[13:32:32.432]',0.453,0.337,76.684,-,-
'[13:32:32.440]',0.453,0.322,75.855,-,-
'[13:32:32.448]',0.438,0.310,75.026,-,-
'[13:32:32.456]',0.406,0.306,73.368,-,-
'[13:32:32.464]',0.344,0.302,71.710,-,-
'[13:32:32.472]',0.289,0.306,71.710,-,-
'[13:32:32.480]',0.242,0.314,75.026,-,-
'[13:32:32.488]',0.195,0.325,84.560,-,-
'[13:32:32.496]',0.164,0.337,99.896,-,-
'[13:32:32.504]',0.156,0.349,117.306,-,-
'[13:32:32.512]',0.148,0.365,129.741,-,-
'[13:32:32.520]',0.156,0.380,134.301,-,-
'[13:32:32.528]',0.164,0.392,134.301,-,-
'[13:32:32.536]',0.164,0.404,134.301,-,-
'[13:32:32.544]',0.172,0.412,135.959,-,-
'[13:32:32.552]',0.180,0.420,137.617,-,-
'[13:32:32.560]',0.180,0.424,138.446,-,-
'[13:32:32.568]',0.180,0.424,138.446,-,-
'[13:32:32.576]',0.180,0.424,136.788,-,-
'[13:32:32.584]',0.180,0.424,134.301,-,-
'[13:32:32.592]',0.180,0.420,132.642,-,-
'[13:32:32.600]',0.172,0.416,131.399,-,-
'[13:32:32.608]',0.172,0.412,128.912,-,-
'[13:32:32.616]',0.172,0.408,127.254,-,-
'[13:32:32.624]',0.164,0.400,125.596,-,-
'[13:32:32.632]',0.164,0.392,123.523,-,-
'[13:32:32.640]',0.164,0.388,121.036,-,-
'[13:32:32.648]',0.211,0.380,118.549,-,-
'[13:32:32.656]',0.273,0.376,115.648,-,-
'[13:32:32.664]',0.305,0.369,112.332,-,-
'[13:32:32.672]',0.305,0.365,109.430,-,-
'[13:32:32.680]',0.258,0.357,106.114,-,-
'[13:32:32.688]',0.203,0.349,103.212,-,-
'[13:32:32.696]',0.164,0.345,99.896,-,-
'[13:32:32.704]',0.133,0.337,96.995,-,-
'[13:32:32.712]',0.133,0.329,93.679,-,-
'[13:32:32.720]',0.133,0.325,90.777,-,-
'[13:32:32.728]',0.133,0.333,88.290,-,-
'[13:32:32.736]',0.133,0.353,86.632,-,-
'[13:32:32.744]',0.062,0.388,84.560,-,-
'[13:32:32.752]',-0.133,0.439,83.731,-,-
'[13:32:32.760]',-0.328,0.498,82.073,-,-
'[13:32:32.768]',-0.031,0.557,81.244,-,-
'[13:32:32.776]',0.992,0.612,80.415,-,-
'[13:32:32.784]',1.508,0.655,79.585,-,-
'[13:32:32.792]',1.508,0.682,79.585,-,-
'[13:32:32.800]',0.977,0.706,79.585,-,-
'[13:32:32.808]',0.484,0.718,78.756,-,-
'[13:32:32.816]',0.180,0.722,78.756,-,-
'[13:32:32.824]',0.047,0.718,78.756,-,-
'[13:32:32.832]',0.000,0.706,78.756,-,-
'[13:32:32.840]',-0.008,0.694,77.927,-,-
'[13:32:32.848]',-0.008,0.675,77.927,-,-
'[13:32:32.856]',-0.008,0.655,78.756,-,-
'[13:32:32.864]',0.008,0.635,78.756,-,-
'[13:32:32.872]',0.023,0.616,78.756,-,-
'[13:32:32.880]',0.039,0.596,79.585,-,-
'[13:32:32.888]',0.055,0.576,79.585,-,-
'[13:32:32.896]',0.070,0.557,79.585,-,-
'[13:32:32.904]',0.094,0.541,79.585,-,-
'[13:32:32.912]',0.117,0.522,79.585,-,-
'[13:32:32.920]',0.141,0.502,79.585,-,-
'[13:32:32.928]',0.172,0.486,79.585,-,-
'[13:32:32.936]',0.203,0.467,78.756,-,-
'[13:32:32.944]',0.250,0.451,78.756,-,-
'[13:32:32.952]',0.297,0.431,78.756,-,-
'[13:32:32.960]',0.352,0.416,78.756,-,-
'[13:32:32.968]',0.414,0.400,78.756,-,-
'[13:32:32.976]',0.461,0.384,79.585,-,-
'[13:32:32.984]',0.484,0.373,79.585,-,-
'[13:32:32.992]',0.492,0.361,79.585,-,-
'[13:32:33.000]',0.492,0.353,78.756,-,-
'[13:32:33.008]',0.469,0.349,77.513,-,-
'[13:32:33.016]',0.430,0.349,75.855,-,-
'[13:32:33.024]',0.359,0.349,75.026,-,-
'[13:32:33.032]',0.297,0.357,75.026,-,-
'[13:32:33.040]',0.242,0.365,79.585,-,-
'[13:32:33.048]',0.203,0.376,89.948,-,-
'[13:32:33.056]',0.180,0.388,106.114,-,-
'[13:32:33.064]',0.164,0.400,122.694,-,-
'[13:32:33.072]',0.156,0.412,132.642,-,-
'[13:32:33.080]',0.156,0.420,135.959,-,-
'[13:32:33.088]',0.164,0.427,135.959,-,-
'[13:32:33.096]',0.164,0.431,136.788,-,-
'[13:32:33.104]',0.164,0.431,137.617,-,-
