'Time','II','AVR','V','RESP','PLETH','ABP','CVP'
'[13:04:22.208]',0.960,0.415,0.760,0.191,1.207,99.349,2.999
'[13:04:22.216]',0.965,0.405,0.770,0.192,1.181,101.010,3.556
'[13:04:22.224]',0.965,0.400,0.760,0.193,1.160,101.547,4.122
'[13:04:22.232]',0.975,0.410,0.770,0.192,1.148,101.254,4.621
'[13:04:22.240]',0.970,0.395,0.770,0.192,1.141,99.984,4.933
'[13:04:22.248]',0.975,0.410,0.775,0.191,1.137,98.128,5.002
'[13:04:22.256]',0.990,0.390,0.770,0.190,1.135,95.686,4.689
'[13:04:22.264]',1.010,0.395,0.790,0.189,1.134,93.048,4.249
'[13:04:22.272]',1.035,0.370,0.790,0.188,1.133,90.313,3.995
'[13:04:22.280]',1.045,0.365,0.790,0.186,1.133,87.480,4.122
'[13:04:22.288]',1.035,0.360,0.775,0.185,1.132,84.745,4.748
'[13:04:22.296]',1.010,0.385,0.770,0.184,1.128,82.009,5.685
'[13:04:22.304]',0.980,0.395,0.750,0.183,1.122,79.372,6.555
'[13:04:22.312]',0.950,0.415,0.750,0.182,1.114,76.783,6.994
'[13:04:22.320]',0.940,0.415,0.735,0.181,1.106,74.438,6.936
'[13:04:22.328]',0.935,0.430,0.740,0.180,1.098,72.192,6.496
'[13:04:22.336]',0.935,0.420,0.730,0.179,1.091,69.945,5.871
'[13:04:22.344]',0.930,0.430,0.735,0.177,1.081,67.747,5.304
'[13:04:22.352]',0.930,0.425,0.725,0.176,1.069,65.598,5.002
'[13:04:22.360]',0.925,0.435,0.730,0.176,1.058,63.497,5.002
'[13:04:22.368]',0.925,0.425,0.745,0.175,1.045,61.592,5.246
'[13:04:22.376]',0.915,0.385,0.780,0.175,1.034,59.932,5.744
'[13:04:22.384]',1.180,0.210,0.875,0.175,1.032,58.564,6.438
'[13:04:22.392]',1.500,-0.025,0.945,0.174,1.045,57.441,7.063
'[13:04:22.400]',1.420,0.150,0.900,0.174,1.078,56.610,7.375
'[13:04:22.408]',1.110,0.395,0.710,0.174,1.138,55.975,7.493
'[13:04:22.416]',0.950,0.435,0.605,0.173,1.228,55.682,7.375
'[13:04:22.424]',0.895,0.430,0.640,0.172,1.352,55.438,7.121
'[13:04:22.432]',0.880,0.455,0.680,0.172,1.482,55.438,6.936
'[13:04:22.440]',0.885,0.455,0.695,0.171,1.622,55.536,6.809
'[13:04:22.448]',0.885,0.460,0.710,0.171,1.793,55.878,6.682
'[13:04:22.456]',0.890,0.455,0.705,0.170,1.978,56.220,6.438
'[13:04:22.464]',0.885,0.460,0.720,0.170,2.162,56.659,6.057
'[13:04:22.472]',0.895,0.450,0.715,0.170,2.337,57.099,5.617
'[13:04:22.480]',0.900,0.455,0.720,0.170,2.493,57.490,4.933
'[13:04:22.488]',0.905,0.435,0.715,0.170,2.623,57.783,4.122
'[13:04:22.496]',0.910,0.440,0.720,0.171,2.723,58.027,3.243
'[13:04:22.504]',0.920,0.435,0.715,0.171,2.796,58.173,2.686
'[13:04:22.512]',0.915,0.435,0.730,0.172,2.839,58.173,2.686
'[13:04:22.520]',0.920,0.425,0.720,0.173,2.856,58.124,3.370
'[13:04:22.528]',0.925,0.425,0.730,0.173,2.851,57.929,4.494
'[13:04:22.536]',0.940,0.415,0.725,0.174,2.829,57.685,5.744
'[13:04:22.544]',0.945,0.415,0.735,0.175,2.793,57.343,6.496
'[13:04:22.552]',0.950,0.395,0.720,0.177,2.744,56.855,6.496
'[13:04:22.560]',0.950,0.395,0.730,0.179,2.683,56.415,5.617
'[13:04:22.568]',0.970,0.370,0.720,0.182,2.612,55.926,4.181
'[13:04:22.576]',0.975,0.370,0.725,0.185,2.533,55.438,2.559
'[13:04:22.584]',0.990,0.355,0.730,0.188,2.447,54.901,0.938
'[13:04:22.592]',0.995,0.350,0.720,0.191,2.355,54.412,-0.313
'[13:04:22.600]',1.010,0.345,0.735,0.194,2.260,53.924,-1.133
'[13:04:22.608]',1.020,0.340,0.730,0.197,2.162,53.484,-1.250
'[13:04:22.616]',1.020,0.350,0.745,0.200,2.063,53.240,-0.821
'[13:04:22.624]',1.015,0.340,0.745,0.203,1.975,53.435,-0.127
'[13:04:22.632]',1.010,0.360,0.760,0.205,1.892,54.412,0.625
'[13:04:22.640]',1.000,0.365,0.755,0.208,1.804,56.757,1.250
'[13:04:22.648]',0.990,0.380,0.770,0.211,1.717,60.567,1.622
'[13:04:22.656]',0.975,0.390,0.770,0.214,1.632,65.793,1.934
'[13:04:22.664]',0.970,0.410,0.770,0.216,1.552,71.996,2.120
'[13:04:22.672]',0.975,0.405,0.760,0.219,1.477,78.590,2.305
'[13:04:22.680]',0.965,0.415,0.770,0.221,1.408,84.940,2.432
'[13:04:22.688]',0.965,0.410,0.760,0.222,1.348,90.508,2.501
'[13:04:22.696]',0.960,0.415,0.765,0.223,1.296,95.051,2.745
'[13:04:22.704]',0.960,0.405,0.760,0.224,1.251,98.567,3.312
'[13:04:22.712]',0.965,0.415,0.770,0.224,1.216,100.912,3.995
'[13:04:22.720]',0.965,0.410,0.755,0.224,1.190,102.231,4.562
'[13:04:22.728]',0.965,0.415,0.765,0.224,1.173,102.475,4.748
'[13:04:22.736]',0.975,0.405,0.770,0.224,1.163,101.791,4.621
'[13:04:22.744]',0.975,0.415,0.775,0.223,1.155,100.228,4.249
'[13:04:22.752]',0.975,0.400,0.770,0.222,1.151,98.030,3.810
'[13:04:22.760]',0.990,0.405,0.785,0.221,1.149,95.490,3.624
'[13:04:22.768]',1.015,0.385,0.790,0.220,1.148,92.755,3.624
'[13:04:22.776]',1.025,0.380,0.785,0.218,1.147,89.922,3.937
'[13:04:22.784]',1.030,0.370,0.775,0.217,1.145,87.187,4.562
'[13:04:22.792]',1.015,0.380,0.775,0.215,1.142,84.354,5.500
'[13:04:22.800]',0.995,0.390,0.760,0.212,1.137,81.667,6.369
'[13:04:22.808]',0.960,0.415,0.750,0.210,1.130,79.030,6.867
'[13:04:22.816]',0.940,0.425,0.745,0.208,1.123,76.539,6.809
'[13:04:22.824]',0.930,0.435,0.735,0.206,1.118,74.194,6.311
'[13:04:22.832]',0.930,0.435,0.745,0.204,1.113,71.850,5.685
'[13:04:22.840]',0.925,0.430,0.730,0.203,1.104,69.749,5.119
'[13:04:22.848]',0.925,0.435,0.735,0.202,1.092,67.600,4.875
'[13:04:22.856]',0.920,0.430,0.725,0.201,1.079,65.500,5.002
'[13:04:22.864]',0.920,0.435,0.745,0.200,1.066,63.448,5.373
'[13:04:22.872]',0.905,0.420,0.760,0.199,1.055,61.495,5.744
'[13:04:22.880]',1.035,0.305,0.830,0.199,1.048,59.883,6.242
'[13:04:22.888]',1.405,0.070,0.930,0.198,1.052,58.564,6.682
'[13:04:22.896]',1.500,-0.030,0.950,0.197,1.072,57.538,7.063
'[13:04:22.904]',1.245,0.300,0.810,0.196,1.114,56.855,7.180
'[13:04:22.912]',0.995,0.435,0.630,0.195,1.184,56.317,7.121
'[13:04:22.920]',0.910,0.435,0.600,0.195,1.285,55.975,6.936
'[13:04:22.928]',0.875,0.455,0.670,0.195,1.398,55.780,6.809
'[13:04:22.936]',0.870,0.455,0.690,0.194,1.523,55.780,6.867
'[13:04:22.944]',0.880,0.460,0.715,0.194,1.683,55.926,6.867
'[13:04:22.952]',0.885,0.450,0.720,0.193,1.865,56.220,6.682
'[13:04:22.960]',0.890,0.460,0.715,0.193,2.057,56.659,6.311
'[13:04:22.968]',0.895,0.445,0.720,0.193,2.244,57.099,5.812
'[13:04:22.976]',0.900,0.450,0.715,0.193,2.418,57.490,5.187
'[13:04:22.984]',0.905,0.435,0.720,0.194,2.569,57.880,4.376
'[13:04:22.992]',0.905,0.435,0.720,0.195,2.691,58.173,3.497
'[13:04:23.000]',0.915,0.430,0.725,0.196,2.784,58.418,2.813
'[13:04:23.008]',0.920,0.435,0.720,0.197,2.846,58.564,2.618
'[13:04:23.016]',0.925,0.425,0.730,0.198,2.879,58.564,3.058
'[13:04:23.024]',0.930,0.425,0.725,0.199,2.886,58.369,4.122
'[13:04:23.032]',0.940,0.415,0.735,0.200,2.873,58.173,5.373
'[13:04:23.040]',0.945,0.410,0.725,0.201,2.847,57.880,6.369
'[13:04:23.048]',0.950,0.415,0.735,0.203,2.806,57.441,6.682
'[13:04:23.056]',0.950,0.395,0.730,0.205,2.754,57.001,6.057
'[13:04:23.064]',0.960,0.385,0.735,0.207,2.689,56.464,4.748
'[13:04:23.072]',0.975,0.365,0.725,0.209,2.615,55.975,3.058
'[13:04:23.080]',0.980,0.365,0.735,0.211,2.535,55.487,1.368
'[13:04:23.088]',0.995,0.355,0.725,0.213,2.448,55.047,0.000
'[13:04:23.096]',1.000,0.360,0.740,0.215,2.355,54.510,-0.938
'[13:04:23.104]',1.015,0.340,0.735,0.217,2.260,53.973,-1.319
'[13:04:23.112]',1.015,0.350,0.745,0.220,2.161,53.533,-1.065
'[13:04:23.120]',1.020,0.340,0.745,0.222,2.060,53.484,-0.440
'[13:04:23.128]',1.005,0.365,0.755,0.224,1.971,54.070,0.371
'[13:04:23.136]',1.000,0.365,0.760,0.226,1.890,55.780,1.182
'[13:04:23.144]',0.990,0.380,0.770,0.227,1.803,59.004,1.807
'[13:04:23.152]',0.980,0.390,0.765,0.229,1.716,63.742,2.305
'[13:04:23.160]',0.960,0.405,0.770,0.231,1.631,69.749,2.618
'[13:04:23.168]',0.960,0.410,0.765,0.232,1.552,76.441,2.745
'[13:04:23.176]',0.955,0.415,0.765,0.234,1.480,82.986,2.745
'[13:04:23.184]',0.960,0.410,0.760,0.236,1.413,88.945,2.686
'[13:04:23.192]',0.960,0.415,0.755,0.237,1.355,93.927,2.745
'[13:04:23.200]',0.955,0.410,0.770,0.238,1.304,97.786,3.058
'[13:04:23.208]',0.960,0.415,0.755,0.238,1.262,100.619,3.624
'[13:04:23.216]',0.955,0.410,0.765,0.238,1.227,102.377,4.181
'[13:04:23.224]',0.960,0.405,0.760,0.239,1.203,103.061,4.621
'[13:04:23.232]',0.955,0.415,0.770,0.239,1.187,102.817,4.806
'[13:04:23.240]',0.965,0.410,0.770,0.239,1.172,101.596,4.689
'[13:04:23.248]',0.960,0.415,0.775,0.239,1.161,99.691,4.376
'[13:04:23.256]',0.985,0.400,0.780,0.239,1.152,97.200,3.868
'[13:04:23.264]',1.000,0.405,0.790,0.239,1.145,94.367,3.439
'[13:04:23.272]',1.020,0.385,0.785,0.238,1.141,91.485,3.370
'[13:04:23.280]',1.020,0.380,0.790,0.237,1.139,88.554,3.751
'[13:04:23.288]',1.025,0.370,0.770,0.237,1.138,85.721,4.621
'[13:04:23.296]',0.995,0.390,0.765,0.236,1.135,82.937,5.744
'[13:04:23.304]',0.970,0.400,0.745,0.235,1.131,80.153,6.682
'[13:04:23.312]',0.935,0.425,0.745,0.234,1.125,77.662,7.063
'[13:04:23.320]',0.925,0.430,0.730,0.232,1.118,75.220,6.867
'[13:04:23.328]',0.925,0.435,0.730,0.231,1.113,72.973,6.311
'[13:04:23.336]',0.925,0.425,0.725,0.230,1.110,70.824,5.617
'[13:04:23.344]',0.925,0.435,0.735,0.229,1.103,68.675,5.060
'[13:04:23.352]',0.925,0.430,0.725,0.227,1.091,66.526,4.806
'[13:04:23.360]',0.915,0.440,0.735,0.226,1.078,64.474,5.002
'[13:04:23.368]',0.915,0.430,0.745,0.225,1.065,62.472,5.431
'[13:04:23.376]',0.910,0.370,0.785,0.224,1.057,60.713,6.057
'[13:04:23.384]',1.225,0.180,0.890,0.223,1.055,59.248,6.623
'[13:04:23.392]',1.500,-0.030,0.945,0.223,1.065,58.124,7.121
'[13:04:23.400]',1.380,0.185,0.880,0.222,1.097,57.245,7.434
'[13:04:23.408]',1.075,0.410,0.690,0.222,1.155,56.659,7.434
'[13:04:23.416]',0.940,0.440,0.605,0.222,1.244,56.220,7.248
'[13:04:23.424]',0.885,0.430,0.650,0.221,1.343,55.975,7.063
'[13:04:23.432]',0.875,0.460,0.690,0.220,1.457,55.926,6.994
'[13:04:23.440]',0.880,0.455,0.705,0.220,1.609,55.926,7.063
'[13:04:23.448]',0.880,0.460,0.715,0.219,1.786,56.122,6.936
'[13:04:23.456]',0.885,0.455,0.710,0.219,1.977,56.464,6.623
'[13:04:23.464]',0.890,0.460,0.720,0.219,2.168,56.855,6.184
'[13:04:23.472]',0.890,0.450,0.715,0.219,2.351,57.294,5.617
'[13:04:23.480]',0.895,0.460,0.725,0.219,2.514,57.685,5.002
'[13:04:23.488]',0.900,0.450,0.720,0.220,2.651,58.027,4.181
'[13:04:23.496]',0.905,0.450,0.725,0.220,2.760,58.320,3.439
'[13:04:23.504]',0.905,0.435,0.720,0.221,2.837,58.466,3.058
'[13:04:23.512]',0.910,0.440,0.730,0.222,2.883,58.613,3.243
'[13:04:23.520]',0.920,0.430,0.720,0.224,2.900,58.564,4.064
'[13:04:23.528]',0.920,0.435,0.730,0.226,2.894,58.418,5.304
'[13:04:23.536]',0.925,0.420,0.725,0.228,2.869,58.124,6.496
'[13:04:23.544]',0.930,0.425,0.730,0.230,2.830,57.734,7.180
'[13:04:23.552]',0.945,0.405,0.725,0.232,2.778,57.343,7.180
'[13:04:23.560]',0.945,0.405,0.730,0.233,2.714,56.903,6.369
'[13:04:23.568]',0.960,0.385,0.725,0.235,2.641,56.561,4.933
'[13:04:23.576]',0.970,0.380,0.735,0.237,2.563,56.171,3.312
'[13:04:23.584]',0.980,0.365,0.730,0.239,2.479,55.780,1.749
'[13:04:23.592]',0.985,0.365,0.735,0.242,2.391,55.292,0.557
'[13:04:23.600]',1.000,0.360,0.745,0.245,2.298,54.803,-0.068
'[13:04:23.608]',1.000,0.360,0.735,0.248,2.201,54.363,-0.127
'[13:04:23.616]',1.010,0.355,0.745,0.252,2.103,54.217,0.244
'[13:04:23.624]',1.000,0.365,0.745,0.257,2.015,54.608,0.938
'[13:04:23.632]',0.990,0.375,0.755,0.261,1.933,55.975,1.680
'[13:04:23.640]',0.980,0.385,0.760,0.266,1.844,58.662,2.305
'[13:04:23.648]',0.975,0.395,0.770,0.271,1.753,62.862,2.745
'[13:04:23.656]',0.965,0.400,0.760,0.275,1.665,68.431,2.813
'[13:04:23.664]',0.955,0.415,0.770,0.280,1.583,74.927,2.745
'[13:04:23.672]',0.950,0.415,0.760,0.286,1.506,81.618,2.745
'[13:04:23.680]',0.950,0.425,0.770,0.292,1.438,87.919,2.931
'[13:04:23.688]',0.950,0.420,0.755,0.299,1.375,93.341,3.370
'[13:04:23.696]',0.950,0.430,0.765,0.305,1.320,97.737,4.064
'[13:04:23.704]',0.945,0.425,0.755,0.311,1.273,100.912,4.806
'[13:04:23.712]',0.945,0.425,0.765,0.318,1.235,102.915,5.431
'[13:04:23.720]',0.950,0.415,0.760,0.324,1.205,103.940,5.871
'[13:04:23.728]',0.950,0.420,0.770,0.330,1.186,103.940,5.930
'[13:04:23.736]',0.960,0.415,0.770,0.337,1.173,103.110,5.685
'[13:04:23.744]',0.955,0.425,0.775,0.345,1.161,101.547,5.373
'[13:04:23.752]',0.970,0.410,0.780,0.353,1.152,99.349,5.060
'[13:04:23.760]',0.985,0.415,0.795,0.362,1.143,96.809,4.933
'[13:04:23.768]',1.010,0.390,0.790,0.372,1.138,94.074,5.119
'[13:04:23.776]',1.020,0.390,0.790,0.382,1.135,91.241,5.617
'[13:04:23.784]',1.020,0.375,0.780,0.392,1.132,88.359,6.438
'[13:04:23.792]',1.005,0.390,0.775,0.403,1.128,85.624,7.434
'[13:04:23.800]',0.975,0.400,0.760,0.414,1.125,82.937,8.118
'[13:04:23.808]',0.950,0.425,0.750,0.424,1.120,80.349,8.372
'[13:04:23.816]',0.925,0.435,0.740,0.435,1.113,78.004,8.186
'[13:04:23.824]',0.920,0.435,0.730,0.446,1.109,75.660,7.747
'[13:04:23.832]',0.920,0.445,0.735,0.458,1.107,73.413,7.375
'[13:04:23.840]',0.925,0.435,0.730,0.471,1.099,71.215,6.994
'[13:04:23.848]',0.920,0.445,0.730,0.484,1.087,69.114,6.809
'[13:04:23.856]',0.910,0.440,0.720,0.498,1.074,67.063,6.936
'[13:04:23.864]',0.910,0.445,0.740,0.512,1.062,65.012,7.375
'[13:04:23.872]',0.905,0.420,0.770,0.525,1.052,63.155,7.874
'[13:04:23.880]',1.075,0.300,0.855,0.538,1.048,61.544,8.313
'[13:04:23.888]',1.465,0.065,0.935,0.552,1.055,60.225,8.626
'[13:04:23.896]',1.500,-0.015,0.940,0.566,1.081,59.297,8.870
'[13:04:23.904]',1.225,0.320,0.750,0.581,1.131,58.564,8.938
'[13:04:23.912]',0.980,0.435,0.595,0.596,1.210,58.027,8.811
'[13:04:23.920]',0.895,0.440,0.590,0.612,1.323,57.685,8.626
'[13:04:23.928]',0.860,0.460,0.675,0.628,1.443,57.490,8.557
'[13:04:23.936]',0.870,0.460,0.695,0.644,1.576,57.490,8.626
'[13:04:23.944]',0.865,0.470,0.715,0.661,1.745,57.685,8.743
'[13:04:23.952]',0.875,0.460,0.705,0.677,1.934,57.929,8.811
'[13:04:23.960]',0.875,0.465,0.715,0.692,2.128,58.320,8.684
'[13:04:23.968]',0.880,0.460,0.720,0.707,2.315,58.759,8.245
'[13:04:23.976]',0.880,0.460,0.720,0.721,2.484,59.150,7.493
'[13:04:23.984]',0.885,0.450,0.720,0.735,2.627,59.590,6.682
'[13:04:23.992]',0.885,0.455,0.725,0.749,2.741,59.932,5.930
'[13:04:24.000]',0.900,0.440,0.730,0.763,2.825,60.176,5.500
'[13:04:24.008]',0.905,0.440,0.720,0.778,2.879,60.322,5.431
'[13:04:24.016]',0.905,0.435,0.730,0.792,2.906,60.371,5.812
'[13:04:24.024]',0.920,0.430,0.720,0.805,2.910,60.225,6.555
'[13:04:24.032]',0.925,0.435,0.735,0.818,2.896,59.981,7.434
'[13:04:24.040]',0.925,0.420,0.730,0.831,2.868,59.590,8.001
'[13:04:24.048]',0.930,0.410,0.740,0.843,2.825,59.248,8.059
'[13:04:24.056]',0.945,0.400,0.735,0.856,2.769,58.808,7.561
'[13:04:24.064]',0.950,0.405,0.740,0.869,2.703,58.369,6.750
'[13:04:24.072]',0.960,0.380,0.735,0.883,2.629,57.978,5.812
'[13:04:24.080]',0.975,0.385,0.745,0.897,2.546,57.538,4.748
'[13:04:24.088]',0.980,0.365,0.740,0.912,2.457,57.050,3.751
'[13:04:24.096]',0.985,0.375,0.745,0.927,2.366,56.561,2.931
'[13:04:24.104]',1.000,0.365,0.740,0.942,2.272,55.975,2.501
'[13:04:24.112]',1.000,0.365,0.750,0.957,2.176,55.633,2.432
'[13:04:24.120]',1.000,0.365,0.745,0.971,2.080,55.633,2.686
'[13:04:24.128]',0.995,0.380,0.765,0.985,1.994,56.464,3.185
'[13:04:24.136]',0.990,0.375,0.765,0.992,1.914,58.662,3.810
'[13:04:24.144]',0.980,0.390,0.770,1.000,1.828,62.374,4.435
'[13:04:24.152]',0.975,0.390,0.775,1.000,1.740,67.600,4.748
'[13:04:24.160]',0.965,0.410,0.765,1.000,1.655,73.999,4.748
'[13:04:24.168]',0.960,0.415,0.770,1.000,1.575,80.935,4.621
'[13:04:24.176]',0.950,0.420,0.760,1.000,1.501,87.626,4.494
'[13:04:24.184]',0.960,0.415,0.765,1.000,1.435,93.536,4.562
'[13:04:24.192]',0.950,0.415,0.750,1.000,1.374,98.421,4.806
'[13:04:24.200]',0.955,0.415,0.765,1.000,1.322,102.133,5.304
'[13:04:24.208]',0.960,0.410,0.750,1.000,1.278,104.673,5.871
'[13:04:24.216]',0.955,0.415,0.760,1.000,1.242,106.187,6.438
'[13:04:24.224]',0.965,0.400,0.755,1.000,1.220,106.676,6.867
'[13:04:24.232]',0.960,0.415,0.775,1.000,1.205,106.187,6.994
'[13:04:24.240]',0.970,0.410,0.770,1.000,1.192,104.917,6.936
'[13:04:24.248]',0.965,0.420,0.780,1.000,1.181,103.012,6.623
'[13:04:24.256]',0.985,0.405,0.780,1.000,1.173,100.619,6.438
'[13:04:24.264]',1.000,0.400,0.790,1.000,1.169,97.932,6.369
'[13:04:24.272]',1.020,0.380,0.780,1.000,1.167,95.099,6.496
'[13:04:24.280]',1.020,0.385,0.785,1.000,1.166,92.315,6.867
'[13:04:24.288]',1.020,0.370,0.775,1.000,1.166,89.482,7.375
'[13:04:24.296]',1.000,0.390,0.770,1.000,1.166,86.747,8.059
'[13:04:24.304]',0.975,0.395,0.750,1.000,1.164,84.061,8.626
'[13:04:24.312]',0.945,0.420,0.745,1.000,1.160,81.472,8.743
