"'Time','I','II','III','AVR','V','RESP','PLETH','ABP'"
"'[01:49:51.414]',-,-,-,-,-,-,-,-"
"'[01:49:51.422]',-,-,-,-,-,-,-,-"
"'[01:49:51.430]',-,-,-,-,-,-,-,-"
"'[01:49:51.438]',-,-,-,-,-,-,-,-"
"'[01:49:51.446]',-,-,-,-,-,-,-,-"
"'[01:49:51.454]',-,-,-,-,-,-,-,-"
"'[01:49:51.462]',-,-,-,-,-,-,-,-"
"'[01:49:51.470]',-,-,-,-,-,-,-,-"
"'[01:49:51.478]',-,-,-,-,-,-,-,-"
"'[01:49:51.486]',-,-,-,-,-,-,-,-"
"'[01:49:51.494]',-,-,-,-,-,-,-,-"
"'[01:49:51.502]',-,-,-,-,-,-,-,-"
"'[01:49:51.510]',-,-,-,-,-,-,-,-"
"'[01:49:51.518]',-,-,-,-,-,-,-,-"
"'[01:49:51.526]',-,-,-,-,-,-,-,-"
"'[01:49:51.534]',-,-,-,-,-,-,-,-"
"'[01:49:51.542]',-,-,-,-,-,-,-,-"
"'[01:49:51.550]',-,-,-,-,-,-,-,-"
"'[01:49:51.558]',-,-,-,-,-,-,-,-"
"'[01:49:51.566]',-,-,-,-,-,-,-,-"
"'[01:49:51.574]',-,-,-,-,-,-,-,-"
"'[01:49:51.582]',-,-,-,-,-,-,-,-"
"'[01:49:51.590]',-,-,-,-,-,-,-,-"
"'[01:49:51.598]',-,-,-,-,-,-,-,-"
"'[01:49:51.606]',-,-,-,-,-,-,-,-"
"'[01:49:51.614]',-,-,-,-,-,-,-,-"
"'[01:49:51.622]',-,-,-,-,-,-,-,-"
"'[01:49:51.630]',-,-,-,-,-,-,-,-"
"'[01:49:51.638]',-,-,-,-,-,-,-,-"
"'[01:49:51.646]',-,-,-,-,-,-,-,-"
"'[01:49:51.654]',-,-,-,-,-,-,-,-"
"'[01:49:51.662]',-,-,-,-,-,-,-,-"
"'[01:49:51.670]',-,-,-,-,-,-,-,-"
"'[01:49:51.678]',-,-,-,-,-,-,-,-"
"'[01:49:51.686]',-,-,-,-,-,-,-,-"
"'[01:49:51.694]',-,-,-,-,-,-,-,-"
"'[01:49:51.702]',-,-,-,-,-,-,-,-"
"'[01:49:51.710]',-,-,-,-,-,-,-,-"
"'[01:49:51.718]',-,-,-,-,-,-,-,-"
"'[01:49:51.726]',-,-,-,-,-,-,-,-"
"'[01:49:51.734]',-,-,-,-,-,-,-,-"
"'[01:49:51.742]',-,-,-,-,-,-,-,-"
"'[01:49:51.750]',-,-,-,-,-,-,-,-"
"'[01:49:51.758]',-,-,-,-,-,-,-,-"
"'[01:49:51.766]',-,-,-,-,-,-,-,-"
"'[01:49:51.774]',-,-,-,-,-,-,-,-"
"'[01:49:51.782]',-,-,-,-,-,-,-,-"
"'[01:49:51.790]',-,-,-,-,-,-,-,-"
"'[01:49:51.798]',-,-,-,-,-,-,-,-"
"'[01:49:51.806]',-,-,-,-,-,-,-,-"
"'[01:49:51.814]',-,-,-,-,-,-,-,-"
"'[01:49:51.822]',-,-,-,-,-,-,-,-"
"'[01:49:51.830]',-,-,-,-,-,-,-,-"
"'[01:49:51.838]',-,-,-,-,-,-,-,-"
"'[01:49:51.846]',-,-,-,-,-,-,-,-"
"'[01:49:51.854]',-,-,-,-,-,-,-,-"
"'[01:49:51.862]',-,-,-,-,-,-,-,-"
"'[01:49:51.870]',-,-,-,-,-,-,-,-"
"'[01:49:51.878]',-,-,-,-,-,-,-,-"
"'[01:49:51.886]',-,-,-,-,-,-,-,-"
"'[01:49:51.894]',-,-,-,-,-,-,-,-"
"'[01:49:51.902]',-,-,-,-,-,-,-,-"
"'[01:49:51.910]',-,-,-,-,-,-,-,-"
"'[01:49:51.918]',-,-,-,-,-,-,-,-"
"'[01:49:51.926]',-,-,-,-,-,-,-,-"
"'[01:49:51.934]',-,-,-,-,-,-,-,-"
"'[01:49:51.942]',-,-,-,-,-,-,-,-"
"'[01:49:51.950]',-,-,-,-,-,-,-,-"
"'[01:49:51.958]',-,-,-,-,-,-,-,-"
"'[01:49:51.966]',-,-,-,-,-,-,-,-"
"'[01:49:51.974]',-,-,-,-,-,-,-,-"
"'[01:49:51.982]',-,-,-,-,-,-,-,-"
"'[01:49:51.990]',-,-,-,-,-,-,-,-"
"'[01:49:51.998]',-,-,-,-,-,-,-,-"
"'[01:49:52.006]',-,-,-,-,-,-,-,-"
"'[01:49:52.014]',-,-,-,-,-,-,-,-"
"'[01:49:52.022]',-,-,-,-,-,-,-,-"
"'[01:49:52.030]',-,-,-,-,-,-,-,-"
"'[01:49:52.038]',-,-,-,-,-,-,-,-"
"'[01:49:52.046]',-,-,-,-,-,-,-,-"
"'[01:49:52.054]',-,-,-,-,-,-,-,-"
"'[01:49:52.062]',-,-,-,-,-,-,-,-"
"'[01:49:52.070]',-,-,-,-,-,-,-,-"
"'[01:49:52.078]',-,-,-,-,-,-,-,-"
"'[01:49:52.086]',-,-,-,-,-,-,-,-"
"'[01:49:52.094]',-,-,-,-,-,-,-,-"
"'[01:49:52.102]',-,-,-,-,-,-,-,-"
"'[01:49:52.110]',-,-,-,-,-,-,-,-"
"'[01:49:52.118]',-,-,-,-,-,-,-,-"
"'[01:49:52.126]',-,-,-,-,-,-,-,-"
"'[01:49:52.134]',-,-,-,-,-,-,-,-"
"'[01:49:52.142]',-,-,-,-,-,-,-,-"
"'[01:49:52.150]',-,-,-,-,-,-,-,-"
"'[01:49:52.158]',-,-,-,-,-,-,-,-"
"'[01:49:52.166]',-,-,-,-,-,-,-,-"
"'[01:49:52.174]',-,-,-,-,-,-,-,-"
"'[01:49:52.182]',-,-,-,-,-,-,-,-"
"'[01:49:52.190]',-,-,-,-,-,-,-,-"
"'[01:49:52.198]',-,-,-,-,-,-,-,-"
"'[01:49:52.206]',-,-,-,-,-,-,-,-"
"'[01:49:52.214]',-,-,-,-,-,-,-,-"
"'[01:49:52.222]',-,-,-,-,-,-,-,-"
"'[01:49:52.230]',-,-,-,-,-,-,-,-"
"'[01:49:52.238]',-,-,-,-,-,-,-,-"
"'[01:49:52.246]',-,-,-,-,-,-,-,-"
"'[01:49:52.254]',-,-,-,-,-,-,-,-"
"'[01:49:52.262]',-,-,-,-,-,-,-,-"
"'[01:49:52.270]',-,-,-,-,-,-,-,-"
"'[01:49:52.278]',-,-,-,-,-,-,-,-"
"'[01:49:52.286]',-,-,-,-,-,-,-,-"
"'[01:49:52.294]',-,-,-,-,-,-,-,-"
"'[01:49:52.302]',-,-,-,-,-,-,-,-"
"'[01:49:52.310]',-,-,-,-,-,-,-,-"
"'[01:49:52.318]',-,-,-,-,-,-,-,-"
"'[01:49:52.326]',-,-,-,-,-,-,-,-"
"'[01:49:52.334]',-,-,-,-,-,-,-,-"
"'[01:49:52.342]',-,-,-,-,-,-,-,-"
"'[01:49:52.350]',-,-,-,-,-,-,-,-"
"'[01:49:52.358]',-,-,-,-,-,-,-,-"
"'[01:49:52.366]',-,-,-,-,-,-,-,-"
"'[01:49:52.374]',-,-,-,-,-,-,-,-"
"'[01:49:52.382]',-,-,-,-,-,-,-,-"
"'[01:49:52.390]',-,-,-,-,-,-,-,-"
"'[01:49:52.398]',-,-,-,-,-,-,-,-"
"'[01:49:52.406]',-,-,-,-,-,-,-,-"
"'[01:49:52.414]',-,-,-,-,-,-,-,-"
"'[01:49:52.422]',-,-,-,-,-,-,-,-"
"'[01:49:52.430]',-,-,-,-,-,-,-,-"
"'[01:49:52.438]',-,-,-,-,-,-,-,-"
"'[01:49:52.446]',-,-,-,-,-,-,-,-"
"'[01:49:52.454]',-,-,-,-,-,-,-,-"
"'[01:49:52.462]',-,-,-,-,-,-,-,-"
"'[01:49:52.470]',-,-,-,-,-,-,-,-"
"'[01:49:52.478]',-,-,-,-,-,-,-,-"
"'[01:49:52.486]',-,-,-,-,-,-,-,-"
"'[01:49:52.494]',-,-,-,-,-,-,-,-"
"'[01:49:52.502]',-,-,-,-,-,-,-,-"
"'[01:49:52.510]',-,-,-,-,-,-,-,-"
"'[01:49:52.518]',-,-,-,-,-,-,-,-"
"'[01:49:52.526]',-,-,-,-,-,-,-,-"
"'[01:49:52.534]',-,-,-,-,-,-,-,-"
"'[01:49:52.542]',-,-,-,-,-,-,-,-"
"'[01:49:52.550]',-,-,-,-,-,-,-,-"
"'[01:49:52.558]',-,-,-,-,-,-,-,-"
"'[01:49:52.566]',-,-,-,-,-,-,-,-"
"'[01:49:52.574]',-,-,-,-,-,-,-,-"
"'[01:49:52.582]',-,-,-,-,-,-,-,-"
"'[01:49:52.590]',-,-,-,-,-,-,-,-"
"'[01:49:52.598]',-,-,-,-,-,-,-,-"
"'[01:49:52.606]',-,-,-,-,-,-,-,-"
"'[01:49:52.614]',-,-,-,-,-,-,-,-"
"'[01:49:52.622]',-,-,-,-,-,-,-,-"
"'[01:49:52.630]',-,-,-,-,-,-,-,-"
"'[01:49:52.638]',-,-,-,-,-,-,-,-"
"'[01:49:52.646]',-,-,-,-,-,-,-,-"
"'[01:49:52.654]',-,-,-,-,-,-,-,-"
"'[01:49:52.662]',-,-,-,-,-,-,-,-"
"'[01:49:52.670]',-,-,-,-,-,-,-,-"
"'[01:49:52.678]',-,-,-,-,-,-,-,-"
"'[01:49:52.686]',-,-,-,-,-,-,-,-"
"'[01:49:52.694]',-,-,-,-,-,-,-,-"
"'[01:49:52.702]',-,-,-,-,-,-,-,-"
"'[01:49:52.710]',-,-,-,-,-,-,-,-"
"'[01:49:52.718]',-,-,-,-,-,-,-,-"
"'[01:49:52.726]',-,-,-,-,-,-,-,-"
"'[01:49:52.734]',-,-,-,-,-,-,-,-"
"'[01:49:52.742]',-,-,-,-,-,-,-,-"
"'[01:49:52.750]',-,-,-,-,-,-,-,-"
"'[01:49:52.758]',-,-,-,-,-,-,-,-"
"'[01:49:52.766]',-,-,-,-,-,-,-,-"
"'[01:49:52.774]',-,-,-,-,-,-,-,-"
"'[01:49:52.782]',-,-,-,-,-,-,-,-"
"'[01:49:52.790]',-,-,-,-,-,-,-,-"
"'[01:49:52.798]',-,-,-,-,-,-,-,-"
"'[01:49:52.806]',-,-,-,-,-,-,-,-"
"'[01:49:52.814]',-,-,-,-,-,-,-,-"
"'[01:49:52.822]',-,-,-,-,-,-,-,-"
"'[01:49:52.830]',-,-,-,-,-,-,-,-"
"'[01:49:52.838]',-,-,-,-,-,-,-,-"
"'[01:49:52.846]',-,-,-,-,-,-,-,-"
"'[01:49:52.854]',-,-,-,-,-,-,-,-"
"'[01:49:52.862]',-,-,-,-,-,-,-,-"
"'[01:49:52.870]',-,-,-,-,-,-,-,-"
"'[01:49:52.878]',-,-,-,-,-,-,-,-"
"'[01:49:52.886]',-,-,-,-,-,-,-,-"
"'[01:49:52.894]',-,-,-,-,-,-,-,-"
"'[01:49:52.902]',-,-,-,-,-,-,-,-"
"'[01:49:52.910]',-,-,-,-,-,-,-,-"
"'[01:49:52.918]',-,-,-,-,-,-,-,-"
"'[01:49:52.926]',-,-,-,-,-,-,-,-"
"'[01:49:52.934]',-,-,-,-,-,-,-,-"
"'[01:49:52.942]',-,-,-,-,-,-,-,-"
"'[01:49:52.950]',-,-,-,-,-,-,-,-"
"'[01:49:52.958]',-,-,-,-,-,-,-,-"
"'[01:49:52.966]',-,-,-,-,-,-,-,-"
"'[01:49:52.974]',-,-,-,-,-,-,-,-"
"'[01:49:52.982]',-,-,-,-,-,-,-,-"
"'[01:49:52.990]',-,-,-,-,-,-,-,-"
"'[01:49:52.998]',-,-,-,-,-,-,-,-"
"'[01:49:53.006]',-,-,-,-,-,-,-,-"
"'[01:49:53.014]',-,-,-,-,-,-,-,-"
"'[01:49:53.022]',-,-,-,-,-,-,-,-"
"'[01:49:53.030]',-,-,-,-,-,-,-,-"
"'[01:49:53.038]',-,-,-,-,-,-,-,-"
"'[01:49:53.046]',-,-,-,-,-,-,-,-"
"'[01:49:53.054]',-,-,-,-,-,-,-,-"
"'[01:49:53.062]',-,-,-,-,-,-,-,-"
"'[01:49:53.070]',-,-,-,-,-,-,-,-"
"'[01:49:53.078]',-,-,-,-,-,-,-,-"
"'[01:49:53.086]',-,-,-,-,-,-,-,-"
"'[01:49:53.094]',-,-,-,-,-,-,-,-"
"'[01:49:53.102]',-,-,-,-,-,-,-,-"
"'[01:49:53.110]',-,-,-,-,-,-,-,-"
"'[01:49:53.118]',-,-,-,-,-,-,-,-"
"'[01:49:53.126]',-,-,-,-,-,-,-,-"
"'[01:49:53.134]',-,-,-,-,-,-,-,-"
"'[01:49:53.142]',-,-,-,-,-,-,-,-"
"'[01:49:53.150]',-,-,-,-,-,-,-,-"
"'[01:49:53.158]',-,-,-,-,-,-,-,-"
"'[01:49:53.166]',-,-,-,-,-,-,-,-"
"'[01:49:53.174]',-,-,-,-,-,-,-,-"
"'[01:49:53.182]',-,-,-,-,-,-,-,-"
"'[01:49:53.190]',-,-,-,-,-,-,-,-"
"'[01:49:53.198]',-,-,-,-,-,-,-,-"
"'[01:49:53.206]',-,-,-,-,-,-,-,-"
"'[01:49:53.214]',-,-,-,-,-,-,-,-"
"'[01:49:53.222]',-,-,-,-,-,-,-,-"
"'[01:49:53.230]',-,-,-,-,-,-,-,-"
"'[01:49:53.238]',-,-,-,-,-,-,-,-"
"'[01:49:53.246]',-,-,-,-,-,-,-,-"
"'[01:49:53.254]',-,-,-,-,-,-,-,-"
"'[01:49:53.262]',-,-,-,-,-,-,-,-"
"'[01:49:53.270]',-,-,-,-,-,-,-,-"
"'[01:49:53.278]',-,-,-,-,-,-,-,-"
"'[01:49:53.286]',-,-,-,-,-,-,-,-"
"'[01:49:53.294]',-,-,-,-,-,-,-,-"
"'[01:49:53.302]',-,-,-,-,-,-,-,-"
"'[01:49:53.310]',-,-,-,-,-,-,-,-"
"'[01:49:53.318]',-,-,-,-,-,-,-,-"
"'[01:49:53.326]',-,-,-,-,-,-,-,-"
"'[01:49:53.334]',-,-,-,-,-,-,-,-"
"'[01:49:53.342]',-,-,-,-,-,-,-,-"
"'[01:49:53.350]',-,-,-,-,-,-,-,-"
"'[01:49:53.358]',-,-,-,-,-,-,-,-"
"'[01:49:53.366]',-,-,-,-,-,-,-,-"
"'[01:49:53.374]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.382]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.390]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.398]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.406]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.414]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.422]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.430]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.438]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.446]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.454]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.462]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.470]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.478]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.486]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.494]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.502]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.510]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.518]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.526]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.534]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.542]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.550]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.558]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.566]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.574]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.582]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.590]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.598]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.606]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.614]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.622]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.630]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.638]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.646]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.654]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.662]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.670]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.678]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.686]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.694]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.702]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.710]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.718]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.726]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.734]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.742]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.750]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.758]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.766]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.774]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.782]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.790]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.798]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.806]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.814]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.822]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.830]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.838]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.846]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.854]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.862]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.870]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.878]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.886]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.894]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.902]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.910]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.918]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.926]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.934]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.942]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.950]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.958]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.966]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.974]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.982]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.990]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:53.998]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.006]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.014]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.022]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.030]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.038]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.046]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.054]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.062]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
"'[01:49:54.070]',-,-0.498,-,-0.502,-0.502,0.249,0.500,-"
