'Time','ABP','PLETH','II'
'[23:07:01.424]',89.844,0.310,0.260
'[23:07:01.432]',95.312,0.306,0.276
'[23:07:01.440]',100.781,0.302,0.299
'[23:07:01.448]',106.250,0.302,0.307
'[23:07:01.456]',110.938,0.302,0.323
'[23:07:01.464]',115.625,0.298,0.315
'[23:07:01.472]',120.312,0.298,0.291
'[23:07:01.480]',125.000,0.294,0.244
'[23:07:01.488]',129.688,0.294,0.205
'[23:07:01.496]',134.375,0.290,0.165
'[23:07:01.504]',138.281,0.290,0.134
'[23:07:01.512]',142.188,0.286,0.110
'[23:07:01.520]',145.312,0.286,0.094
'[23:07:01.528]',148.438,0.282,0.087
'[23:07:01.536]',150.000,0.282,0.079
'[23:07:01.544]',151.562,0.282,0.079
'[23:07:01.552]',152.344,0.278,0.079
'[23:07:01.560]',153.125,0.278,0.079
'[23:07:01.568]',152.344,0.278,0.071
'[23:07:01.576]',152.344,0.278,0.079
'[23:07:01.584]',151.562,0.278,0.079
'[23:07:01.592]',150.781,0.275,0.079
'[23:07:01.600]',150.000,0.275,0.079
'[23:07:01.608]',148.438,0.275,0.087
'[23:07:01.616]',146.875,0.271,0.087
'[23:07:01.624]',145.312,0.271,0.094
'[23:07:01.632]',143.750,0.271,0.094
'[23:07:01.640]',141.406,0.275,0.094
'[23:07:01.648]',139.062,0.282,0.102
'[23:07:01.656]',136.719,0.290,0.110
'[23:07:01.664]',133.594,0.302,0.110
'[23:07:01.672]',129.688,0.318,0.118
'[23:07:01.680]',125.781,0.337,0.118
'[23:07:01.688]',121.875,0.361,0.118
'[23:07:01.696]',117.969,0.384,0.118
'[23:07:01.704]',114.062,0.412,0.118
'[23:07:01.712]',110.938,0.435,0.118
'[23:07:01.720]',107.812,0.463,0.118
'[23:07:01.728]',105.469,0.490,0.110
'[23:07:01.736]',103.125,0.514,0.110
'[23:07:01.744]',101.562,0.541,0.118
'[23:07:01.752]',100.000,0.565,0.118
'[23:07:01.760]',98.438,0.588,0.118
'[23:07:01.768]',97.656,0.604,0.110
'[23:07:01.776]',96.875,0.624,0.118
'[23:07:01.784]',95.312,0.643,0.118
'[23:07:01.792]',94.531,0.663,0.118
'[23:07:01.800]',93.750,0.678,0.118
'[23:07:01.808]',93.750,0.690,0.118
'[23:07:01.816]',92.969,0.702,0.126
'[23:07:01.824]',92.188,0.714,0.134
'[23:07:01.832]',91.406,0.722,0.165
'[23:07:01.840]',91.406,0.725,0.189
'[23:07:01.848]',90.625,0.729,0.189
'[23:07:01.856]',90.625,0.729,0.213
'[23:07:01.864]',89.844,0.729,0.260
'[23:07:01.872]',89.062,0.729,0.299
'[23:07:01.880]',89.062,0.725,0.307
'[23:07:01.888]',88.281,0.722,0.307
'[23:07:01.896]',87.500,0.714,0.244
'[23:07:01.904]',87.500,0.706,0.197
'[23:07:01.912]',86.719,0.694,0.150
'[23:07:01.920]',85.938,0.682,0.118
'[23:07:01.928]',85.156,0.671,0.102
'[23:07:01.936]',85.156,0.655,0.094
'[23:07:01.944]',84.375,0.639,0.094
'[23:07:01.952]',83.594,0.624,0.094
'[23:07:01.960]',82.812,0.608,0.071
'[23:07:01.968]',82.812,0.592,0.063
'[23:07:01.976]',82.031,0.576,0.244
'[23:07:01.984]',81.250,0.561,0.622
'[23:07:01.992]',80.469,0.545,1.126
'[23:07:02.000]',79.688,0.529,1.283
'[23:07:02.008]',79.688,0.514,1.047
'[23:07:02.016]',78.906,0.502,0.551
'[23:07:02.024]',78.906,0.490,0.268
'[23:07:02.032]',78.125,0.478,0.134
'[23:07:02.040]',77.344,0.467,0.055
'[23:07:02.048]',76.562,0.455,0.024
'[23:07:02.056]',76.562,0.447,0.024
'[23:07:02.064]',75.781,0.439,0.024
'[23:07:02.072]',75.781,0.431,0.024
'[23:07:02.080]',75.781,0.424,0.024
'[23:07:02.088]',75.000,0.416,0.031
'[23:07:02.096]',75.000,0.408,0.039
'[23:07:02.104]',74.219,0.400,0.039
'[23:07:02.112]',74.219,0.392,0.055
'[23:07:02.120]',73.438,0.388,0.055
'[23:07:02.128]',73.438,0.380,0.063
'[23:07:02.136]',73.438,0.376,0.071
'[23:07:02.144]',72.656,0.373,0.079
'[23:07:02.152]',72.656,0.365,0.094
'[23:07:02.160]',71.875,0.361,0.110
'[23:07:02.168]',71.875,0.361,0.118
'[23:07:02.176]',71.094,0.357,0.118
'[23:07:02.184]',71.094,0.353,0.134
'[23:07:02.192]',71.094,0.345,0.142
'[23:07:02.200]',70.312,0.341,0.165
'[23:07:02.208]',70.312,0.337,0.165
'[23:07:02.216]',70.312,0.333,0.189
'[23:07:02.224]',71.094,0.329,0.205
'[23:07:02.232]',73.438,0.329,0.236
'[23:07:02.240]',76.562,0.325,0.252
'[23:07:02.248]',81.250,0.322,0.276
'[23:07:02.256]',85.938,0.318,0.307
'[23:07:02.264]',91.406,0.318,0.331
'[23:07:02.272]',96.875,0.314,0.354
'[23:07:02.280]',102.344,0.310,0.378
'[23:07:02.288]',107.812,0.306,0.378
'[23:07:02.296]',112.500,0.302,0.386
'[23:07:02.304]',116.406,0.298,0.370
'[23:07:02.312]',121.094,0.298,0.346
'[23:07:02.320]',125.781,0.294,0.307
'[23:07:02.328]',130.469,0.290,0.252
'[23:07:02.336]',135.156,0.290,0.213
'[23:07:02.344]',139.844,0.286,0.173
'[23:07:02.352]',143.750,0.286,0.150
'[23:07:02.360]',146.094,0.282,0.134
'[23:07:02.368]',148.438,0.282,0.118
'[23:07:02.376]',150.000,0.282,0.118
'[23:07:02.384]',151.562,0.278,0.110
'[23:07:02.392]',152.344,0.278,0.118
'[23:07:02.400]',153.125,0.278,0.110
'[23:07:02.408]',152.344,0.275,0.110
'[23:07:02.416]',151.562,0.275,0.102
'[23:07:02.424]',150.781,0.275,0.110
'[23:07:02.432]',150.000,0.271,0.110
'[23:07:02.440]',148.438,0.271,0.110
'[23:07:02.448]',147.656,0.271,0.118
'[23:07:02.456]',146.875,0.271,0.118
'[23:07:02.464]',146.094,0.271,0.118
'[23:07:02.472]',144.531,0.275,0.126
'[23:07:02.480]',142.188,0.278,0.134
'[23:07:02.488]',139.062,0.286,0.134
'[23:07:02.496]',136.719,0.294,0.134
'[23:07:02.504]',133.594,0.310,0.134
'[23:07:02.512]',130.469,0.329,0.134
'[23:07:02.520]',127.344,0.349,0.142
'[23:07:02.528]',123.438,0.373,0.142
'[23:07:02.536]',119.531,0.400,0.142
'[23:07:02.544]',115.625,0.424,0.142
'[23:07:02.552]',112.500,0.451,0.142
'[23:07:02.560]',109.375,0.475,0.134
'[23:07:02.568]',106.250,0.494,0.142
'[23:07:02.576]',104.688,0.522,0.142
'[23:07:02.584]',102.344,0.545,0.142
'[23:07:02.592]',100.781,0.569,0.142
'[23:07:02.600]',99.219,0.596,0.142
'[23:07:02.608]',98.438,0.620,0.142
'[23:07:02.616]',96.875,0.639,0.142
'[23:07:02.624]',96.094,0.659,0.142
'[23:07:02.632]',95.312,0.678,0.150
'[23:07:02.640]',94.531,0.694,0.142
'[23:07:02.648]',93.750,0.706,0.150
'[23:07:02.656]',93.750,0.718,0.150
'[23:07:02.664]',92.969,0.722,0.157
'[23:07:02.672]',92.188,0.729,0.189
'[23:07:02.680]',91.406,0.733,0.213
'[23:07:02.688]',91.406,0.737,0.220
'[23:07:02.696]',90.625,0.737,0.236
'[23:07:02.704]',90.625,0.741,0.291
'[23:07:02.712]',89.844,0.737,0.331
'[23:07:02.720]',89.844,0.737,0.331
'[23:07:02.728]',89.062,0.733,0.346
'[23:07:02.736]',88.281,0.725,0.291
'[23:07:02.744]',87.500,0.718,0.236
'[23:07:02.752]',87.500,0.710,0.189
'[23:07:02.760]',86.719,0.698,0.142
'[23:07:02.768]',85.938,0.686,0.126
'[23:07:02.776]',85.156,0.671,0.118
'[23:07:02.784]',85.156,0.655,0.118
'[23:07:02.792]',84.375,0.639,0.118
'[23:07:02.800]',83.594,0.620,0.094
'[23:07:02.808]',83.594,0.604,0.079
'[23:07:02.816]',82.812,0.588,0.252
'[23:07:02.824]',82.031,0.569,0.669
'[23:07:02.832]',82.031,0.553,1.252
'[23:07:02.840]',81.250,0.537,1.441
'[23:07:02.848]',80.469,0.525,1.157
'[23:07:02.856]',79.688,0.514,0.614
'[23:07:02.864]',79.688,0.502,0.307
'[23:07:02.872]',78.906,0.490,0.165
'[23:07:02.880]',78.906,0.478,0.079
'[23:07:02.888]',78.125,0.471,0.047
'[23:07:02.896]',77.344,0.459,0.039
'[23:07:02.904]',77.344,0.451,0.039
'[23:07:02.912]',76.562,0.439,0.047
'[23:07:02.920]',76.562,0.431,0.055
'[23:07:02.928]',75.781,0.424,0.063
'[23:07:02.936]',75.781,0.416,0.063
'[23:07:02.944]',75.000,0.412,0.071
'[23:07:02.952]',75.000,0.404,0.079
'[23:07:02.960]',74.219,0.400,0.079
'[23:07:02.968]',74.219,0.396,0.094
'[23:07:02.976]',73.438,0.388,0.094
'[23:07:02.984]',73.438,0.384,0.110
'[23:07:02.992]',72.656,0.380,0.118
'[23:07:03.000]',72.656,0.376,0.118
'[23:07:03.008]',71.875,0.369,0.134
'[23:07:03.016]',71.875,0.365,0.142
'[23:07:03.024]',71.094,0.361,0.157
'[23:07:03.032]',71.094,0.357,0.165
'[23:07:03.040]',70.312,0.353,0.181
'[23:07:03.048]',70.312,0.349,0.189
'[23:07:03.056]',70.312,0.349,0.205
'[23:07:03.064]',71.094,0.345,0.228
'[23:07:03.072]',73.438,0.341,0.244
'[23:07:03.080]',76.562,0.341,0.276
'[23:07:03.088]',81.250,0.337,0.307
'[23:07:03.096]',86.719,0.333,0.331
'[23:07:03.104]',92.188,0.329,0.354
'[23:07:03.112]',97.656,0.325,0.378
'[23:07:03.120]',103.125,0.325,0.402
'[23:07:03.128]',108.594,0.322,0.409
'[23:07:03.136]',113.281,0.318,0.417
'[23:07:03.144]',117.188,0.318,0.402
'[23:07:03.152]',121.875,0.314,0.370
'[23:07:03.160]',126.562,0.314,0.331
'[23:07:03.168]',131.250,0.310,0.276
'[23:07:03.176]',135.938,0.310,0.220
'[23:07:03.184]',140.625,0.306,0.189
'[23:07:03.192]',144.531,0.306,0.157
'[23:07:03.200]',146.875,0.302,0.142
'[23:07:03.208]',150.000,0.302,0.134
'[23:07:03.216]',151.562,0.298,0.126
'[23:07:03.224]',153.125,0.294,0.118
'[23:07:03.232]',153.125,0.286,0.126
'[23:07:03.240]',153.906,0.278,0.126
'[23:07:03.248]',153.906,0.275,0.126
'[23:07:03.256]',153.906,0.275,0.126
'[23:07:03.264]',153.125,0.275,0.134
'[23:07:03.272]',152.344,0.275,0.126
'[23:07:03.280]',151.562,0.271,0.142
'[23:07:03.288]',150.781,0.271,0.142
'[23:07:03.296]',149.219,0.271,0.142
'[23:07:03.304]',147.656,0.271,0.142
'[23:07:03.312]',146.094,0.271,0.150
'[23:07:03.320]',143.750,0.275,0.157
'[23:07:03.328]',141.406,0.282,0.157
'[23:07:03.336]',139.062,0.294,0.165
'[23:07:03.344]',135.938,0.310,0.165
'[23:07:03.352]',132.812,0.329,0.173
'[23:07:03.360]',128.906,0.345,0.173
'[23:07:03.368]',125.000,0.369,0.181
'[23:07:03.376]',121.094,0.396,0.181
'[23:07:03.384]',117.188,0.424,0.189
'[23:07:03.392]',114.062,0.451,0.189
'[23:07:03.400]',110.938,0.478,0.189
'[23:07:03.408]',107.812,0.506,0.189
'[23:07:03.416]',105.469,0.537,0.189
'[23:07:03.424]',103.906,0.565,0.189
'[23:07:03.432]',101.562,0.592,0.189
'[23:07:03.440]',100.000,0.616,0.189
'[23:07:03.448]',99.219,0.639,0.189
'[23:07:03.456]',97.656,0.659,0.197
'[23:07:03.464]',96.875,0.675,0.205
'[23:07:03.472]',95.312,0.694,0.205
'[23:07:03.480]',94.531,0.710,0.205
'[23:07:03.488]',93.750,0.722,0.213
'[23:07:03.496]',92.969,0.737,0.213
'[23:07:03.504]',92.188,0.745,0.228
'[23:07:03.512]',92.188,0.757,0.260
'[23:07:03.520]',91.406,0.761,0.283
'[23:07:03.528]',91.406,0.769,0.299
'[23:07:03.536]',90.625,0.773,0.315
'[23:07:03.544]',89.844,0.773,0.386
'[23:07:03.552]',89.844,0.773,0.402
'[23:07:03.560]',89.062,0.769,0.425
'[23:07:03.568]',88.281,0.761,0.402
'[23:07:03.576]',87.500,0.757,0.339
'[23:07:03.584]',87.500,0.749,0.299
'[23:07:03.592]',86.719,0.737,0.260
'[23:07:03.600]',85.938,0.725,0.236
'[23:07:03.608]',85.938,0.714,0.220
'[23:07:03.616]',85.156,0.698,0.220
'[23:07:03.624]',84.375,0.682,0.220
'[23:07:03.632]',83.594,0.663,0.220
'[23:07:03.640]',82.812,0.647,0.189
'[23:07:03.648]',82.812,0.627,0.252
'[23:07:03.656]',82.031,0.608,0.504
'[23:07:03.664]',81.250,0.592,0.969
'[23:07:03.672]',80.469,0.576,1.417
'[23:07:03.680]',80.469,0.561,1.323
'[23:07:03.688]',79.688,0.541,0.961
'[23:07:03.696]',78.906,0.525,0.512
'[23:07:03.704]',78.906,0.510,0.331
'[23:07:03.712]',78.125,0.498,0.220
'[23:07:03.720]',77.344,0.482,0.181
'[23:07:03.728]',77.344,0.471,0.165
'[23:07:03.736]',76.562,0.459,0.165
'[23:07:03.744]',76.562,0.447,0.157
'[23:07:03.752]',75.781,0.439,0.165
'[23:07:03.760]',75.000,0.431,0.165
'[23:07:03.768]',75.000,0.424,0.173
'[23:07:03.776]',75.000,0.416,0.181
'[23:07:03.784]',74.219,0.404,0.189
'[23:07:03.792]',74.219,0.396,0.189
'[23:07:03.800]',73.438,0.392,0.189
'[23:07:03.808]',73.438,0.384,0.213
'[23:07:03.816]',72.656,0.376,0.220
'[23:07:03.824]',71.875,0.369,0.228
'[23:07:03.832]',71.875,0.365,0.236
'[23:07:03.840]',71.875,0.357,0.244
'[23:07:03.848]',71.094,0.353,0.252
'[23:07:03.856]',71.094,0.349,0.260
'[23:07:03.864]',70.312,0.345,0.276
'[23:07:03.872]',70.312,0.337,0.276
'[23:07:03.880]',70.312,0.333,0.291
'[23:07:03.888]',69.531,0.329,0.299
'[23:07:03.896]',70.312,0.325,0.323
'[23:07:03.904]',71.094,0.322,0.331
'[23:07:03.912]',73.438,0.318,0.354
'[23:07:03.920]',77.344,0.310,0.378
'[23:07:03.928]',82.031,0.306,0.402
'[23:07:03.936]',86.719,0.302,0.425
'[23:07:03.944]',92.188,0.298,0.441
'[23:07:03.952]',97.656,0.294,0.457
'[23:07:03.960]',103.125,0.294,0.472
'[23:07:03.968]',107.812,0.290,0.488
'[23:07:03.976]',112.500,0.286,0.480
'[23:07:03.984]',117.188,0.286,0.457
'[23:07:03.992]',121.094,0.282,0.417
'[23:07:04.000]',125.781,0.278,0.370
'[23:07:04.008]',130.469,0.275,0.323
'[23:07:04.016]',135.156,0.275,0.283
'[23:07:04.024]',139.062,0.271,0.244
'[23:07:04.032]',142.188,0.267,0.228
'[23:07:04.040]',145.312,0.267,0.205
'[23:07:04.048]',146.875,0.263,0.197
'[23:07:04.056]',147.656,0.263,0.189
'[23:07:04.064]',149.219,0.263,0.181
'[23:07:04.072]',149.219,0.259,0.181
'[23:07:04.080]',149.219,0.259,0.181
'[23:07:04.088]',149.219,0.255,0.181
'[23:07:04.096]',148.438,0.255,0.165
'[23:07:04.104]',148.438,0.251,0.165
'[23:07:04.112]',146.875,0.251,0.165
'[23:07:04.120]',146.094,0.247,0.157
'[23:07:04.128]',144.531,0.247,0.150
'[23:07:04.136]',142.969,0.243,0.150
'[23:07:04.144]',141.406,0.243,0.150
'[23:07:04.152]',139.062,0.247,0.150
'[23:07:04.160]',136.719,0.251,0.142
'[23:07:04.168]',134.375,0.259,0.142
'[23:07:04.176]',131.250,0.271,0.134
'[23:07:04.184]',128.125,0.286,0.134
'[23:07:04.192]',124.219,0.302,0.134
'[23:07:04.200]',120.312,0.325,0.126
'[23:07:04.208]',117.188,0.349,0.118
'[23:07:04.216]',113.281,0.376,0.118
'[23:07:04.224]',110.156,0.404,0.118
'[23:07:04.232]',107.031,0.431,0.110
'[23:07:04.240]',104.688,0.459,0.094
'[23:07:04.248]',102.344,0.486,0.094
'[23:07:04.256]',100.781,0.510,0.087
'[23:07:04.264]',99.219,0.529,0.079
'[23:07:04.272]',97.656,0.553,0.079
'[23:07:04.280]',96.094,0.580,0.071
'[23:07:04.288]',95.312,0.604,0.071
'[23:07:04.296]',94.531,0.624,0.071
'[23:07:04.304]',93.750,0.643,0.055
'[23:07:04.312]',92.969,0.663,0.055
'[23:07:04.320]',92.188,0.678,0.055
'[23:07:04.328]',91.406,0.690,0.047
'[23:07:04.336]',90.625,0.702,0.047
'[23:07:04.344]',89.844,0.710,0.047
'[23:07:04.352]',89.844,0.714,0.039
'[23:07:04.360]',89.062,0.718,0.039
'[23:07:04.368]',89.062,0.722,0.039
'[23:07:04.376]',88.281,0.722,0.039
'[23:07:04.384]',87.500,0.722,0.063
'[23:07:04.392]',87.500,0.718,0.079
'[23:07:04.400]',86.719,0.714,0.094
'[23:07:04.408]',86.719,0.710,0.102
'[23:07:04.416]',85.938,0.702,0.157
'[23:07:04.424]',85.156,0.690,0.181
'[23:07:04.432]',84.375,0.678,0.189
'[23:07:04.440]',84.375,0.663,0.181
'[23:07:04.448]',83.594,0.647,0.110
'[23:07:04.456]',82.812,0.635,0.063
'[23:07:04.464]',82.031,0.620,0.024
'[23:07:04.472]',82.031,0.600,-0.016
'[23:07:04.480]',81.250,0.584,-0.031
'[23:07:04.488]',80.469,0.565,-0.047
'[23:07:04.496]',79.688,0.549,-0.047
'[23:07:04.504]',79.688,0.529,-0.055
'[23:07:04.512]',78.906,0.514,-0.087
'[23:07:04.520]',78.125,0.502,-0.094
'[23:07:04.528]',78.125,0.486,0.118
'[23:07:04.536]',77.344,0.471,0.520
'[23:07:04.544]',76.562,0.459,1.016
'[23:07:04.552]',76.562,0.447,1.118
'[23:07:04.560]',75.781,0.439,0.795
'[23:07:04.568]',75.781,0.431,0.291
'[23:07:04.576]',75.000,0.420,0.063
'[23:07:04.584]',74.219,0.412,-0.063
'[23:07:04.592]',74.219,0.404,-0.134
'[23:07:04.600]',73.438,0.396,-0.157
'[23:07:04.608]',73.438,0.388,-0.165
'[23:07:04.616]',72.656,0.380,-0.165
'[23:07:04.624]',72.656,0.373,-0.165
'[23:07:04.632]',71.875,0.365,-0.165
'[23:07:04.640]',71.875,0.361,-0.165
'[23:07:04.648]',71.875,0.353,-0.157
'[23:07:04.656]',71.094,0.349,-0.157
'[23:07:04.664]',71.094,0.345,-0.150
'[23:07:04.672]',70.312,0.341,-0.142
'[23:07:04.680]',70.312,0.333,-0.134
'[23:07:04.688]',69.531,0.329,-0.126
'[23:07:04.696]',69.531,0.325,-0.118
'[23:07:04.704]',69.531,0.322,-0.110
'[23:07:04.712]',68.750,0.318,-0.102
'[23:07:04.720]',68.750,0.314,-0.094
'[23:07:04.728]',68.750,0.306,-0.087
'[23:07:04.736]',67.969,0.302,-0.071
'[23:07:04.744]',67.969,0.298,-0.071
'[23:07:04.752]',67.188,0.298,-0.063
'[23:07:04.760]',67.188,0.294,-0.047
'[23:07:04.768]',67.188,0.290,-0.031
'[23:07:04.776]',67.969,0.286,-0.016
'[23:07:04.784]',70.312,0.286,0.000
