'Time','II','III','AVR','V','RESP','PLETH','ABP'
'[20:23:43.280]',0.426,-,0.625,0.676,-0.147,0.281,105.411
'[20:23:43.288]',0.420,-,0.625,0.676,-0.149,0.277,103.260
'[20:23:43.296]',0.430,-,0.625,0.686,-0.152,0.274,101.108
'[20:23:43.304]',0.436,-,0.619,0.705,-0.154,0.272,98.566
'[20:23:43.312]',0.439,-,0.625,0.709,-0.154,0.271,95.828
'[20:23:43.320]',0.426,-,0.629,0.664,-0.156,0.269,93.090
'[20:23:43.328]',0.430,-,0.629,0.605,-0.156,0.267,90.157
'[20:23:43.336]',0.445,-,0.625,0.551,-0.156,0.266,87.419
'[20:23:43.344]',0.449,-,0.629,0.520,-0.156,0.265,84.681
'[20:23:43.352]',0.455,-,0.609,0.525,-0.156,0.266,82.921
'[20:23:43.360]',0.484,-,0.580,0.535,-0.156,0.270,81.943
'[20:23:43.368]',0.506,-,0.551,0.539,-0.156,0.277,81.356
'[20:23:43.376]',0.494,-,0.555,0.551,-0.154,0.287,80.769
'[20:23:43.384]',0.461,-,0.590,0.574,-0.154,0.304,79.596
'[20:23:43.392]',0.400,-,0.635,0.600,-0.152,0.326,78.227
'[20:23:43.400]',0.355,-,0.670,0.615,-0.152,0.353,77.249
'[20:23:43.408]',0.336,-,0.680,0.619,-0.149,0.380,76.662
'[20:23:43.416]',0.330,-,0.686,0.619,-0.149,0.408,76.271
'[20:23:43.424]',0.324,-,0.686,0.619,-0.149,0.442,75.685
'[20:23:43.432]',0.324,-,0.689,0.619,-0.149,0.478,75.098
'[20:23:43.440]',0.324,-,0.689,0.619,-0.149,0.514,74.120
'[20:23:43.448]',0.324,-,0.689,0.619,-0.149,0.550,73.533
'[20:23:43.456]',0.330,-,0.686,0.625,-0.149,0.584,72.751
'[20:23:43.464]',0.330,-,0.680,0.629,-0.149,0.614,72.164
'[20:23:43.472]',0.131,-,0.850,0.844,-0.149,0.639,71.578
'[20:23:43.480]',0.330,-,0.686,0.645,-0.149,0.660,70.991
'[20:23:43.488]',0.301,-,0.699,0.670,-0.149,0.675,70.209
'[20:23:43.496]',0.234,-,0.709,0.709,-0.147,0.685,69.622
'[20:23:43.504]',0.125,-,0.725,0.775,-0.149,0.690,69.035
'[20:23:43.512]',-0.029,-,0.754,0.889,-0.149,0.690,68.449
'[20:23:43.520]',-0.205,-,0.779,1.025,-0.149,0.685,67.862
'[20:23:43.528]',-0.369,-,0.805,1.090,-0.149,0.677,67.471
'[20:23:43.536]',-0.498,-,0.840,1.010,-0.152,0.666,66.884
'[20:23:43.544]',-0.498,-,0.850,0.686,-0.152,0.650,66.297
'[20:23:43.552]',-0.498,-,0.814,0.201,-0.152,0.631,65.906
'[20:23:43.560]',-0.434,-,0.754,-0.115,-0.154,0.610,65.515
'[20:23:43.568]',-0.254,-,0.705,-0.125,-0.154,0.587,65.124
'[20:23:43.576]',-0.100,-,0.695,0.221,-0.154,0.562,64.733
'[20:23:43.584]',-0.014,-,0.744,0.420,-0.154,0.537,64.342
'[20:23:43.592]',0.025,-,0.799,0.510,-0.152,0.511,63.950
'[20:23:43.600]',0.096,-,0.820,0.535,-0.152,0.487,63.364
'[20:23:43.608]',0.234,-,0.789,0.555,-0.152,0.462,62.973
'[20:23:43.616]',0.381,-,0.734,0.605,-0.154,0.442,62.777
'[20:23:43.624]',0.494,-,0.680,0.650,-0.154,0.425,62.386
'[20:23:43.632]',0.564,-,0.645,0.660,-0.154,0.408,62.190
'[20:23:43.640]',0.590,-,0.625,0.660,-0.154,0.391,61.799
'[20:23:43.648]',0.605,-,0.615,0.654,-0.154,0.375,61.604
'[20:23:43.656]',0.609,-,0.609,0.654,-0.154,0.362,61.213
'[20:23:43.664]',0.615,-,0.609,0.650,-0.154,0.350,61.017
'[20:23:43.672]',0.625,-,0.609,0.645,-0.154,0.339,60.821
'[20:23:43.680]',0.629,-,0.605,0.645,-0.152,0.330,60.821
'[20:23:43.688]',0.635,-,0.600,0.645,-0.152,0.323,60.626
'[20:23:43.696]',0.650,-,0.600,0.645,-0.149,0.316,60.626
'[20:23:43.704]',0.660,-,0.590,0.641,-0.149,0.311,60.626
'[20:23:43.712]',0.670,-,0.590,0.635,-0.149,0.306,60.626
'[20:23:43.720]',0.689,-,0.584,0.625,-0.149,0.302,61.213
'[20:23:43.728]',0.705,-,0.574,0.615,-0.147,0.300,61.995
'[20:23:43.736]',0.725,-,0.570,0.600,-0.147,0.297,63.950
'[20:23:43.744]',0.750,-,0.564,0.596,-0.147,0.295,67.275
'[20:23:43.752]',0.770,-,0.555,0.590,-0.147,0.292,71.969
'[20:23:43.760]',0.789,-,0.551,0.590,-0.147,0.289,77.640
'[20:23:43.768]',0.799,-,0.545,0.590,-0.147,0.286,83.116
'[20:23:43.776]',0.805,-,0.545,0.596,-0.147,0.283,87.810
'[20:23:43.784]',0.795,-,0.545,0.609,-0.147,0.279,91.330
'[20:23:43.792]',0.775,-,0.545,0.629,-0.149,0.276,94.459
'[20:23:43.800]',0.750,-,0.545,0.650,-0.149,0.272,97.197
'[20:23:43.808]',0.715,-,0.551,0.670,-0.152,0.269,100.326
'[20:23:43.816]',0.670,-,0.551,0.680,-0.154,0.266,103.064
'[20:23:43.824]',0.629,-,0.561,0.689,-0.156,0.264,105.215
'[20:23:43.832]',0.584,-,0.570,0.686,-0.159,0.263,106.780
'[20:23:43.840]',0.545,-,0.580,0.686,-0.161,0.262,107.366
'[20:23:43.848]',0.510,-,0.590,0.680,-0.164,0.260,107.366
'[20:23:43.856]',0.480,-,0.600,0.680,-0.164,0.257,107.171
'[20:23:43.864]',0.461,-,0.609,0.680,-0.166,0.255,106.780
'[20:23:43.872]',0.439,-,0.615,0.676,-0.166,0.253,105.606
'[20:23:43.880]',0.430,-,0.625,0.676,-0.166,0.250,104.237
'[20:23:43.888]',0.426,-,0.619,0.676,-0.166,0.248,102.282
'[20:23:43.896]',0.436,-,0.615,0.686,-0.166,0.246,99.935
'[20:23:43.904]',0.449,-,0.605,0.705,-0.164,0.243,97.393
'[20:23:43.912]',0.449,-,0.609,0.721,-0.164,0.242,94.850
'[20:23:43.920]',0.439,-,0.615,0.695,-0.164,0.241,92.112
'[20:23:43.928]',0.439,-,0.625,0.645,-0.161,0.241,89.179
'[20:23:43.936]',0.455,-,0.619,0.590,-0.161,0.241,86.441
'[20:23:43.944]',0.461,-,0.619,0.555,-0.159,0.241,83.703
'[20:23:43.952]',0.471,-,0.609,0.555,-0.159,0.242,81.747
'[20:23:43.960]',0.490,-,0.580,0.561,-0.156,0.245,80.574
'[20:23:43.968]',0.516,-,0.545,0.570,-0.156,0.251,80.183
'[20:23:43.976]',0.520,-,0.539,0.574,-0.154,0.261,79.596
'[20:23:43.984]',0.490,-,0.564,0.605,-0.152,0.276,78.814
'[20:23:43.992]',0.430,-,0.609,0.629,-0.149,0.295,77.445
'[20:23:44.000]',0.375,-,0.650,0.645,-0.149,0.320,76.467
'[20:23:44.008]',0.350,-,0.670,0.654,-0.147,0.348,75.685
'[20:23:44.016]',0.346,-,0.676,0.654,-0.144,0.381,75.293
'[20:23:44.024]',0.340,-,0.676,0.654,-0.144,0.417,74.902
'[20:23:44.032]',0.340,-,0.680,0.650,-0.142,0.450,74.316
'[20:23:44.040]',0.340,-,0.680,0.650,-0.142,0.479,73.533
'[20:23:44.048]',0.340,-,0.676,0.650,-0.139,0.512,72.751
'[20:23:44.056]',0.340,-,0.680,0.650,-0.139,0.545,72.164
'[20:23:44.064]',0.340,-,0.680,0.660,-0.139,0.577,71.578
'[20:23:44.072]',0.211,-,0.770,0.744,-0.137,0.605,70.991
'[20:23:44.080]',0.336,-,0.680,0.686,-0.137,0.630,70.404
'[20:23:44.088]',0.314,-,0.695,0.699,-0.134,0.648,69.622
'[20:23:44.096]',0.260,-,0.705,0.734,-0.134,0.662,69.035
'[20:23:44.104]',0.160,-,0.721,0.799,-0.132,0.671,68.449
'[20:23:44.112]',0.016,-,0.750,0.904,-0.132,0.674,67.862
'[20:23:44.120]',-0.164,-,0.775,1.029,-0.130,0.673,67.471
'[20:23:44.128]',-0.330,-,0.795,1.104,-0.130,0.666,67.080
'[20:23:44.136]',-0.469,-,0.830,1.055,-0.130,0.655,66.493
'[20:23:44.144]',-0.498,-,0.844,0.775,-0.130,0.641,66.102
'[20:23:44.152]',-0.498,-,0.820,0.305,-0.130,0.626,65.711
'[20:23:44.160]',-0.453,-,0.760,-0.059,-0.130,0.606,65.124
'[20:23:44.168]',-0.273,-,0.699,-0.104,-0.130,0.585,64.733
'[20:23:44.176]',-0.109,-,0.686,0.201,-0.132,0.562,64.537
'[20:23:44.184]',-0.014,-,0.725,0.416,-0.132,0.538,63.950
'[20:23:44.192]',0.031,-,0.779,0.525,-0.132,0.513,63.559
'[20:23:44.200]',0.090,-,0.805,0.555,-0.134,0.489,63.168
'[20:23:44.208]',0.215,-,0.795,0.580,-0.134,0.465,62.777
'[20:23:44.216]',0.365,-,0.744,0.625,-0.134,0.443,62.386
'[20:23:44.224]',0.484,-,0.689,0.670,-0.134,0.422,62.190
'[20:23:44.232]',0.561,-,0.645,0.686,-0.134,0.404,61.799
'[20:23:44.240]',0.596,-,0.625,0.686,-0.134,0.388,61.408
'[20:23:44.248]',0.609,-,0.615,0.680,-0.134,0.375,61.213
'[20:23:44.256]',0.619,-,0.609,0.680,-0.134,0.365,61.017
'[20:23:44.264]',0.629,-,0.605,0.676,-0.134,0.354,60.821
'[20:23:44.272]',0.635,-,0.600,0.676,-0.134,0.344,60.626
'[20:23:44.280]',0.645,-,0.600,0.680,-0.134,0.335,60.430
'[20:23:44.288]',0.650,-,0.596,0.676,-0.132,0.328,60.430
'[20:23:44.296]',0.654,-,0.596,0.670,-0.132,0.322,60.430
'[20:23:44.304]',0.660,-,0.590,0.664,-0.130,0.317,60.430
'[20:23:44.312]',0.676,-,0.584,0.660,-0.127,0.312,60.430
'[20:23:44.320]',0.689,-,0.580,0.650,-0.125,0.308,61.017
'[20:23:44.328]',0.709,-,0.574,0.635,-0.125,0.305,61.995
'[20:23:44.336]',0.734,-,0.570,0.625,-0.122,0.302,64.342
'[20:23:44.344]',0.754,-,0.561,0.619,-0.120,0.299,67.862
'[20:23:44.352]',0.779,-,0.551,0.609,-0.120,0.297,73.142
'[20:23:44.360]',0.795,-,0.545,0.605,-0.120,0.296,79.009
'[20:23:44.368]',0.811,-,0.539,0.605,-0.120,0.294,84.681
'[20:23:44.376]',0.820,-,0.539,0.615,-0.120,0.291,89.374
'[20:23:44.384]',0.811,-,0.535,0.629,-0.122,0.289,92.894
'[20:23:44.392]',0.795,-,0.535,0.641,-0.122,0.286,96.024
'[20:23:44.400]',0.766,-,0.535,0.660,-0.125,0.283,99.153
'[20:23:44.408]',0.730,-,0.539,0.686,-0.127,0.281,102.282
'[20:23:44.416]',0.686,-,0.545,0.699,-0.132,0.278,105.215
'[20:23:44.424]',0.645,-,0.551,0.705,-0.134,0.275,107.366
'[20:23:44.432]',0.600,-,0.561,0.705,-0.137,0.272,108.735
'[20:23:44.440]',0.555,-,0.570,0.699,-0.139,0.270,109.322
'[20:23:44.448]',0.520,-,0.584,0.695,-0.142,0.268,109.322
'[20:23:44.456]',0.484,-,0.596,0.689,-0.144,0.266,109.127
'[20:23:44.464]',0.461,-,0.605,0.686,-0.144,0.264,108.540
'[20:23:44.472]',0.445,-,0.609,0.689,-0.147,0.263,107.562
'[20:23:44.480]',0.436,-,0.615,0.689,-0.147,0.261,106.193
'[20:23:44.488]',0.430,-,0.615,0.686,-0.147,0.260,104.237
'[20:23:44.496]',0.436,-,0.609,0.689,-0.144,0.258,101.891
'[20:23:44.504]',0.445,-,0.605,0.709,-0.144,0.257,99.544
'[20:23:44.512]',0.449,-,0.605,0.725,-0.144,0.255,96.806
'[20:23:44.520]',0.445,-,0.615,0.715,-0.142,0.254,94.068
'[20:23:44.528]',0.439,-,0.619,0.664,-0.142,0.253,91.330
'[20:23:44.536]',0.455,-,0.619,0.609,-0.139,0.253,88.396
'[20:23:44.544]',0.465,-,0.615,0.570,-0.139,0.254,85.658
'[20:23:44.552]',0.471,-,0.609,0.555,-0.139,0.256,83.507
'[20:23:44.560]',0.490,-,0.584,0.564,-0.139,0.260,82.138
'[20:23:44.568]',0.516,-,0.551,0.574,-0.137,0.266,81.356
'[20:23:44.576]',0.525,-,0.539,0.584,-0.137,0.277,80.965
'[20:23:44.584]',0.500,-,0.555,0.609,-0.137,0.291,79.987
'[20:23:44.592]',0.449,-,0.596,0.641,-0.134,0.312,78.814
'[20:23:44.600]',0.395,-,0.645,0.660,-0.134,0.337,77.640
'[20:23:44.608]',0.359,-,0.670,0.670,-0.132,0.368,76.662
'[20:23:44.616]',0.350,-,0.676,0.664,-0.130,0.402,76.271
'[20:23:44.624]',0.350,-,0.676,0.664,-0.127,0.440,75.880
'[20:23:44.632]',0.350,-,0.676,0.664,-0.127,0.478,75.293
'[20:23:44.640]',0.346,-,0.676,0.664,-0.125,0.517,74.511
'[20:23:44.648]',0.346,-,0.676,0.664,-0.125,0.555,73.729
'[20:23:44.656]',0.346,-,0.676,0.664,-0.125,0.590,72.947
'[20:23:44.664]',0.340,-,0.680,0.676,-0.122,0.618,72.360
'[20:23:44.672]',0.131,-,0.850,0.795,-0.125,0.640,71.969
'[20:23:44.680]',0.340,-,0.680,0.699,-0.125,0.662,71.186
'[20:23:44.688]',0.314,-,0.695,0.715,-0.125,0.680,70.600
'[20:23:44.696]',0.266,-,0.709,0.744,-0.125,0.694,69.818
'[20:23:44.704]',0.176,-,0.721,0.799,-0.125,0.704,69.231
'[20:23:44.712]',0.031,-,0.744,0.895,-0.125,0.708,68.644
'[20:23:44.720]',-0.148,-,0.775,1.025,-0.125,0.708,68.057
'[20:23:44.728]',-0.314,-,0.795,1.109,-0.125,0.702,67.666
'[20:23:44.736]',-0.453,-,0.824,1.119,-0.125,0.692,67.080
'[20:23:44.744]',-0.498,-,0.844,0.844,-0.125,0.677,66.688
'[20:23:44.752]',-0.498,-,0.824,0.385,-0.127,0.660,66.102
'[20:23:44.760]',-0.479,-,0.770,-0.020,-0.127,0.639,65.711
'[20:23:44.768]',-0.305,-,0.715,-0.090,-0.127,0.619,65.319
'[20:23:44.776]',-0.129,-,0.689,0.176,-0.130,0.598,64.928
'[20:23:44.784]',-0.020,-,0.721,0.404,-0.130,0.574,64.537
'[20:23:44.792]',0.020,-,0.779,0.529,-0.130,0.549,64.146
'[20:23:44.800]',0.076,-,0.811,0.570,-0.132,0.524,63.755
'[20:23:44.808]',0.186,-,0.799,0.590,-0.132,0.500,63.168
'[20:23:44.816]',0.340,-,0.750,0.629,-0.132,0.476,62.973
'[20:23:44.824]',0.471,-,0.695,0.680,-0.132,0.455,62.582
'[20:23:44.832]',0.555,-,0.650,0.699,-0.132,0.434,62.190
'[20:23:44.840]',0.590,-,0.625,0.695,-0.132,0.416,61.995
'[20:23:44.848]',0.609,-,0.609,0.689,-0.132,0.400,61.604
'[20:23:44.856]',0.625,-,0.609,0.686,-0.132,0.386,61.408
'[20:23:44.864]',0.629,-,0.605,0.680,-0.132,0.373,61.213
'[20:23:44.872]',0.635,-,0.600,0.680,-0.132,0.365,61.017
'[20:23:44.880]',0.641,-,0.596,0.676,-0.132,0.357,60.821
'[20:23:44.888]',0.645,-,0.596,0.664,-0.132,0.349,60.821
'[20:23:44.896]',0.654,-,0.590,0.664,-0.132,0.343,60.821
'[20:23:44.904]',0.664,-,0.590,0.660,-0.130,0.337,60.626
'[20:23:44.912]',0.680,-,0.584,0.654,-0.130,0.333,60.821
'[20:23:44.920]',0.695,-,0.580,0.641,-0.127,0.329,61.213
'[20:23:44.928]',0.709,-,0.570,0.635,-0.125,0.326,62.386
'[20:23:44.936]',0.730,-,0.564,0.625,-0.122,0.324,64.537
'[20:23:44.944]',0.754,-,0.561,0.619,-0.122,0.320,68.057
'[20:23:44.952]',0.775,-,0.551,0.615,-0.120,0.317,73.142
'[20:23:44.960]',0.795,-,0.545,0.615,-0.120,0.314,79.009
'[20:23:44.968]',0.811,-,0.539,0.615,-0.120,0.310,84.681
'[20:23:44.976]',0.820,-,0.539,0.615,-0.120,0.307,89.179
'[20:23:44.984]',0.811,-,0.539,0.625,-0.122,0.305,92.894
'[20:23:44.992]',0.789,-,0.539,0.641,-0.125,0.303,96.024
'[20:23:45.000]',0.766,-,0.539,0.654,-0.127,0.300,98.957
'[20:23:45.008]',0.730,-,0.545,0.676,-0.130,0.297,102.086
'[20:23:45.016]',0.686,-,0.551,0.686,-0.132,0.294,105.020
'[20:23:45.024]',0.645,-,0.561,0.689,-0.134,0.291,107.366
'[20:23:45.032]',0.600,-,0.564,0.699,-0.137,0.287,108.735
'[20:23:45.040]',0.561,-,0.580,0.695,-0.139,0.283,109.322
'[20:23:45.048]',0.520,-,0.590,0.686,-0.142,0.280,109.518
'[20:23:45.056]',0.490,-,0.600,0.686,-0.142,0.277,109.322
'[20:23:45.064]',0.471,-,0.605,0.686,-0.144,0.274,108.735
'[20:23:45.072]',0.455,-,0.609,0.680,-0.144,0.272,107.953
'[20:23:45.080]',0.445,-,0.615,0.676,-0.144,0.270,106.389
'[20:23:45.088]',0.439,-,0.615,0.676,-0.144,0.268,104.628
'[20:23:45.096]',0.439,-,0.609,0.686,-0.144,0.268,102.477
'[20:23:45.104]',0.449,-,0.605,0.699,-0.142,0.266,99.935
'[20:23:45.112]',0.461,-,0.605,0.721,-0.142,0.265,97.393
'[20:23:45.120]',0.461,-,0.605,0.725,-0.139,0.264,94.655
'[20:23:45.128]',0.455,-,0.615,0.676,-0.139,0.263,91.917
'[20:23:45.136]',0.461,-,0.615,0.615,-0.139,0.262,88.983
'[20:23:45.144]',0.471,-,0.615,0.564,-0.137,0.263,86.245
'[20:23:45.152]',0.475,-,0.615,0.551,-0.137,0.267,83.898
'[20:23:45.160]',0.490,-,0.590,0.555,-0.134,0.275,82.334
'[20:23:45.168]',0.520,-,0.555,0.570,-0.134,0.284,81.747
'[20:23:45.176]',0.529,-,0.539,0.574,-0.132,0.297,81.160
'[20:23:45.184]',0.516,-,0.545,0.600,-0.130,0.315,80.378
'[20:23:45.192]',0.475,-,0.584,0.635,-0.127,0.334,79.205
'[20:23:45.200]',0.416,-,0.629,0.664,-0.125,0.357,77.836
'[20:23:45.208]',0.375,-,0.660,0.680,-0.125,0.386,76.858
'[20:23:45.216]',0.359,-,0.670,0.686,-0.122,0.421,76.467
'[20:23:45.224]',0.359,-,0.670,0.695,-0.122,0.459,76.076
'[20:23:45.232]',0.355,-,0.670,0.705,-0.120,0.500,75.489
'[20:23:45.240]',0.350,-,0.670,0.715,-0.120,0.542,74.707
'[20:23:45.248]',0.350,-,0.670,0.730,-0.120,0.582,73.924
'[20:23:45.256]',0.355,-,0.670,0.734,-0.117,0.621,73.142
'[20:23:45.264]',0.355,-,0.670,0.754,-0.117,0.656,72.555
'[20:23:45.272]',0.359,-,0.850,0.805,-0.117,0.687,71.969
'[20:23:45.280]',0.131,-,0.670,0.785,-0.120,0.714,71.382
'[20:23:45.288]',0.350,-,0.680,0.795,-0.120,0.733,70.795
'[20:23:45.296]',0.301,-,0.695,0.834,-0.120,0.746,70.013
'[20:23:45.304]',0.221,-,0.705,0.895,-0.120,0.753,69.426
'[20:23:45.312]',0.086,-,0.734,0.990,-0.122,0.756,69.035
'[20:23:45.320]',-0.100,-,0.766,1.119,-0.122,0.755,68.449
'[20:23:45.328]',-0.270,-,0.785,1.225,-0.122,0.750,67.862
'[20:23:45.336]',-0.408,-,0.811,1.244,-0.120,0.739,67.471
'[20:23:45.344]',-0.498,-,0.830,1.035,-0.120,0.725,66.884
'[20:23:45.352]',-0.498,-,0.834,0.605,-0.120,0.708,66.493
'[20:23:45.360]',-0.479,-,0.775,0.166,-0.120,0.687,66.102
'[20:23:45.368]',-0.314,-,0.715,0.045,-0.117,0.663,65.711
'[20:23:45.376]',-0.139,-,0.686,0.240,-0.117,0.637,65.319
'[20:23:45.384]',-0.020,-,0.715,0.471,-0.117,0.611,64.928
'[20:23:45.392]',0.031,-,0.766,0.600,-0.117,0.584,64.537
'[20:23:45.400]',0.076,-,0.805,0.641,-0.117,0.559,64.146
'[20:23:45.408]',0.180,-,0.811,0.654,-0.120,0.537,63.755
'[20:23:45.416]',0.330,-,0.760,0.689,-0.120,0.513,63.364
'[20:23:45.424]',0.465,-,0.699,0.744,-0.120,0.490,62.973
'[20:23:45.432]',0.551,-,0.650,0.766,-0.120,0.467,62.777
'[20:23:45.440]',0.596,-,0.619,0.770,-0.122,0.447,62.582
'[20:23:45.448]',0.615,-,0.609,0.760,-0.122,0.428,62.190
'[20:23:45.456]',0.625,-,0.605,0.754,-0.122,0.413,61.995
'[20:23:45.464]',0.629,-,0.600,0.754,-0.122,0.399,61.799
'[20:23:45.472]',0.641,-,0.596,0.754,-0.122,0.386,61.604
'[20:23:45.480]',0.645,-,0.596,0.754,-0.120,0.376,61.408
'[20:23:45.488]',0.650,-,0.590,0.750,-0.120,0.368,61.408
'[20:23:45.496]',0.660,-,0.584,0.744,-0.120,0.360,61.408
'[20:23:45.504]',0.670,-,0.584,0.734,-0.117,0.355,61.408
'[20:23:45.512]',0.680,-,0.580,0.730,-0.117,0.350,61.604
'[20:23:45.520]',0.695,-,0.570,0.725,-0.115,0.345,61.995
'[20:23:45.528]',0.709,-,0.564,0.709,-0.112,0.340,63.168
'[20:23:45.536]',0.730,-,0.561,0.705,-0.110,0.336,65.711
'[20:23:45.544]',0.754,-,0.555,0.695,-0.108,0.332,69.622
'[20:23:45.552]',0.775,-,0.551,0.686,-0.105,0.328,75.098
'[20:23:45.560]',0.795,-,0.539,0.680,-0.103,0.326,81.356
'[20:23:45.568]',0.811,-,0.535,0.676,-0.100,0.322,87.027
'[20:23:45.576]',0.814,-,0.535,0.680,-0.098,0.319,91.721
'[20:23:45.584]',0.811,-,0.535,0.689,-0.095,0.317,95.046
'[20:23:45.592]',0.795,-,0.535,0.705,-0.093,0.314,98.175
