'Time','II','III','AVR','AVL','AVF','V','RESP','PLETH','ABP'
'[14:52:49.837]',-0.146,-,0.695,-,-,0.415,0.564,1.318,126.737
'[14:52:49.845]',-0.135,-,0.675,-,-,0.405,0.555,1.308,122.375
'[14:52:49.853]',-0.151,-,0.695,-,-,0.415,0.545,1.301,118.311
'[14:52:49.861]',-0.120,-,0.665,-,-,0.400,0.534,1.296,114.425
'[14:52:49.869]',-0.140,-,0.690,-,-,0.405,0.524,1.291,110.813
'[14:52:49.877]',-0.120,-,0.655,-,-,0.400,0.515,1.286,107.429
'[14:52:49.885]',-0.140,-,0.690,-,-,0.405,0.505,1.282,104.248
'[14:52:49.893]',-0.120,-,0.665,-,-,0.385,0.495,1.277,101.187
'[14:52:49.901]',-0.135,-,0.680,-,-,0.390,0.485,1.271,98.438
'[14:52:49.909]',-0.115,-,0.655,-,-,0.385,0.475,1.263,96.298
'[14:52:49.917]',-0.135,-,0.685,-,-,0.390,0.464,1.254,95.232
'[14:52:49.925]',-0.115,-,0.660,-,-,0.380,0.454,1.247,95.302
'[14:52:49.933]',-0.140,-,0.680,-,-,0.380,0.444,1.239,96.483
'[14:52:49.941]',-0.126,-,0.665,-,-,0.380,0.434,1.230,98.483
'[14:52:49.949]',-0.146,-,0.685,-,-,0.385,0.424,1.224,100.863
'[14:52:49.957]',-0.110,-,0.650,-,-,0.370,0.415,1.225,103.295
'[14:52:49.965]',-0.140,-,0.685,-,-,0.375,0.405,1.237,105.365
'[14:52:49.973]',-0.120,-,0.665,-,-,0.360,0.395,1.263,106.997
'[14:52:49.981]',-0.140,-,0.685,-,-,0.375,0.386,1.307,108.114
'[14:52:49.989]',-0.115,-,0.660,-,-,0.365,0.376,1.375,108.610
'[14:52:49.997]',-0.140,-,0.685,-,-,0.370,0.367,1.474,108.495
'[14:52:50.005]',-0.120,-,0.665,-,-,0.360,0.357,1.601,107.860
'[14:52:50.013]',-0.115,-,0.655,-,-,0.370,0.349,1.751,106.819
'[14:52:50.021]',-0.126,-,0.675,-,-,0.355,0.340,1.916,105.498
'[14:52:50.029]',-0.115,-,0.655,-,-,0.350,0.332,2.088,104.044
'[14:52:50.037]',-0.126,-,0.675,-,-,0.365,0.324,2.254,102.749
'[14:52:50.045]',-0.110,-,0.650,-,-,0.350,0.317,2.404,101.505
'[14:52:50.053]',-0.160,-,0.700,-,-,0.335,0.310,2.517,100.432
'[14:52:50.061]',-0.196,-,0.685,-,-,0.315,0.303,2.600,99.505
'[14:52:50.069]',-0.205,-,0.715,-,-,0.320,0.296,2.671,98.686
'[14:52:50.077]',-0.171,-,0.675,-,-,0.320,0.290,2.719,98.051
'[14:52:50.085]',-0.180,-,0.690,-,-,0.325,0.284,2.744,97.549
'[14:52:50.093]',-0.095,-,0.620,-,-,0.305,0.278,2.747,97.117
'[14:52:50.101]',-0.081,-,0.630,-,-,0.320,0.272,2.734,96.686
'[14:52:50.109]',-0.075,-,0.625,-,-,0.315,0.266,2.707,96.298
'[14:52:50.117]',-0.100,-,0.670,-,-,0.360,0.261,2.670,95.867
'[14:52:50.125]',-0.081,-,0.640,-,-,0.350,0.255,2.624,95.435
'[14:52:50.133]',-0.095,-,0.660,-,-,0.355,0.250,2.569,94.940
'[14:52:50.141]',-0.065,-,0.630,-,-,0.340,0.245,2.507,94.438
'[14:52:50.149]',-0.095,-,0.665,-,-,0.345,0.240,2.442,93.873
'[14:52:50.157]',-0.070,-,0.635,-,-,0.335,0.236,2.379,93.302
'[14:52:50.165]',-0.090,-,0.660,-,-,0.340,0.232,2.321,92.737
'[14:52:50.173]',-0.070,-,0.630,-,-,0.335,0.228,2.260,92.190
'[14:52:50.181]',-0.086,-,0.660,-,-,0.340,0.225,2.201,91.689
'[14:52:50.189]',-0.055,-,0.625,-,-,0.335,0.222,2.150,91.124
'[14:52:50.197]',-0.070,-,0.650,-,-,0.330,0.219,2.108,90.622
'[14:52:50.205]',-0.035,-,0.615,-,-,0.335,0.217,2.076,90.057
'[14:52:50.213]',-0.015,-,0.610,-,-,0.320,0.215,2.056,89.556
'[14:52:50.221]',0.240,-,0.430,-,-,0.330,0.214,2.047,89.054
'[14:52:50.229]',0.760,-,0.135,-,-,-0.261,0.212,2.048,88.489
'[14:52:50.237]',1.386,-,-0.205,-,-,-0.500,0.210,2.053,87.987
'[14:52:50.245]',1.501,-,-0.481,-,-,-0.500,0.209,2.061,87.556
'[14:52:50.253]',1.501,-,-0.500,-,-,-0.500,0.208,2.067,87.124
'[14:52:50.261]',1.421,-,-0.310,-,-,-0.500,0.207,2.071,86.737
'[14:52:50.269]',0.770,-,0.080,-,-,-0.500,0.206,2.075,86.375
'[14:52:50.277]',0.120,-,0.515,-,-,0.090,0.205,2.075,86.127
'[14:52:50.285]',-0.086,-,0.655,-,-,0.450,0.205,2.071,85.924
'[14:52:50.293]',-0.140,-,0.685,-,-,0.545,0.205,2.063,85.810
'[14:52:50.301]',-0.180,-,0.715,-,-,0.575,0.204,2.048,85.810
'[14:52:50.309]',-0.166,-,0.695,-,-,0.580,0.204,2.029,85.810
'[14:52:50.317]',-0.200,-,0.725,-,-,0.595,0.204,2.007,85.873
'[14:52:50.325]',-0.180,-,0.700,-,-,0.590,0.205,1.984,85.924
'[14:52:50.333]',-0.196,-,0.720,-,-,0.605,0.205,1.963,85.987
'[14:52:50.341]',-0.186,-,0.705,-,-,0.590,0.205,1.941,85.987
'[14:52:50.349]',-0.200,-,0.730,-,-,0.590,0.205,1.918,85.873
'[14:52:50.357]',-0.186,-,0.710,-,-,0.575,0.206,1.896,85.625
'[14:52:50.365]',-0.180,-,0.715,-,-,0.590,0.206,1.875,85.308
'[14:52:50.373]',-0.166,-,0.690,-,-,0.570,0.207,1.853,84.876
'[14:52:50.381]',-0.180,-,0.715,-,-,0.570,0.207,1.832,84.375
'[14:52:50.389]',-0.155,-,0.685,-,-,0.555,0.208,1.811,83.810
'[14:52:50.397]',-0.166,-,0.705,-,-,0.555,0.208,1.791,83.244
'[14:52:50.405]',-0.140,-,0.670,-,-,0.545,0.209,1.771,82.673
'[14:52:50.413]',-0.160,-,0.700,-,-,0.545,0.209,1.751,82.171
'[14:52:50.421]',-0.130,-,0.670,-,-,0.535,0.210,1.730,81.676
'[14:52:50.429]',-0.140,-,0.685,-,-,0.530,0.210,1.711,81.308
'[14:52:50.437]',-0.115,-,0.690,-,-,0.545,0.211,1.692,80.927
'[14:52:50.445]',-0.120,-,0.655,-,-,0.530,0.211,1.674,80.610
'[14:52:50.453]',-0.095,-,0.675,-,-,0.535,0.212,1.659,80.425
'[14:52:50.461]',-0.086,-,0.645,-,-,0.530,0.212,1.646,80.241
'[14:52:50.469]',-0.090,-,0.655,-,-,0.535,0.213,1.632,80.108
'[14:52:50.477]',-0.050,-,0.625,-,-,0.520,0.214,1.616,79.860
'[14:52:50.485]',-0.061,-,0.640,-,-,0.525,0.215,1.597,79.676
'[14:52:50.493]',-0.025,-,0.610,-,-,0.510,0.217,1.578,79.429
'[14:52:50.501]',-0.015,-,0.625,-,-,0.520,0.218,1.556,79.314
'[14:52:50.509]',0.020,-,0.580,-,-,0.515,0.219,1.537,79.175
'[14:52:50.517]',0.024,-,0.590,-,-,0.520,0.221,1.518,79.175
'[14:52:50.525]',0.055,-,0.550,-,-,0.500,0.222,1.501,79.175
'[14:52:50.533]',0.044,-,0.565,-,-,0.500,0.223,1.487,79.175
'[14:52:50.541]',0.075,-,0.530,-,-,0.475,0.224,1.472,78.997
'[14:52:50.549]',0.060,-,0.550,-,-,0.470,0.226,1.458,78.743
'[14:52:50.557]',0.085,-,0.520,-,-,0.440,0.227,1.450,78.565
'[14:52:50.565]',0.070,-,0.540,-,-,0.435,0.229,1.442,78.610
'[14:52:50.573]',0.080,-,0.520,-,-,0.410,0.231,1.433,79.359
'[14:52:50.581]',0.020,-,0.570,-,-,0.405,0.233,1.424,81.308
'[14:52:50.589]',0.010,-,0.575,-,-,0.385,0.235,1.414,85.238
'[14:52:50.597]',-0.045,-,0.620,-,-,0.390,0.237,1.406,91.733
'[14:52:50.605]',-0.050,-,0.605,-,-,0.385,0.238,1.398,100.616
'[14:52:50.613]',-0.090,-,0.645,-,-,0.390,0.241,1.389,111.067
'[14:52:50.621]',-0.095,-,0.635,-,-,0.395,0.243,1.379,121.670
'[14:52:50.629]',-0.130,-,0.675,-,-,0.385,0.245,1.370,131.257
'[14:52:50.637]',-0.140,-,0.680,-,-,0.390,0.246,1.364,138.863
'[14:52:50.645]',-0.120,-,0.660,-,-,0.385,0.247,1.357,144.063
'[14:52:50.653]',-0.146,-,0.685,-,-,0.405,0.247,1.352,146.381
'[14:52:50.661]',-0.130,-,0.655,-,-,0.400,0.247,1.349,145.746
'[14:52:50.669]',-0.155,-,0.700,-,-,0.405,0.247,1.343,142.679
'[14:52:50.677]',-0.126,-,0.665,-,-,0.400,0.247,1.334,138.000
'[14:52:50.685]',-0.146,-,0.685,-,-,0.410,0.246,1.326,132.616
'[14:52:50.693]',-0.126,-,0.665,-,-,0.395,0.245,1.314,126.984
'[14:52:50.701]',-0.146,-,0.690,-,-,0.405,0.242,1.301,121.238
'[14:52:50.709]',-0.126,-,0.660,-,-,0.395,0.240,1.288,115.562
'[14:52:50.717]',-0.146,-,0.685,-,-,0.400,0.237,1.276,110.063
'[14:52:50.725]',-0.130,-,0.670,-,-,0.385,0.234,1.265,104.997
'[14:52:50.733]',-0.146,-,0.690,-,-,0.395,0.230,1.254,100.432
'[14:52:50.741]',-0.115,-,0.655,-,-,0.390,0.227,1.244,96.730
'[14:52:50.749]',-0.146,-,0.685,-,-,0.395,0.223,1.238,93.803
'[14:52:50.757]',-0.106,-,0.645,-,-,0.385,0.219,1.233,91.556
'[14:52:50.765]',-0.140,-,0.680,-,-,0.390,0.215,1.228,89.803
'[14:52:50.773]',-0.120,-,0.665,-,-,0.375,0.210,1.222,88.876
'[14:52:50.781]',-0.140,-,0.685,-,-,0.380,0.204,1.215,89.054
'[14:52:50.789]',-0.120,-,0.655,-,-,0.375,0.199,1.207,90.375
'[14:52:50.797]',-0.151,-,0.695,-,-,0.380,0.193,1.200,92.552
'[14:52:50.805]',-0.115,-,0.650,-,-,0.380,0.188,1.195,95.117
'[14:52:50.813]',-0.140,-,0.675,-,-,0.380,0.182,1.192,97.803
'[14:52:50.821]',-0.126,-,0.665,-,-,0.385,0.177,1.190,100.298
'[14:52:50.829]',-0.151,-,0.695,-,-,0.370,0.172,1.193,102.432
'[14:52:50.837]',-0.155,-,0.665,-,-,0.375,0.167,1.206,103.930
'[14:52:50.845]',-0.120,-,0.660,-,-,0.370,0.162,1.239,104.933
'[14:52:50.853]',-0.146,-,0.695,-,-,0.380,0.158,1.284,105.429
'[14:52:50.861]',-0.120,-,0.665,-,-,0.360,0.153,1.351,105.295
'[14:52:50.869]',-0.140,-,0.685,-,-,0.370,0.149,1.450,104.749
'[14:52:50.877]',-0.115,-,0.650,-,-,0.360,0.145,1.577,103.683
'[14:52:50.885]',-0.135,-,0.675,-,-,0.370,0.142,1.726,102.368
'[14:52:50.893]',-0.120,-,0.655,-,-,0.355,0.139,1.890,100.933
'[14:52:50.901]',-0.140,-,0.675,-,-,0.360,0.136,2.053,99.549
'[14:52:50.909]',-0.130,-,0.670,-,-,0.335,0.133,2.207,98.229
'[14:52:50.917]',-0.200,-,0.720,-,-,0.330,0.131,2.344,96.984
'[14:52:50.925]',-0.196,-,0.700,-,-,0.310,0.129,2.456,95.937
'[14:52:50.933]',-0.216,-,0.720,-,-,0.330,0.126,2.538,94.984
'[14:52:50.941]',-0.160,-,0.665,-,-,0.320,0.124,2.588,94.235
'[14:52:50.949]',-0.151,-,0.665,-,-,0.315,0.122,2.610,93.619
'[14:52:50.957]',-0.081,-,0.610,-,-,0.305,0.120,2.610,93.054
'[14:52:50.965]',-0.070,-,0.645,-,-,0.325,0.118,2.593,92.622
'[14:52:50.973]',-0.095,-,0.640,-,-,0.335,0.117,2.560,92.235
'[14:52:50.981]',-0.115,-,0.675,-,-,0.360,0.115,2.511,91.943
'[14:52:50.989]',-0.095,-,0.650,-,-,0.345,0.114,2.452,91.625
'[14:52:50.997]',-0.115,-,0.670,-,-,0.350,0.113,2.384,91.238
'[14:52:51.005]',-0.075,-,0.630,-,-,0.345,0.112,2.312,90.921
'[14:52:51.013]',-0.100,-,0.665,-,-,0.345,0.111,2.238,90.622
'[14:52:51.021]',-0.081,-,0.645,-,-,0.350,0.111,2.165,90.235
'[14:52:51.029]',-0.075,-,0.650,-,-,0.340,0.111,2.094,89.917
'[14:52:51.037]',-0.086,-,0.635,-,-,0.350,0.111,2.026,89.625
'[14:52:51.045]',-0.075,-,0.630,-,-,0.340,0.112,1.969,89.168
'[14:52:51.053]',-0.090,-,0.655,-,-,0.345,0.112,1.927,88.806
'[14:52:51.061]',-0.065,-,0.630,-,-,0.335,0.113,1.896,88.419
'[14:52:51.069]',-0.081,-,0.650,-,-,0.340,0.115,1.875,87.987
'[14:52:51.077]',0.044,-,0.550,-,-,0.320,0.116,1.864,87.486
'[14:52:51.085]',0.445,-,0.300,-,-,0.100,0.117,1.863,86.990
'[14:52:51.093]',0.970,-,0.010,-,-,-0.500,0.118,1.869,86.489
'[14:52:51.101]',1.501,-,-0.310,-,-,-0.500,0.120,1.881,86.057
'[14:52:51.109]',1.501,-,-0.500,-,-,-0.500,0.121,1.896,85.625
'[14:52:51.117]',1.501,-,-0.411,-,-,-0.500,0.123,1.913,85.124
'[14:52:51.125]',1.030,-,-0.135,-,-,-0.500,0.125,1.929,84.629
'[14:52:51.133]',0.335,-,0.355,-,-,-0.261,0.126,1.941,84.241
'[14:52:51.141]',-0.015,-,0.600,-,-,0.295,0.128,1.948,83.924
'[14:52:51.149]',-0.126,-,0.685,-,-,0.525,0.130,1.949,83.740
'[14:52:51.157]',-0.140,-,0.680,-,-,0.570,0.131,1.944,83.625
'[14:52:51.165]',-0.191,-,0.720,-,-,0.595,0.133,1.932,83.492
'[14:52:51.173]',-0.175,-,0.700,-,-,0.590,0.135,1.913,83.492
'[14:52:51.181]',-0.196,-,0.725,-,-,0.605,0.137,1.891,83.492
'[14:52:51.189]',-0.166,-,0.695,-,-,0.595,0.138,1.868,83.562
'[14:52:51.197]',-0.196,-,0.725,-,-,0.600,0.140,1.845,83.562
'[14:52:51.205]',-0.171,-,0.700,-,-,0.590,0.142,1.823,83.562
'[14:52:51.213]',-0.186,-,0.715,-,-,0.590,0.143,1.803,83.422
'[14:52:51.221]',-0.171,-,0.695,-,-,0.575,0.145,1.782,83.175
'[14:52:51.229]',-0.166,-,0.715,-,-,0.570,0.147,1.761,82.857
'[14:52:51.237]',-0.180,-,0.695,-,-,0.575,0.148,1.738,82.489
'[14:52:51.245]',-0.155,-,0.705,-,-,0.560,0.150,1.715,82.057
'[14:52:51.253]',-0.166,-,0.680,-,-,0.565,0.152,1.694,81.606
'[14:52:51.261]',-0.130,-,0.670,-,-,0.545,0.155,1.678,81.175
'[14:52:51.269]',-0.155,-,0.700,-,-,0.555,0.157,1.664,80.743
'[14:52:51.277]',-0.135,-,0.675,-,-,0.535,0.160,1.649,80.356
'[14:52:51.285]',-0.151,-,0.700,-,-,0.540,0.163,1.633,80.063
'[14:52:51.293]',-0.106,-,0.665,-,-,0.520,0.165,1.619,79.746
'[14:52:51.301]',-0.126,-,0.685,-,-,0.525,0.168,1.603,79.429
'[14:52:51.309]',-0.090,-,0.655,-,-,0.510,0.171,1.588,79.244
'[14:52:51.317]',-0.110,-,0.680,-,-,0.515,0.173,1.573,79.060
'[14:52:51.325]',-0.075,-,0.640,-,-,0.505,0.175,1.556,78.927
'[14:52:51.333]',-0.086,-,0.660,-,-,0.520,0.178,1.540,78.743
'[14:52:51.341]',-0.045,-,0.620,-,-,0.510,0.181,1.525,78.495
'[14:52:51.349]',-0.050,-,0.630,-,-,0.520,0.183,1.515,78.248
'[14:52:51.357]',-0.010,-,0.595,-,-,0.505,0.187,1.505,77.994
'[14:52:51.365]',-0.000,-,0.605,-,-,0.520,0.190,1.490,77.860
'[14:52:51.373]',0.044,-,0.555,-,-,0.505,0.193,1.473,77.816
'[14:52:51.381]',0.024,-,0.590,-,-,0.500,0.196,1.457,77.860
'[14:52:51.389]',0.055,-,0.555,-,-,0.480,0.198,1.439,77.924
'[14:52:51.397]',0.050,-,0.565,-,-,0.480,0.201,1.423,77.924
'[14:52:51.405]',0.070,-,0.535,-,-,0.460,0.203,1.408,77.816
'[14:52:51.413]',0.060,-,0.555,-,-,0.455,0.205,1.394,77.746
'[14:52:51.421]',0.075,-,0.530,-,-,0.430,0.208,1.381,77.924
'[14:52:51.429]',0.085,-,0.520,-,-,0.425,0.210,1.371,78.813
'[14:52:51.437]',0.044,-,0.555,-,-,0.400,0.213,1.364,81.060
'[14:52:51.445]',0.020,-,0.550,-,-,0.390,0.215,1.358,85.422
'[14:52:51.453]',-0.005,-,0.580,-,-,0.395,0.218,1.355,92.483
'[14:52:51.461]',-0.045,-,0.615,-,-,0.380,0.221,1.353,102.000
'[14:52:51.469]',-0.075,-,0.640,-,-,0.390,0.223,1.350,113.111
'[14:52:51.477]',-0.070,-,0.625,-,-,0.380,0.225,1.346,124.305
'[14:52:51.485]',-0.120,-,0.665,-,-,0.395,0.226,1.341,134.184
'[14:52:51.493]',-0.110,-,0.650,-,-,0.380,0.228,1.336,141.860
'[14:52:51.501]',-0.151,-,0.695,-,-,0.400,0.229,1.331,146.635
'[14:52:51.509]',-0.130,-,0.670,-,-,0.395,0.229,1.326,148.381
'[14:52:51.517]',-0.160,-,0.700,-,-,0.405,0.229,1.322,147.175
'[14:52:51.525]',-0.135,-,0.670,-,-,0.400,0.230,1.314,143.816
'[14:52:51.533]',-0.155,-,0.700,-,-,0.410,0.229,1.305,139.067
'[14:52:51.541]',-0.126,-,0.655,-,-,0.400,0.229,1.298,133.867
'[14:52:51.549]',-0.155,-,0.700,-,-,0.415,0.228,1.293,128.622
'[14:52:51.557]',-0.140,-,0.675,-,-,0.405,0.227,1.288,123.486
'[14:52:51.565]',-0.155,-,0.700,-,-,0.415,0.226,1.281,118.559
'[14:52:51.573]',-0.130,-,0.675,-,-,0.405,0.224,1.272,113.810
'[14:52:51.581]',-0.151,-,0.700,-,-,0.415,0.222,1.261,109.314
'[14:52:51.589]',-0.115,-,0.650,-,-,0.405,0.219,1.248,105.295
'[14:52:51.597]',-0.146,-,0.690,-,-,0.405,0.216,1.236,101.937
'[14:52:51.605]',-0.126,-,0.665,-,-,0.400,0.213,1.225,99.048
'[14:52:51.613]',-0.146,-,0.690,-,-,0.400,0.209,1.215,96.438
'[14:52:51.621]',-0.126,-,0.670,-,-,0.390,0.206,1.207,93.987
'[14:52:51.629]',-0.120,-,0.665,-,-,0.385,0.202,1.202,91.987
'[14:52:51.637]',-0.146,-,0.685,-,-,0.395,0.199,1.200,90.984
'[14:52:51.645]',-0.120,-,0.660,-,-,0.385,0.196,1.196,91.302
'[14:52:51.653]',-0.140,-,0.685,-,-,0.390,0.193,1.195,92.806
'[14:52:51.661]',-0.130,-,0.665,-,-,0.380,0.190,1.196,95.054
'[14:52:51.669]',-0.155,-,0.700,-,-,0.385,0.187,1.197,97.619
'[14:52:51.677]',-0.126,-,0.670,-,-,0.375,0.184,1.199,100.184
'[14:52:51.685]',-0.146,-,0.690,-,-,0.380,0.182,1.204,102.502
'[14:52:51.693]',-0.130,-,0.670,-,-,0.370,0.179,1.220,104.362
'[14:52:51.701]',-0.151,-,0.695,-,-,0.375,0.176,1.254,105.613
'[14:52:51.709]',-0.126,-,0.665,-,-,0.365,0.174,1.312,106.248
'[14:52:51.717]',-0.151,-,0.690,-,-,0.375,0.172,1.396,106.292
'[14:52:51.725]',-0.120,-,0.665,-,-,0.365,0.170,1.510,105.797
'[14:52:51.733]',-0.130,-,0.675,-,-,0.380,0.168,1.651,104.794
'[14:52:51.741]',-0.120,-,0.665,-,-,0.360,0.167,1.811,103.498
'[14:52:51.749]',-0.146,-,0.690,-,-,0.365,0.165,1.960,102.000
'[14:52:51.757]',-0.126,-,0.665,-,-,0.360,0.163,2.099,100.502
'[14:52:51.765]',-0.171,-,0.705,-,-,0.350,0.162,2.248,99.117
'[14:52:51.773]',-0.180,-,0.695,-,-,0.325,0.161,2.390,97.867
'[14:52:51.781]',-0.205,-,0.710,-,-,0.325,0.160,2.511,96.800
'[14:52:51.789]',-0.186,-,0.680,-,-,0.330,0.158,2.604,95.867
'[14:52:51.797]',-0.175,-,0.685,-,-,0.330,0.157,2.668,95.054
'[14:52:51.805]',-0.120,-,0.635,-,-,0.310,0.156,2.701,94.438
'[14:52:51.813]',-0.106,-,0.645,-,-,0.310,0.155,2.707,93.937
'[14:52:51.821]',-0.081,-,0.625,-,-,0.320,0.153,2.692,93.486
'[14:52:51.829]',-0.075,-,0.655,-,-,0.350,0.152,2.659,93.124
'[14:52:51.837]',-0.110,-,0.650,-,-,0.360,0.150,2.611,92.692
'[14:52:51.845]',-0.095,-,0.670,-,-,0.350,0.148,2.553,92.305
'[14:52:51.853]',-0.120,-,0.675,-,-,0.360,0.147,2.497,91.943
'[14:52:51.861]',-0.090,-,0.650,-,-,0.340,0.145,2.439,91.556
