'Time','II','AVR','V','RESP','PLETH','ABP','PAP','CVP'
'[01:22:50.744]',0.380,0.795,0.610,0.220,1.209,100.033,27.440,6.369
'[01:22:50.752]',0.385,0.795,0.615,0.217,1.200,98.567,27.440,6.496
'[01:22:50.760]',0.390,0.795,0.610,0.215,1.196,96.907,27.440,6.555
'[01:22:50.768]',0.390,0.790,0.620,0.212,1.192,95.246,27.245,6.623
'[01:22:50.776]',0.390,0.790,0.620,0.209,1.186,93.634,26.874,6.623
'[01:22:50.784]',0.395,0.780,0.625,0.207,1.178,92.071,26.376,6.682
'[01:22:50.792]',0.405,0.775,0.620,0.205,1.170,90.410,25.623,6.682
'[01:22:50.800]',0.405,0.780,0.625,0.203,1.161,88.945,24.559,6.682
'[01:22:50.808]',0.400,0.780,0.625,0.201,1.152,87.480,23.181,6.682
'[01:22:50.816]',0.400,0.785,0.625,0.199,1.142,86.112,21.872,6.750
'[01:22:50.824]',0.400,0.780,0.625,0.197,1.129,84.696,20.807,6.750
'[01:22:50.832]',0.400,0.780,0.630,0.196,1.114,83.230,20.124,6.750
'[01:22:50.840]',0.405,0.775,0.630,0.195,1.102,81.716,19.625,6.809
'[01:22:50.848]',0.420,0.765,0.645,0.195,1.098,80.055,19.244,6.809
'[01:22:50.856]',0.440,0.750,0.655,0.195,1.111,78.297,18.873,6.867
'[01:22:50.864]',0.445,0.745,0.665,0.195,1.144,76.685,18.619,6.936
'[01:22:50.872]',0.455,0.740,0.670,0.196,1.200,75.318,18.561,6.994
'[01:22:50.880]',0.450,0.735,0.675,0.197,1.299,74.097,18.815,6.994
'[01:22:50.888]',0.465,0.725,0.680,0.198,1.440,73.168,19.371,6.994
'[01:22:50.896]',0.455,0.735,0.670,0.199,1.616,72.533,20.182,6.994
'[01:22:50.904]',0.460,0.730,0.655,0.199,1.817,71.996,21.120,6.936
'[01:22:50.912]',0.450,0.725,0.640,0.200,2.028,71.508,21.931,6.867
'[01:22:50.920]',0.435,0.735,0.625,0.201,2.235,70.970,22.683,6.809
'[01:22:50.928]',0.415,0.755,0.625,0.202,2.424,70.531,23.064,6.682
'[01:22:50.936]',0.400,0.770,0.625,0.202,2.588,70.189,23.123,6.623
'[01:22:50.944]',0.380,0.790,0.620,0.203,2.721,69.847,22.751,6.496
'[01:22:50.952]',0.365,0.795,0.610,0.204,2.824,69.603,22.058,6.369
'[01:22:50.960]',0.365,0.795,0.615,0.204,2.891,69.359,21.247,6.242
'[01:22:50.968]',0.365,0.795,0.615,0.205,2.929,69.066,20.378,6.125
'[01:22:50.976]',0.360,0.795,0.610,0.206,2.955,68.724,19.557,5.998
'[01:22:50.984]',0.360,0.795,0.615,0.206,2.966,68.479,18.932,5.930
'[01:22:50.992]',0.365,0.785,0.620,0.206,2.962,68.186,18.502,5.871
'[01:22:51.000]',0.370,0.785,0.620,0.206,2.945,67.844,18.248,5.930
'[01:22:51.008]',0.365,0.785,0.620,0.206,2.917,67.551,17.994,5.998
'[01:22:51.016]',0.360,0.790,0.625,0.206,2.879,67.258,17.564,6.125
'[01:22:51.024]',0.375,0.770,0.655,0.206,2.833,66.916,16.939,6.242
'[01:22:51.032]',0.395,0.720,0.670,0.206,2.781,66.477,16.187,6.369
'[01:22:51.040]',0.450,0.555,0.695,0.206,2.725,66.135,15.493,6.496
'[01:22:51.048]',0.600,0.275,0.765,0.207,2.666,65.695,14.995,6.555
'[01:22:51.056]',0.755,-0.015,0.775,0.207,2.603,65.158,14.682,6.682
'[01:22:51.064]',0.705,-0.075,0.350,0.207,2.545,64.718,14.624,6.867
'[01:22:51.072]',0.720,0.495,0.440,0.208,2.489,64.279,14.751,7.121
'[01:22:51.080]',0.625,0.820,0.565,0.207,2.428,63.839,15.122,7.307
'[01:22:51.088]',0.510,0.840,0.585,0.207,2.365,63.497,15.747,7.493
'[01:22:51.096]',0.420,0.810,0.610,0.207,2.298,63.107,16.372,7.561
'[01:22:51.104]',0.370,0.805,0.625,0.206,2.229,62.814,16.685,7.561
'[01:22:51.112]',0.340,0.810,0.640,0.206,2.158,62.423,16.744,7.493
'[01:22:51.120]',0.340,0.805,0.640,0.205,2.088,62.130,16.558,7.375
'[01:22:51.128]',0.335,0.805,0.645,0.204,2.018,61.885,16.118,7.180
'[01:22:51.136]',0.335,0.800,0.645,0.203,1.948,61.544,15.562,6.867
'[01:22:51.144]',0.340,0.795,0.645,0.202,1.881,61.251,14.936,6.555
'[01:22:51.152]',0.340,0.795,0.645,0.201,1.818,60.909,14.243,6.125
'[01:22:51.160]',0.340,0.795,0.645,0.200,1.766,60.616,13.686,5.617
'[01:22:51.168]',0.335,0.795,0.650,0.199,1.723,60.322,13.373,5.119
'[01:22:51.176]',0.340,0.785,0.650,0.197,1.679,59.932,13.432,4.689
'[01:22:51.184]',0.345,0.770,0.645,0.195,1.638,59.541,13.999,4.308
'[01:22:51.192]',0.350,0.765,0.645,0.193,1.601,59.150,14.868,3.937
'[01:22:51.200]',0.345,0.765,0.645,0.191,1.569,58.808,15.562,3.683
'[01:22:51.208]',0.350,0.755,0.635,0.188,1.541,58.466,15.689,3.439
'[01:22:51.216]',0.345,0.750,0.640,0.186,1.517,58.124,15.063,3.185
'[01:22:51.224]',0.350,0.735,0.635,0.183,1.497,57.880,14.184,2.999
'[01:22:51.232]',0.355,0.725,0.635,0.180,1.478,57.538,13.618,2.872
'[01:22:51.240]',0.360,0.710,0.635,0.178,1.461,57.294,13.559,2.872
'[01:22:51.248]',0.365,0.695,0.630,0.176,1.448,57.001,13.813,2.813
'[01:22:51.256]',0.365,0.685,0.630,0.174,1.434,56.757,14.311,2.813
'[01:22:51.264]',0.365,0.675,0.625,0.172,1.423,56.415,14.936,2.745
'[01:22:51.272]',0.365,0.655,0.625,0.170,1.414,56.122,15.620,2.686
'[01:22:51.280]',0.365,0.655,0.625,0.168,1.403,55.780,16.685,2.559
'[01:22:51.288]',0.365,0.645,0.630,0.167,1.389,55.438,18.062,2.374
'[01:22:51.296]',0.365,0.640,0.630,0.166,1.373,55.243,19.625,2.188
'[01:22:51.304]',0.360,0.635,0.630,0.165,1.358,55.292,21.374,1.993
'[01:22:51.312]',0.365,0.630,0.630,0.164,1.321,56.220,23.064,1.876
'[01:22:51.320]',0.365,0.630,0.635,0.164,1.274,58.759,24.559,1.807
'[01:22:51.328]',0.360,0.630,0.640,0.163,1.242,63.107,25.750,1.876
'[01:22:51.336]',0.365,0.650,0.650,0.164,1.219,68.968,26.620,1.934
'[01:22:51.344]',0.365,0.675,0.655,0.165,1.200,75.220,27.128,2.120
'[01:22:51.352]',0.365,0.700,0.660,0.166,1.183,80.984,27.372,2.247
'[01:22:51.360]',0.365,0.730,0.665,0.167,1.170,85.721,27.499,2.432
'[01:22:51.368]',0.355,0.755,0.670,0.169,1.160,89.678,27.558,2.686
'[01:22:51.376]',0.340,0.780,0.675,0.171,1.150,92.950,27.558,2.931
'[01:22:51.384]',0.335,0.795,0.665,0.173,1.138,95.637,27.440,3.185
'[01:22:51.392]',0.335,0.810,0.660,0.176,1.126,97.737,27.313,3.556
'[01:22:51.400]',0.330,0.810,0.660,0.179,1.115,99.447,27.372,3.868
'[01:22:51.408]',0.320,0.815,0.655,0.183,1.106,100.668,27.499,4.181
'[01:22:51.416]',0.320,0.810,0.655,0.187,1.097,101.547,27.626,4.494
'[01:22:51.424]',0.315,0.815,0.650,0.192,1.089,102.182,27.753,4.806
'[01:22:51.432]',0.310,0.820,0.645,0.197,1.081,102.280,27.870,5.060
'[01:22:51.440]',0.310,0.815,0.640,0.203,1.074,101.938,27.997,5.373
'[01:22:51.448]',0.315,0.820,0.645,0.208,1.066,101.058,28.124,5.558
'[01:22:51.456]',0.315,0.815,0.640,0.214,1.058,99.740,28.251,5.744
'[01:22:51.464]',0.315,0.810,0.640,0.219,1.053,98.177,28.251,5.930
'[01:22:51.472]',0.315,0.810,0.635,0.224,1.049,96.565,27.997,6.125
'[01:22:51.480]',0.315,0.815,0.640,0.228,1.043,94.904,27.499,6.242
'[01:22:51.488]',0.315,0.810,0.635,0.233,1.036,93.292,26.874,6.311
'[01:22:51.496]',0.310,0.815,0.635,0.238,1.029,91.729,26.063,6.438
'[01:22:51.504]',0.305,0.815,0.635,0.244,1.022,90.166,25.057,6.496
'[01:22:51.512]',0.300,0.820,0.635,0.250,1.016,88.750,24.002,6.623
'[01:22:51.520]',0.295,0.820,0.625,0.257,1.008,87.382,22.869,6.682
'[01:22:51.528]',0.295,0.820,0.625,0.264,0.999,85.966,21.872,6.750
'[01:22:51.536]',0.295,0.820,0.625,0.270,0.989,84.696,21.306,6.809
'[01:22:51.544]',0.295,0.820,0.625,0.278,0.978,83.230,21.061,6.867
'[01:22:51.552]',0.305,0.820,0.630,0.285,0.967,81.814,21.003,6.867
'[01:22:51.560]',0.320,0.810,0.645,0.293,0.963,80.153,20.876,6.936
'[01:22:51.568]',0.325,0.795,0.645,0.302,0.969,78.541,20.690,6.936
'[01:22:51.576]',0.330,0.795,0.650,0.312,0.990,76.881,20.436,6.994
'[01:22:51.584]',0.330,0.790,0.650,0.322,1.038,75.415,20.436,6.994
'[01:22:51.592]',0.340,0.790,0.655,0.333,1.120,74.243,20.749,6.994
'[01:22:51.600]',0.330,0.795,0.640,0.343,1.239,73.364,21.374,7.063
'[01:22:51.608]',0.330,0.790,0.625,0.354,1.393,72.680,22.185,7.063
'[01:22:51.616]',0.335,0.790,0.615,0.365,1.571,72.094,22.937,7.063
'[01:22:51.624]',0.300,0.795,0.585,0.374,1.762,71.605,23.562,6.994
'[01:22:51.632]',0.295,0.810,0.580,0.383,1.953,71.166,23.875,6.936
'[01:22:51.640]',0.270,0.825,0.575,0.392,2.130,70.726,23.807,6.809
'[01:22:51.648]',0.245,0.845,0.570,0.400,2.284,70.384,23.435,6.682
'[01:22:51.656]',0.225,0.865,0.560,0.408,2.413,69.994,22.869,6.623
'[01:22:51.664]',0.220,0.870,0.560,0.416,2.502,69.652,22.185,6.496
'[01:22:51.672]',0.220,0.870,0.555,0.424,2.563,69.359,21.560,6.438
'[01:22:51.680]',0.220,0.865,0.555,0.431,2.612,69.066,21.003,6.369
'[01:22:51.688]',0.210,0.865,0.555,0.438,2.644,68.821,20.690,6.369
'[01:22:51.696]',0.205,0.865,0.555,0.445,2.661,68.528,20.563,6.369
'[01:22:51.704]',0.205,0.865,0.555,0.452,2.663,68.235,20.563,6.496
'[01:22:51.712]',0.200,0.870,0.555,0.458,2.652,67.942,20.495,6.623
'[01:22:51.720]',0.195,0.865,0.555,0.465,2.630,67.698,20.182,6.809
'[01:22:51.728]',0.200,0.865,0.580,0.471,2.597,67.356,19.625,6.994
'[01:22:51.736]',0.225,0.820,0.595,0.478,2.558,67.063,18.932,7.180
'[01:22:51.744]',0.285,0.665,0.635,0.485,2.514,66.721,18.248,7.307
'[01:22:51.752]',0.435,0.425,0.730,0.492,2.466,66.428,17.681,7.434
'[01:22:51.760]',0.645,0.175,0.765,0.499,2.419,66.135,17.369,7.620
'[01:22:51.768]',0.650,0.105,0.390,0.506,2.373,65.793,17.369,7.747
'[01:22:51.776]',0.610,0.545,0.330,0.514,2.324,65.500,17.750,8.001
'[01:22:51.784]',0.500,0.880,0.465,0.521,2.272,65.158,18.248,8.245
'[01:22:51.792]',0.370,0.915,0.485,0.528,2.218,64.816,18.932,8.557
'[01:22:51.800]',0.260,0.905,0.510,0.534,2.162,64.474,19.752,8.743
'[01:22:51.808]',0.195,0.905,0.535,0.541,2.106,64.181,20.436,8.870
'[01:22:51.816]',0.170,0.910,0.540,0.548,2.047,63.839,20.807,8.938
'[01:22:51.824]',0.170,0.905,0.540,0.556,1.988,63.595,20.934,8.870
'[01:22:51.832]',0.165,0.900,0.545,0.564,1.929,63.351,20.807,8.870
'[01:22:51.840]',0.170,0.900,0.545,0.572,1.869,63.155,20.622,8.743
'[01:22:51.848]',0.170,0.891,0.545,0.580,1.810,63.009,20.251,8.557
'[01:22:51.856]',0.175,0.891,0.540,0.588,1.760,62.814,19.870,8.372
'[01:22:51.864]',0.170,0.891,0.545,0.594,1.715,62.618,19.440,8.059
'[01:22:51.872]',0.175,0.891,0.545,0.602,1.668,62.276,19.244,7.805
'[01:22:51.880]',0.180,0.885,0.545,0.609,1.623,61.983,19.371,7.493
'[01:22:51.888]',0.185,0.885,0.550,0.617,1.581,61.690,19.938,7.248
'[01:22:51.896]',0.180,0.885,0.550,0.626,1.543,61.348,20.749,7.063
'[01:22:51.904]',0.190,0.870,0.545,0.634,1.510,61.055,21.433,6.936
'[01:22:51.912]',0.200,0.860,0.540,0.643,1.481,60.811,21.501,6.809
'[01:22:51.920]',0.200,0.850,0.535,0.652,1.457,60.567,20.690,6.809
'[01:22:51.928]',0.205,0.845,0.535,0.661,1.435,60.371,19.752,6.809
'[01:22:51.936]',0.210,0.830,0.540,0.669,1.416,60.225,19.244,6.750
'[01:22:51.944]',0.215,0.820,0.535,0.677,1.400,60.029,19.498,6.750
'[01:22:51.952]',0.215,0.815,0.540,0.685,1.386,59.785,20.309,6.809
'[01:22:51.960]',0.210,0.800,0.540,0.692,1.375,59.492,21.247,6.867
'[01:22:51.968]',0.225,0.785,0.540,0.699,1.368,59.150,22.185,6.936
'[01:22:51.976]',0.225,0.770,0.535,0.707,1.359,58.906,23.123,6.936
'[01:22:51.984]',0.225,0.770,0.540,0.716,1.349,58.564,24.246,6.809
'[01:22:51.992]',0.220,0.765,0.535,0.725,1.339,58.222,25.682,6.623
'[01:22:52.000]',0.220,0.750,0.540,0.735,1.329,58.124,27.440,6.311
'[01:22:52.008]',0.225,0.745,0.535,0.744,1.319,58.369,29.306,5.998
'[01:22:52.016]',0.235,0.740,0.535,0.753,1.308,59.590,31.123,5.685
'[01:22:52.024]',0.235,0.735,0.540,0.761,1.297,62.618,32.745,5.500
'[01:22:52.032]',0.245,0.740,0.555,0.770,1.285,67.747,34.191,5.373
'[01:22:52.040]',0.255,0.745,0.550,0.779,1.274,74.292,35.314,5.373
'[01:22:52.048]',0.265,0.760,0.555,0.789,1.263,81.179,36.066,5.431
'[01:22:52.056]',0.260,0.785,0.555,0.799,1.254,87.187,36.252,5.500
'[01:22:52.064]',0.260,0.815,0.565,0.809,1.247,92.120,36.184,5.617
'[01:22:52.072]',0.255,0.840,0.565,0.820,1.239,95.979,35.871,5.812
'[01:22:52.080]',0.245,0.870,0.565,0.831,1.230,99.056,35.558,5.998
'[01:22:52.088]',0.245,0.885,0.570,0.841,1.222,101.449,35.187,6.242
'[01:22:52.096]',0.240,0.895,0.565,0.852,1.215,103.305,34.875,6.623
'[01:22:52.104]',0.230,0.900,0.560,0.860,1.208,104.673,34.621,6.936
'[01:22:52.112]',0.235,0.891,0.555,0.869,1.202,105.699,34.503,7.248
'[01:22:52.120]',0.245,0.885,0.550,0.876,1.197,106.382,34.376,7.561
'[01:22:52.128]',0.240,0.891,0.550,0.882,1.194,106.627,34.249,7.874
'[01:22:52.136]',0.240,0.880,0.555,0.888,1.190,106.285,34.122,8.118
'[01:22:52.144]',0.245,0.880,0.555,0.894,1.186,105.406,34.064,8.372
'[01:22:52.152]',0.255,0.870,0.555,0.900,1.182,104.184,34.064,8.557
'[01:22:52.160]',0.245,0.875,0.555,0.905,1.180,102.621,34.122,8.743
'[01:22:52.168]',0.255,0.870,0.550,0.909,1.178,101.010,34.122,8.870
'[01:22:52.176]',0.260,0.875,0.550,0.913,1.175,99.349,33.937,8.870
'[01:22:52.184]',0.250,0.880,0.550,0.915,1.171,97.786,33.497,8.870
'[01:22:52.192]',0.250,0.880,0.550,0.918,1.167,96.321,32.872,8.870
'[01:22:52.200]',0.255,0.875,0.550,0.920,1.162,94.806,32.061,8.870
'[01:22:52.208]',0.260,0.875,0.545,0.922,1.157,93.439,31.250,8.938
'[01:22:52.216]',0.255,0.870,0.540,0.923,1.153,92.071,30.371,8.870
'[01:22:52.224]',0.265,0.865,0.540,0.924,1.149,90.752,29.433,8.811
'[01:22:52.232]',0.260,0.865,0.540,0.925,1.142,89.434,28.496,8.743
'[01:22:52.240]',0.265,0.865,0.540,0.926,1.133,88.115,27.685,8.684
'[01:22:52.248]',0.270,0.860,0.545,0.927,1.122,86.698,27.128,8.626
'[01:22:52.256]',0.285,0.860,0.555,0.928,1.115,85.135,26.747,8.626
'[01:22:52.264]',0.310,0.845,0.560,0.929,1.115,83.426,26.376,8.626
'[01:22:52.272]',0.315,0.845,0.570,0.930,1.125,81.667,25.936,8.557
'[01:22:52.280]',0.310,0.845,0.575,0.931,1.154,79.909,25.438,8.499
'[01:22:52.288]',0.325,0.835,0.575,0.932,1.213,78.297,24.813,8.557
'[01:22:52.296]',0.335,0.835,0.585,0.932,1.306,76.929,24.314,8.626
'[01:22:52.304]',0.340,0.830,0.575,0.932,1.433,75.904,24.002,8.684
'[01:22:52.312]',0.325,0.840,0.565,0.932,1.589,75.122,24.060,8.743
'[01:22:52.320]',0.325,0.835,0.555,0.932,1.764,74.536,24.246,8.811
'[01:22:52.328]',0.305,0.830,0.525,0.932,1.945,73.999,24.627,8.811
'[01:22:52.336]',0.290,0.845,0.520,0.932,2.119,73.510,25.057,8.743
'[01:22:52.344]',0.280,0.860,0.520,0.931,2.277,73.071,25.438,8.743
'[01:22:52.352]',0.255,0.880,0.515,0.930,2.410,72.680,25.809,8.684
'[01:22:52.360]',0.225,0.895,0.510,0.928,2.504,72.387,25.936,8.557
'[01:22:52.368]',0.225,0.900,0.510,0.927,2.570,72.045,25.809,8.372
'[01:22:52.376]',0.225,0.905,0.510,0.924,2.624,71.801,25.438,8.245
'[01:22:52.384]',0.225,0.905,0.510,0.921,2.662,71.557,24.940,8.118
'[01:22:52.392]',0.225,0.900,0.510,0.916,2.682,71.215,24.432,8.059
'[01:22:52.400]',0.240,0.891,0.510,0.911,2.688,70.970,24.002,7.932
'[01:22:52.408]',0.240,0.895,0.510,0.905,2.680,70.726,23.562,7.874
'[01:22:52.416]',0.230,0.900,0.520,0.898,2.661,70.482,23.123,7.874
'[01:22:52.424]',0.230,0.900,0.515,0.892,2.633,70.189,22.556,7.874
'[01:22:52.432]',0.225,0.891,0.530,0.885,2.598,69.847,21.745,8.001
'[01:22:52.440]',0.255,0.860,0.550,0.877,2.558,69.554,20.749,8.059
'[01:22:52.448]',0.285,0.750,0.560,0.870,2.513,69.163,19.870,8.186
'[01:22:52.456]',0.400,0.515,0.675,0.862,2.469,68.821,19.244,8.245
'[01:22:52.464]',0.650,0.220,0.750,0.854,2.425,68.382,18.932,8.313
'[01:22:52.472]',0.705,0.090,0.435,0.845,2.377,67.942,18.815,8.372
'[01:22:52.480]',0.655,0.415,0.300,0.836,2.327,67.503,18.873,8.557
'[01:22:52.488]',0.560,0.835,0.400,0.828,2.277,66.965,19.244,8.743
'[01:22:52.496]',0.425,0.925,0.445,0.820,2.226,66.526,19.811,8.938
'[01:22:52.504]',0.310,0.915,0.480,0.812,2.174,66.135,20.436,8.997
'[01:22:52.512]',0.255,0.920,0.505,0.804,2.120,65.695,20.876,9.056
'[01:22:52.520]',0.230,0.920,0.515,0.796,2.065,65.305,20.934,9.056
'[01:22:52.528]',0.220,0.930,0.525,0.787,2.008,65.012,20.876,8.997
'[01:22:52.536]',0.220,0.920,0.520,0.778,1.949,64.621,20.749,8.870
'[01:22:52.544]',0.225,0.920,0.520,0.770,1.890,64.377,20.495,8.684
'[01:22:52.552]',0.225,0.910,0.525,0.761,1.829,64.035,20.182,8.430
'[01:22:52.560]',0.230,0.910,0.530,0.752,1.777,63.790,19.811,8.118
'[01:22:52.568]',0.240,0.900,0.525,0.743,1.730,63.546,19.371,7.805
'[01:22:52.576]',0.235,0.900,0.530,0.735,1.681,63.253,19.059,7.493
'[01:22:52.584]',0.245,0.895,0.530,0.727,1.633,62.911,19.000,7.180
'[01:22:52.592]',0.235,0.895,0.530,0.720,1.589,62.569,19.244,6.867
'[01:22:52.600]',0.240,0.895,0.525,0.713,1.550,62.227,19.870,6.623
'[01:22:52.608]',0.245,0.891,0.530,0.707,1.516,61.885,20.690,6.438
'[01:22:52.616]',0.240,0.880,0.530,0.700,1.487,61.495,21.433,6.184
'[01:22:52.624]',0.250,0.870,0.525,0.693,1.461,61.153,21.433,5.998
'[01:22:52.632]',0.260,0.860,0.530,0.686,1.440,60.860,20.622,5.812
'[01:22:52.640]',0.260,0.850,0.525,0.679,1.421,60.616,19.498,5.617
'[01:22:52.648]',0.270,0.840,0.525,0.672,1.406,60.371,18.561,5.500
'[01:22:52.656]',0.270,0.830,0.525,0.665,1.395,60.127,18.062,5.373
'[01:22:52.664]',0.275,0.815,0.525,0.659,1.386,59.785,17.750,5.304
'[01:22:52.672]',0.285,0.795,0.525,0.652,1.377,59.492,17.496,5.187
'[01:22:52.680]',0.285,0.790,0.530,0.646,1.368,59.150,17.369,5.060
'[01:22:52.688]',0.285,0.775,0.530,0.639,1.358,58.857,17.623,4.875
'[01:22:52.696]',0.285,0.770,0.525,0.633,1.347,58.466,18.434,4.621
'[01:22:52.704]',0.290,0.755,0.525,0.627,1.336,58.222,19.811,4.435
'[01:22:52.712]',0.290,0.750,0.520,0.621,1.325,58.222,21.560,4.249
'[01:22:52.720]',0.290,0.745,0.520,0.615,1.312,59.004,23.621,4.122
'[01:22:52.728]',0.295,0.740,0.525,0.609,1.298,61.299,25.750,4.064
'[01:22:52.736]',0.305,0.735,0.530,0.603,1.284,65.598,27.626,4.122
'[01:22:52.744]',0.310,0.740,0.530,0.597,1.271,71.557,29.062,4.249
'[01:22:52.752]',0.315,0.750,0.530,0.591,1.256,78.102,30.000,4.435
'[01:22:52.760]',0.320,0.770,0.535,0.585,1.244,84.110,30.498,4.689
'[01:22:52.768]',0.320,0.795,0.535,0.580,1.235,89.189,30.557,4.875
'[01:22:52.776]',0.310,0.825,0.535,0.573,1.223,93.292,30.439,5.060
'[01:22:52.784]',0.295,0.850,0.540,0.567,1.210,96.614,30.127,5.304
'[01:22:52.792]',0.295,0.865,0.535,0.560,1.197,99.251,29.873,5.500
'[01:22:52.800]',0.295,0.875,0.535,0.554,1.186,101.449,29.560,5.744
'[01:22:52.808]',0.290,0.885,0.535,0.547,1.174,103.110,29.121,5.998
'[01:22:52.816]',0.285,0.891,0.535,0.541,1.163,104.429,28.691,6.242
'[01:22:52.824]',0.285,0.891,0.530,0.534,1.154,105.406,28.183,6.496
'[01:22:52.832]',0.290,0.891,0.525,0.528,1.146,105.992,27.812,6.682
'[01:22:52.840]',0.280,0.891,0.525,0.519,1.138,105.992,27.499,6.936
'[01:22:52.848]',0.275,0.891,0.530,0.511,1.131,105.552,27.186,7.063
'[01:22:52.856]',0.280,0.891,0.525,0.501,1.127,104.575,26.933,7.121
'[01:22:52.864]',0.285,0.891,0.525,0.492,1.124,103.159,26.747,7.180
'[01:22:52.872]',0.280,0.891,0.520,0.481,1.119,101.547,26.561,7.180
'[01:22:52.880]',0.280,0.891,0.520,0.470,1.113,99.935,26.249,7.180
'[01:22:52.888]',0.280,0.891,0.520,0.460,1.107,98.323,25.809,7.180
'[01:22:52.896]',0.275,0.900,0.520,0.449,1.100,96.662,25.252,7.121
'[01:22:52.904]',0.285,0.895,0.520,0.440,1.093,95.051,24.559,7.063
'[01:22:52.912]',0.280,0.895,0.520,0.430,1.086,93.488,23.748,6.994
'[01:22:52.920]',0.275,0.900,0.515,0.423,1.080,91.973,22.869,6.994
'[01:22:52.928]',0.275,0.900,0.515,0.415,1.073,90.557,22.126,6.936
'[01:22:52.936]',0.280,0.905,0.510,0.408,1.065,89.092,21.618,6.936
'[01:22:52.944]',0.270,0.915,0.510,0.401,1.054,87.675,21.374,6.936
'[01:22:52.952]',0.270,0.910,0.510,0.394,1.042,86.161,21.120,6.936
'[01:22:52.960]',0.275,0.910,0.505,0.388,1.034,84.598,20.749,6.936
'[01:22:52.968]',0.290,0.895,0.510,0.382,1.030,82.840,20.309,6.936
'[01:22:52.976]',0.300,0.891,0.510,0.376,1.033,81.032,19.870,6.994
'[01:22:52.984]',0.320,0.870,0.530,0.371,1.053,79.323,19.498,6.994
'[01:22:52.992]',0.335,0.865,0.535,0.366,1.098,77.662,19.313,7.063
'[01:22:53.000]',0.340,0.855,0.535,0.362,1.176,76.343,19.440,7.063
'[01:22:53.008]',0.345,0.855,0.540,0.357,1.288,75.366,19.997,7.121
'[01:22:53.016]',0.350,0.850,0.545,0.353,1.432,74.536,20.876,7.121
