"'Time','I','II','AVR','V','RESP','PLETH','ABP'"
"'[16:46:06.576]',-,0.051,0.695,0.775,0.217,0.486,93.481"
"'[16:46:06.584]',-,0.051,0.695,0.795,0.217,0.485,95.632"
"'[16:46:06.592]',-,0.045,0.699,0.795,0.217,0.485,97.588"
"'[16:46:06.600]',-,0.051,0.699,0.811,0.217,0.485,99.544"
"'[16:46:06.608]',-,0.051,0.699,0.811,0.217,0.483,101.108"
"'[16:46:06.616]',-,0.055,0.699,0.820,0.218,0.480,102.477"
"'[16:46:06.624]',-,0.051,0.695,0.814,0.219,0.477,103.260"
"'[16:46:06.632]',-,0.055,0.695,0.824,0.220,0.475,103.455"
"'[16:46:06.640]',-,0.045,0.699,0.820,0.222,0.473,103.064"
"'[16:46:06.648]',-,0.041,0.695,0.834,0.223,0.470,102.282"
"'[16:46:06.656]',-,0.035,0.705,0.820,0.224,0.468,101.304"
"'[16:46:06.664]',-,0.031,0.715,0.830,0.226,0.465,100.130"
"'[16:46:06.672]',-,0.025,0.721,0.820,0.227,0.462,98.761"
"'[16:46:06.680]',-,0.031,0.715,0.820,0.228,0.458,96.806"
"'[16:46:06.688]',-,0.016,0.725,0.811,0.228,0.455,94.850"
"'[16:46:06.696]',-,0.006,0.730,0.811,0.229,0.451,92.308"
"'[16:46:06.704]',-,0.006,0.730,0.789,0.230,0.446,89.765"
"'[16:46:06.712]',-,0.020,0.725,0.795,0.231,0.441,87.027"
"'[16:46:06.720]',-,0.020,0.725,0.789,0.232,0.437,84.289"
"'[16:46:06.728]',-,0.041,0.721,0.811,0.233,0.433,81.552"
"'[16:46:06.736]',-,0.041,0.721,0.820,0.235,0.431,79.009"
"'[16:46:06.744]',-,0.041,0.721,0.814,0.236,0.429,76.467"
"'[16:46:06.752]',-,0.041,0.721,0.830,0.237,0.428,74.120"
"'[16:46:06.760]',-,0.051,0.715,0.820,0.238,0.426,72.164"
"'[16:46:06.768]',-,0.055,0.721,0.834,0.239,0.425,70.404"
"'[16:46:06.776]',-,0.064,0.705,0.824,0.239,0.424,68.840"
"'[16:46:06.784]',-,0.070,0.705,0.834,0.240,0.425,67.471"
"'[16:46:06.792]',-,0.064,0.699,0.824,0.241,0.426,66.493"
"'[16:46:06.800]',-,0.055,0.705,0.834,0.241,0.431,65.515"
"'[16:46:06.808]',-,0.051,0.709,0.824,0.241,0.437,64.928"
"'[16:46:06.816]',-,0.035,0.715,0.830,0.241,0.444,64.537"
"'[16:46:06.824]',-,0.025,0.721,0.824,0.241,0.449,64.342"
"'[16:46:06.832]',-,0.025,0.725,0.834,0.241,0.455,64.342"
"'[16:46:06.840]',-,0.025,0.721,0.820,0.240,0.462,64.537"
"'[16:46:06.848]',-,0.010,0.730,0.830,0.240,0.469,64.733"
"'[16:46:06.856]',-,0.000,0.740,0.814,0.239,0.477,65.319"
"'[16:46:06.864]',-,-0.004,0.744,0.820,0.239,0.484,65.711"
"'[16:46:06.872]',-,-0.004,0.750,0.805,0.239,0.490,66.102"
"'[16:46:06.880]',-,0.006,0.744,0.824,0.239,0.496,66.688"
"'[16:46:06.888]',-,0.000,0.744,0.830,0.239,0.500,67.080"
"'[16:46:06.896]',-,0.025,0.744,0.840,0.239,0.502,67.471"
"'[16:46:06.904]',-,0.025,0.734,0.844,0.239,0.504,68.057"
"'[16:46:06.912]',-,0.045,0.725,0.850,0.239,0.506,68.449"
"'[16:46:06.920]',-,0.051,0.721,0.844,0.238,0.508,68.644"
"'[16:46:06.928]',-,0.055,0.715,0.840,0.237,0.509,69.035"
"'[16:46:06.936]',-,0.055,0.721,0.844,0.236,0.509,69.035"
"'[16:46:06.944]',-,0.061,0.709,0.840,0.235,0.508,69.035"
"'[16:46:06.952]',-,0.064,0.705,0.844,0.234,0.506,69.035"
"'[16:46:06.960]',-,0.061,0.705,0.834,0.233,0.504,69.035"
"'[16:46:06.968]',-,0.051,0.715,0.840,0.232,0.501,68.840"
"'[16:46:06.976]',-,0.045,0.721,0.820,0.231,0.498,68.644"
"'[16:46:06.984]',-,0.031,0.725,0.830,0.230,0.495,68.253"
"'[16:46:06.992]',-,0.045,0.734,0.840,0.229,0.492,68.057"
"'[16:46:07.000]',-,0.156,0.670,0.795,0.228,0.488,67.666"
"'[16:46:07.008]',-,0.475,0.455,0.564,0.227,0.483,67.275"
"'[16:46:07.016]',-,0.695,0.260,0.260,0.226,0.478,66.884"
"'[16:46:07.024]',-,0.404,0.340,0.145,0.225,0.473,66.493"
"'[16:46:07.032]',-,-0.129,0.570,0.201,0.224,0.469,65.906"
"'[16:46:07.040]',-,-0.430,0.699,0.305,0.223,0.466,65.515"
"'[16:46:07.048]',-,-0.498,0.779,0.465,0.221,0.462,65.124"
"'[16:46:07.056]',-,-0.498,0.820,0.605,0.220,0.459,64.537"
"'[16:46:07.064]',-,-0.439,0.834,0.730,0.219,0.457,64.146"
"'[16:46:07.072]',-,-0.344,0.840,0.799,0.218,0.455,63.755"
"'[16:46:07.080]',-,-0.225,0.844,0.885,0.217,0.453,63.168"
"'[16:46:07.088]',-,-0.115,0.830,0.930,0.216,0.452,62.973"
"'[16:46:07.096]',-,-0.020,0.799,0.955,0.216,0.451,62.386"
"'[16:46:07.104]',-,0.025,0.779,0.959,0.216,0.449,61.995"
"'[16:46:07.112]',-,0.045,0.775,0.955,0.216,0.448,61.604"
"'[16:46:07.120]',-,0.045,0.770,0.949,0.217,0.446,61.213"
"'[16:46:07.128]',-,0.051,0.775,0.945,0.218,0.445,60.821"
"'[16:46:07.136]',-,0.041,0.779,0.936,0.219,0.445,60.626"
"'[16:46:07.144]',-,0.031,0.789,0.936,0.221,0.445,60.235"
"'[16:46:07.152]',-,0.010,0.799,0.920,0.222,0.447,60.039"
"'[16:46:07.160]',-,0.010,0.805,0.920,0.224,0.448,59.844"
"'[16:46:07.168]',-,0.006,0.811,0.930,0.225,0.449,59.648"
"'[16:46:07.176]',-,0.010,0.811,0.920,0.225,0.449,59.452"
"'[16:46:07.184]',-,0.020,0.814,0.930,0.225,0.449,59.257"
"'[16:46:07.192]',-,0.016,0.805,0.939,0.226,0.447,59.061"
"'[16:46:07.200]',-,0.035,0.805,0.959,0.226,0.446,59.061"
"'[16:46:07.208]',-,0.055,0.789,0.959,0.226,0.444,58.866"
"'[16:46:07.216]',-,0.076,0.775,0.975,0.226,0.442,58.866"
"'[16:46:07.224]',-,0.090,0.766,0.969,0.227,0.440,58.670"
"'[16:46:07.232]',-,0.100,0.760,0.980,0.227,0.437,58.866"
"'[16:46:07.240]',-,0.121,0.744,0.965,0.227,0.434,58.866"
"'[16:46:07.248]',-,0.135,0.734,0.969,0.227,0.430,59.061"
"'[16:46:07.256]',-,0.145,0.730,0.959,0.228,0.427,59.648"
"'[16:46:07.264]',-,0.156,0.721,0.959,0.228,0.423,60.430"
"'[16:46:07.272]',-,0.160,0.709,0.936,0.228,0.420,61.995"
"'[16:46:07.280]',-,0.170,0.705,0.936,0.228,0.416,64.146"
"'[16:46:07.288]',-,0.170,0.695,0.914,0.229,0.412,67.275"
"'[16:46:07.296]',-,0.176,0.689,0.904,0.228,0.408,70.795"
"'[16:46:07.304]',-,0.166,0.686,0.869,0.228,0.404,74.707"
"'[16:46:07.312]',-,0.160,0.686,0.850,0.228,0.400,78.814"
"'[16:46:07.320]',-,0.150,0.686,0.824,0.228,0.398,83.116"
"'[16:46:07.328]',-,0.145,0.680,0.820,0.228,0.395,87.614"
"'[16:46:07.336]',-,0.135,0.689,0.811,0.229,0.393,92.503"
"'[16:46:07.344]',-,0.125,0.689,0.805,0.230,0.390,97.588"
"'[16:46:07.352]',-,0.105,0.695,0.814,0.232,0.386,102.868"
"'[16:46:07.360]',-,0.096,0.705,0.824,0.234,0.383,107.562"
"'[16:46:07.368]',-,0.076,0.721,0.834,0.236,0.381,111.278"
"'[16:46:07.376]',-,0.076,0.721,0.820,0.238,0.379,113.820"
"'[16:46:07.384]',-,0.070,0.721,0.834,0.239,0.376,115.385"
"'[16:46:07.392]',-,0.076,0.715,0.830,0.242,0.374,116.363"
"'[16:46:07.400]',-,0.064,0.721,0.840,0.245,0.372,116.558"
"'[16:46:07.408]',-,0.064,0.721,0.830,0.248,0.370,116.363"
"'[16:46:07.416]',-,0.061,0.721,0.834,0.251,0.369,115.776"
"'[16:46:07.424]',-,0.055,0.721,0.830,0.255,0.369,114.798"
"'[16:46:07.432]',-,0.051,0.721,0.824,0.258,0.369,113.233"
"'[16:46:07.440]',-,0.051,0.721,0.811,0.262,0.369,111.864"
"'[16:46:07.448]',-,0.041,0.725,0.814,0.266,0.369,110.104"
"'[16:46:07.456]',-,0.025,0.730,0.795,0.270,0.370,108.344"
"'[16:46:07.464]',-,0.020,0.744,0.795,0.273,0.371,106.584"
"'[16:46:07.472]',-,0.006,0.744,0.785,0.277,0.374,104.628"
"'[16:46:07.480]',-,0.000,0.750,0.795,0.280,0.376,102.673"
"'[16:46:07.488]',-,0.020,0.744,0.805,0.283,0.378,100.522"
"'[16:46:07.496]',-,0.025,0.750,0.824,0.285,0.380,97.979"
"'[16:46:07.504]',-,0.031,0.744,0.824,0.288,0.382,95.437"
"'[16:46:07.512]',-,0.045,0.734,0.844,0.291,0.384,92.894"
"'[16:46:07.520]',-,0.041,0.740,0.844,0.294,0.387,90.157"
"'[16:46:07.528]',-,0.045,0.734,0.859,0.296,0.390,87.419"
"'[16:46:07.536]',-,0.051,0.725,0.850,0.299,0.394,84.876"
"'[16:46:07.544]',-,0.061,0.721,0.844,0.302,0.400,82.334"
"'[16:46:07.552]',-,0.061,0.721,0.859,0.304,0.406,79.791"
"'[16:46:07.560]',-,0.064,0.721,0.850,0.307,0.413,77.836"
"'[16:46:07.568]',-,0.061,0.721,0.859,0.309,0.423,76.076"
"'[16:46:07.576]',-,0.055,0.721,0.844,0.312,0.435,74.707"
"'[16:46:07.584]',-,0.051,0.730,0.844,0.314,0.448,73.533"
"'[16:46:07.592]',-,0.041,0.730,0.834,0.317,0.462,72.555"
"'[16:46:07.600]',-,0.025,0.744,0.844,0.319,0.478,71.773"
"'[16:46:07.608]',-,0.025,0.744,0.820,0.322,0.492,71.186"
"'[16:46:07.616]',-,0.016,0.754,0.814,0.324,0.504,70.795"
"'[16:46:07.624]',-,0.020,0.750,0.799,0.326,0.514,70.600"
"'[16:46:07.632]',-,0.006,0.754,0.811,0.328,0.524,70.600"
"'[16:46:07.640]',-,0.000,0.760,0.799,0.330,0.534,70.795"
"'[16:46:07.648]',-,0.006,0.754,0.824,0.332,0.543,71.186"
"'[16:46:07.656]',-,0.000,0.760,0.820,0.334,0.550,71.578"
"'[16:46:07.664]',-,0.010,0.766,0.844,0.335,0.556,71.969"
"'[16:46:07.672]',-,0.010,0.766,0.844,0.336,0.561,72.164"
"'[16:46:07.680]',-,0.025,0.760,0.859,0.338,0.565,72.751"
"'[16:46:07.688]',-,0.020,0.754,0.850,0.339,0.569,73.142"
"'[16:46:07.696]',-,0.025,0.760,0.859,0.341,0.572,73.533"
"'[16:46:07.704]',-,0.031,0.744,0.844,0.343,0.575,73.729"
"'[16:46:07.712]',-,0.051,0.734,0.850,0.345,0.576,73.924"
"'[16:46:07.720]',-,0.055,0.725,0.855,0.346,0.577,74.316"
"'[16:46:07.728]',-,0.064,0.721,0.850,0.348,0.576,74.316"
"'[16:46:07.736]',-,0.055,0.725,0.840,0.350,0.575,74.511"
"'[16:46:07.744]',-,0.055,0.721,0.834,0.351,0.573,74.511"
"'[16:46:07.752]',-,0.045,0.730,0.840,0.351,0.570,74.511"
"'[16:46:07.760]',-,0.035,0.734,0.820,0.351,0.567,74.511"
"'[16:46:07.768]',-,0.025,0.744,0.824,0.352,0.563,74.316"
"'[16:46:07.776]',-,0.020,0.740,0.805,0.352,0.558,74.120"
"'[16:46:07.784]',-,0.020,0.744,0.814,0.352,0.554,73.924"
"'[16:46:07.792]',-,0.016,0.740,0.799,0.351,0.550,73.533"
"'[16:46:07.800]',-,0.025,0.744,0.820,0.351,0.546,73.142"
"'[16:46:07.808]',-,0.031,0.740,0.820,0.351,0.543,72.947"
"'[16:46:07.816]',-,0.035,0.744,0.834,0.351,0.538,72.360"
"'[16:46:07.824]',-,0.035,0.740,0.840,0.351,0.534,71.969"
"'[16:46:07.832]',-,0.045,0.740,0.865,0.350,0.530,71.578"
"'[16:46:07.840]',-,0.080,0.744,0.869,0.350,0.527,70.991"
"'[16:46:07.848]',-,0.256,0.629,0.814,0.350,0.523,70.600"
"'[16:46:07.856]',-,0.596,0.404,0.545,0.350,0.521,70.013"
"'[16:46:07.864]',-,0.754,0.246,0.260,0.350,0.519,69.426"
"'[16:46:07.872]',-,0.391,0.350,0.166,0.350,0.517,69.035"
"'[16:46:07.880]',-,-0.119,0.561,0.221,0.350,0.514,68.449"
"'[16:46:07.888]',-,-0.414,0.689,0.330,0.351,0.511,67.862"
"'[16:46:07.896]',-,-0.498,0.775,0.490,0.352,0.508,67.471"
"'[16:46:07.904]',-,-0.498,0.830,0.609,0.353,0.505,67.080"
"'[16:46:07.912]',-,-0.465,0.850,0.715,0.354,0.504,66.493"
"'[16:46:07.920]',-,-0.369,0.855,0.770,0.356,0.502,66.102"
"'[16:46:07.928]',-,-0.244,0.844,0.855,0.357,0.501,65.711"
"'[16:46:07.936]',-,-0.135,0.834,0.895,0.359,0.500,65.319"
"'[16:46:07.944]',-,-0.045,0.814,0.930,0.361,0.500,64.928"
"'[16:46:07.952]',-,-0.004,0.799,0.936,0.362,0.501,64.733"
"'[16:46:07.960]',-,0.020,0.789,0.949,0.364,0.502,64.537"
"'[16:46:07.968]',-,0.025,0.789,0.959,0.366,0.502,64.146"
"'[16:46:07.976]',-,0.035,0.779,0.949,0.368,0.503,63.950"
"'[16:46:07.984]',-,0.041,0.775,0.965,0.369,0.503,63.559"
"'[16:46:07.992]',-,0.045,0.770,0.949,0.370,0.503,63.364"
"'[16:46:08.000]',-,0.045,0.775,0.965,0.372,0.503,63.168"
"'[16:46:08.008]',-,0.051,0.770,0.959,0.373,0.503,62.973"
"'[16:46:08.016]',-,0.055,0.766,0.975,0.374,0.503,62.777"
"'[16:46:08.024]',-,0.055,0.770,0.965,0.375,0.503,62.582"
"'[16:46:08.032]',-,0.055,0.775,0.980,0.376,0.502,62.582"
"'[16:46:08.040]',-,0.055,0.766,0.965,0.377,0.500,62.386"
"'[16:46:08.048]',-,0.070,0.766,0.959,0.377,0.498,62.190"
"'[16:46:08.056]',-,0.076,0.766,0.959,0.378,0.495,62.190"
"'[16:46:08.064]',-,0.080,0.766,0.969,0.378,0.491,61.995"
"'[16:46:08.072]',-,0.076,0.766,0.949,0.378,0.487,61.799"
"'[16:46:08.080]',-,0.090,0.760,0.949,0.378,0.484,61.799"
"'[16:46:08.088]',-,0.090,0.754,0.936,0.378,0.480,61.995"
"'[16:46:08.096]',-,0.105,0.750,0.945,0.377,0.477,62.190"
"'[16:46:08.104]',-,0.115,0.744,0.939,0.376,0.474,62.973"
"'[16:46:08.112]',-,0.125,0.734,0.945,0.374,0.471,63.950"
"'[16:46:08.120]',-,0.141,0.725,0.939,0.372,0.468,65.515"
"'[16:46:08.128]',-,0.160,0.715,0.945,0.370,0.465,67.666"
"'[16:46:08.136]',-,0.166,0.699,0.936,0.370,0.462,70.404"
"'[16:46:08.144]',-,0.176,0.695,0.930,0.368,0.457,73.533"
"'[16:46:08.152]',-,0.180,0.680,0.910,0.367,0.454,76.858"
"'[16:46:08.160]',-,0.186,0.670,0.895,0.366,0.450,80.378"
"'[16:46:08.168]',-,0.170,0.680,0.879,0.365,0.446,84.094"
"'[16:46:08.176]',-,0.166,0.670,0.865,0.364,0.444,88.005"
"'[16:46:08.184]',-,0.160,0.676,0.859,0.363,0.442,92.308"
"'[16:46:08.192]',-,0.145,0.676,0.840,0.362,0.440,96.806"
"'[16:46:08.200]',-,0.125,0.695,0.844,0.361,0.438,101.304"
"'[16:46:08.208]',-,0.105,0.695,0.820,0.361,0.437,105.606"
"'[16:46:08.216]',-,0.086,0.709,0.824,0.360,0.436,108.931"
"'[16:46:08.224]',-,0.076,0.715,0.805,0.360,0.436,111.473"
"'[16:46:08.232]',-,0.061,0.721,0.811,0.359,0.436,113.233"
"'[16:46:08.240]',-,0.051,0.725,0.795,0.359,0.436,114.602"
"'[16:46:08.248]',-,0.055,0.730,0.814,0.358,0.436,115.580"
"'[16:46:08.256]',-,0.045,0.740,0.805,0.357,0.436,116.363"
"'[16:46:08.264]',-,0.051,0.730,0.824,0.356,0.435,116.558"
"'[16:46:08.272]',-,0.055,0.734,0.820,0.355,0.434,116.363"
"'[16:46:08.280]',-,0.061,0.730,0.834,0.354,0.434,115.580"
"'[16:46:08.288]',-,0.064,0.721,0.820,0.352,0.434,114.602"
"'[16:46:08.296]',-,0.076,0.721,0.830,0.351,0.435,113.233"
"'[16:46:08.304]',-,0.064,0.721,0.820,0.350,0.437,111.864"
"'[16:46:08.312]',-,0.070,0.721,0.830,0.349,0.437,110.104"
"'[16:46:08.320]',-,0.064,0.721,0.824,0.349,0.437,108.344"
"'[16:46:08.328]',-,0.070,0.721,0.834,0.348,0.438,106.584"
"'[16:46:08.336]',-,0.061,0.725,0.824,0.347,0.440,104.433"
"'[16:46:08.344]',-,0.061,0.725,0.830,0.347,0.441,102.086"
"'[16:46:08.352]',-,0.055,0.730,0.834,0.346,0.444,99.544"
"'[16:46:08.360]',-,0.055,0.725,0.814,0.346,0.447,96.806"
"'[16:46:08.368]',-,0.041,0.744,0.820,0.345,0.451,94.068"
"'[16:46:08.376]',-,0.035,0.744,0.799,0.345,0.455,91.330"
"'[16:46:08.384]',-,0.045,0.740,0.805,0.344,0.459,88.396"
"'[16:46:08.392]',-,0.051,0.734,0.795,0.344,0.465,85.658"
"'[16:46:08.400]',-,0.055,0.734,0.814,0.343,0.471,82.921"
"'[16:46:08.408]',-,0.055,0.730,0.805,0.343,0.478,80.378"
"'[16:46:08.416]',-,0.061,0.730,0.824,0.343,0.486,78.031"
"'[16:46:08.424]',-,0.064,0.725,0.820,0.344,0.494,76.271"
"'[16:46:08.432]',-,0.076,0.725,0.840,0.344,0.501,74.707"
"'[16:46:08.440]',-,0.076,0.721,0.824,0.345,0.510,73.338"
"'[16:46:08.448]',-,0.076,0.721,0.834,0.345,0.521,72.360"
"'[16:46:08.456]',-,0.076,0.715,0.820,0.345,0.532,71.578"
"'[16:46:08.464]',-,0.080,0.715,0.834,0.344,0.543,70.991"
"'[16:46:08.472]',-,0.076,0.715,0.820,0.343,0.551,70.600"
"'[16:46:08.480]',-,0.070,0.721,0.834,0.343,0.559,70.404"
"'[16:46:08.488]',-,0.061,0.721,0.820,0.342,0.567,70.404"
"'[16:46:08.496]',-,0.055,0.721,0.830,0.342,0.575,70.600"
"'[16:46:08.504]',-,0.051,0.725,0.820,0.341,0.582,70.795"
"'[16:46:08.512]',-,0.051,0.730,0.820,0.340,0.588,71.186"
"'[16:46:08.520]',-,0.041,0.740,0.805,0.339,0.594,71.578"
"'[16:46:08.528]',-,0.031,0.744,0.799,0.338,0.598,72.164"
"'[16:46:08.536]',-,0.020,0.750,0.805,0.337,0.601,72.555"
"'[16:46:08.544]',-,0.020,0.760,0.789,0.336,0.603,72.947"
"'[16:46:08.552]',-,0.031,0.750,0.799,0.335,0.603,73.338"
"'[16:46:08.560]',-,0.041,0.750,0.795,0.334,0.603,73.533"
"'[16:46:08.568]',-,0.051,0.744,0.820,0.333,0.603,73.924"
"'[16:46:08.576]',-,0.061,0.740,0.814,0.331,0.602,74.120"
"'[16:46:08.584]',-,0.080,0.734,0.840,0.330,0.600,74.120"
"'[16:46:08.592]',-,0.141,0.699,0.830,0.328,0.598,74.316"
"'[16:46:08.600]',-,0.400,0.529,0.689,0.327,0.595,74.120"
"'[16:46:08.608]',-,0.721,0.285,0.371,0.326,0.591,74.120"
"'[16:46:08.616]',-,0.766,0.215,0.166,0.324,0.587,73.924"
"'[16:46:08.624]',-,0.145,0.430,0.135,0.322,0.584,73.533"
"'[16:46:08.632]',-,-0.270,0.615,0.234,0.320,0.579,73.338"
"'[16:46:08.640]',-,-0.459,0.715,0.359,0.318,0.574,72.947"
"'[16:46:08.648]',-,-0.498,0.785,0.520,0.317,0.574,72.555"
"'[16:46:08.656]',-,-0.453,0.814,0.641,0.315,0.576,72.164"
"'[16:46:08.664]',-,-0.385,0.834,0.734,0.314,0.572,71.773"
"'[16:46:08.672]',-,-0.285,0.844,0.799,0.313,0.567,71.186"
"'[16:46:08.680]',-,-0.170,0.850,0.875,0.312,0.560,70.600"
"'[16:46:08.688]',-,-0.074,0.830,0.900,0.311,0.554,70.209"
"'[16:46:08.696]',-,-0.004,0.811,0.920,0.311,0.548,69.622"
"'[16:46:08.704]',-,0.016,0.799,0.920,0.310,0.542,69.035"
"'[16:46:08.712]',-,0.031,0.805,0.939,0.309,0.535,68.644"
"'[16:46:08.720]',-,0.045,0.789,0.945,0.309,0.530,68.057"
"'[16:46:08.728]',-,0.070,0.789,0.965,0.308,0.525,67.666"
"'[16:46:08.736]',-,0.076,0.779,0.975,0.308,0.520,67.080"
"'[16:46:08.744]',-,0.090,0.770,0.969,0.307,0.516,66.688"
"'[16:46:08.752]',-,0.076,0.770,0.975,0.307,0.512,66.297"
"'[16:46:08.760]',-,0.080,0.766,0.959,0.307,0.509,65.711"
"'[16:46:08.768]',-,0.080,0.770,0.980,0.307,0.506,65.319"
"'[16:46:08.776]',-,0.086,0.766,0.969,0.306,0.504,64.928"
"'[16:46:08.784]',-,0.090,0.760,0.975,0.306,0.502,64.537"
"'[16:46:08.792]',-,0.096,0.760,0.959,0.306,0.501,64.146"
"'[16:46:08.800]',-,0.096,0.754,0.969,0.306,0.501,63.755"
"'[16:46:08.808]',-,0.096,0.754,0.955,0.305,0.500,63.364"
"'[16:46:08.816]',-,0.090,0.766,0.959,0.305,0.500,63.168"
"'[16:46:08.824]',-,0.086,0.760,0.936,0.305,0.500,62.973"
"'[16:46:08.832]',-,0.096,0.766,0.945,0.304,0.500,62.973"
"'[16:46:08.840]',-,0.090,0.760,0.930,0.303,0.500,62.777"
"'[16:46:08.848]',-,0.100,0.754,0.936,0.302,0.500,62.973"
"'[16:46:08.856]',-,0.115,0.744,0.930,0.301,0.498,62.973"
