'Time','II','III','AVR','V','RESP','PLETH','ABP'
'[09:22:29.460]',0.260,0.280,-,0.830,-0.000,1.467,99.349
'[09:22:29.468]',0.290,0.295,-,0.866,-0.000,1.456,97.102
'[09:22:29.476]',0.305,0.305,-,0.876,-0.000,1.443,95.295
'[09:22:29.484]',0.320,0.315,-,0.876,-0.000,1.430,94.123
'[09:22:29.492]',0.340,0.315,-,0.885,-0.000,1.419,93.536
'[09:22:29.500]',0.360,0.315,-,0.900,-0.000,1.411,93.536
'[09:22:29.508]',0.345,0.295,-,0.885,-0.000,1.407,94.074
'[09:22:29.516]',0.290,0.260,-,0.845,-0.000,1.405,95.002
'[09:22:29.524]',0.245,0.250,-,0.820,-0.000,1.401,96.321
'[09:22:29.532]',0.215,0.245,-,0.805,-0.000,1.400,97.932
'[09:22:29.540]',0.190,0.230,-,0.796,-0.000,1.411,99.593
'[09:22:29.548]',0.170,0.220,-,0.791,-0.000,1.441,101.254
'[09:22:29.556]',0.170,0.220,-,0.791,-0.000,1.498,102.426
'[09:22:29.564]',0.175,0.230,-,0.791,-0.000,1.586,103.061
'[09:22:29.572]',0.185,0.235,-,0.796,-0.000,1.705,103.061
'[09:22:29.580]',0.195,0.245,-,0.796,-0.000,1.851,102.475
'[09:22:29.588]',0.180,0.230,-,0.786,-0.000,2.018,101.352
'[09:22:29.596]',0.100,0.170,-,0.800,-0.000,2.196,99.886
'[09:22:29.604]',0.040,0.065,-,0.885,-0.000,2.374,97.981
'[09:22:29.612]',0.255,0.035,-,1.000,-0.000,2.524,95.979
'[09:22:29.620]',0.895,0.500,-,1.121,-0.000,2.650,93.927
'[09:22:29.628]',1.276,0.996,-,0.930,-0.000,2.772,91.876
'[09:22:29.636]',0.915,1.055,-,0.360,-0.000,2.876,89.873
'[09:22:29.644]',0.375,0.600,-,0.129,-0.000,2.954,88.066
'[09:22:29.652]',0.095,0.305,-,0.374,-0.000,3.004,86.356
'[09:22:29.660]',0.050,0.205,-,0.665,-0.000,3.028,84.940
'[09:22:29.668]',0.155,0.200,-,0.850,-0.000,3.033,83.816
'[09:22:29.676]',0.225,0.230,-,0.946,-0.000,3.020,82.840
'[09:22:29.684]',0.255,0.235,-,0.985,-0.000,2.994,82.107
'[09:22:29.692]',0.260,0.230,-,1.010,-0.000,2.962,81.570
'[09:22:29.700]',0.270,0.225,-,1.031,-0.000,2.922,81.130
'[09:22:29.708]',0.295,0.235,-,1.050,-0.000,2.879,80.739
'[09:22:29.716]',0.315,0.255,-,1.070,-0.000,2.831,80.349
'[09:22:29.724]',0.335,0.260,-,1.095,-0.000,2.776,80.055
'[09:22:29.732]',0.355,0.265,-,1.116,-0.000,2.717,79.762
'[09:22:29.740]',0.370,0.275,-,1.140,-0.000,2.657,79.421
'[09:22:29.748]',0.390,0.280,-,1.170,-0.000,2.597,79.127
'[09:22:29.756]',0.410,0.280,-,1.196,-0.000,2.540,78.737
'[09:22:29.764]',0.440,0.295,-,1.216,-0.000,2.486,78.297
'[09:22:29.772]',0.480,0.315,-,1.240,-0.000,2.439,77.662
'[09:22:29.780]',0.510,0.325,-,1.271,-0.000,2.400,77.027
'[09:22:29.788]',0.535,0.325,-,1.296,-0.000,2.370,76.490
'[09:22:29.796]',0.575,0.340,-,1.320,-0.000,2.350,75.904
'[09:22:29.804]',0.615,0.355,-,1.341,-0.000,2.335,75.415
'[09:22:29.812]',0.645,0.370,-,1.351,-0.000,2.325,74.927
'[09:22:29.820]',0.665,0.385,-,1.346,-0.000,2.318,74.438
'[09:22:29.828]',0.675,0.395,-,1.320,-0.000,2.315,73.901
'[09:22:29.836]',0.655,0.395,-,1.286,-0.000,2.313,73.755
'[09:22:29.844]',0.630,0.390,-,1.235,-0.000,2.311,74.243
'[09:22:29.852]',0.595,0.375,-,1.175,-0.000,2.305,76.197
'[09:22:29.860]',0.540,0.360,-,1.111,-0.000,2.294,80.788
'[09:22:29.868]',0.470,0.330,-,1.041,-0.000,2.277,88.994
'[09:22:29.876]',0.400,0.300,-,0.975,-0.000,2.250,100.668
'[09:22:29.884]',0.350,0.285,-,0.920,-0.000,2.219,114.735
'[09:22:29.892]',0.320,0.290,-,0.885,-0.000,2.183,128.802
'[09:22:29.900]',0.295,0.285,-,0.855,-0.000,2.143,140.427
'[09:22:29.908]',0.265,0.270,-,0.840,-0.000,2.106,148.046
'[09:22:29.916]',0.255,0.260,-,0.835,-0.000,2.067,151.173
'[09:22:29.924]',0.250,0.260,-,0.835,-0.000,2.022,150.391
'[09:22:29.932]',0.240,0.255,-,0.835,-0.000,1.974,146.874
'[09:22:29.940]',0.230,0.250,-,0.840,-0.000,1.925,141.746
'[09:22:29.948]',0.225,0.250,-,0.840,-0.000,1.876,135.982
'[09:22:29.956]',0.240,0.260,-,0.830,-0.000,1.828,130.121
'[09:22:29.964]',0.250,0.265,-,0.825,-0.000,1.783,124.504
'[09:22:29.972]',0.240,0.255,-,0.825,-0.000,1.740,119.033
'[09:22:29.980]',0.230,0.250,-,0.825,-0.000,1.700,113.856
'[09:22:29.988]',0.230,0.250,-,0.815,-0.000,1.662,109.069
'[09:22:29.996]',0.230,0.245,-,0.810,-0.000,1.627,104.868
'[09:22:30.004]',0.225,0.240,-,0.805,-0.000,1.595,101.449
'[09:22:30.012]',0.230,0.245,-,0.796,0.001,1.569,98.812
'[09:22:30.020]',0.235,0.255,-,0.796,0.004,1.546,96.565
'[09:22:30.028]',0.240,0.260,-,0.791,0.010,1.520,94.367
'[09:22:30.036]',0.235,0.250,-,0.796,0.016,1.488,91.925
'[09:22:30.044]',0.230,0.245,-,0.800,0.024,1.455,89.482
'[09:22:30.052]',0.240,0.250,-,0.805,0.032,1.422,87.284
'[09:22:30.060]',0.270,0.270,-,0.825,0.042,1.391,85.868
'[09:22:30.068]',0.295,0.280,-,0.855,0.052,1.360,85.135
'[09:22:30.076]',0.315,0.295,-,0.871,0.064,1.328,84.989
'[09:22:30.084]',0.325,0.300,-,0.871,0.076,1.297,85.379
'[09:22:30.092]',0.355,0.305,-,0.881,0.090,1.268,86.112
'[09:22:30.100]',0.375,0.310,-,0.890,0.105,1.243,87.236
'[09:22:30.108]',0.360,0.290,-,0.871,0.121,1.230,88.701
'[09:22:30.116]',0.325,0.275,-,0.830,0.137,1.226,90.313
'[09:22:30.124]',0.270,0.255,-,0.805,0.152,1.236,91.925
'[09:22:30.132]',0.230,0.235,-,0.796,0.167,1.265,93.439
'[09:22:30.140]',0.195,0.220,-,0.786,0.181,1.320,94.562
'[09:22:30.148]',0.180,0.210,-,0.786,0.194,1.407,95.246
'[09:22:30.156]',0.170,0.200,-,0.791,0.209,1.524,95.295
'[09:22:30.164]',0.170,0.210,-,0.791,0.223,1.667,94.904
'[09:22:30.172]',0.185,0.225,-,0.791,0.238,1.826,93.976
'[09:22:30.180]',0.200,0.235,-,0.796,0.253,1.994,92.755
'[09:22:30.188]',0.180,0.215,-,0.791,0.266,2.162,91.241
'[09:22:30.196]',0.100,0.150,-,0.815,0.279,2.321,89.531
'[09:22:30.204]',0.040,0.060,-,0.885,0.291,2.458,87.822
'[09:22:30.212]',0.250,0.035,-,0.970,0.303,2.558,86.112
'[09:22:30.220]',0.870,0.485,-,1.085,0.314,2.627,84.500
'[09:22:30.228]',1.240,0.976,-,0.925,0.324,2.678,83.035
'[09:22:30.236]',0.910,1.050,-,0.435,0.334,2.708,81.667
'[09:22:30.244]',0.400,0.640,-,0.195,0.344,2.715,80.544
'[09:22:30.252]',0.105,0.330,-,0.365,0.352,2.702,79.567
'[09:22:30.260]',0.040,0.195,-,0.631,0.360,2.674,78.737
'[09:22:30.268]',0.120,0.180,-,0.825,0.366,2.632,78.102
'[09:22:30.276]',0.220,0.225,-,0.920,0.373,2.582,77.662
'[09:22:30.284]',0.260,0.240,-,0.961,0.379,2.529,77.320
'[09:22:30.292]',0.265,0.230,-,0.985,0.384,2.471,77.027
'[09:22:30.300]',0.275,0.230,-,1.005,0.389,2.410,76.734
'[09:22:30.308]',0.295,0.240,-,1.026,0.394,2.354,76.490
'[09:22:30.316]',0.315,0.250,-,1.046,0.397,2.298,76.197
'[09:22:30.324]',0.325,0.250,-,1.070,0.401,2.237,75.904
'[09:22:30.332]',0.340,0.250,-,1.090,0.403,2.176,75.757
'[09:22:30.340]',0.360,0.260,-,1.111,0.406,2.117,75.464
'[09:22:30.348]',0.375,0.265,-,1.135,0.408,2.062,75.220
'[09:22:30.356]',0.390,0.260,-,1.155,0.410,2.013,74.927
'[09:22:30.364]',0.415,0.265,-,1.181,0.411,1.973,74.536
'[09:22:30.372]',0.460,0.290,-,1.196,0.413,1.941,74.048
'[09:22:30.380]',0.500,0.310,-,1.216,0.413,1.920,73.559
'[09:22:30.388]',0.535,0.325,-,1.235,0.414,1.907,73.071
'[09:22:30.396]',0.575,0.340,-,1.261,0.413,1.901,72.533
'[09:22:30.404]',0.595,0.345,-,1.276,0.413,1.898,72.094
'[09:22:30.412]',0.620,0.350,-,1.281,0.411,1.896,71.752
'[09:22:30.420]',0.640,0.360,-,1.266,0.410,1.894,71.361
'[09:22:30.428]',0.645,0.365,-,1.245,0.407,1.889,70.970
'[09:22:30.436]',0.640,0.370,-,1.216,0.405,1.880,70.922
'[09:22:30.444]',0.620,0.370,-,1.175,0.402,1.869,71.361
'[09:22:30.452]',0.585,0.365,-,1.121,0.399,1.855,73.217
'[09:22:30.460]',0.535,0.355,-,1.060,0.395,1.838,77.662
'[09:22:30.468]',0.475,0.340,-,1.005,0.391,1.815,85.624
'[09:22:30.476]',0.410,0.320,-,0.961,0.387,1.789,97.297
'[09:22:30.484]',0.355,0.300,-,0.920,0.383,1.761,111.365
'[09:22:30.492]',0.320,0.295,-,0.890,0.377,1.729,125.432
'[09:22:30.500]',0.285,0.285,-,0.871,0.372,1.696,137.203
'[09:22:30.508]',0.255,0.275,-,0.861,0.367,1.667,144.920
'[09:22:30.516]',0.240,0.265,-,0.855,0.362,1.638,148.388
'[09:22:30.524]',0.240,0.265,-,0.850,0.356,1.606,147.949
'[09:22:30.532]',0.245,0.270,-,0.850,0.351,1.571,144.676
'[09:22:30.540]',0.240,0.275,-,0.845,0.344,1.535,139.694
'[09:22:30.548]',0.230,0.260,-,0.840,0.336,1.499,133.882
'[09:22:30.556]',0.230,0.260,-,0.840,0.327,1.461,127.874
'[09:22:30.564]',0.235,0.260,-,0.835,0.318,1.426,122.061
'[09:22:30.572]',0.230,0.265,-,0.830,0.307,1.396,116.493
'[09:22:30.580]',0.230,0.265,-,0.820,0.297,1.369,111.218
'[09:22:30.588]',0.230,0.265,-,0.810,0.285,1.342,106.285
'[09:22:30.596]',0.220,0.260,-,0.805,0.274,1.317,101.791
'[09:22:30.604]',0.220,0.255,-,0.805,0.264,1.291,98.128
'[09:22:30.612]',0.220,0.255,-,0.805,0.255,1.273,95.197
'[09:22:30.620]',0.215,0.255,-,0.796,0.246,1.284,92.755
'[09:22:30.628]',0.210,0.250,-,0.796,0.238,1.310,90.557
'[09:22:30.636]',0.210,0.255,-,0.791,0.231,1.317,88.261
'[09:22:30.644]',0.215,0.255,-,0.796,0.224,1.314,86.112
'[09:22:30.652]',0.220,0.255,-,0.796,0.219,1.306,84.305
'[09:22:30.660]',0.240,0.270,-,0.810,0.214,1.294,83.230
'[09:22:30.668]',0.280,0.290,-,0.835,0.210,1.282,82.840
'[09:22:30.676]',0.310,0.305,-,0.855,0.207,1.267,83.035
'[09:22:30.684]',0.320,0.310,-,0.871,0.205,1.250,83.719
'[09:22:30.692]',0.330,0.305,-,0.876,0.204,1.233,84.793
'[09:22:30.700]',0.365,0.320,-,0.885,0.204,1.218,86.259
'[09:22:30.708]',0.375,0.325,-,0.890,0.204,1.210,87.919
'[09:22:30.716]',0.335,0.290,-,0.866,0.207,1.211,89.727
'[09:22:30.724]',0.280,0.260,-,0.825,0.209,1.224,91.436
'[09:22:30.732]',0.235,0.250,-,0.805,0.212,1.252,92.853
'[09:22:30.740]',0.205,0.250,-,0.796,0.216,1.300,93.927
'[09:22:30.748]',0.190,0.245,-,0.786,0.220,1.370,94.416
'[09:22:30.756]',0.185,0.240,-,0.786,0.224,1.465,94.367
'[09:22:30.764]',0.185,0.240,-,0.791,0.228,1.585,93.781
'[09:22:30.772]',0.190,0.240,-,0.791,0.232,1.718,92.804
'[09:22:30.780]',0.190,0.245,-,0.796,0.235,1.860,91.485
'[09:22:30.788]',0.180,0.230,-,0.805,0.239,2.003,89.873
'[09:22:30.796]',0.125,0.185,-,0.810,0.242,2.136,88.164
'[09:22:30.804]',0.050,0.115,-,0.850,0.245,2.239,86.405
'[09:22:30.812]',0.024,0.030,-,0.930,0.248,2.319,84.696
'[09:22:30.820]',0.470,0.195,-,1.041,0.251,2.387,83.035
'[09:22:30.828]',1.101,0.715,-,1.095,0.254,2.436,81.618
'[09:22:30.836]',1.240,1.045,-,0.760,0.256,2.463,80.300
'[09:22:30.844]',0.685,0.860,-,0.294,0.258,2.472,79.225
'[09:22:30.852]',0.240,0.495,-,0.214,0.259,2.464,78.297
'[09:22:30.860]',0.050,0.265,-,0.505,0.260,2.443,77.564
'[09:22:30.868]',0.044,0.200,-,0.745,0.261,2.412,76.978
'[09:22:30.876]',0.165,0.205,-,0.890,0.261,2.360,76.490
'[09:22:30.884]',0.220,0.215,-,0.961,0.261,2.309,76.197
'[09:22:30.892]',0.245,0.220,-,0.985,0.260,2.271,75.855
'[09:22:30.900]',0.260,0.225,-,1.010,0.260,2.227,75.660
'[09:22:30.908]',0.270,0.225,-,1.031,0.259,2.185,75.415
'[09:22:30.916]',0.280,0.225,-,1.050,0.258,2.145,75.122
'[09:22:30.924]',0.305,0.235,-,1.070,0.256,2.103,74.878
'[09:22:30.932]',0.320,0.245,-,1.090,0.255,2.059,74.536
'[09:22:30.940]',0.345,0.250,-,1.116,0.254,2.015,74.292
'[09:22:30.948]',0.370,0.260,-,1.135,0.252,1.974,74.048
'[09:22:30.956]',0.385,0.270,-,1.155,0.251,1.938,73.755
'[09:22:30.964]',0.400,0.275,-,1.181,0.250,1.908,73.364
'[09:22:30.972]',0.430,0.280,-,1.201,0.249,1.886,72.875
'[09:22:30.980]',0.465,0.300,-,1.225,0.248,1.870,72.387
'[09:22:30.988]',0.505,0.315,-,1.250,0.247,1.861,71.850
'[09:22:30.996]',0.540,0.320,-,1.271,0.246,1.859,71.410
'[09:22:31.004]',0.565,0.320,-,1.296,0.244,1.862,70.970
'[09:22:31.012]',0.600,0.330,-,1.310,0.243,1.865,70.531
'[09:22:31.020]',0.630,0.350,-,1.310,0.242,1.866,70.091
'[09:22:31.028]',0.645,0.365,-,1.291,0.241,1.867,69.603
'[09:22:31.036]',0.645,0.370,-,1.261,0.240,1.866,69.261
'[09:22:31.044]',0.635,0.375,-,1.225,0.239,1.862,69.163
'[09:22:31.052]',0.610,0.370,-,1.175,0.238,1.852,69.945
'[09:22:31.060]',0.560,0.355,-,1.121,0.237,1.838,72.436
'[09:22:31.068]',0.495,0.330,-,1.070,0.236,1.820,77.760
'[09:22:31.076]',0.425,0.310,-,1.015,0.235,1.801,86.747
'[09:22:31.084]',0.375,0.300,-,0.970,0.234,1.778,99.154
'[09:22:31.092]',0.330,0.295,-,0.930,0.233,1.755,113.318
'[09:22:31.100]',0.290,0.275,-,0.900,0.232,1.730,126.750
'[09:22:31.108]',0.260,0.265,-,0.885,0.232,1.708,137.252
'[09:22:31.116]',0.245,0.260,-,0.876,0.230,1.684,143.699
'[09:22:31.124]',0.235,0.255,-,0.871,0.229,1.656,145.848
'[09:22:31.132]',0.230,0.250,-,0.866,0.226,1.627,144.627
'[09:22:31.140]',0.225,0.250,-,0.866,0.225,1.597,140.818
'[09:22:31.148]',0.225,0.250,-,0.866,0.222,1.568,135.494
'[09:22:31.156]',0.230,0.255,-,0.861,0.219,1.541,129.535
'[09:22:31.164]',0.235,0.255,-,0.855,0.216,1.517,123.576
'[09:22:31.172]',0.220,0.255,-,0.855,0.214,1.497,117.763
'[09:22:31.180]',0.220,0.250,-,0.845,0.210,1.479,112.244
'[09:22:31.188]',0.215,0.250,-,0.840,0.207,1.462,106.969
'[09:22:31.196]',0.210,0.245,-,0.835,0.204,1.447,102.133
'[09:22:31.204]',0.205,0.240,-,0.830,0.201,1.435,97.884
'[09:22:31.212]',0.210,0.245,-,0.825,0.199,1.424,94.220
'[09:22:31.220]',0.205,0.245,-,0.820,0.197,1.409,91.436
'[09:22:31.228]',0.200,0.240,-,0.815,0.195,1.392,89.043
'[09:22:31.236]',0.195,0.240,-,0.815,0.194,1.375,86.747
'[09:22:31.244]',0.195,0.235,-,0.815,0.194,1.358,84.403
'[09:22:31.252]',0.200,0.235,-,0.820,0.193,1.341,82.253
'[09:22:31.260]',0.200,0.240,-,0.825,0.194,1.327,80.593
'[09:22:31.268]',0.225,0.250,-,0.835,0.194,1.313,79.762
'[09:22:31.276]',0.265,0.275,-,0.866,0.198,1.295,79.616
'[09:22:31.284]',0.295,0.295,-,0.885,0.201,1.277,80.055
'[09:22:31.292]',0.305,0.295,-,0.890,0.206,1.257,80.935
'[09:22:31.300]',0.320,0.300,-,0.895,0.211,1.239,82.156
'[09:22:31.308]',0.355,0.315,-,0.900,0.217,1.227,83.670
'[09:22:31.316]',0.365,0.320,-,0.905,0.222,1.221,85.379
'[09:22:31.324]',0.325,0.290,-,0.876,0.227,1.221,87.187
'[09:22:31.332]',0.265,0.250,-,0.845,0.233,1.234,88.994
'[09:22:31.340]',0.215,0.230,-,0.830,0.239,1.263,90.508
'[09:22:31.348]',0.185,0.220,-,0.815,0.246,1.314,91.534
'[09:22:31.356]',0.175,0.220,-,0.805,0.254,1.388,91.973
'[09:22:31.364]',0.175,0.230,-,0.805,0.262,1.486,91.876
'[09:22:31.372]',0.180,0.230,-,0.805,0.271,1.603,91.192
'[09:22:31.380]',0.180,0.230,-,0.810,0.279,1.735,90.117
'[09:22:31.388]',0.185,0.230,-,0.815,0.288,1.875,88.701
'[09:22:31.396]',0.175,0.220,-,0.820,0.297,2.016,87.040
'[09:22:31.404]',0.120,0.180,-,0.815,0.304,2.131,85.282
'[09:22:31.412]',0.035,0.095,-,0.861,0.312,2.222,83.475
'[09:22:31.420]',0.020,0.020,-,0.946,0.319,2.305,81.716
'[09:22:31.428]',0.510,0.220,-,1.060,0.326,2.370,80.055
'[09:22:31.436]',1.120,0.760,-,1.106,0.332,2.415,78.541
'[09:22:31.444]',1.225,1.050,-,0.695,0.338,2.441,77.320
'[09:22:31.452]',0.630,0.825,-,0.245,0.343,2.446,76.246
'[09:22:31.460]',0.195,0.450,-,0.195,0.348,2.434,75.366
'[09:22:31.468]',0.024,0.230,-,0.530,0.353,2.411,74.683
'[09:22:31.476]',0.065,0.185,-,0.770,0.357,2.378,74.097
'[09:22:31.484]',0.160,0.205,-,0.905,0.361,2.337,73.657
'[09:22:31.492]',0.210,0.210,-,0.975,0.365,2.290,73.413
'[09:22:31.500]',0.225,0.205,-,1.010,0.368,2.240,73.168
'[09:22:31.508]',0.240,0.210,-,1.031,0.371,2.193,73.071
'[09:22:31.516]',0.255,0.215,-,1.046,0.375,2.147,72.875
'[09:22:31.524]',0.275,0.225,-,1.065,0.378,2.096,72.729
'[09:22:31.532]',0.295,0.235,-,1.085,0.381,2.046,72.533
'[09:22:31.540]',0.305,0.245,-,1.111,0.384,1.999,72.387
'[09:22:31.548]',0.325,0.250,-,1.135,0.386,1.956,72.240
'[09:22:31.556]',0.345,0.260,-,1.155,0.389,1.917,72.045
'[09:22:31.564]',0.370,0.270,-,1.181,0.391,1.884,71.850
'[09:22:31.572]',0.385,0.275,-,1.206,0.394,1.855,71.557
'[09:22:31.580]',0.415,0.280,-,1.230,0.396,1.834,71.166
'[09:22:31.588]',0.445,0.300,-,1.250,0.399,1.819,70.726
'[09:22:31.596]',0.480,0.310,-,1.281,0.400,1.811,70.238
'[09:22:31.604]',0.520,0.320,-,1.305,0.401,1.807,69.798
'[09:22:31.612]',0.555,0.335,-,1.325,0.401,1.806,69.359
'[09:22:31.620]',0.585,0.345,-,1.341,0.402,1.809,68.968
'[09:22:31.628]',0.610,0.360,-,1.341,0.402,1.813,68.528
'[09:22:31.636]',0.625,0.370,-,1.320,0.402,1.815,68.186
'[09:22:31.644]',0.630,0.375,-,1.291,0.402,1.816,67.796
'[09:22:31.652]',0.615,0.385,-,1.245,0.402,1.814,67.747
'[09:22:31.660]',0.590,0.390,-,1.196,0.402,1.807,68.528
'[09:22:31.668]',0.540,0.360,-,1.135,0.402,1.797,71.117
'[09:22:31.676]',0.480,0.340,-,1.075,0.402,1.783,76.636
'[09:22:31.684]',0.415,0.320,-,1.015,0.402,1.764,85.819
'[09:22:31.692]',0.360,0.305,-,0.966,0.401,1.743,98.470
'[09:22:31.700]',0.305,0.280,-,0.920,0.400,1.717,112.879
'[09:22:31.708]',0.260,0.260,-,0.890,0.399,1.691,126.409
'[09:22:31.716]',0.235,0.255,-,0.871,0.398,1.668,136.910
'[09:22:31.724]',0.225,0.255,-,0.855,0.396,1.640,143.260
'[09:22:31.732]',0.215,0.245,-,0.855,0.395,1.612,145.507
'[09:22:31.740]',0.210,0.235,-,0.855,0.393,1.583,144.237
'[09:22:31.748]',0.210,0.235,-,0.855,0.391,1.553,140.476
'[09:22:31.756]',0.215,0.240,-,0.855,0.388,1.525,135.200
'[09:22:31.764]',0.220,0.250,-,0.855,0.385,1.498,129.193
'[09:22:31.772]',0.220,0.245,-,0.855,0.380,1.471,122.989
'[09:22:31.780]',0.215,0.240,-,0.850,0.376,1.449,117.128
'[09:22:31.788]',0.215,0.235,-,0.840,0.372,1.430,111.560
'[09:22:31.796]',0.215,0.240,-,0.835,0.368,1.413,106.236
'[09:22:31.804]',0.210,0.230,-,0.830,0.365,1.401,101.303
'[09:22:31.812]',0.205,0.230,-,0.825,0.361,1.391,96.858
'[09:22:31.820]',0.200,0.230,-,0.820,0.358,1.378,93.195
'[09:22:31.828]',0.210,0.230,-,0.815,0.356,1.365,90.215
